Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1965	Óskar Guðmundsson	no competition	Óskar Guðmundsson Rafn Viggósson	Hulda Guðmundsdóttir Jónína Nieljóhníusardóttir	Lárus Guðmundsson Jónína Nieljóhníusardóttir
1966	Jón Árnason	no competition	Jón Árnason Óskar Guðmundsson	Hulda Guðmundsdóttir Lovísa Sigurðardóttir	Jón Árnason Lovísa Sigurðardóttir
1967	Jón Árnason	no competition	Jón Árnason Viðar Guðjónsson	Hulda Guðmundsdóttir Lovísa Sigurðardóttir	Jón Árnason Lovísa Sigurðardóttir
1968	Óskar Guðmundsson	no competition	Jón Árnason Viðar Guðjónsson	Hulda Guðmundsdóttir Rannveig Magnúsdóttir	Lárus Guðmundsson Jónína Nieljóhníusardóttir
1969	Óskar Guðmundsson	no competition	Friðleifur Stefánsson Óskar Guðmundsson	Hulda Guðmundsdóttir Lovísa Sigurðardóttir	Jón Árnason Lovísa Sigurðardóttir
1970	Óskar Guðmundsson	no competition	Haraldur Kornelíusson Steinar Petersen	Jónína Nieljóhníusardóttir Rannveig Magnúsdóttir	Haraldur Kornelíusson Hann Lára Köhler
1971	Haraldur Kornelíusson	no competition	Jón Árnason Vidar GudJónsson	Hann Lára Köhler Lovísa Sigurðardóttir	Haraldur Kornelíusson Hann Lára Köhler
1972	Haraldur Kornelíusson	no competition	Haraldur Kornelíusson Steinar Petersen	Hann Lára Palsdóttir Lovísa Sigurðardóttir	Haraldur Kornelíusson Hann Lára Palsdóttir
1973	Haraldur Kornelíusson	no competition	Haraldur Kornelíusson Steinar Petersen	Hann Lára Palsdóttir Lovísa Sigurðardóttir	Haraldur Kornelíusson Hann Lára Palsdóttir
1974	Haraldur Kornelíusson	Lovísa Sigurðardóttir	Haraldur Kornelíusson Steinar Peterson	Hann Lára Palsdóttir Lovísa Sigurðardóttir	Haraldur Kornelíusson Hann Lára Palsdóttir
1975	Haraldur Kornelíusson	Lovísa Sigurðardóttir	Haraldur Kornelíusson Steinar Peterson	Hann Lára Palsdóttir Lovísa Sigurðardóttir	Haraldur Kornelíusson Hann Lára Palsdóttir
1976	Sigurður Haraldsson	Lovísa Sigurðardóttir	Jóhann Kjartansson Sigurður Haraldsson	Hann Lára Palsdóttir Lovísa Sigurðardóttir	Steinar Petersen Lovísa Sigurðardóttir
1977	Sigurður Haraldsson	Lovísa Sigurðardóttir	Jóhann Kjartansson Sigurður Haraldsson	Hann Lára Palsdóttir Lovísa Sigurðardóttir	Sigurður Haraldsson Hann Lára Palsdóttir
1984	Broddi Kristjánsson	Kristín Magnúsdóttir	Þorsteinn Páll Hængsson Broddi Kristjánsson	Þórdís Edwald Elísabet Þórðardóttir	Broddi Kristjánsson Kristina Magnúsdóttir
1985	Guðmundur Adolfsson	Þórdís Edwald	Þorsteinn Páll Hængsson Broddi Kristjánsson	Þórdís Edwald Elísabet Þórðardóttir	Broddi Kristjánsson Kristina Magnúsdóttir
1986	Broddi Kristjánsson	Elisabeth Thordasdottir	Þorsteinn Páll Hængsson Broddi Kristjánsson	Þórdís Edwald Elísabet Þórðardóttir	Broddi Kristjánsson Kristina Magnúsdóttir
1987	Þorsteinn Páll Hængsson	Þórdís Edwald	Þorsteinn Páll Hængsson Broddi Kristjánsson	Þórdís Edwald Elísabet Þórðardóttir	Þorsteinn Páll Hængsson Þórdís Edwald
1988	Broddi Kristjánsson	Þórdís Edwald	Árni Þór Hallgrímsson Ármann Þorvaldsson	Þórdís Edwald Elísabet Þórðardóttir	Árni Þór Hallgrímsson Elísabet Þórðardóttir
1989	Broddi Kristjánsson	Þórdís Edwald	Árni Þór Hallgrímsson Ármann Þorvaldsson	Guðrún Júlíusdóttir Kristín Magnúsdóttir	Guðmundur Adolfsson Guðrún Júlíusdóttir
1990	Broddi Kristjánsson	Þórdís Edwald	Broddi Kristjánsson Þorsteinn Páll Hængsson	Guðrún Júlíusdóttir Birna Petersen	Guðmundur Adolfsson Guðrún Júlíusdóttir
1991	Árni Þór Hallgrímsson	Elsa Nielsen	Broddi Kristjánsson Árni Þór Hallgrímsson	Guðrún Júlíusdóttir Birna Petersen	Árni Þór Hallgrímsson Guðrún Júlíusdóttir
1992	Broddi Kristjánsson	Elsa Nielsen	Broddi Kristjánsson Árni Þór Hallgrímsson	Guðrún Júlíusdóttir Birna Petersen	Broddi Kristjánsson Ása Pálsdóttir
1993	Broddi Kristjánsson	Elsa Nielsen	Broddi Kristjánsson Árni Þór Hallgrímsson	Guðrún Júlíusdóttir Birna Petersen	Árni Þór Hallgrímsson Guðrún Júlíusdóttir
1994	Þorsteinn Páll Hængsson	Elsa Nielsen	Broddi Kristjánsson Árni Þór Hallgrímsson	Þórdís Edwald Elsa Nielsen	Broddi Kristjánsson Elsa Nielsen
1995	Broddi Kristjánsson	Elsa Nielsen	Broddi Kristjánsson Árni Þór Hallgrímsson	Elsa Nielsen Vigdís Ásgeirsdóttir	Árni Þór Hallgrímsson Guðrún Júlíusdóttir
1996	Tryggvi Nielsen	Vigdís Ásgeirsdóttir	Broddi Kristjánsson Árni Þór Hallgrímsson	Elsa Nielsen Vigdís Ásgeirsdóttir	Broddi Kristjánsson Elsa Nielsen
1997	Tryggvi Nielsen	Vigdís Ásgeirsdóttir	Broddi Kristjánsson Árni Þór Hallgrímsson	Elsa Nielsen Vigdís Ásgeirsdóttir	Árni Þór Hallgrímsson Vigdís Ásgeirsdóttir
1998	Broddi Kristjánsson	Elsa Nielsen	Broddi Kristjánsson Árni Þór Hallgrímsson	Elsa Nielsen Vigdís Ásgeirsdóttir	Árni Þór Hallgrímsson Drífa Harðardóttir
1999	Tómas Viborg	Elsa Nielsen	Broddi Kristjánsson Guthmundur Adolfsson	Elsa Nielsen Brynja K. Pétursdóttir	Broddi Kristjánsson Drífa Harðardóttir
2000	Tómas Viborg	Elsa Nielsen	Sveinn Logi Sölvason Tryggvi Nilsen	Elsa Nielsen Brynja K. Pétursdóttir	Tomas Viborg Brynja K. Pétursdóttir
2001	Tómas Viborg	Brynja Petusdottir	Sveinn Logi Sölvason Tryggvi Nilsen	Vigdís Ásgeirsdóttir Ragna Ingólfsdóttir	Tomas Viborg Brynja K. Pétursdóttir
2002	Broddi Kristjánsson	Sara Jónsdóttir	Tryggvi Nielsen Svein Sölvasson	Ragna Ingólfsdóttir Vidís Asgeirsdottir	Tryggvi Nielsen Elsa Nielsen
2003	Sveinn Logi Sölvason	Ragna Ingólfsdóttir	Broddi Kristjánsson Helgi Jóhannesson	Ragna Ingólfsdóttir Katrín Atladóttir	Sveinn Logi Sölvason Drífa Harðardóttir
2004	Tryggvi Nielsen	Ragna Ingólfsdóttir	Tryggvi Nielsen Sveinn Sölvason	Drífa Hardardottir Sara Jónsdóttir	Sveinn Logi Sölvason Drífa Harðardóttir
2005	Helgi Jóhannesson	Ragna Ingólfsdóttir	Broddi Kristjánsson Helgi Jóhannesson	Sara Jónsdóttir Ragna Ingólfsdóttir	Magnús Ingi Helgason Tinna Helgadóttir
2006	Helgi Jóhannesson	Ragna Ingólfsdóttir	Broddi Kristjánsson Helgi Jóhannesson	Ragna Ingólfsdóttir Katrín Atladóttir	Helgi Jóhannesson Drífa Harðardóttir
2007	Magnús Ingi Helgason	Ragna Ingólfsdóttir	Helgi Jóhannesson Magnús Ingi Helgason	Ragna Ingólfsdóttir Katrín Atladóttir	Helgi Jóhannesson Ragna Ingólfsdóttir
2008	Helgi Jóhannesson	Ragna Ingólfsdóttir	Helgi Jóhannesson Magnús Ingi Helgason	Ragna Ingólfsdóttir Katrín Atladóttir	Magnús Ingi Helgason Tinna Helgadóttir
2009	Helgi Jóhannesson	Tinna Helgadóttir	Helgi Jóhannesson Magnús Ingi Helgason	Erla Björg Hafsteinsdóttir Tinna Helgadóttir	Magnús Ingi Helgason Tinna Helgadóttir
2010	Helgi Jóhannesson	Ragna Ingólfsdóttir	Helgi Jóhannesson Magnús Ingi Helgason	Ragna Ingólfsdóttir Katrín Atladóttir	Magnús Ingi Helgason Tinna Helgadóttir
