Name	Lifespan	Country	Wins	Majors	Winning span	Span (years)
Bob Murphy	1943–	United States	5	0	1968–1986	19
Jesper Parnevik	1965–	Sweden	5	0	1998–2001	4
Carl Pettersson	1977–	Sweden	5	0	2005–2012	8
Johnny Pott	1935–	United States	5	0	1960–1968	9
Tom Purtzer	1951–	United States	5	0	1977–1991	15
Phil Rodgers	1938–	United States	5	0	1962–1966	5
Justin Rose	1980–	England	5	1	2010–2013	4
Mason Rudolph	1934–2011	United States	5	0	1959–1970	12
Bob Toski	1926–	United States	5	0	1953–1954	2
Scott Verplank	1964–	United States	5	0	1985–2007	23
Nick Watney	1981–	United States	5	0	2007–2012	6
D. A. Weibring	1953–	United States	5	0	1979–1996	18
Mark Wilson	1974–	United States	5	0	2007–2012	6
