Name	Type	Population (2011)	Population (2006)	Area (km 2 )
Switsemalph 7	Indian reserve	0	22	1.56
Taghum	Unincorporated place	255	211	1.6
Tappen	Unincorporated place	826	773	26.52
Telegraph Creek 6	Indian reserve	5	62	0.78
Telegraph Creek 6A	Indian reserve	0	16	0.68
Thetis Island Trust Area part A	Island trust	340	372	31.68
Thetis Island Trust Area part B	Island trust	0	0	0.05
Tintagle	Unincorporated place	174	192	3.08
Tlell	Unincorporated place	179	187	101.02
Topley	Unincorporated place	80	118	0.93
T'Sou-ke 1 (Sooke 1)	Indian reserve	86	88	0.25
T'Sou-ke 2 (Sooke 2)	Indian reserve	133	126	0.5
Two Mile	Unincorporated place	306	306	3.21
Union Bay	Unincorporated place	1156	1066	13.57
Vananda	Unincorporated place	275	324	1.17
Wabi Hill	Unincorporated place	345	302	5.99
Wasa Lake	Unincorporated place	205	222	1.77
Westbank	Unincorporated place	3359	2824	50.34
West Fernie	Unincorporated place	5	5	0.07
West Popkum	Unincorporated place	1072	1055	2.78
White Lake	Unincorporated place	619	623	17.83
Wildwood	Unincorporated place	534	568	3.04
Willow River	Unincorporated place	130	169	1.73
Wilmer	Unincorporated place	223	253	1.15
Windermere	Unincorporated place	1019	1259	8.41
Winlaw	Unincorporated place	294	288	3.48
Winter Harbour	Unincorporated place	20	20	1.1
Woss	Unincorporated place	235	259	1.48
Wycliffe	Unincorporated place	211	189	1.74
Wynndel part A	Unincorporated place	517	575	5.47
Wynndel part B	Unincorporated place	25	22	0.52
Yahk	Unincorporated place	140	127	4.39
Yale	Unincorporated place	136	186	1.53
Ymir	Unincorporated place	231	233	1.09
Youbou	Unincorporated place	966	1080	8.83
