Year	Song Title	Film Name	Language	Music Director
2005	"Vangaiya Vankika"	Adaikkalam	Tamil	Sabesh
2005	"Othaiya Rettaiya"	February 14	Tamil	Bharathwaj
2005	"Unn Peyarennada"	February 14	Tamil	Bharathwaj
2005	"Inji Inji"	Manikanda	Tamil	Deva
2005	"Mama Mama"	Manikanda	Tamil	Deva
2005	"Pondicherry Sarakku"	Manikanda	Tamil	Deva
2004	"Ae Sangdil Sanam"	Tum - A Dangerous Obsession	Hindi	Anu Malik
2004	"Jhin Min Jhini"	Maqbool	Hindi	Vishal Bharadwaj
2004	"Appadi Podu"	Ghilli	Tamil	Vidhyasagar
2004	"Deikaiya Vechi"	Giri	Tamil	D. Imman
2004	"Dubukku Dubukku"	Giri	Tamil	D. Imman
2003	"Someday O Someday"	Dum	Hindi	Sandeep Chowta
2003	"Bhangra Paa Le"	Talaash: The Hunt Begins	Hindi	Sanjeev Darshan
2003	"Okka Maggadu"	Seethaiah	Telugu	M. M. Keeravani
2003	"Cheli Chedugudu"	Gemini	Tamil	Deva
2003	"Aalaana Degam"	Arasu	Telugu	R. P. Patnaik
2003	"Enna Ninacha"	Chokka Thangam	Tamil	Deva
2003	"Ettu Jilla paththu"	Chokka Thangam	Tamil	Deva
2003	"Hey Sembaruthi"	Eera Nilam	Tamil	Sirpy
2003	"Karpaga Maram"	Eera Nilam	Tamil	Sirpy
2003	"Idi Idi Andha"	Kashmir	Tamil	Deva
2003	"Kashmir Roja"	Kashmir	Tamil	Deva
2003	"Panithuliaye"	Royal Family	Tamil	Bharani
2003	"Sinthathiri Pettai"	Royal Family	Tamil	Bharani
2002	"O Podu"	Gemini	Tamil	Bharadwaj
2002	"Dollu Dollu"	Mazhamegha Pravukal	Malayalam	Sree Ram
2002	"Vaaleduthhal"	Meesa Madhavan	Malayalam	Vidhyasagar
2002	"Kaan Ke Neeche"	Chor Machaaye Shor	Hindi	Anu Malik
2002	"Chadh Gayi Chadh Gayi"	Chor Machaaye Shor	Hindi	Anu Malik
2002	"Tum Tata Ho Ya Birla"	Chor Machaaye Shor	Hindi	Anu Malik
2002	"Dupatta"	Jeena Sirf Merre Liye	Hindi	Nadeem-Shravan
2002	"Chori Chori"	Om Jai Jagadish	Hindi	Anu Malik
2002	"Mujhe Rab Se Pyaar"	Ab Ke Baras	Hindi	Anu Malik
2002	"Aakasame Akaramaai"	Sri Manjunatha	Telugu, Kannada	Hamsalekha
2002	"Adada Nadanthu"	123	Tamil	Deva
2002	"April Malai Megame"	123	Tamil	Deva
2002	"Konjam Konjam"	123	Tamil	Deva
2002	"Kadhal Kondein Summa"	Ganesh	Tamil	Mani Sharma
2002	"Raja Vamsamo"	Ganesh	Tamil	Mani Sharma
2002	"Theeradha Vilaiyattu Pillai"	Nilavinilea	Tamil	Deva
2002	"Theeradha Vilaiyattu Pillai (2)"	Nilavinilea	Tamil	Deva
2001	"Hari Gori"	Majunu	Tamil	Harris Jayaraj
2001	"Kalli Adi Kalli"	Nandha	Tamil	Yuvan Shankar Raja
2001	"Aayiye Aajaayiye"	Lajja	Hindi	Anu Malik
2001	"Chunari Chunari"	Monsoon Wedding	Multilingual	Anu Malik
2001	"Once Upon A Time In India"	Lagaan	Hindi	A. R. Rahman
2001	"Band Kamre Mein"	Kuch Khatti Kuch Meethi	Hindi	Anu Malik
2001	"Malai Malai"	Chocklet	Hindi	Deva
2001	"Oru Ponnu Onnu"	Kushi	Tamil	Deva
2001	"Dupatta"	Mujhe Kuch Kehna Hai	Hindi	Anu Malik
2001	"Satrangi"	Deewaanapan	Hindi	Aadesh Shrivastav
2001	Maangalya Kaalam	Vakkalathu Narayanankutty	Malayalam	Mohan Sithara
2001	"Raaja Raaja"	Preethsod Thappa	Kannada	Hamsalekha
2001	"Bangaaradinda"	Preethsod Thappa	Kannada	Hamsalekha
2001	"Sone Sone"	Preethsod Thappa	Kannada	Hamsalekha
2001	"Ezhuththu Ezhuththu"	Kunguma Pottu Gounder	Tamil	Sirpy
2001	"Muthan Muthala"	Kunguma Pottu Gounder	Tamil	Sirpy
2001	"Manmadha"	Lovely	Tamil	Deva
2001	"Silver Nilave"	Lovely	Tamil	Deva
2001	"Vaadi Machinuchi"	Lovely	Tamil	Deva
2000	"Ammammalu Taatayyalu"	Nuvve Kavali	Telugu	Koti
2000	"Poo Virinjaachu"	Mugavaree	Tamil	Deva
2000	"Ethanai Manikku"	Karisakattu Poove	Tamil	Ilaiyaraaja
2000	"Roja Poonthottam"	Kannukkul Nilavu	Tamil	Ilaiyaraaja
2000	"Prem Jaal"	Jis Desh Mein Ganga Rehta Hain	Hindi	Anand Raj Anand
2000	"Oh Vennila"	Kushi	Tamil	Deva
2000	"Oru Ponnu"	Kushi	Tamil	Deva
2000	"Karuppu Than"	Vetrikodi Kattu	Tamil	Deva
1999	"Devudu Karunisthadani"	Prema Katha	Telugu	Sandeep Chowta
1999	"Pacific Lo"	Kalisundam Raa	Telugu	S. A. Rajkumar
1999	"Ishq Bina Kya"	Taal	Hindi	A. R. Rahman
1999	"Kaadhal Illamal"	Taalam	Tamil	A. R. Rahman
1999	"Chunari Chunari"	Biwi No.1	Hindi	Anu Malik
1999	"Nee Endhan Vaanam"	Monisha En Monalisa	Tamil	T. Rajendar
1999	"Vaanam Paadudhe"	Vaali	Tamil	Deva
1999	"Nilavai Konduvaa"	Vaali	Tamil	Deva
1998	"Chinna Chinna Kiliye"	Kannedhirey Thondrinal	Tamil	Deva
1998	"Dil Se Re"	Dil Se..	Hindi	A. R. Rahman
1998	"Santhosha Kannere"	Uyire	Tamil	A. R. Rahman
1998	"Anbe Anbe Kolladhe"	Jeans	Tamil	A. R. Rahman
1998	"Ishwar Allah"	1947 Earth	Hindi	A. R. Rahman
1998	"Kushalave Kshemave"	Yaare Neenu Cheluve	Kannada	Hamsalekha
1998	"Dayana Dayana"	Yaare Neenu Cheluve	Kannada	Hamsalekha
1998	"Ek Tarf Hai"	Gharwali Baharwali	Hindi	Anu Malik
1998	"Jo Tum Kaho"	Chhota Chetan	Hindi	Anu Malik
1998	"Malaroadu Piranthavala"	Iniyavale	Tamil	Deva
1998	"Thendral"	Iniyavale	Tamil	Deva
1998	"Enavale Ennavle"	Ninaithen Vandhai	Tamil	Deva
1998	"Malligaye"	Ninaithen Vandhai	Tamil	Deva
1997	"Pehli Pehli Baar"	Zor	Hindi	Agosh
1997	"Anbendra Mazhayilae"	Minsaara Kanavu	Tamil	A. R. Rahman
1997	"Maaro Maaro"	Suswagatham	Telugu	S. A. Rajkumar
1997	"Pelli Kala"	Preminchunkondam Raa	Telugu	Mahesh [ disambiguation needed ]
1996	"Nalam Nalamariya Aaval"	Kadhal Kottai	Tamil	Deva
1996	"Un Uthattora"	Panchalankurichi	Tamil	Deva
1996	"Vantheyalla"	Panchalankurichi	Tamil	Deva
1995	"Ini Achham Illai"	Indira	Tamil	A. R. Rahman
1995	"Chithiraiye"	Enn Purusan Kuzhantai Mathiri	Tamil	Deva
1995	"Pattaampuchi Pudavai"	Enn Purusan Kuzhantai Mathiri	Tamil	Deva
