Name	Club	Age at debut	Debut round	Games (2008)	Goals (2008)
Bradd Dalziell Category:Articles with hCards	Brisbane Lions	21 years, 126 days	16	7	1
Matthew O'Dwyer Category:Articles with hCards †	Sydney	19 years, 365 days	16	2	1
Addam Maric Category:Articles with hCards	Melbourne	18 years, 100 days	17	5	2
Scott Clouston Category:Articles with hCards †	Brisbane Lions	21 years, 182 days	18	2	1
Ryan Brabazon Category:Articles with hCards	Sydney	21 years, 221 days	18	1	0
Patrick Veszpremi Category:Articles with hCards	Sydney	18 years, 337 days	18	6	9
Mitchell Farmer Category:Articles with hCards	Port Adelaide	19 years, 212 days	18	3	0
Nick Salter Category:Articles with hCards †	Port Adelaide	21 years, 4 days	18	2	3
Ryan Williams Category:Articles with hCards	Port Adelaide	19 years, 304 days	19	2	0
Chris Dawes Category:Articles with hCards	Collingwood	20 years, 85 days	19	6	5
John McCarthy Category:Articles with hCards	Collingwood	18 years, 264 days	19	6	3
Rhys Magin Category:Articles with hCards †	Essendon	19 years, 159 days	19	4	2
Matthew Westhoff Category:Articles with hCards	Port Adelaide	20 years, 71 days	20	3	3
Patrick Dangerfield Category:Articles with hCards	Adelaide	18 years, 133 days	20	2	0
Tony Notte Category:Articles with hCards	West Coast	18 years, 123 days	20	2	0
Cale Hooker Category:Articles with hCards	Essendon	19 years, 314 days	21	2	0
Marlon Motlop Category:Articles with hCards	Port Adelaide	18 years, 128 days	21	2	1
Pearce Hanley Category:Articles with hCards †	Brisbane Lions	19 years, 282 days	21	2	0
Sam Reid Category:Articles with hCards	Western Bulldogs	18 years, 297 days	22	1	0
Jack Grimes Category:Articles with hCards	Melbourne	19 years, 112 days	22	1	0
John Williams Category:Articles with hCards	Essendon	19 years, 328 days	22	1	0
