Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1996	Rikard Magnusson	Karolina Ericsson	Ian Pearson James Anderson	Emma Chaffin Tracy Hallam	Nathan Robertson Gail Emms
1997	Peter Janum	Ann Gibson	Fernando Silva Hugo Rodrigues	Karen Peatfield Tracy Hallam	Russel Hogg Alexis Blanchflower
1998	Niels Christian Kaldau	Tanya Woodward	James Anderson Ian Pearson	Tracy Dineen Sarah Hardaker	Ian Sydie Denyse Julien
1999	Peter Janum	Ella Karachkova	Manuel Dubrulle Vicent Laigle	Sara Sankey Ella Miles	Björn Siegemund Karen Stechmann
2000	Rikard Magnusson	Elena Nozdran	Janek Roos Joachim Fischer Nielsen	Lene Mork Britta Andersen	Mathias Boe Karina Sørensen
2001	Oliver Pongratz	Pi Hongyan	Michael Keck Joachim Tesche	Ella Miles Sarah Sankey	Björn Siegemund Nicol Pitro
2002	Niels Christian Kaldau	Julia Mann	Michael Logosz Robert Mateusiak	Lene Mork Christiansen Helle Nielsen	Frederik Bergström Jenny Karlsson
2003	Niels Christian Kaldau	Pi Hongyan	Jim Laugesen Michael Søgaard	Julie Houmann Helle Nielsen	Fredrik Bergström Johanna Persson
2004	Stanislav Pukhov	Tracey Hallam	Simon Archer Robert Blair	Nadieżda Kostiuczyk Kamila Augustyn	Simon Archer Donna Kellogg
2005	Arif Rasidi	Yuan Wemyss	Anthony Clark Simon Archer	Sandra Marinello Katrin Piotrowski	Simon Archer Donna Kellogg
2006	Michael Christensen	Yuan Wemyss	Anders Kristiansen Simon Mollyhus	Liza Parker Jenny Day	Rasmus M. Andersen Mie Schjott-Kristensen
2007	Peter Mikkelsen	Judith Meulendijks	Mikkel Delbo Larsen Jacob Chemnitz	Jenny Wallwork Suzanne Rayappan	Rasmus Bonde Christinna Pedersen
2008	Anand Pawar	Kaori Imabeppu	Ruud Bosch Koen Ridder	Cai Jiani Zhang Xi	Zhang Yi Cai Jiani
2009	Magnus Sahlberg	Jill Pittard	Ruben Gordown Stenny Kusuma	Emelie Lennartsson Emma Wengberg	Lukasz Moren Natalia Pocztowiak
2010	Kenn Lim	Telma Santos	Martin Kragh Anders Skaarup Rasmussen	Lauren Smith Alexandra Langley	Zvonimir Durkinjak Stasa Poznanovic
2011	Sven-Eric Kastens	Sashina Vignes Waran	Niclas Nohr Mads Pedersen	Lauren Smith Alexandra Langley	Robin Middleton Alexandra Langley
2012	Dieter Domke	Beatriz Corrales	Zvonimir Durkinjak Nikolaj Overgaard	Gabrielle White Alexandra Langley	Marcus Ellis Gabrielle White
2013	Ramdan Misbun	Ella Diehl	Anders Skaarup Rasmussen Kim Astrup Sorensen	Lena Grebak Maria Helsbol	Jones Rafli Jansen Keshya Nurvita Hanadia
