Name	Location	Length in km (mi)	Year Completed	Line
Gaoganshan Tunnel	China ( Fujian )	km (mi)	2013	Xiangtang–Putian Railway
Rokkô	Japan ( Rokkô Mountain )	16.3 (10.1)	1972	Sanyō Shinkansen
Solan Tunnel	South Korea ( Taebaek )	km (mi)	2012	Yeongdong Line
Xiangshan Tunnel	China ( Fujian )	km (mi)	2012	Longyan–Xiamen Railway
Daiyunshan Tunnel	China ( Fujian )	km (mi)	2013	Xiangtang–Putian Railway
Guanshan Tunnel	China ( Gansu )	km (mi)	2012	Tianshui - Pingliang Railway
Furka Base	Switzerland ( Urner Alps )	15.4 (9.6)	1982	Andermatt - Brig
Haruna	Japan ( Gunma Prefecture )	15.4 (9.5)	1982	Jōetsu Shinkansen
Firenzuola	Italy ( Tuscan-Emilian Apennines )	km (mi)	2009	Bologna–Florence high-speed railway
Severomuyskiy	Russia ( Severomuysky Range )	15.3 (9.5)	2001	Baikal Amur Mainline
Gorigamine	Japan ( Akaishi Mountains )	15.2 (9.4)	1997	Nagano Shinkansen ( Hokuriku Shinkansen )
Liulangshan Tunnel	China ( Shanxi )	km (mi)	2012	Zhungeer - Shuozhou Railway
Monte Santomarco	Italy ( Sila Mountains )	15.0 (9.3)	1987	Paola - Cosenza
Gotthard Rail Tunnel	Switzerland ( Lepontine Alps )	15.0 (9.3)	1882	Gotthardbahn Luzern / Zürich - Lugano - Milano
Maotianshan Tunnel	China ( Shaanxi )	km (mi)	2011	Baotou - Xi'an Railway
Nakayama	Japan ( Nakayama Pass )	14.9 (9.2)	1982	Jōetsu Shinkansen
El Sargento #4	Peru	km (mi)	1975	Tacna - Moquegua
Mount Macdonald Tunnel	Canada ( Rogers Pass )	14.7 (9.1)	1989	Calgary - Revelstoke
Wuyishan Tunnel	China ( Fujian )	km (mi)	2013	Xiangtang–Putian Railway
Lötschberg	Switzerland ( Bernese Alps )	14.6 (9.1)	1913	Lötschbergbahn Brig - Thun (- Bern - Basel )
Romeriksporten	Norway ( Østmarka )	14.6 (9.1)	1999	Gardermobanen
Dayaoshan Tunnel ( zh )	China ( Guangdong )	km (mi)	1987	Beijing - Guangzhou Railway
Jinguashan Tunnel	China ( Fujian )	km (mi)	2013	Xiangtang–Putian Railway
Hokuriku	Japan ( Mount Kinome )	13.9 (8.6)	1962	Hokuriku Main Line
Yesanguan Tunnel	China ( Hubei )	km (mi)	2009	Yichang - Wanzhou Railway
North Tianshan Tunnel	China ( Xinjiang )	km (mi)	2009	Jinhe - Yining - Huo Erguosi Railway
Marmaray	Turkey ( Istanbul )	km (mi)	2013	Marmaray
Fréjus	France ( Mont Cenis )	13.5 (8.4)	1871	Lyon - Turin
Epping to Chatswood RailLink	Australia ( Sydney )	13.5 (8.4)	2009	Epping - Chatswood
Shin-Shimizu Tunnel	Japan ( Mount Tanigawa )	13.5 (8.4)	1967	Jōetsu Line
Hex River	South Africa ( Hex River Pass )	km (mi)	1989	Pretoria - Cape Town
Savio Rail Tunnel	Finland ( Uusimaa )	km (mi)	2008	Kerava - Vuosaari
Wonhyo Tunnel	South Korea ( Ulsan )	km (mi)	2010	Gyeongbu High Speed Railway
Dabieshan Tunnel	China ( Hubei )	km (mi)	2008	Hefei - Wuhan High Speed Railway
Schlern/Sciliar	Italy ( South Tyrol )	13.2 (8.2)	1993	Brenner Railway
Caponero-Capoverde	Italy	13.1 (8.2)	2001	Genova-Ventimiglia
Aki	Japan	13.0 (8.2)	1975	Sanyo Shinkansen , Japan
