Model	First Year	Distribution	Engine	Displacement cc	Power hp (kW)
430	1987	international	V6 Biturbo	2790	225 (165)
425i	1987	international	V6 Biturbo	2491	188 (138)
Biturbo Si	1987	Italy	V6 Biturbo	1995	220 (162)
Biturbo Si (2.5)	1987	international	V6 Biturbo	2491	188 (138)
Spyder i ('87)	1987	international	V6 Biturbo	1996	195 (143)
222	1988	Italy	V6 Biturbo	1996	220 (162)
422	1988	Italy	V6 Biturbo	1996	220 (162)
2.24V	1988	Italy (probably)	V6 Biturbo	1996	245 (180)
222 4v	1988	international	V6 Biturbo	2790	279 (205)
222 E	1988	international	V6 Biturbo	2790	225 (165)
Karif	1988	international	V6 Biturbo	2790	285 (210)
Karif (kat)	1988	international	V6 Biturbo	2790	248 (182)
Karif (kat II)	1988	international	V6 Biturbo	2790	225 (165)
Spyder i (2.5)	1988	international	V6 Biturbo	2491	188 (138)
Spyder i (2.8)	1989	international	V6 Biturbo	2790	250 (184)
Spyder i (2.8, kat)	1989	international	V6 Biturbo	2790	225 (165)
Spyder i ('90)	1989	Italy	V6 Biturbo	1996	220 (162)
222 SE	1990	international	V6 Biturbo	2790	250 (184)
222 SE (kat)	1990	international	V6 Biturbo	2790	225 (165)
4.18v	1990	Italy	V6 Biturbo	1995	220 (162)
4.24v	1990	Italy (probably)	V6 Biturbo	1996	245 (180)
Shamal	1990	international	V8 Biturbo	3217	326 (240)
2.24v II	1991	Italy	V6 Biturbo	1996	245 (180)
2.24v II (kat)	1991	international (probably)	V6 Biturbo	1996	240 (176)
222 SR	1991	international	V6 Biturbo	2790	225 (165)
4.24v II (kat)	1991	Italy (probably)	V6 Biturbo	1996	240 (176)
430 4v	1991	international	V6 Biturbo	2790	279 (205)
Racing	1991	Italy	V6 Biturbo	1996	283 (208)
Spyder III	1991	Italy	V6 Biturbo	1996	245 (180)
Spyder III (2.8, kat)	1991	international	V6 Biturbo	2790	225 (165)
Spyder III (kat)	1991	Italy	V6 Biturbo	1996	240 (176)
Barchetta Stradale	1992	Prototype	V6 Biturbo	1996	306 (225)
Barchetta Stradale 2.8	1992	Single, Conversion	V6 Biturbo	2790	284 (209)
Ghibli II (2.0)	1992	Italy	V6 Biturbo	1996	306 (225)
Ghibli II (2.8)	1993	international	V6 Biturbo	2790	284 (209)
Quattroporte (2.0)	1994	Italy	V6 Biturbo	1996	287 (211)
Quattroporte (2.8)	1994	international	V6 Biturbo	2790	284 (209)
Ghibli Cup	1995	international	V6 Biturbo	1996	330 (243)
Quattroporte Ottocilindri	1995	international	V8 Biturbo	3217	335 (246)
Ghibli Primatist	1996	international	V6 Biturbo	1996	306 (225)
3200 GT	1998	international	V8 Biturbo	3217	370 (272)
Quattroporte V6 Evoluzione	1998	international	V6 Biturbo	2790	284 (209)
Quattroporte V8 Evoluzione	1998	international	V8 Biturbo	3217	335 (246)
3200 GTA	2000	international	V8 Biturbo	3217	368 (271)
Spyder GT	2001	international	V8	4244	390 (287)
Spyder CC	2001	international	V8	4244	390 (287)
Coupé GT	2001	international	V8	4244	390 (287)
Coupé CC	2001	international	V8	4244	390 (287)
Gran Sport	2002	international	V8	4244	400 (294)
Quattroporte V	2004	international	V8	4244	400 (294)
MC12 (aka MCC)	2004	Limited	V12	5998	630 (463)
GranTurismo	2008	international	V8	4244	405
GranCabrio	2010	international	V8	4691	433
