Season	Date	Score	Winner	Venue	Competition round
1986	3 August 1986	4–0	Alianza Lima	Estadio Alejandro Villanueva	Regional Metropolitano
1986	8 October 1986	0–0	Draw	Estadio Nacional	Regional Metropolitano
1986	21 November 1986	1–2	Alianza Lima	Estadio Nacional	Decentralizado
1986	28 December 1986	5–1	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1987	3 May 1987	0–0	Draw	Estadio Nacional	Regional Metropolitano
1987	9 August 1987	1–2	Universitario	Estadio Alejandro Villanueva	Regional Metropolitano
1987	1 November 1987	0–1	Alianza Lima	Estadio Nacional	Decentralizado
1987	31 January 1988	0–0	Draw	Estadio Alejandro Villanueva	Decentralizado
1987	9 March 1988	1–0	Alianza Lima	Estadio Nacional	Liguilla
1987	26 March 1988	1–0	Universitario	Estadio Nacional	Final
1988	12 June 1988	0–1	Alianza Lima	Estadio Nacional	Regional Metropolitano
1988	27 July 1988	0–1	Universitario	Estadio Alejandro Villanueva	Regional Metropolitano
1988	11 January 1989	2–2	Draw	Estadio Nacional	Liguilla
1989	1 April 1989	1–1	Draw	Estadio Nacional	Regional I Metropolitano
1989	6 August 1989	1–0	Alianza Lima	Estadio Alejandro Villanueva	Copa Placido Galindo
1989	16 September 1989	0–2	Universitario	Estadio Alejandro Villanueva	Copa Placido Galindo Semifinals
1989	19 September 1989	0–1	Alianza Lima	Estadio Nacional	Copa Placido Galindo Semifinals
1989	26 November 1989	0–1	Universitario	Estadio Alejandro Villanueva	Regional II Metropolitano
1990	27 May 1990	1–1	Draw	Estadio Alejandro Villanueva	Regional I Metropolitano
1990	8 October 1990	2–1	Universitario	Estadio Nacional	Regional II Metropolitano
1990	2 December 1990	0–1	Alianza Lima	Estadio Nacional	Regional II Metropolitano
1990	23 January 1991	1–0	Alianza Lima	Estadio Nacional	Regional II Liguilla
1990	30 January 1991	1–0	Universitario	Estadio Nacional	Regional II play-off
1991	28 April 1991	0–0	Draw	Estadio Alejandro Villanueva	Regional I Metropolitano
1991	22 September 1991	1–0	Universitario	Estadio Nacional	Regional II Metropolitano
1991	31 October 1991	0–0	Draw	Estadio Nacional	Regional II Metropolitano
1992	17 May 1992	1–0	Universitario	Estadio Nacional	Decentralizado
1992	12 September 1992	0–2	Universitario	Estadio Alejandro Villanueva	Decentralizado
1993	3 April 1993	0–0	Draw	Estadio Nacional	Decentralizado
1993	10 October 1993	0–1	Universitario	Estadio Alejandro Villanueva	Decentralizado
1994	21 May 1994	1–0	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1994	8 October 1994	1–1	Draw	Estadio Nacional	Decentralizado
1994	14 December 1994	2–1	Alianza Lima	Estadio Nacional	Liguilla
1995	20 May 1995	6–3	Alianza Lima	Estadio Alejandro Villanueva	Decentralizado
1995	1 October 1995	0–1	Alianza Lima	Estadio Nacional	Decentralizado
1995	29 October 1995	0–0	Draw	Estadio Alejandro Villanueva	Liguilla
1995	3 December 1995	0–1	Alianza Lima	Estadio Nacional	Liguilla
1995	27 December 1995	1–0	Universitario	Estadio Nacional	Descentralizado Runner-up play-off
1996	29 June 1996	1–1	Draw	Estadio Nacional	Descentralizado
1996	19 October 1996	0–0	Draw	Estadio Alejandro Villanueva	Descentralizado
1996	1 December 1996	0–0	Draw	Estadio Nacional	Liguilla
1997	6 April 1997	0–1	Alianza Lima	Estadio Nacional	Torneo Apertura
1997	4 October 1997	0–0	Draw	Estadio Alejandro Villanueva	Torneo Clausura
1998	29 March 1998	0–0	Draw	Estadio Alejandro Villanueva	Torneo Apertura
1998	31 May 1998	2–1	Universitario	Estadio Nacional	Torneo Apertura
1998	6 September 1998	1–0	Alianza Lima	Estadio Alejandro Villanueva	Torneo Clausura
1998	21 November 1998	0–3	Alianza Lima	Estadio Nacional	Torneo Clausura
1999	28 March 1999	2–1	Universitario	Estadio Nacional	Torneo Apertura
1999	29 May 1999	0–1	Universitario	Estadio Alejandro Villanueva	Torneo Apertura
1999	11 September 1999	0–0	Draw	Estadio Alejandro Villanueva	Torneo Clausura
1999	21 November 1999	2–3	Alianza Lima	Estadio Nacional	Torneo Clausura
1999	15 December 1999	3–0	Universitario	Estadio Nacional	Descentralizado Finals
1999	20 December 1999	1–0	Alianza Lima	Estadio Alejandro Villanueva	Descentralizado Finals
2000	5 March 2000	0–2	Universitario	Estadio Alejandro Villanueva	Torneo Apertura
2000	20 May 2000	2–0	Universitario	Estadio Nacional	Torneo Apertura
2000	19 August 2000	0–1	Universitario	Estadio Alejandro Villanueva	Torneo Clausura
2000	1 November 2000	4–1	Universitario	Estadio Nacional	Torneo Clausura
2001	29 March 2001	2–2	Draw	Estadio Nacional	Torneo Apertura
2001	27 May 2001	1–0	Alianza Lima	Estadio Alejandro Villanueva	Torneo Apertura
2001	30 August 2001	2–1	Universitario	Estadio Nacional	Torneo Clausura
2001	11 November 2001	1–1	Draw	Estadio Alejandro Villanueva	Torneo Clausura
2002	19 March 2002	0–1	Alianza Lima	Estadio Nacional	Torneo Apertura
2002	19 May 2002	1–0	Alianza Lima	Estadio Alejandro Villanueva	Torneo Apertura
2002	26 June 2002	1–0	Universitario	Estadio Monumental	Torneo Apertura play-off
2002	7 July 2002	0–0	Draw	Estadio Mansiche	Torneo Apertura play-off
2002	4 August 2002	1–2	Alianza Lima	Estadio Nacional	Torneo Clausura
2002	30 October 2002	3–2	Alianza Lima	Estadi Alejandro Villanueva	Torneo Clausura
2003	9 March 2003	1–0	Alianza Lima	Estadio Alejandro Villanueva	Torneo Apertura
2003	18 May 2003	2–4	Alianza Lima	Estadio Nacional	Torneo Apertura
2003	10 August 2003	1–1	Draw	Estadio Alejandro Villanueva	Torneo Clausura
2003	26 October 2003	1–2	Alianza Lima	Estadio Nacional	Torneo Clausura
2004	2 May 2004	0–1	Alianza Lima	Estadio Nacional	Torneo Apertura
2004	14 August 2004	1–0	Alianza Lima	Estadio Alejandro Villanueva	Torneo Apertura
2004	31 October 2004	0–0	Draw	Estadio Nacional	Torneo Clausura
2004	22 December 2004	0–2	Universitario	Estadio Alejandro Villanueva	Torneo Clausura
2005	20 March 2005	2–2	Draw	Estadio Nacional	Torneo Apertura
2005	25 July 2005	0–0	Draw	Estadio Alejandro Villanueva	Torneo Apertura
2005	18 September 2005	0–0	Draw	Estadio Alejandro Villanueva	Torneo Clausura
2005	27 November 2005	2–1	Universitario	Estadio Nacional	Torneo Clausura
2006	25 March 2006	1–1	Draw	Estadio Alejandro Villanueva	Torneo Apertura
2006	11 June 2006	1–1	Draw	Estadio Nacional	Torneo Apertura
2006	20 August 2006	1–0	Alianza Lima	Estadio Alejandro Villanueva	Torneo Clausura
2006	5 November 2006	3–2	Universitario	Estadio Nacional	Torneo Clausura
2007	3 March 2007	1–2	Alianza Lima	Estadio Nacional	Torneo Apertura
2007	6 May 2007	1–2	Universitario	Estadio Alejandro Villanueva	Torneo Apertura
2007	7 November 2007	1–3	Alianza Lima	Estadio Manuel R. Sanchez	Torneo Clausura
2007	25 November 2007	1–1	Draw	Estadio Alejandro Villanueva	Torneo Clausura
2008	30 April 2008	2–1	Universitario	Estadio Nacional	Torneo Apertura
2008	6 July 2008	1–1	Draw	Estadio Alejandro Villanueva	Torneo Apertura
2008	14 September 2008	1–2	Alianza Lima	Estadio Monumental	Torneo Clausura
2008	29 November 2008	1–2	Universitario	Estadio Alejandro Villanueva	Torneo Clausura
2009	22 March 2009	0–1	Universitario	Estadio Alejandro Villanueva	Torneo Descentralizado
2009	12 July 2009	2–1	Universitario	Estadio Monumental	Torneo Descentralizado
2009	8 December 2009	0–1	Universitario	Estadio Alejandro Villanueva	Torneo Descentralizado Finals
2009	13 December 2009	1–0	Universitario	Estadio Monumental	Torneo Descentralizado Finals
2010	6 April 2010	0–0	Draw	Estadio Alejandro Villanueva	Torneo Descentralizado
2010	10 July 2010	0–1	Alianza Lima	Estadio Monumental	Torneo Descentralizado
2010	25 September 2010	0–0	Draw	Estadio Monumental	Liguilla Group A
2010	10 November 2010	2–2	Draw	Estadio Alejandro Villanueva	Liguilla Group A
2011	16 April 2011	0–0	Draw	Estadio Alejandro Villanueva	Torneo Descentralizado
2011	24 September 2011	2–1	Universitario	Estadio Monumental	Torneo Descentralizado
2012	15 April 2012	1–0	Alianza Lima	Estadio Nacional	Torneo Descentralizado
2012	14 July 2012	2–1	Universitario	Estadio Nacional	Torneo Descentralizado
2013	15 March 2013	1–0	Alianza Lima	Estadio Nacional	Torneo Descentralizado
2013	23 June 2013	1–0	Universitario	Estadio Monumental	Torneo Descentralizado
