Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Winner	21-Jun-2004	Périgueux ,FRA	Clay	Natalia Gussoni	Erica Biro Sarah Riske	6-1 6-2
Winner	04-Oct-2004	Ciudad Juárez ,Mex	Clay	Carla Tiene	Andrea Hlavackova Jana Hlavackova	6-4 6-0
Runner–up	1 May, 2005	Lafayette , United States	Clay	Marie-Ève Pelletier	Beti Sekulovski Cindy Watson	6–4, 4–6, 3–6
Runner-up	8 May 2005	Raleigh , United States	Clay	Stéphanie Dubois	Ashley Harkleroad Lindsay Lee-Waters	2–6, 6–0, 3–6
Runner–up	12 June 2005	Marseille , France	Clay	Marie-Ève Pelletier	Līga Dekmeijere Caroline Dhenin	2–6, 6–1, 2–6
Runner-up	18-Jul-2005	Campos do Jordão , Brazil	Hard	Frederica Piedade	Leticia Sobral Maria Jose Argeri	0-6,2-6
Runner-up	27-Sep-2005	Ashland, Oregon ,USA	Hard	Ahsha Rolle	Teryn Ashley Amy Frazier	1-6,4-6
Runner-up	15-Nov-2005	Tucson, Arizona , United States	Hard	Melinda Czink	Victoria Azarenka Tatiana Poutchek	6-4,6-7 1-6
Winner	31-Jan-2006	Rockford, Illinois , USA	Hard	María Emilia Salerni	Michaela Pastikova Abigail Spears	0-6 6-4 6-2
Runner-up	28-Feb-2006	Las Vegas, Nevada , United States	Hard	Tatiana Perebiynis	Casey Dellacqua Nicole Pratt	W/O
Runner-up	02-May-2006	Charlottesville, Virginia , United States	Clay	Lilia Osterloh	Marie-Ève Pelletier Sunitha Rao	7–6(8–6), 2–6, 3–6
Runner–up	14 May 2006	I. Harbour Beach , United States	Clay	Marie-Ève Pelletier	Edina Gallovits Jessica Kirkland	3–6, 2–6
Runner-up	31-Oct-2006	Mexico City MEX	Hard	Chanelle Scheepers	Maria Jose Argeri Leticia Sobral	3-6,5-7
Winner	21-Nov-2006	Puebla , MEX	Hard	Hana Šromová	Ivana Abramovic Maria Abramovic	6-4 6-3
Winner	13-Mar-2007	Mérida, Yucatán ,MEX	Hard	Maria Vanina Garcia Sokol	Chanelle Scheepers Robin Stephenson	6-3 6-2
Winner	21-May-2007	Los Mochis ,MEX	Hard	Jennifer Elie	Danielle Brown Emily Webley-Smith	6-3 6-0
Winner	21-May-2007	Monterrey ,MEX	Hard	Courtney Nagle	Lorena Ivette Arias Rodriguez Erika Clarke	6-4 6-4
Winner	24-Sep-2007	Ashland, Oregon ,United States	Hard	Eva Hrdinová	Maret Ani Sandra Kloesel	7-6 (7) 6-2
Runner-up	05-Nov-2007	Toronto	Hard	Christina Wheeler	Gabriela Dabrowski Sharon Fichman	3-6,0-6
Runner-up	14-Jan-2008	Surprise, Arizona ,USA	Hard	Betina Jozami	Carly Gullickson Shenay Perry	4-6,5-7
Winner	27 January 2008	Waikoloa Village , Hawaii, United States	Hard	Betina Jozami	Angela Haynes Mashona Washington	7–5, 6–4
Winner	06-Oct-2008	Palm Beach Gardens, Florida ,USA	Clay	Michaela Pastikova	Ekaterina Afinogenova Lauren Albanese	3-6 6-3 10-5
Runner–up	27 April 2008	Dothan , United States	Clay	Stéphanie Dubois	Tetiana Luzhanska Michaela Paštiková	1–6, 3–6
Runner-up	30–May–2008	Galatina	Clay	María Irigoyen	Melanie Klaffner Jessica Moore	6–3, 1–6, [6–10]
Winners	01-Sep-2008	Barueri ,BRA	Hard	Carla Tiene	Ana Clara Duarte Fernanda Hermenegildo	6-2 6-3
Winner	06-Oct-2008	San Luis Potosi ,MEX	Hard	Frederica Piedade	Soledad Esperon Florencia Molinero	5-7 6-1 10-8
Runner-up	23-Mar-2009	Metepec ,MEX	Hard	Jennifer Elie	Dominika Dieskova Katerina Kramperova	1-6,6-7
Runner-up	13-Apr-2009	Buenos Aires ,ARG	Clay	Carla Tiene	Mailen Auroux Veronica Spiegel	2-6,2-6
Runner-up	20-Apr-2009	Buenos Aires ,ARG	Clay	Carla Tiene	Luciana Sarmenti Emilia Yorio	6-7,4-6
Winners	27-Apr-2009	Buenos Aires ,ARG	Clay	Carla Tiene	Karen Castiblanco Andrea Koch-Benvenuto	6-3 6-3
Runner-up	08-Jun-2009	El Paso ,USA	Hard	Tetiana Luzhanska	Christina Fusano Shikha Uberoi	3-6 5-7
Winner	15-Jun-2009	Belém ,BRAZIL	Hard	Carla Tiene	Ana Clara Duarte Megan Moulton-Levy	7-6 (7) 7-5
Winner	29-Jun-2009	Baston ,USA	Hard	Ahsha Rolle	Mallory Cecil Megan Moulton-Levy	6-1 4-6 10-6
Runner-up	18 July 2009	Bogotá , Colombia	Clay	Nicole Clerico	Karen Castiblanco Paula Zabala	6–1 1–6 [7–10]
Runner-up	23-Nov-2009	Puebla , MEX	Hard	Florencia Molinero	Amanda Fink Elizabeth Lumpkin	4-6,7-6 8-10
Winners	30-Nov-2009	Poza Rica , MEX	Clay	Paula Zabala	Alessia Camplone Viktoryia Kisialeva	6-2 6-0
Runner-up	18-Jan-2010	Lutz , USA	Clay	Florencia Molinero	Aurelie Vedy Mashona Washington	3-6,3-6
Runner-up	08-Mar-2010	Metepec , Brasıl	Clay	Daniela Munoz Gallegos	Amanda Fink Elizabeth Lumpkin	3-6,7-5, 8-10
Winner	10 April 2010	Jackson , USA	Clay	Ana Clara Duarte	María Irigoyen Florencia Molinero	6–4 3–6 [10–5]
Winner	10 May 2010	Rio de janerio , BRA	Clay	Florencia Molinero	Mailen Auroux Fernanda Hermenegildo	6-2 6-4
Winner	20 May 2010	Izmir , TUR	Hard	Tamira Paszek	Çağla Büyükakçay Pemra Ozgen	6-1 6-2
Runner-up	13-Sep-2010	Itapema , Brasıl	Clay	Natalia Cheng	Monique Albuquerque Roxane Vaisemberg	3-6,3-6
Runner-up	20-Sep-2010	Mogi das Cruzes , Brasıl	Clay	Natasha Lotuffo	Flavia Guimaraes Bueno Beatriz Haddad Maia	1-6,3-6
Winners	11-Oct-2010	Lima , Peru	Clay	Isabela Miro	Karen Castiblanco Andrea Koch-Benvenuto	6-4 6-4
Winner	18 October 2010	Rock Hill , USA	Clay	Mariana Duque	Sanaz Marand Caitlin Whoriskey	6–1, 4–6, [10–4]
Winner	30 October, 2010	Bayamón , Puerto Rico	Hard	Marie-Ève Pelletier	María Irigoyen Florencia Molinero	7–6 (7–5) , 6–4
Winner	15 Nov 2010	Niteroi , Brazil	Clay	Ana Clara Duarte	Monique Albuquerque Fernanda Hermenegildo	6–4 6–4
Winner	4 December 2010	Rio de Janeiro , Brazil	Clay	Ana Clara Duarte	Alizé Lim Paula Ormaechea	Default
Winners	18 March 2011	Santiago , Chile	Clay	Paula Ormaechea	Barbara Rush Carolina Zeballos Duarte	6–3, 7–6 (7–2)
Runner-up	13-Jun-2011	Bethany Beach , Usa	Clay	Angelina Gabueva	Alexandra Hirsch Lena Litvak	5-7, 6-3, 4-6
Winner	27 Jun 2011	São José dos Campos , Brazil	Clay	Carla Forte	Monique Albuquerque Fernanda Faria	6-4 0-6 6-4
Runner-up	30 July 2011	Campos do Jordão , Brazil	Hard	Roxane Vaisemberg	Fernanda Hermenegildo Teliana Pereira	6–3 6–7(5) [9–11]
Winner	08 Aug 2011	São Paulo , Brazil	Clay	Fernanda Hermenegildo	Eduarda Piai Karina Venditti	7-6 (8) 4-6 6-4
Winner	5 September 2011	Alice Springs , Australia	Hard	Samantha Murray	Brooke Rischbieth Storm Sanders	3–6, 7–5, [10–3]
Runner-up	12 September 2011	Cairns , Australia	Hard	Samantha Murray	Ayu Fani Damayanti Jessy Rompies	3–6, 3–6
Winner	19 September 2011	Darwin , Australia	Hard	Samantha Murray	Stephanie Bengson Tyra Calderwood	6–4, 6–2
Winner	10 Oct 2011	Sao Paulo , Brazil	Clay	Gabriela Ce ,	Flavia Dechandt Araujo Paula Cristina Goncalves	6-2 6-4
Winner	10 Oct 2011	Sao Paulo , Brazil	Clay	Karina Venditti	Gabriela Ce Cecilia Costa Melgar	6-2 6-4
Runner-up	17-Oct-2011	Gıoanıa , Brazil	Clay	Gabriela Ce	Jazmin Britos Carla Lucero	6–0, 4–6,4-6
Runner-up	30 Apr 2012	Indian Harbour Beach, Florida , USA	Clay	Jessica Moore	Marie-Eve Pelletier Alyona Sotnikova	6-7 (6) 6-3 10-8
Winner	16 Jul 2012	Campos do Jordão , Brazil	Hard	Monique Adamczak	Paula Cristina Goncalves Roxane Vaisemberg	4-6 6-3 10-3
Winner	10 September 2012	São José dos Campos 2, Brazil	Clay	Laura Pigossi	Paula Feitosa Nathalia Rossi	6–0, 6–3
Winner	24 Sep 2012	Amelia Island , United States	Clay	Maria Fernanda Alvarez Teran	Elizabeth Ferris Anastasia Kharchenko	6-2 6-2
Runner-up	29 Oct 2012	Buenos Aires , ARG	Clay	Maria Fernanda Alvarez Teran	Elena Bogdan Raluca Olaru	6-1 2-6 7-10
Winner	21 Jan 2013	Lima , PER	Clay	Vanesa Furlanetto	Patricia Iveth Ku Flores Katherine Miranda Chang	6-1 6-4
Runner-up	4 February 2013	Midland , United States	Hard (i)	Samantha Murray	Melinda Czink Mirjana Lučić-Baroni	7–5, 4–6, [7–10]
Winner	08-Apr-2013	Poza Rica , MEX	Hard	Maria Fernanda Alvarez Teran	Stephanie Dubois Olga Savchuk	6-2 6-3
Runner-up	30 July 2013	Campos do Jordão , Brazil	Hard	Maria Fernanda Alvarez Teran	Paula Cristina Goncalves María Irigoyen	5-7 3-6
