Location	Londonborough	Post town	Postcodedistrict	Dialcode
Kentish Town	Camden	LONDON	NW5	020
Kenton	Brent and Harrow	HARROW	HA3	020
Keston	Bromley	KESTON	BR2	01698
Kew	Richmond upon Thames	RICHMOND	TW9	020
Kidbrooke	Greenwich	LONDON	SE3	020
Kilburn	Brent, Camden	LONDON	NW6	020
King's Cross	Camden and Islington	LONDON	WC1	020
Kingsbury	Brent	LONDON	NW9	020
Kingston Vale	Kingston upon Thames	LONDON	SW15	020
Kingston upon Thames	Kingston upon Thames	KINGSTON UPON THAMES	KT1, KT2	020
Knightsbridge	Westminster	LONDON	SW1	020
Lambeth	Lambeth	LONDON	SE1	020
Lamorbey	Bexley	SIDCUP	DA15	020
Lampton	Hounslow	HOUNSLOW	TW4	020
Lea Bridge	Hackney	LONDON	E10	020
Leamouth	Tower Hamlets	LONDON	E14	020
Leaves Green	Bromley	KESTON	BR2	01689
Lee	Lewisham	LONDON	SE12	020
Lewisham	Lewisham	LONDON	SE13	020
Leyton	Waltham Forest	LONDON	E10, E15	020
Leytonstone	Waltham Forest	LONDON	E11	020
Limehouse	Tower Hamlets	LONDON	E14	020
Lisson Grove	Westminster	LONDON	NW8	020
Little Ilford	Newham	LONDON	E12	020
Locksbottom	Bromley	ORPINGTON	BR6	01689
Longford	Hillingdon	WEST DRAYTON	UB7	01753
Longlands	Bexley	LONDON, SIDCUP	SE9, DA14, DA15	020
Lower Clapton	Hackney	LONDON	E5	020
Lower Morden	Merton	MORDEN	SM4	020
Loxford	Redbridge	ILFORD	IG1	020
Maida Vale	Westminster	LONDON	W9	020
Malden Rushett	Kingston upon Thames	CHESSINGTON	KT9	020
Manor House	Hackney	LONDON	N4	020
Manor Park	Newham	LONDON	E12	020
Marks Gate	Barking and Dagenham	ROMFORD	RM6	020
Maryland	Newham	LONDON	E15	020
Marylebone (also St Marylebone)	Westminster	LONDON	W1	020
Mayfair	Westminster	LONDON	W1	020
Maze Hill	Greenwich	LONDON	SE10	020
Merton Park	Merton	LONDON	SW19	020
Mile End	Tower Hamlets	LONDON	E1	020
Mill Hill	Barnet	LONDON	NW7	020
Millbank	Westminster	LONDON	SW1	020
Millwall	Tower Hamlets	LONDON	E14	020
Mitcham	Merton	MITCHAM	CR4	020
Monken Hadley	Barnet	BARNET	EN5	020
Morden	Merton	MORDEN	SM4	020
Morden Park	Merton	MORDEN	SM4	020
Mortlake	Richmond upon Thames	LONDON	SW14	020
Motspur Park	Kingston upon Thames	NEW MALDEN	KT3	020
Mottingham	Greenwich	LONDON	SE9	020
Muswell Hill	Haringey	LONDON	N10	020
Nag's Head	Islington	LONDON	N7	020
Neasden	Brent	LONDON	NW2, NW10	020
New Addington	Croydon	CROYDON	CR0	020
New Barnet	Barnet	BARNET	EN4, EN5	020
New Cross	Lewisham	LONDON	SE14	020
New Eltham	Greenwich	LONDON	SE9	020
New Malden	Kingston upon Thames	NEW MALDEN	KT3	020
New Southgate	Barnet	LONDON	N11	020
Newbury Park	Redbridge	ILFORD	IG2	020
Newington	Southwark	LONDON	SE1, SE17	020
Nine Elms	Wandsworth	LONDON	SW8	020
Noak Hill	Havering	ROMFORD	RM3, RM4	01708
Norbiton	Kingston upon Thames	KINGSTON UPON THAMES	KT1, KT2	020
Norbury	Croydon	LONDON	SW16	020
North End	Bexley	ERITH	DA8	01322
North Finchley	Barnet	LONDON	N12	020
North Harrow	Harrow	HARROW	HA1, HA2	020
North Kensington	Kensington and Chelsea	LONDON	W10, W11	020
North Ockendon	Havering	UPMINSTER	RM14	01708
North Sheen	Richmond upon Thames	RICHMOND	TW9	020
North Woolwich	Newham	LONDON	E16	020
Northolt	Ealing	NORTHOLT	UB5	020
Northumberland Heath	Bexley	ERITH	DA8	01322
Northwood	Hillingdon	NORTHWOOD	HA6	01923
Norwood Green	Ealing	SOUTHALL	UB2	020
Notting Hill	Kensington and Chelsea	LONDON	W11	020
Nunhead	Southwark	LONDON	SE15	020
Oakleigh Park	Barnet	LONDON	N20	020
Old Coulsdon	Croydon	COULSDON	CR5	01737
Old Ford	Tower Hamlets	LONDON	E3	020
Old Malden	Kingston upon Thames	WORCESTER PARK	KT4	020
Old Oak Common	Hammersmith and Fulham	LONDON	NW10	020
Orpington	Bromley	ORPINGTON	BR5, BR6	01689
Osidge	Barnet	LONDON	N14	020
Osterley	Hounslow	ISLEWORTH	TW7	020
Paddington	Westminster	LONDON	W2	020
Palmers Green	Enfield	LONDON	N13	020
Park Royal	Brent and Ealing	LONDON	NW10	020
Parsons Green	Hammersmith and Fulham	LONDON	SW6	020
Peckham	Southwark	LONDON	SE15	020
Penge	Bromley	LONDON	SE20	020
Pentonville	Islington	LONDON	N1	020
Perivale	Ealing	GREENFORD	UB6	020
Petersham	Richmond upon Thames	RICHMOND	TW10	020
Petts Wood	Bromley	ORPINGTON	BR5	01689
Pimlico	Westminster	LONDON	SW1	020
Pinner	Harrow	PINNER	HA5	020
Plaistow	Newham	LONDON	E13	020
Plaistow	Bromley	BROMLEY	BR1	020
Plumstead	Greenwich	LONDON	SE18	020
Ponders End	Enfield	ENFIELD	EN1, EN3	020
Poplar	Tower Hamlets	LONDON	E14	020
Pratt's Bottom	Bromley	ORPINGTON	BR6	01689
Preston	Brent	WEMBLEY	HA9	020
Primrose Hill	Camden	LONDON	NW1, NW3, NW8	020
Purley	Croydon	PURLEY	CR8	020
Putney	Wandsworth	LONDON	SW15	020
Queen's Park	Brent	LONDON	NW6	020
Queensbury	Harrow and Brent	HARROW, STANMORE, EDGWARE, LONDON	HA3, HA7, HA8	020
Rainham	Havering	RAINHAM	RM13	01708
Ratcliff	Tower Hamlets	LONDON	E1	020
Rayners Lane	Harrow	PINNER	HA5	020
Raynes Park	Merton	LONDON	SW20	020
Redbridge	Redbridge	ILFORD	IG4	020
Richmond	Richmond upon Thames	RICHMOND	TW9, TW10	020
Riddlesdown	Croydon	PURLEY	CR8	020
Roehampton	Wandsworth	LONDON	SW15	020
Romford	Havering	ROMFORD	RM1	01708
Rotherhithe	Southwark	LONDON	SE16	020
Ruislip	Hillingdon	RUISLIP	HA4	01895
Rush Green	Barking and Dagenham	ROMFORD	RM7	020
Ruxley	Bexley, Bromley	SIDCUP, ORPINGTON	DA14, BR5	020, 01689
Sanderstead	Croydon	SOUTH CROYDON	CR2	020
Sands End	Hammersmith and Fulham	LONDON	SW6	020
Selhurst	Croydon	LONDON	SE25	020
Selsdon	Croydon	SOUTH CROYDON	CR2	020
Seven Kings	Redbridge	ILFORD	IG3	020
Seven Sisters	Haringey	LONDON	N15	020
Shacklewell	Hackney	LONDON	E8, N16	020
Shadwell	Tower Hamlets	LONDON	E1	020
Shepherd's Bush	Hammersmith and Fulham	LONDON	W12	020
Shirley	Croydon	CROYDON	CR0	020
Shooter's Hill	Greenwich	LONDON	SE18	020
Shoreditch	Hackney	LONDON	N1	020
Sidcup	Bexley	SIDCUP	DA14, DA15	020
Silvertown	Newham	LONDON	E16	020
Sipson	Hillingdon	WEST DRAYTON	UB7	020
Slade Green	Bexley	ERITH	DA8	01322
Snaresbrook	Redbridge, Waltham Forest	LONDON	E11	020
Soho	Westminster	LONDON	W1	020
Somerstown	Camden	LONDON	NW1	020
South Croydon	Croydon	SOUTH CROYDON	CR2	020
South Hackney	Hackney	LONDON	E9	020
South Harrow	Harrow	HARROW	HA2	020
South Hornchurch	Havering	RAINHAM	RM13	01708
South Kensington	Kensington and Chelsea	LONDON	SW7, SW3, SW5	020
South Norwood	Croydon	LONDON	SE25	020
South Ruislip	Hillingdon	RUISLIP	HA4	01895
South Wimbledon	Merton	LONDON	SW19	020
South Woodford	Redbridge	LONDON	E18	020
South Tottenham	Haringey	LONDON	N15, N17	020
Southall	Ealing	SOUTHALL	UB1, UB2	020
Southborough	Bromley	BROMLEY	BR2	020
Southfields	Wandsworth	LONDON	SW18, SW19	020
Southgate	Enfield	LONDON	N14	020
Spitalfields	Tower Hamlets	LONDON	E1	020
St Helier	Merton	MORDEN	SM4	020
St James's	Westminster	LONDON	SW1	020
St Margarets	Richmond upon Thames	TWICKENHAM	TW1	020
St Giles	Camden	LONDON	WC2	020
St Johns	Lewisham	LONDON	SE4	020
St John's Wood	Westminster	LONDON	NW8	020
St Luke's	Islington	LONDON	EC1	020
St Mary Cray	Bromley	ORPINGTON	BR5	01689
St Pancras	Camden	LONDON	WC1	020
St Paul's Cray	Bromley	ORPINGTON	BR5	01689
Stamford Hill	Hackney	LONDON	N15, N16	020
Stanmore	Harrow	STANMORE	HA7	020
Stepney	Tower Hamlets	LONDON	E1	020
Stockwell	Lambeth	LONDON	SW8, SW9	020
Stoke Newington	Hackney	LONDON	N16	020
Stratford	Newham	LONDON	E15	020
Strawberry Hill	Richmond upon Thames	TWICKENHAM	TW1, TW2	020
Streatham	Lambeth	LONDON	SW16	020
Stroud Green	Haringey	LONDON	N4	020
Sudbury	Brent, Harrow	HARROW, WEMBLEY	HA0, HA1	020
Surbiton	Kingston upon Thames	SURBITON	KT6	020
Surrey Quays	Southwark	LONDON	SE16	020
Sutton	Sutton	SUTTON	SM1	020
Swiss Cottage	Camden	LONDON	NW3	020
Sydenham (also Lower Sydenham, Upper Sydenham)	Lewisham	LONDON	SE26	020
Sydenham Hill	Lewisham, Southwark	LONDON	SE21, SE26	020
Teddington	Richmond upon Thames	TEDDINGTON	TW11	020
Temple	City, Westminster	LONDON	EC4, WC2	020
Thamesmead	Bexley, Greenwich	LONDON, ERITH	SE28, SE2, DA18	020
Thornton Heath	Croydon	THORNTON HEATH	CR7	020
Tokyngton	Brent	WEMBLEY	HA9	020
Tolworth	Kingston upon Thames	SURBITON	KT5, KT6	020
Tooting	Wandsworth	LONDON	SW17	020
Tooting Bec	Wandsworth	LONDON	SW17	020
Tottenham	Haringey	LONDON	N15, N17	020
Tottenham Green	Haringey	LONDON	N15	020
Tottenham Hale	Haringey	LONDON	N15, N17	020
Totteridge	Barnet	LONDON	N20	020
Tower Hill	Tower Hamlets	LONDON	EC3	020
Tufnell Park	Islington	LONDON	N7, N19	020
Tulse Hill	Lambeth	LONDON	SE24, SE27	020
Turnpike Lane	Haringey	LONDON	N8	020
Twickenham	Richmond upon Thames	TWICKENHAM	TW1, TW2	020
Upminster	Havering	UPMINSTER	RM14	01708
Upminster Bridge	Havering	HORNCHURCH	RM12	01708
Upper Clapton	Hackney	LONDON	E5	020
Upper Norwood	Croydon	LONDON	SE19	020
Upper Walthamstow	Waltham Forest	LONDON	E17	020
Upton	Bexley	BEXLEYHEATH	DA6	020
Upton Park	Newham	LONDON	E6, E13	020
Uxbridge	Hillingdon	UXBRIDGE	UB8	01895
Vauxhall	Lambeth	LONDON	SW8	020
Waddon	Croydon	CROYDON	CR0	020
Wallington	Sutton	WALLINGTON	SM6	020
Walthamstow	Waltham Forest	LONDON	E17	020
Walthamstow Village	Waltham Forest	LONDON	E17	020
Walworth	Southwark	LONDON	SE17	020
Wandsworth	Wandsworth	LONDON	SW18	020
Wanstead	Redbridge	LONDON	E11	020
Wapping	Tower Hamlets	LONDON	E1	020
Wealdstone	Harrow	HARROW	HA3	020
Welling	Bexley	WELLING	DA16	020
Wembley	Brent	WEMBLEY	HA0, HA9	020
Wembley Park	Brent	WEMBLEY	HA9	020
Wennington	Havering	RAINHAM	RM13	01708
West Brompton	Kensington and Chelsea	LONDON	SW10	020
West Drayton	Hillingdon	WEST DRAYTON	UB7	01895
West Ealing	Ealing	LONDON	W13	020
West Green	Haringey	LONDON	N15	020
West Ham	Newham	LONDON	E13, E15	020
West Hampstead	Camden	LONDON	NW6	020
West Harrow	Harrow	HARROW	HA2	020
West Heath	Bexley	LONDON	SE2	020
West Hendon	Barnet	LONDON	NW	020
West Kensington	Hammersmith and Fulham	LONDON	W14	020
West Norwood	Lambeth	LONDON	SE27	020
West Wickham	Bromley	WEST WICKHAM	BR4	020
Westcombe Park	Greenwich	LONDON	SE3	020
Westminster	Westminster	LONDON	SW1	020
Whetstone	Barnet	LONDON	N20	020
White City	Hammersmith and Fulham	LONDON	W12	020
Whitechapel	Tower Hamlets	LONDON	E1	020
Whitton	Richmond upon Thames	TWICKENHAM	TW2	020
Willesden	Brent	LONDON	NW10	020
Wimbledon	Merton	LONDON	SW19, SW20	020
Winchmore Hill	Enfield	LONDON	N21	020
Wood Green	Haringey	LONDON	N22	020
Woodford	Redbridge	LONDON	E18	020
Woodford Green	Redbridge	WOODFORD GREEN	IG8	020
Woodlands	Hounslow	HOUNSLOW	TW7	020
Woodside	Croydon	CROYDON	CR0	020
Woodside Park	Barnet	LONDON	N12	020
Woolwich	Greenwich	LONDON	SE18	020
Worcester Park	Sutton	WORCESTER PARK	KT4	020
Wormwood Scrubs	Hammersmith and Fulham	LONDON	W12	020
Yeading	Hillingdon	HAYES	UB4	020
Yiewsley	Hillingdon	WEST DRAYTON	UB7	020
