Rider	Date	Place	Race	Event	Machine
Toshio Fujii	26 August 1966	Cruickshanks Corner	1966 Isle of Man TT	Practice	125cc Kawasaki
Brian Duffy	28 August 1966	Mountain Box	1966 Isle of Man TT	Lightweight TT	250cc Yamaha
Alfred E Shaw	10 June 1967	Mountain Box	1967 Isle of Man TT	Practice	500cc Norton
Geoffery Proctor	29 August 1967	Rhencullen Hill	1967 Manx Grand Prix	Practice	248cc Cotton
Kenneth E. Herbert	1 September 1967	Doran's Bend	1967 Manx Grand Prix	Practice	499cc Norton
Ian D.Veitch	10 June 1968	Ballagarey Corner	1968 Isle of Man TT	Lightweight TT	Kawasaki
Peter Ray	3 September 1968	Ballaugh Bridge	1968 Manx Grand Prix	Lightweight	Aermacchi
Roger Perrier	3 September 1968	Kirk Michael	1968 Manx Grand Prix	Junior	Norton
Arthur Lavington	6 June 1969	Alpine Cottage	1969 Isle of Man TT	Practice	350cc Velocette
Gordon V.Taylor	25 August 1969	Alpine Cottage	1969 Manx Grand Prix	Practice	325cc Kawasaki
Michael L. Bennett	26 August 1969	Glen Helen	1969 Manx Grand Prix	Practice	500cc Norton
Iain Sidey	28 August 1969	Quarterbridge	1969 Manx Grand Prix	Practice	Norton
Les Iles	1 June 1970	Kate's Cottage	1970 Isle of Man TT	Practice	125cc Bultaco
Michael Collins	3 June 1970	Verandah	1970 Isle of Man TT	Practice	496cc Seeley
Denis Blower	3 June 1970	Mountain Box	1970 Isle of Man TT	Practice	499cc BSA Sidecar
Santiago Herrero	8 June 1970	13th Milestone	1970 Isle of Man TT	Lightweight TT	250cc Ossa
John Wetherall	12 June 1970	Garderner's Lane/Glen Aulydn	1970 Isle of Man TT	Senior TT	499cc Norton
Brian Steenson	12 June 1970	Mountain Box	1970 Isle of Man TT	Senior TT	498cc Seeley
George Collis	1 September 1970	Handley's Corner	1970 Manx Grand Prix	Lightweight	Yamaha
Brian Finch	9 June 1971	Ballacraine	1971 Isle of Man TT	500cc Production Race	500cc Suzuki
Maurice A.Jeffery	12 June 1971	Rhencullen	1971 Isle of Man TT	Senior TT	499cc Manx Norton
Gilberto Parlotti	9 June 1972	Verandah	1972 Isle of Man TT	Ultra-Lightweight TT	125cc Morbidelli
Chris M. Clarke	28 August 1972	Glen Helen	1972 Manx Grand Prix	Practice	250cc Yamaha
John L. Clarke	2 June 1973	Union Mills	1973 Isle of Man TT	250cc Production TT	Suzuki T20 Super Six
Eric R. Piner	5 September 1973	Kirk Michael	1973 Manx Grand Prix	Lightweight	250cc Yamaha
Peter L. Hardy	27 May 1974	Laurel Bank	1974 Isle of Man TT	Practice– Sidecar	750cc HTS– Imp
David J. Nixon	1 June 1974	Glen Helen	1974 Isle of Man TT	1000cc Production TT	741cc Triumph Trident
Nigel J. Christian	26 August 1974	Windy Corner	1974 Manx Grand Prix	Practice	250cc Yamaha
David Forrester	3 September 1974	Glen Helen	1974 Manx Grand Prix	Junior	350cc Kirby– Metisse
Peter McKinley	28 May 1975	Milntown	1975 Isle of Man TT	Practice	700cc Yamaha
Phil Gurner	4 June 1975	Milntown	1975 Isle of Man TT	Senior TT	351cc Yamaha
Brian McComb	2 September 1975	Barregarrow	1974 Manx Grand Prix	Lightweight	250cc Yamaha
Walter Wörner	7 June 1976	Greeba Castle	1976 Isle of Man TT	Sidecar TT	496cc Yamaha
Les Kenny	12 June 1976	Union Mills	1976 Isle of Man TT	Senior TT	250cc Yamaha
David Featherstone	7 September 1976	Alpine Cottage	1976 Manx Grand Prix	Junior	350cc Yamaha
Peter Tulley	30 August 1977	Alpine Cottage	1977 Manx Grand Prix	Practice	348cc Yamaha
Ivan Houston	31 August 1977	Creg Willey's Hill	1977 Manx Grand Prix	Practice	250cc Yamaha
Norman Tricoglus	3 September 1977	Rhencullen	1977 Manx Grand Prix	Practice	500cc Yamaha
Neil Edwards	7 September 1977	Cruickshanks Corner	1977 Manx Grand Prix	Junior	350cc Yamaha
Steven Davis	1 June 1978	Laurel Bank	1978 Isle of Man TT	Practice	347cc Yamaha
Mac Hobson	5 June 1978	Bray Hill	1978 Isle of Man TT	Sidecar TT	750cc Yamaha
Kenny Birch	5 June 1978	Bray Hill	1978 Isle of Man TT	Sidecar TT(Passenger)	750cc Yamaha
Ernst Trachsel	5 June 1978	Quarterbridge Road	1978 Isle of Man TT	Sidecar TT	499cc Suzuki
Mike Adler	9 June 1978	Glen Helen	1978 Isle of Man TT	Classic TT	350cc Yamaha
Michael L. Sharpe	29 August 1978	Cruickshanks Corner	1978 Manx Grand Prix	Practice	347cc Yamaha
Steve Verne	4 June 1979	Barregarow	1979 Isle of Man TT	Sidecar TT	738cc Suzuki
Fred Launchbury	8 June 1979	Glentramman	1979 Isle of Man TT	Formula III	248cc Maico
Steven R. Holmes	27 August 1979	Cruickshanks Corner	1979 Manx Grand Prix	Practice	350cc Yamaha
Alain Taylor	6 September 1979	Rhencullen	1979 Manx Grand Prix	Lightweight	246cc Yamaha
Martin B. Ames	31 May 1980	Quarterbridge Road	1980 Isle of Man TT	Sidecar TT	750cc Yamaha
Andrew M. Holme	2 June 1980	Glentramman	1980 Isle of Man TT	Sidecar TT	Yamaha
Roger W. Corbett	6 June 1980	Glen Helen	1980 Isle of Man TT	Classic Race	948cc Kawasaki
Kenneth M. Blake	9 June 1981	Ballagarey Corner	1981 Isle of Man TT	Senior TT	350cc Yamaha
Alain K. Atkins	8 September 1983	Schoolhouse Corner	1983 Manx Grand Prix	Senior	347cc Yamaha
Roger J. Cox	29 May 1984	Sarah's Cottage	1984 Isle of Man TT	Sidecar Practice	750cc Yamaha
David James Millar	30 August 1984	Pinfold Cottage	1984 Manx Grand Prix	Practice	350cc Aermacchi
Sven Tomas Eriksson	28 May 1985	Alpine Cottage	1985 Isle of Man TT	Practice Sidecar TT (Passenger)	750cc Yamaha
Mats Urban Eriksson	28 May 1985	Alpine Cottage	1985 Isle of Man TT	Practice– Sidecar TT	750cc Yamaha
Rob Vine	7 June 1985	Black Dub	1985 Isle of Man TT	Senior TT	500cc RG Suzuki
Ian Ogden	28 May 1986	11th Milestone	1986 Isle of Man TT	Practice	500cc Suzuki
Alan G. Jarvis	30 May 1986	Quarterbridge Road	1986 Isle of Man TT	Practice	750cc Yamaha
Eugene P. McDonnell	4 June 1986	Ballaugh Bridge	1986 Isle of Man TT	Lightweight TT	250cc EMC
Andy Cooper	6 June 1986	Ballig	1986 Isle of Man TT	Senior TT	750cc Suzuki
Nigel Hale	27 August 1986	Sarah's Cottage	1985 Manx Grand Prix	Practice	250cc EMC
Kenneth P. Norton	25 August 1987	33rd Milestone	1987 Manx Grand Prix	Practice	350cc Yamaha
Martin Jennings	1 September 1987	Rhencullen	1987 Manx Grand Prix	Practice	350cc Yamaha
Ricky Dumble	2 June 1988	Quarterbridge Road	1988 Isle of Man TT	Practice	750cc Yamaha
Kenneth N. Harmer	3 June 1988	Water Works Corner	1988 Isle of Man TT	Practice	750cc Honda RC 30
Brian Warburton	3 June 1988	Appledene	1988 Isle of Man TT	Production TT	600cc Honda
Marco Fattorelli	30 May 1989	Greeba Castle	1989 Isle of Man TT	Practice	750cc Yamaha
John Mulcahy	30 May 1989	Barregarrow	1989 Isle of Man TT	Practice	1300cc Suzuki
Phil Hogg	2 June 1989	Ballagarey Corner	1989 Isle of Man TT	Practice	250cc TZ Yamaha
Phil Mellor	7 June 1989	Doran's Bend	1989 Isle of Man TT	Production TT	1100cc GSXR Suzuki
Steve Henshaw	7 June 1989	Quarry Bends	1989 Isle of Man TT	Production TT	1000cc FZR Yamaha
Colin Keith	29 August 1989	Hillberry Corner	1989 Manx Grand Prix	Practice	500cc BSA
Ian Standeven	6 September 1989	Rhencullen	1989 Manx Grand Prix	Junior	347cc Yamaha
John Smyth	8 September 1989	Verandah	1989 Manx Grand Prix	Senior	1100cc Suzuki
Bernard Trout	3 September 1990	Hawthorn, Greeba	1990 Manx Grand Prix	Lightweight Classic	250cc Ducati
Kevin Howe	7 September 1990	Schoolhouse Corner	1990 Manx Grand Prix	Senior	750cc VFR Honda
Ian Young	28 May 1991	Appledene	1991 Isle of Man TT	Practice	Suzuki RGV 250cc
Petr Hlavatka	29 May 1991	The Nook	1991 Isle of Man TT	Practice	750cc Suzuki
Frank Duffy	30 May 1991	Kerrowmoar	1991 Isle of Man TT	Practice	125cc Honda
Roy Anderson	1 June 1991	Stonebreakers Hut	1991 Isle of Man TT	Formula 1 TT	750cc Yamaha
Paul Rome	29 August 1991	Cronk-ny-Mona	1991 Manx Grand Prix	Practice	250cc Yamaha
Mark Jackson	September 1991	Glentramman	1991 Manx Grand Prix	Senior	600cc CBR F Honda
Manfred Stengl	6 June 1992	33rd Milestone	1992 Isle of Man TT	Formula 1 TT	750cc Suzuki
Craig Mason	3 September 1992	Glentramman	1992 Manx Grand Prix	Junior	249cc Yamaha
John Judge	3 September 1992	Rhencullen	1992 Manx Grand Prix	Junior	600cc FZR Yamaha
Steve Harding	9 June 1993	Laurel Bank	1993 Isle of Man TT	600cc Supersport Race	600cc FZR Yamaha
Cliff Gobell	29 August 1993	Quarry Bends	1993 Manx Grand Prix	Senior Classic	192cc Weslake
Kenneth J. Virgo	3 September 1993	Handley's Corner	1993 Manx Grand Prix	Lightweight	250cc Yamaha
Rob Mitchell	2 June 1994	Gooseneck	1994 Isle of Man TT	Practice	Yamaha FZR 600cc
Mark Farmer	2 June 1994	Black Dub	1994 Isle of Man TT	Practice	Britten V-Twin 1000cc
Paul Fargher	3 June 1995	Sulby Straight	1995 Isle of Man TT	Sidecar TT Practice(Passenger)	600cc Yamaha
Duncan Muir	30 August 1995	Guthrie's Memorial	1995 Manx Grand Prix	Junior	600cc Honda
Nicholas E.A. Teale	1 September 1995	Alpine Cottage	1995 Manx Grand Prix	Lightweight	250cc Yamaha
Aaron Kennedy	27 May 1996	Crosby Cross-Roads	1996 Isle of Man TT	Sidecar TT Practice(Passenger)	600cc Kawasaki
Rob Holden	31 May 1996	Glen Helen	1996 Isle of Man TT	Practice	916 Ducati
Mick Lofthouse	31 May 1996	Pinfold Cottage (Sky Hill)	1996 Isle of Man TT	Practice	250cc Spondon Yamaha
Stephen J. Tannock	1 June 1996	Churchtown	1996 Isle of Man TT	Formula 1 TT	Honda RC 30
Nigel Haddon	19 August 1996	Stonebreakers Hut	1996 Manx Grand Prix	Practice	750cc Honda
Jack Gow	19 August 1996	32nd Milestone	1996 Manx Grand Prix	Practice	350cc Norton
Russell Waring	26 May 1997	Union Mills	1997 Isle of Man TT	Practice	125cc TZ Yamaha
Colin Gable	26 May 1997	Ballagarey Corner	1997 Isle of Man TT	Practice	750cc Honda
Danny Shimmin	16 August 1997	Greeba Castle	1997 Manx Grand Prix	Practice	349cc Aermacchi
Pamela Cannell	18 August 1997	Bungalow Bridge	1997 Manx Grand Prix	Practice	250cc Yamaha
Roger Bowler	18 August 1997	Quarry Bends	1997 Manx Grand Prix	Practice	500cc Matchless
Emmet Nolan	29 August 1997	Lambfell Cottage	1997 Manx Grand Prix	Senior	750cc Yamaha
Mike Casey	8 June 1998	Ballagarey Corner	1998 Isle of Man TT	Practice	Honda RS 250cc
Charles I Hardisty	12 June 1998	Kerrowmoar	1998 Isle of Man TT	Production TT	Kawasaki ZXR7RR
John Henderson	12 June 1998	Rhencullen	1998 Isle of Man TT	Senior TT	Honda 750cc
Adam Woodhall	27 August 1998	Ballaspur	1998 Manx Grand Prix	Practice	996cc Suzuki
Rob Wingrave	27 August 1998	Union Mills	1998 Manx Grand Prix	Senior Classic	500cc Norton
Chris East	31 August 1998	Kirk Michael	1998 Manx Grand Prix	Senior Classic	Matchless
Bernadette Bosman	31 May 1999	Kirk Michael	1999 Isle of Man TT	Practice Sidecar TT (Passenger)	600cc Ireson Yamaha
Simon Beck	1 June 1999	33rd Milestone	1999 Isle of Man TT	Practice	Honda RC45
Terry Fenton	7 June 1999	Hillberry Corner	1999 Isle of Man TT	Sidecar TT (Passenger)	Honda CBR 600cc
Stuart Murdoch	9 June 1999	Gorse Lea	1999 Isle of Man TT	Junior TT	Honda 600cc
Martin J. Smith	3 September 1999	13th Milestone	1999 Manx Grand Prix	Senior	600cc Honda
Stephen Wood	29 May 2000	Whitegates	2000 Isle of Man TT	Practice Sidecar TT (passenger)	Baker Yamaha 600cc
Chris Ascott	30 May 2000	Westwood Corner	2000 Isle of Man TT	Practice	Kawasaki ZXR400
Raymond Hanna	31 May 2000	Greeba Castle	2000 Isle of Man TT	Practice	TZ 250cc Yamaha
Leslie Williams	9 June 2000	Ballaugh Bridge	2000 Isle of Man TT	Production TT	1000cc Honda VTR-SP1
Kenneth Munro	19 August 2000	Ginger Hall	2000 Manx Grand Prix	Practice	600cc Honda
Colin Daniels	27 May 2002	Bray Hill	2002 Isle of Man TT	Practice	600cc Suzuki
Shane Ellis	19 August 2002	Ballaspur	2002 Manx Grand Prix	Practice	1000cc Aprilia
Leslie Turner	19 August 2002	Ballaspur	2002 Manx Grand Prix	Practice	600cc Yamaha
Phil Hayhurst	31 August 2002	Schoolhouse Corner	2002 Manx Grand Prix	Ultra-Lightweight	124cc Yamaha
David Jefferies	29 May 2003	Crosby	2003 Isle of Man TT	Practice	Suzuki GSX-R1000
Martin Farley	25 August 2003	Alpine Cottage	2003 Manx Grand Prix	Newcomers	599cc Yamaha
Serge le Moal	29 May 2004	Braddan Bridge	2004 Isle of Man TT	Practice	125cc Honda RS
Paul Cowley	2 June 2004	Black Dub	2004 Isle of Man TT	Practice Sidecar TT (Passenger)	600cc Yamaha Thundercat
Colin Breeze	5 June 2004	Quarry Bends	2004 Isle of Man TT	Formula 1 TT	Suzuki GSX-R1000
Gavin Feighery	28 August 2004	Mountain Box	2004 Manx Grand Prix	Practice	600cc Suzuki
Tommy Clucas	1 September 2004	Ballaugh Bridge	2004 Manx Grand Prix	Junior	600cc Honda
Joakim Karlsson	30 May 2005	Douglas Road Corner	2005 Isle of Man TT	Practice	1000cc Suzuki GSXR
Les Harah	4 June 2005	Parliament Square	2005 Isle of Man TT	Sidecar Race A	600cc Yamaha
Gus Scott	10 June 2005	Rhencullen	2005 Isle of Man TT	Senior TT	1000cc Honda CBR
Geoff Sawyer	24 August 2005	Union Mills	2005 Manx Grand Prix	Practice	496cc Matchless
John Loder	26 August 2005	33rd Milestone	2005 Manx Grand Prix	Practice	496cc Seeley
Eddie Byers	31 August 2005	27th Milestone	2005 Manx Grand Prix	Junior Classic	350cc 7R AJS
Tim Johnson	31 August 2005	Stonebreakers Hut	2005 Manx Grand Prix	Junior Classic	349cc Aermacchi
John Bourke	1 September 2005	Union Mills	2005 Manx Grand Prix	Junior	600cc Suzuki
Don Leeson	2 September 2005	Quarry Bends	2005 Manx Grand Prix	Ultra-Lightweight	400cc Honda
Jun Maeda	29 May 2006	Ballahutchin Hill	2006 Isle of Man TT	Practice	1000cc Honda Fireblade
Terry Craine	21 August 2006	33rd Milestone	2006 Manx Grand Prix	Practice	250cc Honda
Marc Ramsbotham	8 June 2007	26th Milestone	2007 Isle of Man TT	Senior TT	1000cc GSXR Suzuki
John Goodall	25 August 2008	Ballacraine	2008 Manx Grand Prix	Junior Classic Race	AJS 7R 349cc
John Crellin	12 June 2009	Mountain Mile	2009 Isle of Man TT	Senior TT	1000cc Suzuki
Richard Bartlett	1 September 2009	Kerrowmoar	2009 Manx Grand Prix	Newcomers Race– Class A	Honda CBR 600cc
Paul Dobbs	10 June 2010	Ballagarey Corner	2010 Isle of Man TT	Supersport TT Race 2	600cc Suzuki
Martin Loicht	10 June 2010	Quarry Bends	2010 Isle of Man TT	Supersport TT Race 2	600cc Honda
Jamie Adam	1 September 2010	Alpine Cottage	2010 Manx Grand Prix	Junior	600cc Suzuki GSX-R
Chris Bradshaw	1 September 2010	Alpine Cottage	2010 Manx Grand Prix	Junior	600cc Yamaha R6
Bill Currie	31 May 2011	Ballacrye Corner	2011 Isle of Man TT	Practice Sidecar TT	600cc LCR Yamaha
Kevin Morgan	31 May 2011	Ballacrye Corner	2011 Isle of Man TT	Practice Sidecar TT (Passenger)	600cc LCR Yamaha
Derek Brien	6 June 2011	Gorse Lea	2011 Isle of Man TT	Supersport TT Race 1	600cc Yamaha
Neil Kent	24 August 2011	Greeba Bridge	2011 Manx Grand Prix	Practice	250cc Yamaha
Wayne Hamilton	29 August 2011	13th Milestone	2011 Manx Grand Prix	Junior	600cc Yamaha R6
Adam Easton	31 August 2011	Lambfell	2011 Manx Grand Prix	500cc Classic	499cc Norton Manx
Steve Osborne	24 August 2012	Quarterbridge Road	2012 Manx Grand Prix	Practice	650cc Hyosung
Trevor Ferguson	29 August 2012	The Nook	2012 Manx Grand Prix	Super-Twin Race	650cc Kawasaki
Yoshinari Matsushita	27 May 2013	Ballacrye Corner	2013 Isle of Man TT	Practice	600cc Suzuki
