Country	Area (km²) 2010	Population 2011	GDP (PPP) ( Intl. $ ) 2011	GDP (PPP) per capita ( Intl. $ ) 2011	Income inequality 1994–2011 (latest available)	HDI 2011	FSI 2012	CPI 2011	IEF 2011	GPI 2012	WPFI 2011/2012	DI 2011
Guinea	245,860	10,221,808	11,534,395,660	1,128	39.4	0.344	101.9	2.1	51.7	2.073	30.00	2.79
Guinea-Bissau	36,130	1,547,061	1,935,816,767	1,251	35.5	0.353	99.2	2.2	46.5	2.105	26.00	1.99
Kenya	580,370	41,609,728	71,497,717,724	1,718	47.7	0.509	98.4	2.2	57.4	2.252	29.50	4.57
Lesotho	30,360	2,193,843	3,761,750,856	1,715	52.5	0.450	79.0	3.5	47.5	1.864	21.00	6.33
Liberia	111,370	4,128,572	2,382,497,925	577	38.2	0.329	93.3	3.2	46.5	2.131	40.50	4.97
Libya	1,759,540	6,422,772	105,554,599,321 a	16,855 a	N/A	0.760	84.9	2.0	38.6	2.830	77.50	3.55
Madagascar	587,040	21,315,135	20,724,804,452	972	44.1	0.480	82.5	3.0	61.2	2.124	29.50	3.93
Malawi	118,480	15,380,888	14,124,318,474	918	39.0	0.400	88.8	3.0	55.8	1.894	68.00	5.81
Mali	1,240,190	15,839,538	17,401,077,762	1,099	33.0	0.359	77.9	2.8	56.3	2.132	0.00	6.36
Mauritania	1,030,700	3,541,540	9,105,623,199	2,571	40.5	0.453	87.6	2.4	52.1	2.301	22.20	4.16
Mauritius	2,040	1,286,051	18,676,949,333	14,523	39 b	0.728	44.7	5.1	76.2	1.487	17.00	8.04
Mozambique	799,380	23,929,708	23,499,133,235	982	45.7	0.322	82.4	2.7	56.8	1.796	21.50	4.87
Namibia	824,290	2,324,004	15,862,655,382	6,826	63.9	0.625	71.0	4.4	62.7	1.804	-2.00	6.24
Niger	1,267,000	16,068,994	11,763,433,268	732	34.6	0.295	96.9	2.5	54.3	2.241	2.50	5.94
Nigeria	923,770	162,470,737	411,371,765,042	2,532	48.8	0.459	101.1	2.4	56.7	2.801	56.40	3.83
Congo, Republic of the	342,000	4,139,748	18,336,706,982	4,429	47.3	0.533	90.1	2.2	43.6	2.148	30.38	2.89
Rwanda	26,340	10,942,950	13,690,574,770	1,251	50.8	0.429	89.3	5.0	62.7	2.250	81.00	3.25
São Tomé and Príncipe	960	168,526	346,851,135	2,058	50.8	0.509	73.9	3.0	49.5	N/A	N/A	N/A
Senegal	196,720	12,767,556	25,287,537,120	1,981	39.2	0.459	79.3	2.9	55.7	1.994	26.00	5.32
Seychelles	460	86,000	2,272,152,389	26,420	65.8	0.773	65.1	4.8	51.2	N/A	25.00	N/A
Sierra Leone	71,740	5,997,486	5,259,635,009	877	42.5	0.336	90.4	2.5	49.6	1.855	21.00	4.34
Somalia	637,660	9,556,873	5,896,000,000 c	600 c	N/A	N/A	114.9	1.0	N/A	3.392	88.33	N/A
South Africa	1,219,090	50,586,757	558,215,907,199	11,035	63.1	0.619	66.8	4.1	62.7	2.321	12.00	7.79
South Sudan	644,331	10,314,021	21,123,000,000	2,134	45.5	N/A	108.4	N/A	N/A	N/A	41.25	N/A
Sudan	2,505,810 d	34,318,385	95,554,956,806 d	2,141 d	35.3 d	0.408 d	109.4	1.6 d	N/A	3.193 d	100.75	2.38 d
Swaziland	17,360	1,067,773	6,511,874,679	6,099	51.5	0.522	83.5	3.1	59.1	2.028	67.00	3.26
Tanzania	947,300	46,218,486	68,217,893,777	1,521	37.6	0.466	80.4	3.0	57.0	1.873	6.00	5.56
Togo	56,790	6,154,813	6,414,397,867	1,042	34.4	0.435	87.5	2.4	49.1	N/A	28.50	3.45
Tunisia	163,610	10,673,800	100,496,433,356	9,415	41.4	0.698	74.2	3.8	58.5	1.955	60.25	5.51
Uganda	241,550	34,509,205	46,730,051,194	1,354	44.3	0.446	96.5	2.4	61.7	2.121	64.00	5.08
Western Sahara	266,000	491,519	906,500,000 e	2,500 e	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Zambia	752,610	13,474,959	21,869,657,293	1,623	54.6	0.430	85.9	3.2	59.7	1.830	30.00	6.19
Zimbabwe	390,760	12,754,378	6,474,000,000	515	50.1	0.376	106.3	2.2	22.1	2.538	55.00	2.68
AU f	29,865,860	1,012,571,880	3,080,877,237,840	2,981 g	44.7 h	0.470	87.5	2.9	53.4	2.207	43.15	4.29
Country	Area (km²) 2010	Population 2011	GDP (PPP) ( Intl. $ ) 2011	GDP (PPP) per capita ( Intl. $ ) 2011	Income inequality 1993–2009 (latest available)	HDI 2011	FSI 2012	CPI 2011	IEF 2011	GPI 2012	WPFI 2011/2012	DI 2011
