Submitting country	Film title used in nomination	Original title	Language(s)	Director(s)	Result
Ireland	Kings	Kings	Irish, English	Tommy Collins Category:Articles with hCards	Not Nominated
Israel	Beaufort [C ]	Beaufort בופור	Hebrew	Joseph Cedar Category:Articles with hCards	Nominee
Italy	La sconosciuta	La sconosciuta	Italian	Giuseppe Tornatore Category:Articles with hCards	Made January Shortlist
Japan	I Just Didn't Do It	Soredemo boku wa yatte nai ( それでもボクはやってない ? )	Japanese	Masayuki Suo Category:Articles with hCards	Not Nominated
Kazakhstan	Mongol	Mongol Монгол	Mongolian	Sergei Bodrov Category:Articles with hCards	Nominee
Lebanon	Caramel	Sukkar banat سكر بنات	Arabic, French	Nadine Labaki Category:Articles with hCards	Not Nominated
Luxembourg	Little Secrets	Perl oder Pica	Luxembourgish	Pol Cruchten Category:Articles with hCards	Not Nominated
Macedonia	Shadows	Senki Сенки	Macedonian	Milčo Mančevski Category:Articles with hCards	Not Nominated
Mexico	Silent Light	Stellet licht	Plautdietsch	Carlos Reygadas Category:Articles with hCards	Not Nominated
Netherlands	Duska	Duska	Dutch	Jos Stelling Category:Articles with hCards	Not Nominated
Norway	Gone with the Woman	Tatt av Kvinnen	Norwegian	Petter Naess Category:Articles with hCards	Not Nominated
Peru	Crossing a Shadow	Una sombra al frente	Spanish	Augusto Tamayo Category:Articles with hCards	Not Nominated
Philippines	Donsol	Donsol	Bikol , Tagalog	Adolfo Alix, Jr. Category:Articles with hCards	Not Nominated
Poland	Katyń	Katyń	Polish	Andrzej Wajda Category:Articles with hCards	Nominee
Portugal	Belle Toujours	Belle Toujours	French	Manoel de Oliveira Category:Articles with hCards	Not Nominated
Romania	4 Months, 3 Weeks and 2 Days	4 luni, 3 săptămâni şi 2 zile	Romanian	Cristian Mungiu Category:Articles with hCards	Not Nominated
Russia	12	12	Russian, Chechen	Nikita Mikhalkov Category:Articles with hCards	Nominee
Serbia	The Trap	Klopka Клопка	Serbo-Croatian	Srdan Golubović Category:Articles with hCards	Made January Shortlist
Singapore	881	881	Mandarin , Hokkien	Royston Tan Category:Articles with hCards	Not Nominated
Slovakia	Return of the Storks	Návrat bocianov	German , Slovak	Martin Repka Category:Articles with hCards	Not Nominated
Slovenia	Short Circuits	Kratki stiki	Slovene	Janez Lapajne Category:Articles with hCards	Not Nominated
South Korea	Secret Sunshine	Milyang 밀양	Korean	Lee Chang-dong Category:Articles with hCards	Not Nominated
Spain	The Orphanage	El orfanato	Spanish	Juan Antonio Bayona Category:Articles with hCards	Not Nominated
Sweden	You, the Living	Du levande	Swedish	Roy Andersson Category:Articles with hCards	Not Nominated
Switzerland	Late Bloomers	Die Herbstzeitlosen	Swiss German	Bettina Oberli Category:Articles with hCards	Not Nominated
Taiwan	Island Etude [D ]	Liànxí Qǔ 練習曲	Mandarin , Taiwanese	Chen Huai-En Category:Articles with hCards	Not Nominated
Turkey	A Man's Fear of God	Takva	Turkish	Özer Kızıltan Category:Articles with hCards	Not Nominated
Venezuela	Postcards from Leningrad	Postales de Leningrado	Spanish	Mariana Rondon Category:Articles with hCards	Not Nominated
