CDP name	County	Pop. (2010)	Land ( sq mi )	Water (sq mi)	Coordinates	FIPS code	ANSI code
Bellerose Terrace	Nassau	2,198	0.125	0.000	40.722147, -73.725146	3605661	02389196
Belleville	Jefferson	226	0.264	0.000	43.784192, -76.116915	3605683	02584243
Bellmore	Nassau	16,218	2.359	0.615	40.658699, -73.527056	3605738	02389199
Bethpage	Nassau	16,429	3.576	0.000	40.749518, -73.485536	3606387	02389207
Big Flats	Chemung	5,277	16.300	0.077	42.163617, -76.908739	3606464	02389210
Billington Heights	Erie	1,685	3.193	0.007	42.785031, -78.626552	3606574	02389211
Binghamton University	Broome	6,177	0.775	0.000	42.089141, -75.968456	3606644	02631223
Blauvelt	Rockland	5,689	4.502	0.105	41.068258, -73.954975	3606860	02389215
Bliss	Wyoming	527	9.792	0.000	42.580138, -78.253745	3606904	02627975
Blodgett Mills	Cortland	303	2.174	0.000	42.566516, -76.132873	3606937	02627977
Bloomville	Delaware	213	1.317	0.002	42.334396, -74.822777	3607025	02627981
Blue Point	Suffolk	4,773	1.794	0.006	40.751516, -73.035841	3607069	02389219
Bohemia	Suffolk	10,180	8.620	0.037	40.776697, -73.134857	3607157	02389223
Bolton Landing	Warren	513	1.062	0.176	43.562185, -73.657030	3607245	02631634
Brasher Falls	St. Lawrence	669	1.638	0.101	44.813979, -74.788948	3607960	02584244
Breesport	Chemung	626	1.628	0.012	42.184071, -76.739368	3608004	02631224
Brentwood	Suffolk	60,664	10.981	0.000	40.783912, -73.252145	3608026	02389235
Brewerton	Onondaga	4,029	3.166	0.172	43.232299, -76.144961	3608059	02389237
Brewster Hill	Putnam	2,089	0.870	0.110	41.421304, -73.606864	3608092	02389238
Bridgehampton	Suffolk	1,756	13.010	0.623	40.950702, -72.313334	3608136	02389240
Bridgeport	Madison	1,490	1.724	0.015	43.149437, -75.985320	3608147	02389241
Brighton	Monroe	36,609	15.416	0.168	43.118015, -77.582070	3608257	02389242
Brinckerhoff	Dutchess	2,900	1.120	0.005	41.551937, -73.870924	3608334	02389243
Brookhaven	Suffolk	3,451	5.761	0.146	40.776671, -72.907833	3609000	02389246
Busti	Chautauqua	391	2.264	0.000	42.042324, -79.278902	3611440	02628040
Byersville	Livingston	47	0.510	0.000	42.583882, -77.791523	3611550	02584245
Cairo	Greene	1,402	4.227	0.006	42.305447, -74.012401	3611638	02389263
Calcium	Jefferson	3,491	5.544	0.002	44.051919, -75.848347	3611671	02389264
Callicoon	Sullivan	167	0.359	0.086	41.766858, -75.062027	3611748	02389266
Calverton	Suffolk	6,510	28.027	0.501	40.922929, -72.768549	3611781	02389270
Campbell	Steuben	713	1.761	0.000	42.235043, -77.193694	3611935	02631225
Carle Place	Nassau	4,981	0.935	0.000	40.750026, -73.612123	3612419	02389277
Carmel Hamlet	Putnam	6,817	8.335	2.055	41.420695, -73.687422	3612532	02389278
Caroga Lake	Fulton	518	2.500	0.873	43.133971, -74.481652	3612584	02631638
Center Moriches	Suffolk	7,580	5.217	0.415	40.802046, -72.795166	3613420	02389295
Centereach	Suffolk	31,578	8.714	0.000	40.869533, -73.080780	3613376	02389296
Centerport	Suffolk	5,508	2.104	0.190	40.900759, -73.372447	3613442	02389297
Central Bridge	Schoharie	593	1.843	0.014	42.706904, -74.347695	3613530	02628041
Central Islip	Suffolk	34,450	7.111	0.000	40.783767, -73.194479	3613552	02389298
Chadwicks	Oneida	1,506	1.327	0.000	43.029195, -75.270992	3613662	02584246
Chappaqua	Westchester	1,436	0.450	0.000	41.160201, -73.767093	3613805	02389303
Chautauqua	Chautauqua	191	0.427	0.000	42.210063, -79.469011	3614058	02631226
Chazy	Clinton	565	1.696	0.018	44.890851, -73.429200	3614102	02631627
Cheektowaga	Erie	75,178	25.343	0.057	42.909003, -78.750765	3615000	02389308
Chenango Bridge	Broome	2,883	2.448	0.144	42.171427, -75.857719	3615121	02628042
Chestertown	Warren	677	3.843	0.013	43.643112, -73.783522	3615363	02628043
Clarence	Erie	2,646	2.845	0.065	42.975730, -78.595325	3615814	02631227
Clarence Center	Erie	2,257	2.258	0.000	43.008425, -78.630815	3615836	02389322
Clark Mills	Oneida	1,905	1.492	0.019	43.090139, -75.376258	3615902	02389324
Clarkson	Monroe	4,358	9.111	0.000	43.239813, -77.916205	3615946	02631645
Claverack-Red Mills	Columbia	913	2.978	0.018	42.229483, -73.720980	3616050	02389326
Clintondale	Ulster	1,452	5.572	0.039	41.692580, -74.048291	3616452	02389333
Cold Spring Harbor	Suffolk	5,070	3.665	0.169	40.856500, -73.452894	3616958	02389342
Colton	St. Lawrence	345	1.688	0.073	44.565081, -74.946568	3617398	02627943
Commack	Suffolk	36,124	11.969	0.000	40.844220, -73.283382	3617530	02389350
Conesus Hamlet	Livingston	308	1.059	0.000	42.726333, -77.669676	3617620	02584247
Conesus Lake	Livingston	2,584	4.361	5.050	42.802635, -77.700951	3617622	02584248
Congers	Rockland	8,363	3.068	0.744	41.149595, -73.944776	3617739	02389353
Constantia	Oswego	1,182	3.009	0.007	43.258167, -76.009605	3617893	02389355
Coopers Plains	Steuben	598	0.824	0.000	42.179348, -77.137527	3618036	02631228
Copake Lake	Columbia	823	9.509	0.805	42.140365, -73.596698	3618124	02389356
Copiague	Suffolk	22,993	3.218	0.028	40.671987, -73.393860	3618146	02389357
Coram	Suffolk	39,113	13.824	0.000	40.881238, -73.005883	3618157	02389359
Cortland West	Cortland	1,356	5.166	0.000	42.594187, -76.225853	3618443	02389362
Country Knolls	Saratoga	2,224	1.582	0.001	42.910887, -73.806990	3618542	02389363
Cragsmoor	Ulster	449	4.351	0.000	41.665464, -74.391234	3618762	02389367
Cranberry Lake	St. Lawrence	200	19.437	0.276	44.180885, -74.868280	3618817	02627944
Crompond	Westchester	2,292	2.420	0.020	41.295265, -73.839963	3619092	02389376
Crown Heights	Dutchess	2,840	0.844	0.000	41.641652, -73.928664	3619229	02389378
Crugers	Westchester	1,534	0.661	0.574	41.231337, -73.925810	3619290	02389382
Crystal Beach	Ontario	644	0.682	0.203	42.809769, -77.258293	3619308	02631229
Cumberland Head	Clinton	1,627	3.591	0.000	44.716979, -73.396949	3619408	02389385
Cumminsville	Livingston	183	0.131	0.000	42.570539, -77.718936	3619411	02584249
Cutchogue	Suffolk	3,349	9.723	0.427	41.021223, -72.486958	3619466	02389387
Cuylerville	Livingston	297	0.421	0.000	42.777692, -77.873758	3619510	02584250
Dalton	Livingston	362	0.755	0.000	42.542227, -77.951938	3619587	02584251
Davenport Center	Delaware	349	3.102	0.040	42.446299, -74.900839	3619774	02628044
DeKalb Junction	St. Lawrence	519	3.883	0.062	44.511735, -75.294703	3620049	02627945
Deer Park	Suffolk	27,745	6.168	0.004	40.761441, -73.321736	3619972	02389400
Depauville	Jefferson	577	9.822	0.000	44.142448, -76.045152	3620302	02389403
Dix Hills	Suffolk	26,892	15.946	0.000	40.803547, -73.337053	3620687	02389409
Dover Plains	Dutchess	1,323	0.677	0.015	41.739272, -73.573014	3620841	02389415
Downsville	Delaware	617	3.953	0.079	42.081425, -74.996796	3620852	02628045
Duane Lake	Schenectady	323	2.401	0.194	42.752239, -74.107327	3620989	02389418
Duanesburg	Schenectady	391	2.449	0.096	42.763301, -74.133336	3620995	02389419
Durhamville	Oneida	584	1.372	0.000	43.122562, -75.665000	3621226	02631640
East Atlantic Beach	Nassau	2,049	0.315	0.368	40.585582, -73.712204	3621578	02389426
East Avon	Livingston	608	1.310	0.000	42.912795, -77.707324	3621600	02584252
East Farmingdale	Suffolk	6,484	5.715	0.020	40.730277, -73.415045	3621985	02389429
East Garden City	Nassau	6,208	2.996	0.008	40.731764, -73.597564	3622065	02389431
East Glenville	Schenectady	6,616	7.165	0.287	42.862249, -73.919639	3622084	02389432
East Greenbush	Rensselaer	4,487	2.664	0.006	42.592596, -73.702358	3622106	02389433
East Hampton North	Suffolk	4,142	5.639	0.000	40.972518, -72.188770	3622200	02389434
East Islip	Suffolk	14,475	3.950	0.109	40.727670, -73.186648	3622315	02389436
East Ithaca	Tompkins	2,231	1.733	0.050	42.426032, -76.464673	3622326	02389437
East Kingston	Ulster	276	0.674	0.022	41.950860, -73.974595	3622370	02389438
East Marion	Suffolk	926	2.238	0.128	41.131013, -72.345158	3622447	02389439
East Massapequa	Nassau	19,069	3.440	0.113	40.676488, -73.435962	3622480	02389440
East Meadow	Nassau	38,132	6.304	0.024	40.720115, -73.558861	3622502	02389441
East Moriches	Suffolk	5,249	5.477	0.149	40.809637, -72.759740	3622546	02389442
East Northport	Suffolk	20,217	5.161	0.000	40.879153, -73.323248	3622612	02389444
East Norwich	Nassau	2,709	1.047	0.000	40.849552, -73.528864	3622623	02389445
East Patchogue	Suffolk	22,469	8.346	0.131	40.770031, -72.981772	3622733	02389446
East Quogue	Suffolk	4,757	8.874	2.685	40.849267, -72.578898	3622832	02389447
East Randolph	Cattaraugus	620	1.088	0.001	42.168059, -78.957205	3622843	02391653
East Shoreham	Suffolk	6,666	5.367	0.000	40.946028, -72.881168	3622980	02389450
Eastchester	Westchester	19,554	3.294	0.088	40.958347, -73.807489	3621809	02389453
Eastport	Suffolk	1,831	5.258	0.130	40.841007, -72.725654	3622810	02389455
Eatons Neck	Suffolk	1,406	1.005	0.000	40.933076, -73.394795	3623316	02389456
Eden	Erie	3,516	5.594	0.000	42.652344, -78.901302	3623404	02389025
Edmeston	Otsego	657	4.345	0.000	42.698855, -75.252297	3623602	02628046
Eggertsville	Erie	15,019	2.851	0.001	42.966475, -78.807187	3623701	02584253
Elizabethtown	Essex	754	3.307	0.004	44.226239, -73.588901	3623822	02628047
Elma Center	Erie	2,571	6.253	0.000	42.828306, -78.634286	3624141	02389037
Elmont	Nassau	33,198	3.369	0.012	40.699176, -73.706166	3624273	02389038
Elwood	Suffolk	11,177	4.782	0.000	40.846198, -73.338875	3624405	02389039
Endwell	Broome	11,446	3.744	0.032	42.122864, -76.023572	3624526	02389044
Erin	Chemung	483	0.747	0.010	42.184078, -76.671706	3624625	02632285
Fairmount	Onondaga	10,224	3.334	0.000	43.041397, -76.248556	3625043	02389065
Fairview	Dutchess	5,515	3.477	0.076	41.732111, -73.912391	3625109	02389069
Fairview	Westchester	3,099	0.428	0.003	41.044190, -73.795952	3625120	02389070
Farmingville	Suffolk	15,481	4.124	0.000	40.838863, -73.040156	3625417	02389076
Felts Mills	Jefferson	372	0.329	0.000	44.019950, -75.759439	3625571	02584254
Fillmore	Allegany	603	0.816	0.000	42.466951, -78.110703	3625747	02389084
Fire Island	Suffolk	292	9.226	29.044	40.638314, -73.202923	3625839	02389085
Firthcliffe	Orange	4,949	2.965	0.035	41.442048, -74.033072	3625857	02389086
Fishers Island	Suffolk	236	4.076	0.147	41.273576, -71.968993	3625923	02389087
Fishers Landing	Jefferson	89	0.222	0.002	44.275363, -76.002914	3625934	02584255
Flanders	Suffolk	4,472	11.461	0.174	40.885786, -72.607613	3626121	02389089
Forest Home	Tompkins	572	0.251	0.023	42.453137, -76.471611	3626561	02389097
Fort Covington Hamlet	Franklin	1,308	19.322	0.010	44.971778, -74.507574	3626752	02584256
Fort Drum	Jefferson	12,955	14.329	0.093	44.044709, -75.787763	3626759	02389105
Fort Montgomery	Orange	1,571	1.484	0.031	41.342865, -73.987180	3626902	02389110
Fort Salonga	Suffolk	10,008	9.829	0.111	40.903614, -73.302468	3626946	02389112
Fowlerville	Livingston	227	0.901	0.000	42.893958, -77.848057	3627133	02584257
Franklin Square	Nassau	29,320	2.878	0.000	40.700181, -73.677487	3627309	02389810
Freedom Plains	Dutchess	421	1.290	0.044	41.667737, -73.797994	3627452	02584258
Frewsburg	Chautauqua	1,906	3.373	0.015	42.056091, -79.132942	3627672	02389815
Friendship	Allegany	1,218	2.889	0.000	42.205552, -78.141811	3627694	02389819
Galeville	Onondaga	4,617	1.152	0.006	43.087373, -76.180784	3628035	02389823
Gang Mills	Steuben	4,185	4.378	0.023	42.160378, -77.127624	3628145	02389824
Garden City Park	Nassau	7,806	0.984	0.007	40.742930, -73.663307	3628189	02389826
Garden City South	Nassau	4,024	0.404	0.000	40.712115, -73.660449	3628200	02389827
Gardiner	Ulster	950	3.863	0.000	41.679517, -74.147896	3628244	02389829
Gardnertown	Orange	4,373	4.826	0.017	41.539574, -74.057223	3628310	02389830
Gasport	Niagara	1,248	2.869	0.051	43.195577, -78.576765	3628431	02389832
Gates	Monroe	4,910	1.979	0.012	43.153353, -77.704508	3628453	02584259
Germantown	Columbia	845	2.679	0.016	42.135925, -73.888007	3628761	02389837
Ghent	Columbia	564	1.538	0.011	42.325750, -73.617773	3628860	02389838
Gilgo	Suffolk	131	4.996	6.707	40.636151, -73.383775	3628990	02584260
Glasco	Ulster	2,099	1.762	0.683	42.045805, -73.950167	3629014	02389844
Glen Aubrey	Broome	485	0.986	0.000	42.262282, -76.000292	3629058	02631230
Glen Head	Nassau	4,697	1.639	0.000	40.844923, -73.618024	3629245	02389848
Glens Falls North	Warren	8,443	8.232	0.088	43.332545, -73.679729	3629338	02389853
Glenwood Landing	Nassau	3,779	0.972	0.000	40.829445, -73.637727	3629421	02389855
Golden's Bridge	Westchester	1,630	2.430	0.133	41.284449, -73.672112	3629476	02389861
Gordon Heights	Westchester	4,042	1.705	0.014	40.863167, -72.962088	3629509	02389862
Gorham	Ontario	617	1.897	0.000	42.799644, -77.134654	3629520	02628049
Grandyle Village	Erie	4,629	1.883	0.000	42.986853, -78.954015	3629894	02584261
Great Bend	Jefferson	843	5.788	0.056	44.016829, -75.700166	3630136	02389866
Great Neck Gardens	Nassau	1,186	0.171	0.000	40.796971, -73.722697	3630202	02389869
Great River	Suffolk	1,489	4.597	0.595	40.715479, -73.161955	3630235	02389870
Greece	Monroe	14,519	4.375	0.000	43.209518, -77.702648	3630279	02389873
Greenlawn	Suffolk	13,742	3.722	0.003	40.864095, -73.363427	3630543	02389876
Greenport West	Suffolk	2,124	3.209	0.125	41.090906, -72.387821	3630581	02389877
Greenvale	Nassau	1,094	0.252	0.000	40.811948, -73.626387	3630598	02389879
Greenville	Greene	688	3.432	0.020	42.413789, -74.020324	3630609	02389881
Greenville	Westchester	7,116	2.562	0.035	40.998643, -73.818977	3630642	02389882
Greigsville	Livingston	209	0.710	0.000	42.830719, -77.901429	3630807	02584262
Groveland Station	Livingston	281	0.586	0.000	42.663379, -77.766670	3631022	02584263
Guilford	Chenango	362	1.336	0.118	42.407337, -75.485417	3631137	02628163
Hadley	Saratoga	1,009	1.117	0.199	43.295589, -73.829936	3631258	02584264
Hailesboro	St. Lawrence	624	4.727	0.080	44.311552, -75.433089	3631346	02627946
Halesite	Suffolk	2,498	0.889	0.092	40.887100, -73.414695	3631445	02389889
Hall	Ontario	216	1.023	0.000	42.796506, -77.067963	3631533	02628166
Hamlin	Monroe	5,521	7.710	0.000	43.302326, -77.921794	3631786	02631636
Hampton Bays	Suffolk	13,603	12.954	5.174	40.870270, -72.521704	3631896	02389893
Hampton Manor	Rensselaer	2,417	0.624	0.023	42.622735, -73.723911	3631918	02389896
Hannawa Falls	St. Lawrence	1,042	5.110	0.302	44.602870, -74.973995	3632006	02627974
Harbor Hills	Nassau	575	0.118	0.059	40.788588, -73.749019	3632094	02389898
Harbor Isle	Nassau	1,301	0.173	0.055	40.602508, -73.664720	3632105	02389899
Harris Hill	Erie	5,508	4.041	0.000	42.972968, -78.679273	3632391	02389903
Hartsdale	Westchester	5,293	0.895	0.000	41.015364, -73.803497	3632523	02389907
Hartwick	Otsego	629	3.457	0.000	42.658609, -75.061109	3632578	02628169
Hauppauge	Suffolk	20,882	10.713	0.148	40.822162, -73.210496	3632732	02389910
Haviland	Dutchess	3,634	3.863	0.035	41.768879, -73.899959	3632776	02389911
Hawthorne	Westchester	4,586	1.093	0.000	41.103428, -73.796963	3632842	02389912
Hemlock	Livingston	557	1.863	0.000	42.793788, -77.607439	3633128	02584265
Henderson	Jefferson	224	0.506	0.000	43.847966, -76.185233	3634044	02584266
Heritage Hills	Westchester	3,975	1.864	0.039	41.338920, -73.697898	3634118	02389917
Herricks	Nassau	4,295	0.573	0.000	40.756676, -73.663516	3634198	02389919
Hewlett	Nassau	6,819	0.881	0.018	40.641996, -73.694393	3634286	02389921
Hicksville	Nassau	41,547	6.791	0.015	40.764136, -73.524806	3634374	02389922
High Falls	Ulster	627	1.196	0.000	41.827547, -74.118478	3634451	02389923
Highland	Ulster	5,647	4.686	0.390	41.717305, -73.964713	3634484	02389925
Hillcrest	Rockland	7,558	1.297	0.000	41.129833, -74.035025	3634693	02389930
Hillside Lake	Dutchess	1,084	0.523	0.040	41.615764, -73.796970	3634803	02389935
Hillside	Ulster	877	0.825	0.003	41.919050, -74.033686	3634786	02389934
Holbrook	Suffolk	27,195	7.183	0.000	40.794332, -73.070696	3635056	02389939
Holland	Erie	1,206	4.004	0.000	42.637477, -78.551775	3635111	02389944
Holtsville	Suffolk	19,714	7.113	0.000	40.812334, -73.044676	3635254	02389946
Honeoye	Ontario	579	0.921	0.000	42.790135, -77.514793	3635353	02631231
Hopewell Junction	Dutchess	376	0.474	0.001	41.579422, -73.803919	3635573	02389950
Horseheads North	Chemung	2,843	2.211	0.029	42.196640, -76.804664	3635710	02389953
Hortonville	Sullivan	218	0.756	0.000	41.766137, -75.022039	3635738	02584267
Houghton	Allegany	1,693	2.479	0.010	42.428256, -78.172561	3635771	02389955
Hunt	Livingston	78	0.119	0.000	42.547566, -77.991204	3636156	02584268
Huntington	Suffolk	18,046	7.594	0.140	40.878126, -73.407666	3636233	02389959
Huntington Station	Suffolk	33,029	5.474	0.004	40.844488, -73.404812	3637044	02389961
Hurley	Ulster	3,458	5.486	0.032	41.910209, -74.062247	3637132	02389963
Hyde Park	Dutchess	1,908	1.206	0.001	41.782602, -73.934474	3637198	02584269
Inwood	Nassau	9,792	1.581	0.483	40.621609, -73.749483	3637583	02389968
Irondequoit	Monroe	51,692	15.001	1.833	43.209811, -77.572056	3637737	02389971
Islip	Suffolk	18,689	4.800	0.119	40.735467, -73.216395	3637869	02389974
Islip Terrace	Suffolk	5,389	1.347	0.000	40.750597, -73.187174	3638022	02389975
Jamesport	Suffolk	1,710	4.496	0.027	40.961451, -72.583379	3638253	02389977
Jamestown West	Chautauqua	2,408	2.517	0.000	42.088508, -79.281097	3638275	02389978
Jefferson Heights	Greene	1,094	1.476	0.021	42.235642, -73.882099	3638451	02389982
Jefferson Valley-Yorktown	Westchester	14,142	6.926	0.096	41.319935, -73.801118	3638500	02389983
Jericho	Nassau	13,567	3.943	0.016	40.786045, -73.541253	3638539	02389984
Katonah	Westchester	1,679	0.725	0.079	41.255069, -73.685185	3638946	02585492
Kennedy	Chautauqua	465	2.035	0.000	42.158895, -79.098270	3639243	02628170
Kerhonkson	Ulster	1,684	5.277	0.018	41.779391, -74.295611	3639397	02389999
Keuka Park	Yates	1,137	0.678	0.559	42.612792, -77.091664	3639463	02631232
Kings Park	Suffolk	17,282	6.199	0.391	40.886865, -73.245725	3639672	02390002
Kysorville	Livingston	110	0.827	0.000	42.652783, -77.794911	3640175	02584270
La Fargeville	Jefferson	608	3.318	0.055	44.195094, -75.963717	3640233	02390010
Lake Carmel	Putnam	8,282	5.161	0.333	41.461177, -73.667877	3640398	02390014
Lake Erie Beach	Erie	3,872	3.820	0.000	42.624184, -79.078573	3640486	02390015
Lake Katrine	Ulster	2,397	2.254	0.040	41.985218, -73.989759	3640585	02390017
Lake Luzerne	Warren	1,227	2.508	0.369	43.324809, -73.837711	3640648	02584271
Lake Mohegan	Westchester	6,010	2.876	0.199	41.311743, -73.847463	3640689	02390021
Lake Ronkonkoma	Suffolk	20,155	4.940	0.003	40.830438, -73.111750	3640838	02390024
Lakeland	Onondaga	2,786	1.483	0.000	43.090869, -76.242610	3640607	02390028
Lakeview	Nassau	5,615	1.000	0.195	40.677732, -73.649718	3641003	02390030
Lakeville	Livingston	756	0.667	0.000	42.836761, -77.703154	3641036	02584272
Laurel	Suffolk	1,394	3.000	0.074	40.971576, -72.555967	3641465	02390036
Leeds	Greene	377	0.529	0.009	42.249947, -73.892927	3641784	02390049
Levittown	Nassau	51,881	6.811	0.025	40.723990, -73.512709	3642081	02390060
Lido Beach	Nassau	2,897	1.739	2.487	40.589098, -73.604318	3642279	02390063
Lime Lake	Cattaraugus	867	2.378	0.266	42.433004, -78.484671	3642345	02584273
Limestone	Cattaraugus	389	1.623	0.010	42.017267, -78.631327	3642378	02390942
Lincoln Park	Ulster	2,366	1.434	0.030	41.958041, -74.004812	3642488	02390068
Lincolndale	Westchester	1,521	0.958	0.041	41.333476, -73.724776	3642455	02390069
Linwood	Livingston	74	0.929	0.000	42.896705, -77.947602	3642609	02584274
Livingston Manor	Sullivan	1,221	3.081	0.012	41.887164, -74.823643	3642928	02390083
Livonia Center	Livingston	421	0.817	0.000	42.821060, -77.642011	3642972	02584275
Locust Valley	Nassau	3,406	0.914	0.023	40.878116, -73.588830	3643192	02390086
Long Lake	Hamilton	547	11.721	2.209	43.956930, -74.446518	3643401	02628176
Lorenz Park	Columbia	2,053	1.784	0.163	42.269481, -73.776192	3643511	02390092
Lorraine	Jefferson	174	0.483	0.000	43.765557, -75.952276	3643533	02584276
Lyncourt	Onondaga	4,250	1.243	0.000	43.082032, -76.126268	3643885	02390100
Lyon Mountain	Clinton	423	10.147	0.000	44.724970, -73.882357	3643951	02390104
Machias	Cattaraugus	471	0.865	0.167	42.413621, -78.487052	3644226	02584277
Madrid	St. Lawrence	757	3.727	0.133	44.747381, -75.129351	3644479	02627948
Mahopac	Putnam	8,369	5.279	1.171	41.367091, -73.741535	3644534	02390109
Malden-on-Hudson	Ulster	405	0.501	0.000	42.093226, -73.936475	3644677	02390111
Malverne Park Oaks	Nassau	505	0.130	0.000	40.681654, -73.664414	3644792	02390113
Manhasset Hills	Nassau	3,592	0.591	0.000	40.759137, -73.680870	3644908	02390116
Manhasset	Nassau	8,080	2.382	0.034	40.784977, -73.694880	3644897	02390115
Manorville	Suffolk	14,314	25.469	0.042	40.862155, -72.787337	3645139	02390117
Mariaville Lake	Schenectady	722	5.623	0.380	42.824870, -74.130220	3645573	02390121
Marion	Wayne	1,511	3.053	0.006	43.141993, -77.194037	3645634	02631642
Marlboro	Ulster	3,669	4.456	0.636	41.603811, -73.977152	3645700	02390122
Massapequa	Nassau	21,685	3.558	0.436	40.668302, -73.471515	3645986	02390130
Mastic	Suffolk	15,481	3.897	0.085	40.810407, -72.847582	3646074	02390132
Mattituck	Suffolk	4,219	8.996	0.364	41.000401, -72.541176	3646140	02390134
Mattydale	Onondaga	6,446	1.920	0.000	43.099176, -76.138830	3646151	02390135
Mechanicstown	Orange	6,858	3.345	0.056	41.450288, -74.389639	3646349	02389465
Medford	Suffolk	24,142	10.797	0.000	40.821991, -72.985948	3646404	02389468
Melrose Park	Cayuga	2,294	3.732	0.584	42.905646, -76.514049	3646503	02389470
Melville	Suffolk	18,985	12.086	0.000	40.783021, -73.405619	3646514	02389471
Merrick	Nassau	22,097	4.019	1.133	40.651637, -73.551927	3646668	02389474
Merritt Park	Dutchess	1,256	0.444	0.000	41.538472, -73.872420	3646750	02584278
Middle Island	Suffolk	10,483	8.239	0.059	40.885746, -72.945485	3646976	02389478
Miller Place	Suffolk	12,339	6.552	0.000	40.937308, -72.986342	3647306	02389485
Milton	Saratoga	3,087	1.487	0.005	43.037343, -73.853896	3647548	02389487
Milton	Ulster	1,403	2.962	0.049	41.656220, -73.969625	3647554	02389488
Minetto	Oswego	1,069	3.323	0.263	43.402400, -76.482159	3647680	02389490
Mineville	Essex	1,269	3.702	0.006	44.092956, -73.521546	3647702	02585493
Monsey	Rockland	18,412	2.273	0.014	41.109477, -74.076972	3648010	02389494
Montauk	Suffolk	3,326	17.479	2.252	41.047252, -71.945292	3648054	02389495
Montrose	Westchester	2,731	1.614	0.052	41.244828, -73.938334	3648208	02585494
Mooers	Clinton	442	1.193	0.038	44.963630, -73.595463	3648241	02389503
Moriches	Suffolk	2,838	2.050	0.227	40.805396, -72.826868	3648450	02389506
Morrisonville	Clinton	1,545	2.611	0.090	44.690235, -73.551625	3648538	02389507
Mount Ivy	Rockland	6,878	1.467	0.000	41.192664, -74.029583	3648879	02389513
Mount Sinai	Suffolk	12,118	5.999	0.419	40.943264, -73.021937	3649066	02389517
Mountain Lodge Park	Orange	1,588	1.185	0.000	41.386326, -74.138791	3648750	02631233
Munsons Corners	Cortland	2,728	2.219	0.010	42.573807, -76.202102	3649242	02389523
Myers Corner	Dutchess	6,790	5.017	0.039	41.598119, -73.873148	3649363	02389524
Nanuet	Rockland	17,882	5.433	0.005	41.095556, -74.015396	3649407	02389526
Napanoch	Ulster	1,174	1.220	0.025	41.754001, -74.371700	3649418	02389527
Napeague	Suffolk	200	3.678	0.080	40.994468, -72.074704	3649424	02389528
Narrowsburg	Sullivan	431	1.366	0.134	41.596136, -75.055120	3649473	02389529
Natural Bridge	Jefferson	365	1.389	0.000	44.071678, -75.499799	3649605	02389530
Nedrow	Onondaga	2,244	0.959	0.000	42.978021, -76.141706	3649726	02389533
Nesconset	Suffolk	13,387	3.821	0.003	40.846855, -73.152008	3649825	02389535
New Cassel	Nassau	14,059	1.479	0.000	40.760049, -73.564891	3650067	02389538
New City	Rockland	33,559	15.582	0.793	41.153076, -73.990253	3650100	02389540
