Station	Distance from Wellington	Height above sea level (m)	Opened	Closed
Kakariki	171.12km	70m	1878	closed
Greatford	175.67km	104.5m	1878	c.1970
Marton	180.25km	140.8m	1878	2012
Cliff Road	183.58km	159.7m	1888	1966
Overton	188.85km	155m	1888	1958
Porewa	190.53km	165m	1888	closed
Rata	195.46km	194m	1888	1975
Silverhope	199.31km	224m	1888	1966
Hunterville	205.33km	267m	1888	1986
Kaikarangi	210.18km	284m	1888	1964
Mangaonoho	216.04km	257m	1893	1966
Ohingaiti	222.14km	279m	1902	1975
Mangaweka	231.04km	326.7m	1902	1982
Utiku	243.69km	371m	1904	closed
Ohotu	247.08km	395.6m	1904	closed
Winiata	249.02km	415m	1904	closed
Taihape	251.85km	442m	1904	2012
Mataroa	260.88km	530m	1907	closed
Ngaurukehu	270.25km	640m	1908	closed
Turangarere	274.5km	702m	1912	1972
Hihitahi	278.2km	741m	1908	closed
Waiouru	290.3km	813.8m	1908	2005
Tangiwai	299.49km	699.5m	1909	closed
Karioi	306.94km	630.3m	1909	closed
Rangataua	312.79km	670m	1909	closed
Ohakune	317.09km	618.4m	1908	open
Horopito	326.91km	752m	1909	1981
Pokaka	332.57km	811m	1909	closed
Erua	340.13km	742.5m	1908	closed
National Park	346.83km	806.8m	1908	open
Raurimu	358.31km	589m	1908	closed
Oio	366.25km	520m	1908	closed
Owhango	371.89km	456.6m	1908	closed
Kakahi	382km	266m	1908	closed
Piriaka	387.15km	230m	1908	closed
Manunui	391.9km	190.5m	1908	closed
Matapuna	394.8km	180m	1908	closed
Taumarunui	397.75km	171m	1903	2012
Taringamotu	402km	172.5m	1903	1971
Okahukura	408.54	178.3m	1903	closed
Te Koura	412.75km	182m	1909	1975
Ongarue	420.68km	192.6m	1903	1986
Waione Siding	426.86km	208m	1921	1950
Waimiha	434.39km	232m	1903	1983
Poro-O-Tarao	444.05km	339.2m	1901	1979
Mangapehi	449.47km	285.3m	1901	1984
Kopaki	454.35km	265m	1901	closed
Puketutu	461.83km	206m	1889	closed
Waiteti	470.07km	135m	1889	closed
Te Kuiti	475.66km	54m	1887	2012
Te Kumi	478.56km	49.6m	1887	closed
Hangatiki	485.2km	39.9m	1887	closed
Otorohonga	494.41km	37m	1887	2012
Kiokio	498.45km	35.4m	1887	1973
Te Kawa	506.88km	47.8m	1887	1982
Te Mawhai	513km	35.6m	1887	1958
Te Awamutu	517.02km	50m	1880	2005
Ngaroto	519.92km	56m	1880	1954
Lake Road	522.26km	54m	1880	closed
Ohaupo	527.16km	52m	1880	1982
Rukuhia	533.59km	55m	1880	1970
Hamilton	542.52km	37.5m	1877	Open
Te Rapa Racecourse	547.50km	33.2m	1920	1980
Te Rapa	549.25km	33m	1877	1970
Horotiu	553.65km	23.7m	1877	c1968
Ngaruawahia	559.16km	20.7m	1877	c1968
Taupiri	566.56km	13.7m	1877	c1968
Huntly	573.87km	14m	1877	1998
Kimihia	578.45km	14m	1877	1948
Ohinewai	582.04km	10m	1877	c1968
Rangiriri	588.11	9m	1877	1957
Te Kauwhata	591.62km	12.2m	1877	1984
Whangamarino	598.34km	6.7m	1877	1978
Amokura	604.53km	7m	1877	1980
Mercer	609.16km	6.4m	1877	1986
Pokeno	613.96km	24m	1877	c1968
Whangarata	617.90km	59.7m	1877	c1968
Tuakau	621.41km	37m	1875	1986
Buckland	625.6km	58m	1875	closed
Pukekohe	628.86km	60.65m	1875	open
Paerata	633.29km	45.1m	1875	1980
Runciman	638.37km	8m	1875	1939
Drury	640km	9m	1875	1980
Opaheke	642.9km	14.5m	1875	1955
Papakura	647.02km	19.2m	1875	Open
Tironui	648.95km	15.5m	1904	1980
Takanini	650.64km	15.2m	1875	Open
Te Mahia	652.24km	14.9m	1904	Open
Manurewa	653.1km	17m	1875	Open
Homai	655.7km	30.78m	1904	Open
Wiri	657.6km	22.25m	1913	2005
Puhinui	658.92km	19.8m	1904	Open
Papatoitoi	659.63km	18.9m	1875	1904
Papatoetoe	660.42km	18m	1904	Open
Middlemore	662.28km	8.8m	1904	Open
Mangere	663.02km	10.66m	1904	2011
Otahuhu	664.15km	9.44m	1875	Open
Westfield	665.5km	7.6m	1904	Open
Sylvia Park	667.09km	7.6m	1931	Open
Panmure	669.93km	17.7m	1931	Open
Tamaki	671.28km	23.5m	1930	1980
Glen Innes	672.64km	22m	1930	Open
Purewa	675.4km	18m	1930	1955
Meadowbank	676.26km	12m	1954	Open
Orakei	677.44km	4.5m	1930	Open
The Strand	680.76km	2.7m	1930	Open
Britomart Transport Centre	682km	4m below sea level	2003	Open
