Player	Nation	TeBe career	League matches	League goals	Cup matches	Cup goals
Michael Nwankwo Category:Articles with hCards	Nigeria	2006	6	0	1	0
Gökhan Okatan Category:Articles with hCards	Turkey	2013–present	2	0	0	0
Emmanuel Okuma Category:Articles with hCards	Nigeria	2011–2012	15	0	0	0
Abderrahim Ouakili Category:Articles with hCards	Morocco	1999–2000	25	7	2	0
Ali Emrah Özdemir Category:Articles with hCards	Turkey	2005	13	0	0	0
Timur Özgöz Category:Articles with hCards	Germany	2009–2010	27	6	1	0
Peter Pagel Category:Articles with hCards	West Germany	1975	1	0	0	0
Kostas Pantios Category:Articles with hCards	Greece	2004–2005	26	7	0	0
Sven Patzler Category:Articles with hCards	Germany	2003	13	0	0	0
Paulo César Pérez Category:Articles with hCards	Argentina	2006	14	0	1	0
Peter Peschel Category:Articles with hCards	Germany	2004–2005	16	7	0	0
Karl-Heinz Peter Category:Articles with hCards	West Germany	1985	12	0	1	0
Yasen Petrov Category:Articles with hCards	Bulgaria	2001	10	0	0	0
Daniel Petrowsky Category:Articles with hCards	Germany	2004–2008	96	1	1	0
Martin Pieckenhagen Category:Articles with hCards	Germany	1993–1994	8	0	0	0
Sebastian Preuß Category:Articles with hCards	Germany	2010	1	0	0	0
Dennis Rahden Category:Articles with hCards	Germany	2011–2012	29	0	0	0
Dejan Raičković Category:Articles with hCards	Serbia and Montenegro	1997–2000, 2004–2005	77	4	4	0
Uwe Rapolder Category:Articles with hCards	West Germany	1985–1986	21	2	1	0
Dirk Rehbein Category:Articles with hCards	Germany	1997	5	0	0	0
Armin Reichel Category:Articles with hCards	West Germany	1985–1986	36	0	1	0
Wilhelm Reisinger Category:Articles with hCards	West Germany	1985–1987	21	6	0	0
René Renno Category:Articles with hCards	Germany	2000–2001	32	0	1	0
Sascha Rentmeister Category:Articles with hCards	Germany	2012–present	17	0	0	0
Christian Ritter Category:Articles with hCards	Germany	2005	5	0	0	0
Uwe Rösler Category:Articles with hCards	Germany	1999–2000	28	6	2	3
Bodo Rudwaleit Category:Articles with hCards	Germany	1991–1993	64	0	0	0
Michael Rührmund Category:Articles with hCards	West Germany	1977	1	0	0	0
Jürgen Rumor Category:Articles with hCards	West Germany	1974–1975	16	6	2	0
Steven Russow Category:Articles with hCards	Germany	2011	7	0	0	0
Mikhail Rusyayev Category:Articles with hCards	Russia	1992–1996	98	45	4	2
Bayram Sabani Category:Articles with hCards	Bosnia and Herzegovina	2000–2001	14	0	0	0
Christian Sackewitz Category:Articles with hCards	West Germany	1975–1976	25	0	4	3
Artim Šakiri Category:Articles with hCards	Republic of Macedonia	2000	14	0	0	0
Burak Salantur Category:Articles with hCards	Turkey	2011	6	0	0	0
Murat Salar Category:Articles with hCards	Turkey	2004–2005	26	2	0	0
Hans-Jürgen Salewski Category:Articles with hCards	West Germany	1980–1981	51	1	0	0
Hassan Salhab Category:Articles with hCards	Lebanon	2012–present	28	17	0	0
Arne Sandstø Category:Articles with hCards	Norway	1993–1994	7	0	2	0
Simon Saro Category:Articles with hCards	Angola	2010	3	0	0	0
Ernst Savkovic Category:Articles with hCards	West Germany	1976–1978	42	0	4	0
Halil Savran Category:Articles with hCards	Germany	2006–2008	54	41	1	0
Tekin Sazlog Category:Articles with hCards	Turkey	1993–1994	10	0	1	0
Dietmar Schacht Category:Articles with hCards	West Germany	1985–1986	22	0	0	0
Jürgen Schäfer Category:Articles with hCards	West Germany	1980–1981	9	1	0	0
Christian Schalle Category:Articles with hCards	Germany	2006–2007	29	1	1	0
Joseph Scheimann Category:Articles with hCards	Germany	2007, 2010	3	0	0	0
Daniel Scheinhardt Category:Articles with hCards	Germany	2003–2005	53	1	0	0
Gerald Scheunemann Category:Articles with hCards	West Germany	1985–1986	31	0	1	0
Wolfgang Schilling Category:Articles with hCards	West Germany	1978–1981	105	19	5	0
Lothar Schlapp Category:Articles with hCards	West Germany	1985–1986	25	0	1	0
Peter Schmidt Category:Articles with hCards	West Germany	1980	2	0	0	0
Stephan Schmidt Category:Articles with hCards	Germany	2005–2007	38	4	2	0
Norbert Schmitz Category:Articles with hCards	West Germany	1978–1980	50	6	3	1
Reinhard Schmitz Category:Articles with hCards	West Germany	1976–1979	95	4	8	4
Lothar Schneider Category:Articles with hCards	West Germany	1976–1978	68	9	6	0
Robert Scholl Category:Articles with hCards	Germany	2006–2008, 2013–present	51	4	1	0
Michael Schröder Category:Articles with hCards	Germany	1993–1994	21	2	4	1
Sascha Schrödter Category:Articles with hCards	Germany	2008	13	3	0	0
Peter Schultz Category:Articles with hCards	West Germany	1980	3	0	0	0
Jürgen Schulz Category:Articles with hCards	West Germany	1973–1981	244	16	18	2
Friedhelm Schütte Category:Articles with hCards	West Germany	1980–1981	41	1	1	0
Gerd Schwidrowski Category:Articles with hCards	West Germany	1970–1976	11	1	1	0
Mario Seelisch Category:Articles with hCards	Germany	2009, 2011–2012	10	0	0	0
Marco Sejna Category:Articles with hCards	Germany	1995–1997	61	0	0	0
Astrit Selanci Category:Articles with hCards	Germany	2005–2006	14	1	0	0
Gökhan Şenol Category:Articles with hCards	Turkey	2001	8	0	0	0
Marek Seruga Category:Articles with hCards	Poland	2003–2005	37	7	0	0
Norbert Siegmann Category:Articles with hCards	West Germany	1974–1976	65	4	7	0
Helgi Sigurðsson Category:Articles with hCards	Iceland	1996–1997	14	6	0	0
Stefan Simm Category:Articles with hCards	Germany	2000	15	1	1	0
Hans Sprenger Category:Articles with hCards	West Germany	1973–1979	145	8	11	0
Klaus-Günter Stade Category:Articles with hCards	West Germany	1976–1977	3	0	0	0
Goran Stankovski Category:Articles with hCards	Republic of Macedonia	1998–1999	3	0	1	0
Marc Stein Category:Articles with hCards	Germany	2004	2	0	0	0
Bernd Steinhage Category:Articles with hCards	South Africa	2007	3	0	0	0
Michael Steinhauf Category:Articles with hCards	Germany	2000–2001, 2007	18	1	1	0
Toni Sterjovski Category:Articles with hCards	Australia	2000–2001	10	0	0	0
Bernd Stieler Category:Articles with hCards	West Germany	1985–1986	4	0	0	0
Marc Stillenmunkes Category:Articles with hCards	Germany	2008–2010	50	0	2	0
Bartosz Stoiński Category:Articles with hCards	Poland	2012	1	0	0	0
Norbert Stolzenburg Category:Articles with hCards	West Germany	1973–1976, 1978–1981	210	122	13	1
Winfried Stradt Category:Articles with hCards	West Germany	1976–1978	56	21	3	1
Christian Streit Category:Articles with hCards	Germany	2008–2009	26	3	1	0
Karlheinz Subklewe Category:Articles with hCards	West Germany	1973–1977	81	10	6	1
Jan Suchopárek Category:Articles with hCards	Czech Republic	1999–2000	23	1	2	0
Wolfgang Sühnholz Category:Articles with hCards	West Germany	1974	8	1	2	0
Tomasz Suwary Category:Articles with hCards	Poland	2001	7	1	0	0
Zbigniew Szewczyk Category:Articles with hCards	Poland	1997–2000	59	1	4	0
Beyazıt Taflan Category:Articles with hCards	Turkey	2010–2011, 2011–2012	40	11	0	0
Ifet Taljević Category:Articles with hCards	Germany	2000–2001	19	2	0	0
Ömer Tetik Category:Articles with hCards	Turkey	2011–present	43	0	0	0
Klaus Theiss Category:Articles with hCards	Germany	1993	3	0	0	0
Abdoul Thiam Category:Articles with hCards	Germany	2006–2008	24	2	0	0
Joachim Thiel Category:Articles with hCards	West Germany	1973–1975	22	0	3	0
Fabien Thokomeni Category:Articles with hCards	Cameroon	2012–present	29	0	0	0
Ryan Thomson Category:Articles with hCards	Scotland	2006	17	1	0	0
Christian Tiffert Category:Articles with hCards	Germany	2000	8	2	0	0
Onay Tokgöz Category:Articles with hCards	Turkey	2010–2011	26	2	0	0
Doğukan Topuz Category:Articles with hCards	Turkey	2012	6	1	0	0
Murat Tosun Category:Articles with hCards	Germany	2005	10	2	0	0
Ümit Tosun Category:Articles with hCards	Germany	2005	11	0	0	0
Lassane Touré Category:Articles with hCards	France	2010–2011	24	1	0	0
Mateusz Trachimowicz Category:Articles with hCards	Poland	2011	10	1	0	0
Marko Tredup Category:Articles with hCards	Germany	1996–2000	74	4	4	0
René Tretschok Category:Articles with hCards	Germany	1993–1994	26	1	3	0
Ertan Turan Category:Articles with hCards	Turkey	2008–2010	47	3	2	0
Mustafa Turgut Category:Articles with hCards	Germany	2004	11	3	0	0
İbrahim Türkkan Category:Articles with hCards	Turkey	2004–2005, 2010	28	7	0	0
Serkan Türkoğlu Category:Articles with hCards	Turkey	2010	6	0	0	0
Marcel Uhlig Category:Articles with hCards	Germany	2011–2012	8	0	0	0
Bruno Ullbricht Category:Articles with hCards	Germany	2005–2007	8	0	0	0
René Unglaube Category:Articles with hCards	Germany	1992–1994	20	4	0	0
Onur Uslucan Category:Articles with hCards	Turkey	2011	3	0	0	0
Saša Vidić Category:Articles with hCards	Bosnia and Herzegovina	2001	2	0	0	0
