Television Network	Founded	% of Venezuelan households reached	# of households viewable	Type of network	# of Full-Power Affiliates	# of Low-Power/Class-A Affiliates & Transmitters
Telecolor	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Tele N	N/A	N/A	N/A	Commercial, regional	N/A	N/A
URBE Televisión	N/A	N/A	N/A	Commercial, regional	N/A	N/A
Ciudad TV	N/A	N/A	N/A	Commercial, regional	N/A	N/A
TV Familia	2001	N/A	N/A	Religion, regional	N/A	N/A
Community television networks	Community television networks	Community television networks	Community television networks	Community television networks	Community television networks	Community television networks
TV Puerto	2003	N/A	N/A	Community	1	N/A
TV Apure	N/A	N/A	N/A	Community	1	N/A
Teletambores	2002	N/A	N/A	Community	1	N/A
Contacto Vecinal TV	2005	N/A	N/A	Community	1	N/A
Zamora TV	2004	N/A	N/A	Community	1	N/A
Oritvisión	2004	N/A	N/A	Community	1	N/A
Calipso TV	2003	N/A	N/A	Community	1	N/A
TV Río	N/A	N/A	N/A	Community	1	N/A
Catia TVe	2001	N/A	N/A	Community	1	N/A
TV Caricuao	2002	N/A	N/A	Community	1	N/A
Coro TV	2004	N/A	N/A	Community	1	N/A
Galopando TV	2004	N/A	N/A	Community	1	N/A
Lara TV	2004	N/A	N/A	Community	1	N/A
Azul TVC	N/A	N/A	N/A	Community	1	N/A
Survisión	2004	N/A	N/A	Community	1	N/A
TV Bailadores	2004	N/A	N/A	Community	1	N/A
TV Petare	2002	N/A	N/A	Community	1	N/A
Siguaraya TV	2006	N/A	N/A	Community	1	N/A
Valdez TV	2005	N/A	N/A	Community	1	N/A
Jaureguina TV	2004	N/A	N/A	Community	1	N/A
Michelena TV	2002	N/A	N/A	Community	1	N/A
Montaña TV	2004	N/A	N/A	Community	1	N/A
Televisora Comunitaria de Rubio	2006	N/A	N/A	Community	1	N/A
Vida TV	2003	N/A	N/A	Community	1	N/A
Tarmas TV	2002	N/A	N/A	Community	1	N/A
Camunare Rojo TV	2003	N/A	N/A	Community	1	N/A
Bolívar TV	2004	N/A	N/A	Community	1	N/A
Fundacomez	2004	N/A	N/A	Community	1	N/A
Quijote TV	2006	N/A	N/A	Community	1	N/A
Arawakos TVC	2007	N/A	N/A	Community	1	N/A
Venezuela Heroica	2007	N/A	N/A	Community	1	N/A
TV Limón	2007	N/A	N/A	Community	1	N/A
