County	Per capita income	Median household income	Median family income	Population	Number of households
Irwin	$16,561	$38,376	$51,262	9,538	3,495
Cook	$16,528	$31,390	$37,352	17,212	6,339
Baker	$16,379	$27,462	$42,585	3,451	1,372
Early	$16,330	$26,928	$40,238	11,008	4,228
Mitchell	$16,322	$36,198	$43,930	23,498	8,055
Webster	$16,295	$25,708	$40,441	2,799	1,119
Dodge	$16,288	$33,580	$46,460	21,796	8,177
Screven	$16,189	$32,155	$44,244	14,593	5,596
Schley	$16,122	$35,096	$47,234	5,010	1,872
Emanuel	$16,076	$30,205	$36,402	22,598	8,430
Candler	$16,068	$35,828	$39,105	10,998	4,041
Berrien	$16,049	$32,202	$40,869	19,286	7,443
Warren	$15,987	$31,043	$36,925	5,834	2,315
Turner	$15,973	$30,763	$40,446	8,930	3,339
Burke	$15,934	$33,155	$41,659	23,316	8,533
Twiggs	$15,904	$26,521	$31,324	9,023	3,634
Jeff Davis	$15,730	$32,928	$40,313	15,068	5,689
Johnson	$15,659	$27,607	$35,750	9,980	3,347
Stewart	$15,612	$30,954	$41,673	6,058	1,862
Terrell	$15,553	$27,909	$35,663	9,315	3,519
Ben Hill	$15,529	$30,134	$35,868	17,634	6,794
Atkinson	$15,456	$33,834	$34,859	8,375	2,983
Jefferson	$15,165	$29,268	$36,980	16,930	6,241
Chattooga	$15,158	$32,419	$39,037	26,015	9,548
Long	$15,068	$41,186	$46,654	14,464	5,023
Washington	$15,033	$31,382	$41,055	21,187	7,547
Dooly	$14,871	$31,038	$39,622	14,918	5,286
Taylor	$14,693	$25,237	$35,819	8,906	3,522
Echols	$14,201	$32,390	$33,664	4,034	1,329
Taliaferro	$13,955	$22,188	$29,375	1,717	759
Quitman	$13,642	$28,912	$34,342	2,513	1,053
Telfair	$13,420	$23,876	$36,109	16,500	5,543
Clay	$13,353	$26,250	$31,354	3,183	1,331
Macon	$12,902	$27,950	$37,218	14,740	4,999
Wilcox	$12,692	$30,784	$40,552	9,255	2,891
Calhoun	$12,452	$30,522	$37,309	6,694	2,002
Hancock	$10,925	$22,283	$27,168	9,429	3,341
Wheeler	$10,043	$35,422	$45,042	7,421	2,152
