County	Precincts	Lunsford	% Lunsford	McConnell	% McConnell	Total
Grant	23	3408	39.33%	5257	60.67%	8,665 (R)
Graves	30	7839	48.76%	8239	51.24%	16,078 (R)
Grayson	23	3863	39.23%	5983	60.77%	9,846 (R)
Green	10	1777	35.73%	3197	64.27%	4,974 (R)
Greenup	32	8258	52.83%	7374	47.17%	15,632 (D)
Hancock	10	2298	56.09%	1799	43.91%	4,097 (D)
Hardin	55	17318	43.68%	22326	56.32%	39,644 (R)
Harlan	35	4440	45.92%	5229	54.08%	9,669 (R)
Harrison	17	3814	50.47%	3743	49.53%	7,557 (D)
Hart	19	2962	44.60%	3680	55.40%	6,642 (R)
Henderson	42	11048	56.06%	8659	43.94%	19,707 (D)
Henry	20	3194	46.52%	3672	53.48%	6,866 (R)
Hickman	6	1049	47.49%	1160	52.51%	2,209 (R)
Hopkins	40	8481	44.87%	10419	55.13%	18,900 (R)
Jackson	14	1245	24.71%	3794	75.29%	5,039 (R)
Jefferson	515	195401	55.73%	155241	44.27%	350,642 (D)
Jessamine	37	7847	39.60%	11969	60.40%	19,816 (R)
Johnson	31	3252	38.81%	5128	61.19%	8,380 (R)
Kenton	108	19217	36.26%	33787	63.74%	53,004 (R)
Knott	30	3477	62.14%	2118	37.86%	5,595 (D)
Knox	30	4329	39.01%	6767	60.99%	11,096 (R)
LaRue	12	2523	41.97%	3489	58.03%	6,012 (R)
Laurel	45	6850	31.15%	15138	68.85%	21,988 (R)
Lawrence	18	2641	47.47%	2923	52.53%	5,564 (R)
Lee	10	1073	39.77%	1625	60.23%	2,698 (R)
Leslie	17	1083	25.15%	3224	74.85%	4,307 (R)
Letcher	32	4198	51.82%	3903	48.18%	8,101 (D)
Lewis	14	1787	38.26%	2884	61.74%	4,671 (R)
Lincoln	17	4119	45.47%	4939	54.53%	9,058 (R)
Livingston	10	2142	47.35%	2382	52.65%	4,524 (R)
Logan	20	4379	40.70%	6379	59.30%	10,758 (R)
Lyon	6	1821	47.80%	1989	52.20%	3,810 (R)
McCracken	54	13006	42.91%	17303	57.09%	30,309 (D)
McCreary	18	1576	30.41%	3606	69.59%	5,182 (R)
McLean	8	2225	50.55%	2177	49.45%	4,402 (D)
Madison	56	14657	45.96%	17237	54.04%	31,894 (R)
Magoffin	14	2719	58.81%	1904	41.19%	4,623 (D)
Marion	17	4304	57.68%	3158	42.32%	7,462 (D)
Marshall	25	7463	48.94%	7785	51.06%	15,248 (R)
Martin	14	1203	33.19%	2422	66.81%	3,625 (R)
Mason	20	3095	44.58%	3847	55.42%	6,942 (R)
Meade	18	5149	46.58%	5905	53.42%	11,054 (R)
Menifee	6	1520	61.51%	951	38.49%	2,471 (D)
Mercer	17	4338	44.17%	5484	55.83%	9,822 (R)
Metcalfe	12	1766	44.03%	2245	55.97%	4,011 (R)
Monroe	12	1237	27.16%	3318	72.84%	4,555 (R)
Montgomery	18	5526	54.25%	4660	45.75%	10,186 (D)
Morgan	12	2475	57.03%	1865	42.97%	4,340 (D)
Muhlenberg	26	7436	57.90%	5406	42.10%	12,842 (R)
Nelson	26	8823	49.60%	8965	50.40%	17,788 (R)
Nicholas	5	1737	59.47%	1184	40.53%	2,921 (D)
Ohio	25	4664	47.08%	5242	52.92%	9,906 (R)
Oldham	34	10204	35.25%	18744	64.75%	28,948 (R)
Owen	13	2019	42.93%	2684	57.07%	4,703 (R)
Owsley	8	559	34.46%	1063	65.54%	1,622 (R)
Pendleton	12	2155	37.97%	3520	62.03%	5,675 (R)
Perry	37	5026	49.10%	5211	50.90%	10,237 (R)
Pike	57	12912	57.16%	9679	42.84%	22,591 (D)
Powell	11	2863	57.91%	2081	42.09%	4,944 (D)
Pulaski	57	8108	32.20%	17072	67.80%	25,180 (R)
Robertson	5	498	49.21%	514	50.79%	1,012 (R)
Rockcastle	14	1837	30.55%	4177	69.45%	6,014 (R)
Rowan	18	4710	58.71%	3312	41.29%	8,022 (D)
Russell	16	2450	33.67%	4827	66.33%	7,277 (R)
Scott	35	9238	47.36%	10267	52.64%	19,505 (R)
Shelby	33	7546	41.15%	10790	58.85%	18,336 (R)
Simpson	13	3118	44.29%	3922	55.71%	7,040 (R)
Spencer	11	3159	39.64%	4811	60.36%	7,970 (R)
Taylor	20	4163	38.52%	6644	61.48%	10,807 (R)
Todd	13	1772	36.89%	3032	63.11%	4,804 (R)
Trigg	14	2637	40.76%	3833	59.24%	6,470 (R)
Trimble	12	1927	50.87%	1861	49.13%	3,788 (D)
Union	16	3335	55.46%	2678	44.54%	6,013 (D)
Warren	63	19162	43.84%	24547	56.16%	43,709 (R)
Washington	14	2316	45.04%	2826	54.96%	5,142 (R)
Wayne	19	3045	43.30%	3987	56.70%	7,032 (R)
Webster	14	3000	54.39%	2516	45.61%	5,516 (D)
Whitley	36	4849	36.37%	8484	63.63%	13,333 (R)
Wolfe	8	1886	62.74%	1120	37.26%	3,006 (D)
