Year	Day	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1979	Monday	September 3	David Pearson	Rod Osterlund Racing	Chevrolet	367	501.322 (806.799)	3:58:14	126.259	Report
1980	Monday	September 1	Terry Labonte *	Billy Hagan	Chevrolet	367	501.322 (806.799)	4:21:05	115.21	Report
1981	Monday	September 7	Neil Bonnett	Wood Brothers Racing	Ford	367	501.322 (806.799)	3:57:57	126.41	Report
1982	Monday	September 6	Cale Yarborough	M. C. Anderson Racing	Buick	367	501.322 (806.799)	4:21:00	115.224	Report
1983	Monday	September 5	Bobby Allison	DiGard Motorsports	Buick	367	501.322 (806.799)	4:03:52	123.343	Report
1984	Sunday	September 2	Harry Gant	Hal Needham	Chevrolet	367	501.322 (806.799)	3:54:02	128.27	Report
1985	Sunday	September 1	Bill Elliott *	Melling Racing	Ford	367	501.322 (806.799)	4:08:02	121.254	Report
1986	Sunday	August 31	Tim Richmond	Hendrick Motorsports	Chevrolet	367	501.322 (806.799)	4:08:45	121.068	Report
1987	Sunday	September 6	Dale Earnhardt	Richard Childress Racing	Chevrolet	202*	275.932 (444.069)	2:23:19	115.52	Report
1988	Sunday	September 4	Bill Elliott	Melling Racing	Ford	367	501.322 (806.799)	3:54:27	128.297	Report
1989	Sunday	September 3	Dale Earnhardt	Richard Childress Racing	Chevrolet	367	501.322 (806.799)	3:42:03	135.462	Report
1990	Sunday	September 2	Dale Earnhardt	Richard Childress Racing	Chevrolet	367	501.322 (806.799)	4:04:16	123.141	Report
1991	Sunday	September 1	Harry Gant	Leo Jackson Racing	Oldsmobile	367	501.322 (806.799)	3:45:18	133.508	Report
1992	Sunday	September 6	Darrell Waltrip *	DarWal, Inc.	Chevrolet	298*	407.068 (655.112)	3:09:10	129.114	Report
1993	Sunday	September 5	Mark Martin	Roush Racing	Ford	351*	479.466 (771.625)	3:28:34	137.932	Report
1994	Sunday	September 4	Bill Elliott	Junior Johnson & Associates	Ford	367	501.322 (806.799)	3:55:05	127.952	Report
1995	Sunday	September 3	Jeff Gordon	Hendrick Motorsports	Chevrolet	367	501.322 (806.799)	4:08:07	121.231	Report
1996	Sunday	September 1	Jeff Gordon	Hendrick Motorsports	Chevrolet	367	501.322 (806.799)	3:41:34	135.757	Report
1997	Sunday	August 31	Jeff Gordon *	Hendrick Motorsports	Chevrolet	367	501.322 (806.799)	4:08:17	121.149	Report
1998	Sunday	September 6	Jeff Gordon	Hendrick Motorsports	Chevrolet	367	501.322 (806.799)	3:36:21	139.031	Report
1999 *	Sunday	September 5	Jeff Burton	Roush Racing	Ford	270*	368.82 (593.558)	3:25:15	107.816	Report
2000	Sunday	September 3	Bobby Labonte	Joe Gibbs Racing	Pontiac	328*	448.048 (721.063)	4:08:20	108.273	Report
2001	Sunday	September 2	Ward Burton	Bill Davis Racing	Dodge	367	501.322 (806.799)	4:05:00	122.773	Report
2002	Sunday	September 1	Jeff Gordon	Hendrick Motorsports	Chevrolet	367	501.322 (806.799)	4:13:35	118.617	Report
2003	Sunday	August 31	Terry Labonte *	Hendrick Motorsports	Chevrolet	367	501.322 (806.799)	4:09:08	120.733	Report
