Dist.	Democratic Coalition	Alliance	Together We Can Do More	Independent Regional Force	Independents
13	Álex Avsolomovich ( PDC )	Joaquín Godoy ( RN )	Óscar Aroca ( PC )	none	none
13	(R) Laura Soto ( PPD )	Luis Parot ( UDI )	Rafael Henríquez ( PH )	none	none
14	Raúl Allard ( PDC )	Francisco Chahuán ( RN )	Felipe Zavala ( PC )	none	none
14	(R) Rodrigo González ( PPD )	(R) Gonzalo Ibáñez ( UDI )	Luis Aravena (Ind.)	none	none
15	Osvaldo Badenier ( PDC )	(R) Carlos Hidalgo (Ind.)	Maximiliano Miranda ( PC )	none	Sergio Velasco
15	(R) Samuel Venegas ( PRSD )	Edmundo Eluchans ( UDI )	Aníbal Reyna (Ind.)	none	Sergio Velasco
16	Gabriel Silber ( PDC )	Peter Retamales ( RN )	Carmen Hertz ( PC )	none	none
16	Fanny Pollarolo ( PS )	(R) Patricio Melero ( UDI )	Osvaldo Toro ( PH )	none	none
17	Sergio Espejo ( PDC )	Karla Rubilar ( RN )	Jorge Insunza ( PC )	none	none
17	(R) María Antonieta Saa ( PPD )	Álvaro Cruzat ( UDI )	Juan López ( PH )	none	none
18	(R) Carlos Olivares ( PDC )	Pedro Pablo Díaz ( RN )	Óscar Hernández ( PC )	none	none
18	Guido Girardi Briere ( PPD )	Miguel Schweitzer ( UDI )	José Antonio Salinas ( PH )	none	none
19	Mauricio Castro ( PDC )	Pablo Rochet ( RN )	Germán Llanca (Ind.)	none	Alejandro Reyes
19	(R) Patricio Hales ( PPD )	Claudia Nogueira ( UDI )	Nicolás García (Ind.)	none	Alejandro Reyes
20	Luis Pareto ( PDC )	Roberto Sepúlveda ( RN )	Juan Andrés Lagos ( PC )	none	none
20	Álvaro Escobar ( PPD )	(R) Mario Varela ( UDI )	Valdemar Sanhueza (Ind.)	none	none
21	(R) Jorge Burgos ( PDC )	Juan Guillermo Vivado ( RN )	Jaime Gajardo ( PC )	none	none
21	Patricia Silva ( PS )	(R) Marcela Cubillos ( UDI )	Juan Carlos Gálvez ( PH )	none	none
22	Ricardo Hormazábal ( PDC )	Carmen Ibáñez ( RN )	Claudia Pascual ( PC )	none	none
22	(R) Carolina Tohá ( PPD )	(R) Alberto Cardemil (Ind.)	Claudia Manríquez ( PH )	none	none
23	Clemente Pérez ( PDC )	Cristián Monckeberg ( RN )	Antonieta Vera ( PC )	none	none
23	Leopoldo Sánchez ( PPD )	(R) Julio Dittborn ( UDI )	Carlos Padilla ( PH )	none	none
24	Marigen Hornkohl ( PDC )	Francisco López ( RN )	Francisco Villa ( PC )	none	none
24	(R) Enrique Accorsi ( PPD )	(R) María Angélica Cristi ( UDI )	Susana Córdova ( PH )	none	none
25	Marcelo Ortiz ( PDC )	Raquel Argandoña ( RN )	Amaro Labra ( PC )	none	José Pedro Weinstein
25	(R) Ximena Vidal ( PPD )	(R) Felipe Salaberry ( UDI )	Juan Enrique Prieto ( PH )	none	José Pedro Weinstein
26	Gonzalo Duarte ( PDC )	Miguel Navarro ( RN )	Julio Oliva ( PC )	none	Pedro Ávalos
26	(R) Carlos Montes ( PS )	Gustavo Alessandri ( UDI )	Raúl Florcita Alarcón ( PH )	none	Pedro Ávalos
27	(R) Eliana Caraball ( PDC )	Carlos Contreras ( RN )	Ercides Martínez ( PC )	none	none
27	Tucapel Jiménez (Ind.)	(R) Iván Moreira ( UDI )	Mónica Quilodrán (Ind.)	none	none
28	(R) Rodolfo Seguel ( PDC )	Julio Ibarra ( RN )	Eduardo Contreras ( PC )	none	none
28	Jorge Insunza ( PPD )	(R) Darío Paya ( UDI )	Claudina Núñez ( PC )	none	none
29	Teresa Montrone ( PDC )	(R) Maximiano Errázuriz ( RN )	Manuel Hernández ( PC )	none	none
29	(R) Isabel Allende ( PS )	Pablo Desbordes ( UDI )	Patricio Bell ( PH )	none	none
30	(R) Edgardo Riveros ( PDC )	Rosa Oyarce ( RN )	Sergio Castro ( PC )	none	none
30	Ramón Farías ( PPD )	(R) José Antonio Kast ( UDI )	Tania Figueroa ( PH )	none	none
31	Francisco Puga ( PDC )	Alberto Haddad ( RN )	Marcela Mallea ( PC )	none	none
31	Denise Pascal ( PS )	(R) Gonzalo Uriarte ( UDI )	Luis Leoncio Álvarez ( PH )	none	none
32	Juan Ramón Godoy (Ind.)	Luis Díaz ( RN )	Pedro Aravena ( PC )	none	none
32	(R) Esteban Valenzuela ( PPD )	(R) Alejandro García-Huidobro ( UDI )	Guido Oyarzún ( PH )	none	none
33	Carlos Dupré ( PDC )	Félix Ortiz (Ind.)	Carlos Poblete ( PC )	none	none
33	Alejandro Sule ( PRSD )	(R) Eugenio Bauer ( UDI )	Sergio Mella ( PH )	none	none
34	(R) Alejandra Sepúlveda ( PDC )	Rodrigo Montt (Ind.)	José Figueroa ( PC )	none	none
34	Alba Gallardo ( PS )	(R) Juan Masferrer ( UDI )	José Tejo ( PH )	none	none
35	Juan Carlos Latorre ( PDC )	César Molfino (Ind.)	Patricio Martínez ( PC )	none	none
35	Rubén Andino ( PS )	(R) Ramón Barros ( UDI )	Mauro Pantoja ( PH )	none	none
36	Roberto León ( PDC )	Matías Carrozzi ( RN )	Wladimir Pulgar ( PC )	none	Moisés Lucero
36	Raúl Bravo ( PS )	(R) Sergio Correa ( UDI )	María Eliana Astaburuaga ( PH )	none	Moisés Lucero
37	Christian Suárez ( PDC )	Germán Verdugo ( RN )	Edgardo Cáceres ( PC )	none	none
37	(R) Sergio Aguiló ( PS )	(R) Pablo Prieto ( UDI )	Óscar Vega (Ind.)	none	none
38	(R) Pablo Lorenzini ( PDC )	(R) Pedro Pablo Álvarez-Salamanca ( RN )	José Oróstica ( PC )	none	none
38	Roberto Celedón (Ind.)	Eduardo Prieto ( UDI )	Marcelo Mardones (Ind.)	none	none
39	Yenny Molina (Ind.)	(R) Osvaldo Palma ( RN )	Mario Ibarra ( PC )	none	none
39	(R) Jorge Tarud ( PPD )	Christian Chadwick ( UDI )	Roberto Gutiérrez ( PH )	none	none
40	Ulises Urzúa (Ind.)	Juan Carlos Muñoz ( RN )	Edgar Cifuentes ( PC )	none	none
40	(R) Guillermo Ceroni ( PPD )	(R) Ignacio Urrutia ( UDI )	Juan Carlos Márquez (Ind.)	none	none
41	Claudio Huepe ( PDC )	(R) Rosauro Martínez ( RN )	Cristián Muñoz ( PC )	none	none
41	(R) Carlos Abel Jarpa ( PRSD )	Alejandro Arrau ( UDI )	Claudio Ávila (Ind.)	none	none
42	Jorge Sabag ( PDC )	(R) Nicolás Monckeberg ( RN )	Luis Soto ( PC )	none	José Roberto Santos
42	(R) Felipe Letelier ( PPD )	René Barba ( UDI )	Camilo Cabezas ( PH )	none	José Roberto Santos
43	Sergio Micco ( PDC )	Frank Sauerbaum ( RN )	Alejandro Sepúlveda ( PC )	none	Patricio Pinto
43	Raúl Súnico ( PS )	(R) Jorge Ulloa ( UDI )	Patricia Beltrán ( PH )	none	Elicia Herrera
44	(R) José Miguel Ortiz ( PDC )	Francisca Van Rysselberghe (Ind.)	Freddy Cabrera ( PC )	none	Félix González
44	Maria Angélica Fuentes ( PPD )	(R) Andrés Egaña ( UDI )	Loreto Muñoz ( PH )	none	Félix González
45	Germán Acuña ( PDC )	Bernardo Ulloa (Ind.)	Iván Quintana ( PC )	none	none
45	Clemira Pacheco ( PS )	Sergio Bobadilla ( UDI )	Isaías Gutiérrez (Ind.)	none	none
46	Edmundo Salas ( PDC )	Ana Eugenia García Aillón ( RN )	Guillermo Teillier ( PC )	none	none
46	Manuel Monsalve ( PS )	(R) Iván Norambuena ( UDI )	Jorge Venegas (Ind.)	none	none
47	Marcelo Urrutia ( PDC )	Gonzalo Arellano ( RN )	Julio Aránguiz ( PC )	none	none
47	(R) José Pérez ( PRSD )	Juan Lobos ( UDI )	Jorge Monje ( PH )	none	none
48	Mario Venegas ( PDC )	(R) Francisco Bayo ( RN )	Domingo Marileo ( PC )	Romnel Edgardo Aravena ( ANI )	Sofía Painiqueo
48	Ricardo Navarrete ( PRSD )	Gonzalo Arenas ( UDI )	Juan Varela (Ind.)	Romnel Edgardo Aravena ( ANI )	Sofía Painiqueo
49	Víctor Gárate ( PDC )	Cristián Barra ( RN )	Mauricio Teillier ( PC )	Julio Villablanca ( ANI )	none
49	(R) Jaime Quintana ( PPD )	Enrique Estay ( UDI )	Mario Poo (Ind.)	Eduardo Díaz (Ind.)	none
50	(R) Eduardo Saffirio ( PDC )	(R) Germán Becker ( RN )	Javier Chávez ( PC )	Guillermo Allende ( ANI )	Sergio Castillo
50	Carlos González ( PRSD )	Gonzalo Navarrete ( UDI )	Carlos Carter ( PH )	Guillermo Allende ( ANI )	Luis Seguel
51	(R) Eduardo Díaz (Ind.)	Hernán Viguera ( RN )	Antonieta Faúndez ( PC )	Laura Soto Ibacache ( ANI )	Fernando Troncoso
51	(R) Eugenio Tuma ( PPD )	René Fernández ( UDI )	Jorge Zambrano ( PH )	Laura Soto Ibacache ( ANI )	Fernando Troncoso
52	Mario Acuña ( PDC )	(R) René Manuel García ( RN )	Francisco Painevilo ( PC )	Miguel Ángel Arteaga ( ANI )	none
52	(R) Fernando Meza ( PRSD )	Alejandro Martini ( UDI )	Pablo González ( PH )	Miguel Ángel Arteaga ( ANI )	none
53	(R) Exequiel Silva ( PDC )	(R) Roberto Delmastro (Ind.)	Marcia Klein ( PC )	Fredi Kirshbom ( ANI )	none
53	Alfonso de Urresti ( PS )	Sebastián Donoso ( UDI )	Beatriz Hermosilla (Ind.)	Fredi Kirshbom ( ANI )	none
54	Ricardo Halabí ( PDC )	Ewald Wittke ( RN )	Pedro Ruiz ( PC )	Félix Montiel ( ANI )	none
54	(R) Enrique Jaramillo ( PPD )	(R) Gastón Von Muhlenbrock ( UDI )	Pedro Ruiz ( PC )	Guillermo Holtheuer (Ind.)	none
55	(R) Sergio Ojeda ( PDC )	Beatriz Díaz (Ind.)	Patricio Miranda ( PC )	Jaime Moreira (Ind.)	none
55	Fernando Soto ( PS )	(R) Javier Hernández ( UDI )	Claudio Soto (Ind.)	Jaime Moreira (Ind.)	none
56	Carlos Tudela ( PDC )	Harry Jurgensen ( RN )	Andrea Oyarzún ( PC )	Jorge Blaessinger (Ind.)	none
56	(R) Fidel Espinoza ( PS )	(R) Carlos Recondo ( UDI )	Antonio Caileo (Ind.)	Jorge Blaessinger (Ind.)	none
57	Patricio Vallespín ( PDC )	Eduardo Becker ( RN )	Renato Alvarado ( PC )	Pablo Muñoz (Ind.)	none
57	Sergio Galilea ( PPD )	Marisol Turres ( UDI )	Renato Alvarado ( PC )	Pablo Muñoz (Ind.)	none
58	(R) Gabriel Ascencio ( PDC )	Alejandro Santana ( RN )	Mario Contreras ( PC )	Minor Braniff (Ind.)	none
58	Juan José Cárcamo ( PPD )	(R) Claudio Alvarado ( UDI )	Luis Veloso (Ind.)	Minor Braniff (Ind.)	none
59	Eduardo Santelices ( PDC )	(R) Pablo Galilea ( RN )	Yasna Jara ( PC )	Mercedes Mayorga (Ind.)	none
59	René Alinco ( PPD )	Max Larraín ( UDI )	Walter Ramírez (Ind.)	Mercedes Mayorga (Ind.)	none
60	Carolina Goic ( PDC )	René Bobadilla (Ind.)	Jeannette Antonin ( PC )	none	Miodrag Marinovic
