Ship	Year	Dates	Line	From	Distance	Days, hours, minutes	Speed
Lusitania	1907	6 – 10 October	Cunard	Queenstown	nautical miles (km)	4 d, 19 h, 52 m	knots (km/h)
Lusitania	1908	17 May–21 May	Cunard	Queenstown	nautical miles (km)	4 d, 20 h, 22 m	knots (km/h)
Lusitania	1908	5 – 10 July	Cunard	Queenstown	nautical miles (km)	4 d, 19 h, 36 m	knots (km/h)
Lusitania	1909	8 – 12 August	Cunard	Queenstown	nautical miles (km)	4 d, 16 h, 40 m	knots (km/h)
Mauretania	1909	26 – 30 September	Cunard	Queenstown	nautical miles (km)	4 d, 10 h, 51 m	knots (km/h)
Bremen	1929	17 – 22 July	NDL	Cherbourg	nautical miles (km)	4 d, 17 h, 42 m	knots (km/h)
Europa	1930	20 – 25 March	NDL	Cherbourg	nautical miles (km)	4 d, 17 h, 6 m	knots (km/h)
Bremen	1933	27 June – 2 July	NDL	Cherbourg	nautical miles (km)	4 d, 16 h, 48 m	knots (km/h)
Rex	1933	11 – 16 August	Italian	Gibraltar	nautical miles (km)	4 d, 13 h, 58 m	knots (km/h)
Normandie	1935	30 May – 3 June	CGT	Bishop Rock	nautical miles (km)	4 d, 3 h, 2 m	knots (km/h)
Queen Mary	1936	20 – 24 August	C-WS	Bishop Rock	nautical miles (km)	4 d, 0 h, 27 m	knots (km/h)
Normandie	1937	29 July – 2 August	CGT	Bishop Rock	nautical miles (km)	3 d, 23 h, 2 m	knots (km/h)
Queen Mary	1938	4 – 8 August	C-WS	Bishop Rock	nautical miles (km)	3 d, 21 h, 48 m	knots (km/h)
United States	1952	11 – 15 July	USL	Bishop Rock	nautical miles (km)	3 d, 12 h, 12 m	knots (km/h)
