Year	Song title	Artist	Master recording ?	Release date	Single / Pack
2006	"Soothsayer"	Buckethead	Yes	2008-07-24 July 24, 2008	Guitar Virtuoso Track Pack
2006	" Operation Ground and Pound "	DragonForce	Yes	2008-08-21 Aug. 21, 2008	DragonForce Track Pack
2006	"Revolution Deathsquad"	DragonForce	Yes	2008-08-21 Aug. 21, 2008	DragonForce Track Pack
2008	" Heroes of Our Time "	DragonForce	Yes	2008-08-21 Aug. 21, 2008	DragonForce Track Pack
2008	"That Was Just Your Life"	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	" End of the Line The End of the Line"	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	" Broken, Beat & Scarred "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	" Day That Never Comes The Day That Never Comes "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	" All Nightmare Long "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	" Cyanide "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	" Unforgiven III The Unforgiven III "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	" Judas Kiss The Judas Kiss "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	"Suicide & Redemption J.H. "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
2008	"Suicide & Redemption K.H. "	Metallica	Yes	2008-09-12 Sept. 12, 2008	Death Magnetic
