Name of horse	Year inducted	Year foaled	Sire	Broodmare sire	Discipline
Joe Reed II	1994	1936	Joe Reed P-3	Fleeting Time (TB)	Racing
Joe Reed P-3	1992	1921	Joe Blair (TB)	Old DJ	Racing
Kaweah Bar	1998	1966	Alamitos Bar	Go Man Go	Racing
King P-234	1989	1932	Zantanon	Strait Horse	Breeding stallion
Lena's Bar (TB)	2003	1954	Three Bars (TB)	Gray Dream (TB)	Racing Broodmare
Leo P-1335	1989	1940	Joe Reed II	Joe Reed P-3	Racing
Lightning Bar	2008	1951	Three Bars (TB)	Doc Horn (TB)	Showing
Lynx Melody	2008	1975	Doc's Lynx	Leon Bars	Cutting
Maddon's Bright Eyes	1997	1946	Gold Mount	King Plaudit (TB)	Racing
Make It Do	2009	1964	Breeze Bar	Camelot's Little Cuero	Rodeo
Miss Jim 45	2000	1966	Jim Harlan	Paulos Dandy	Showing
Miss Meyers	2009	1949	Leo	Oklahoma Star	Racing
Moon Deck	1996	1950	Top Deck (TB)	Peace Pipe (TB)	Racing
Mr San Peppy	2011	1968	Leo San	Pep Up	Cutting
Oklahoma Star P-6	1992	1915	Dennis Reed (TB)	Gulliver	Stallion
Old Sorrel	1990	1915	Hickory Bill	unknown	Breeding stallion
Ought To Go	2003	1967	Go Man Go	War Bam (TB)	Racing
Pecho Dexter	2005	1963	Poco Pecho	Joe Dexter	Halter & Showing
Peppy San	1999	1959	Leo San	Pep Up	Cutting
Peppy San Badger	2008	1974	Mr San Peppy	Grey Badger III	Cutting
Peter McCue	1991	1895	Dan Tucker	Voltigeur (TB)	Breeding stallion
Poco Bueno P-3044	1990	1944	King P-234	Old Poco Bueno	Cutting
Poco Lena	1991	1949	Poco Bueno	Pretty Boy	Cutting
Poco Pine	2010	1954	Poco Bueno	Pretty Boy	Showing, Breeding stallion
Quo Vadis	2002	1952	Little Lloyd	Brown Caesar	Showing
Refrigerator	2000	1988	Rare Jet	Heisanative	Racing
Rocket Bar (TB)	1992	1951	Three Bars (TB)	Cartago (TB)	Racing
Rocket Wrangler	2010	1968	Rocket Bar (TB)	Go Man Go	Racing, Breeding stallion
Ronas Ryon	2004	1984	Windy Ryon	Three Bargains	Racing
Royal King	1997	1943	King P-234	Dolph	Cutting
Royal Santana	2000	1977	Peppy San	Royal King	Cutting
Rugged Lark	2006	1981	Really Rugged (TB)	Leolark	Showing
Scotch Bar Time	2009	1974	Sonny Dee Bar	Spot Time	Breeding
Shue Fly	2005	1937	Cowboy P-12	Booger Red	Racing
Skipper W	2011	1945	Nick Shoemaker	Cowboy P-12	Breeding Stallion
Sonny Dee Bar	2003	1965	Win Or Lose	Chigger	Halter
Special Effort	2008	1979	Raise Your Glass (TB)	Double Devil	Racing
Streakin La Jolla	2012	1985	Streakin Six	Raise Your Glass (TB)	Breeding Stallion
Streakin Six	2011	1977	Easy Six	Little Request (TB)	Breeding Stallion
Sugar Bars	1994	1951	Three Bars (TB)	Rey	Breeding stallion
Texas Dandy	1995	1942	My Texas Dandy	Lone Star	Racing
The Invester	2004	1969	Zippo Pat Bars	Dinky Reed	Halter
Three Bars (TB)	1989	1940	Percentage (TB)	Luke McLuke (TB)	Racing
Top Deck (TB)	1990	1945	Equestrian (TB)	Chicaro (TB)	Breeding stallion
Top Moon	1999	1960	Moon Deck	Barred	Racing
Town Policy	1998	1975	Reb's Policy	Breeze Bar	Racing
Traveler	1994	c1885	unknown	unknown	Racing
Two Eyed Jack	1996	1961	Two D Two	Grey Badger III	Showing
Wimpy P-1	1989	1937	Solis	Old Sorrel	Breeding stallion
Zan Parr Bar	2010	1974	Par Three	Poco Astro	Showing, Breeding stallion
Zippo Pat Bars	2002	1964	Three Bars (TB)	Leo	Showing
Zippo Pine Bar	2000	1969	Zippo Pat Bars	Poco Pine	Showing
Fillinic	2013	1957	Arizona Junie	Master Boss (TB)	Reining/Broodmare
Freckles Playboy	2013	1973	Jewels Leo Bars	Rey Jay	Cutting/Breeding stallion
Lady Bug's Moon	2013	1966	Top Moon	Sergeant	Racing/Breeding stallion
Miss Olene	2013	1957	Leo	Patriotic (TB)	Racing/Broodmare
Poco Tivio	2013	1947	Poco Bueno	Pretty Boy	Cutting/Breeding stallion
