Member	Party	Electorate	State	Term in office
Peter Morris	ALP	Shortland	NSW	1972–1998
Hon Bill Morrison	ALP	St George	NSW	1969–1975, 1980–1984
John Mountford	ALP	Banks	NSW	1980–1990
Hon Kevin Newman	Liberal	Bass	Tas	1975–1984
Hon Peter Nixon	National	Gippsland	Vic	1961–1983
Frank O'Keefe	National	Paterson	NSW	1969–1984
Hon Andrew Peacock	Liberal	Kooyong	Vic	1966–1994
James Porter	Liberal	Barker	SA	1975–1990
Peter Reith 6	Liberal	Flinders	Vic	1982–1983, 1984–2001
Hon Eric Robinson 1	Liberal	McPherson	Qld	1972–1990
Hon Ian Robinson	National	Cowper	NSW	1963–1981
Allan Rocher 3	Liberal	Curtin	WA	1981–1998
Philip Ruddock	Liberal	Dundas	NSW	1973–present
Murray Sainsbury	Liberal	Eden-Monaro	NSW	1975–1983
Hon Gordon Scholes	ALP	Corio	Vic	1967–1993
John Scott	ALP	Hindmarsh	SA	1980–1993
Peter Shack	Liberal	Tangney	WA	1977–1983, 1984–1993
Roger Shipton	Liberal	Higgins	Vic	1975–1990
Rt Hon Ian Sinclair	National	New England	NSW	1963–1998
Rt Hon Sir Billy Snedden	Liberal	Bruce	Vic	1955–1983
John Spender	Liberal	North Sydney	NSW	1980–1990
Hon Tony Street	Liberal	Corangamite	Vic	1966–1984
Grant Tambling	CLP	Northern Territory	NT	1980–1983
Dr Andrew Theophanous	ALP	Burke	Vic	1980–2001
Hon David Thomson	National	Leichhardt	Qld	1975–1983
Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Hon Tom Uren	ALP	Reid	NSW	1958–1990
Hon Ian Viner	Liberal	Stirling	WA	1972–1983
Laurie Wallis	ALP	Grey	SA	1969–1983
Stewart West	ALP	Cunningham	NSW	1977–1993
Peter White 1	Liberal	McPherson	Qld	1981–1990
Ralph Willis	ALP	Gellibrand	Vic	1972–1998
Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972–1993
Mick Young	ALP	Port Adelaide	SA	1974–1988
