Line	Historic name	Segment	Gauge	Tracks
Numedal	—	Kongsberg – Rødberg	Standard	Single
Sørlandet	—	Neslandsvatn – Lunde	Standard	Single
Kragerø	Sørlandet	Kragerø – Neslandsvatn	Standard	Single
Nordland	—	Snåsa – Grong	Standard	Single
Namsos	—	Grong – Namsos	Standard	Single
Hardanger	—	Granvin – Voss	Standard	Single
Sørlandet	—	Nelaug – Neslandsvatn	Standard	Single
Sørlandet	—	Grovane – Nelaug	Standard	Single
Nordland	—	Grong – Mosjøen	Standard	Single
Nordland	—	Mosjøen – Elsfjord	Standard	Single
Flåm	—	Flåm – Myrdal	Standard	Single
Nordland	—	Elsfjord – Bjerka	Standard	Single
Nordland	—	Bjerka – Mo i Rana	Standard	Single
Nordland	—	Mo i Rana – Tverrånes	Standard	Single
Nordland	—	Storforshei – Grønnfjelldal	Standard	Single
Sørlandet	—	Sira – Tronviken	Standard	Single
Flekkefjord	—	Sira – Sirnes	Standard	Single
Sørlandet	—	Sira – Kristiansand	Standard	Single
Nordland	—	Grønnfjelldal – Dunderland	Standard	Single
Nordland	—	Dunderland – Lønsdal	Standard	Single
Nordland	—	Lønsdal – Røkland	Standard	Single
Sulitjelma	—	Åglifjell – Finneid	CAP	Single
Stavne–Leangen	—	Stavne – Leangen	Standard	Single
Nordland	—	Røkland – Fauske	Standard	Single
Nordland	—	Fauske – Bodø	Standard	Single
Bergen	—	Bergen – Arna	Standard	Single
Drammen	—	Brakerøy – Asker	Standard	Double
Drammen	—	Skøyen – Oslo	Standard	Double
Østfold	—	Tveter– Vestby	Standard	Double
Østfold	—	Vestby –Rustad	Standard	Double
Østfold	—	Ås	Standard	Double
Bergen	—	Høgheller– Finse	Standard	Single
Østfold	—	Ås –Tveter	Standard	Double
Østfold	—	Ski – Ås	Standard	Double
Vestfold	—	Skoger	Standard	Double
Bergen	—	Kongsnut	Standard	Single
Drammen	—	Drammen – Brakerøya	Standard	Double
Østfold	—	Kambo –Sandbukta	Standard	Double
Østfold	—	Rustad–Hølen	Standard	Double
Bergen	—	Uksabotn	Standard	Single
Østfold	—	Hølen– Kambo	Standard	Double
Bergen	—	Larsbu	Standard	Single
Bergen	—	Storurdi	Standard	Single
Gardermoen	—	Lillestrøm – Eidsvoll	Standard	Double
Gardermoen	—	Etterstad – Lillestrøm	Standard	Double
Bergen	—	Gråskallen	Standard	Single
Drammen	—	Nationaltheatret	Standard	Quadruple
Vestfold	—	Såstad–Haug	Standard	Double
Vestfold	—	Nykirke	Standard	Double
Vestfold	—	Holm–Bergsenga	Standard	Double
Asker	—	Asker – Sandvika	Standard	Double
Nordland	—	Hommelvik – Hell	Standard	Single
Asker	—	Sandvika – Lysaker	Standard	Double
Vestfold	—	Tønsberg – Barkåker	Standard	Double
