Municipality	Coakley votes	Coakley %	Brown votes	Brown %	Kennedy votes	Kennedy %	Total vote	Turnout %
Montague	1895	64.7%	985	33.6%	51	1.7%	2931	51%
Monterey	296	73.8%	102	25.4%	3	0.7%	401	57%
Montgomery	123	31.2%	267	67.8%	4	1.0%	394	67%
Mount Washington	62	73.8%	21	25.0%	1	1.2%	84	66%
Nahant	877	49.5%	880	49.7%	13	0.7%	1770	69%
Nantucket	2139	50.6%	2032	48.0%	58	1.4%	4229	55%
Natick	7208	50.5%	6954	48.7%	125	0.9%	14287	64%
Needham	7654	52.4%	6894	47.2%	59	0.4%	14607	71%
New Ashford	68	62.4%	39	35.8%	2	1.8%	109	62%
New Bedford	11754	59.0%	7828	39.3%	339	1.7%	19921	35%
New Braintree	169	36.8%	285	62.1%	5	1.1%	459	65%
Newbury	1414	40.4%	2048	58.5%	36	1.0%	3498	68%
Newburyport	4266	50.2%	4174	49.1%	57	0.7%	8497	65%
New Marlborough	366	61.1%	227	37.9%	6	1.0%	599	53%
New Salem	259	55.6%	195	41.8%	12	2.6%	466	60%
Newton	23456	67.0%	11352	32.4%	217	0.6%	35025	63%
Norfolk	1394	29.5%	3308	69.9%	28	0.6%	4730	75%
North Adams	2854	74.1%	965	25.0%	34	0.9%	3853	42%
Northampton	9415	78.7%	2447	20.4%	105	0.9%	11967	61%
North Andover	3826	35.0%	7018	64.2%	80	0.7%	10924	60%
North Attleborough	3018	27.7%	7778	71.5%	85	0.8%	10881	59%
Northborough	2486	39.1%	3816	60.0%	61	1.0%	6363	65%
Northbridge	1638	28.7%	3987	69.9%	76	1.3%	5701	56%
North Brookfield	528	29.8%	1225	69.2%	17	1.0%	1770	55%
Northfield	744	58.4%	508	39.8%	23	1.8%	1275	60%
North Reading	2135	32.5%	4373	66.6%	54	0.8%	6562	64%
Norton	2209	33.0%	4424	66.1%	57	0.9%	6690	59%
Norwell	1680	32.3%	3485	67.1%	32	0.6%	5197	70%
Norwood	4532	40.4%	6568	58.6%	117	1.0%	11217	57%
Oak Bluffs	1177	60.9%	732	37.8%	25	1.3%	1934	58%
Oakham	281	29.9%	645	68.6%	14	1.5%	940	71%
Orange	869	37.3%	1416	60.9%	42	1.8%	2327	48%
Orleans	1705	46.2%	1961	53.1%	26	0.7%	3692	68%
Otis	265	47.8%	283	51.1%	6	1.1%	554	51%
Oxford	1439	30.9%	3151	67.7%	61	1.3%	4651	54%
Palmer	1622	38.3%	2524	59.6%	91	2.1%	4237	51%
Paxton	687	33.7%	1331	65.4%	18	0.9%	2036	65%
Peabody	7619	39.6%	11440	59.4%	191	1.0%	19250	57%
Pelham	596	82.2%	126	17.4%	3	0.4%	725	63%
Pembroke	2424	31.9%	5134	67.6%	41	0.5%	7599	61%
Pepperell	1607	32.6%	3279	66.6%	38	0.8%	4924	61%
Peru	162	55.9%	125	43.1%	3	1.0%	290	49%
Petersham	306	45.6%	357	53.2%	8	1.2%	671	71%
Phillipston	235	33.0%	467	65.6%	10	1.4%	712	60%
Pittsfield	8990	69.5%	3803	29.4%	149	1.2%	12942	45%
Plainfield	213	69.2%	91	29.5%	4	1.3%	308	69%
Plainville	971	28.0%	2469	71.2%	30	0.9%	3470	63%
Plymouth	7989	35.6%	14276	63.6%	176	0.8%	22441	60%
Plympton	444	31.5%	951	67.5%	14	1.0%	1409	70%
Princeton	681	36.6%	1165	62.6%	16	0.9%	1862	68%
Provincetown	1344	84.1%	238	14.9%	16	1.0%	1598	55%
Quincy	13330	45.6%	15607	53.3%	325	1.1%	29262	47%
Randolph	5996	61.2%	3699	37.8%	100	1.0%	9795	50%
Raynham	1687	31.8%	3574	67.3%	48	0.9%	5309	58%
Reading	4659	42.5%	6225	56.8%	81	0.7%	10965	66%
Rehoboth	1538	33.0%	3080	66.1%	44	0.9%	4662	56%
Revere	5021	45.8%	5785	52.8%	150	1.4%	10956	46%
Richmond	499	68.6%	220	30.3%	8	1.1%	727	63%
Rochester	776	31.3%	1671	67.5%	30	1.2%	2477	63%
Rockland	2231	33.9%	4253	64.7%	89	1.4%	6573	56%
Rockport	1879	52.5%	1667	46.6%	34	0.9%	3580	64%
Rowe	97	50.5%	89	46.4%	6	3.1%	192	63%
Rowley	893	32.3%	1845	66.8%	26	0.9%	2764	66%
Royalston	213	40.6%	298	56.9%	13	2.5%	524	59%
Russell	195	33.3%	379	64.8%	11	1.9%	585	57%
Rutland	1029	30.6%	2307	68.6%	25	0.7%	3361	64%
Salem	6650	53.1%	5726	45.7%	154	1.2%	12530	50%
Salisbury	1061	35.0%	1927	63.6%	42	1.4%	3030	51%
Sandisfield	150	50.0%	146	48.7%	4	1.3%	300	52%
Sandwich	3416	33.8%	6625	65.6%	61	0.6%	10102	65%
Saugus	3587	35.9%	6315	63.2%	96	1.0%	9998	58%
Savoy	131	54.8%	104	43.5%	4	1.7%	239	46%
Scituate	3474	38.1%	5584	61.2%	61	0.7%	9119	69%
Seekonk	1911	37.6%	3133	61.7%	36	0.7%	5080	53%
Sharon	4461	55.4%	3536	43.9%	61	0.8%	8058	66%
Sheffield	822	63.9%	448	34.8%	16	1.2%	1286	57%
Shelburne	588	68.4%	263	30.6%	9	1.0%	860	62%
Sherborn	1061	45.2%	1269	54.1%	17	0.7%	2347	77%
Shirley	868	35.7%	1525	62.7%	38	1.6%	2431	62%
Shrewsbury	5242	39.7%	7867	59.5%	104	0.8%	13213	60%
Shutesbury	771	82.5%	158	16.9%	5	0.5%	934	65%
Somerset	3553	48.5%	3706	50.5%	73	1.0%	7332	54%
Somerville	16965	74.8%	5462	24.1%	261	1.2%	22688	54%
Southampton	1052	40.2%	1533	58.5%	34	1.3%	2619	65%
Southborough	1845	40.4%	2689	58.9%	33	0.7%	4567	69%
Southbridge	1748	42.5%	2271	55.2%	98	2.4%	4117	34%
South Hadley	3227	47.7%	3434	50.8%	102	1.5%	6763	59%
Southwick	1074	29.8%	2469	68.6%	56	1.6%	3599	53%
Spencer	1237	30.8%	2727	67.9%	53	1.3%	4017	52%
Springfield	17610	61.4%	10630	37.1%	432	1.5%	28672	32%
Sterling	1174	31.0%	2569	67.8%	44	1.2%	3787	67%
Stockbridge	672	74.1%	224	24.7%	11	1.2%	907	61%
Stoneham	3634	39.6%	5473	59.6%	75	0.8%	9182	61%
Stoughton	4466	43.9%	5616	55.2%	84	0.8%	10166	58%
Stow	1595	46.8%	1789	52.5%	24	0.7%	3408	73%
Sturbridge	1350	35.1%	2454	63.8%	44	1.1%	3848	60%
Sudbury	4291	51.0%	4078	48.5%	41	0.5%	8410	71%
Sunderland	842	66.6%	410	32.4%	12	0.9%	1264	53%
Sutton	1136	27.6%	2931	71.3%	43	1.0%	1264	62%
Swampscott	3121	48.7%	3222	50.2%	72	1.1%	6415	63%
Swansea	2449	42.1%	3297	56.7%	73	1.3%	5819	51%
Taunton	6586	41.8%	8925	56.7%	228	1.4%	15739	48%
Templeton	886	32.3%	1814	66.1%	44	1.6%	2744	55%
Tewksbury	3381	31.2%	7353	67.9%	90	0.8%	10824	54%
Tisbury	1172	66.2%	579	32.7%	19	1.1%	1770	58%
Tolland	56	25.7%	158	72.5%	4	1.8%	218	64%
Topsfield	1117	35.7%	1993	63.6%	22	0.7%	3132	75%
Townsend	1092	29.2%	2618	69.9%	36	1.0%	3746	59%
Truro	673	62.5%	396	36.8%	7	0.7%	1076	64%
Tyngsborough	1452	31.0%	3186	68.0%	45	1.0%	4683	59%
Tyringham	131	61.2%	82	38.3%	1	0.5%	214	68%
Upton	1138	34.5%	2125	64.5%	32	1.0%	3295	67%
Uxbridge	1651	30.6%	3690	68.3%	58	1.1%	5399	56%
Wakefield	4411	39.0%	6815	60.3%	82	0.7%	11308	67%
Wales	244	34.9%	441	63.0%	15	2.1%	700	55%
Walpole	3565	31.7%	7604	67.7%	64	0.6%	11233	69%
Waltham	8523	49.5%	8546	49.6%	157	0.9%	17226	49%
Ware	1127	37.7%	1785	59.7%	80	2.7%	2992	47%
Wareham	3128	39.8%	4628	58.9%	101	1.3%	7857	52%
Warren	594	36.7%	986	60.9%	38	2.3%	1618	52%
Warwick	207	61.8%	123	36.7%	5	1.5%	335	60%
Washington	160	63.0%	91	35.8%	3	1.2%	254	60%
Watertown	7301	61.2%	4520	37.9%	100	0.8%	11921	55%
Wayland	3597	54.9%	2915	44.5%	38	0.6%	6550	65%
Webster	1541	33.6%	2977	64.8%	74	1.6%	4592	40%
Wellesley	5934	49.8%	5922	49.7%	48	0.4%	11904	68%
Wellfleet	1075	63.4%	596	35.1%	25	1.5%	1696	64%
Wendell	338	79.7%	79	18.6%	7	1.7%	424	61%
Wenham	674	36.0%	1184	63.3%	12	0.6%	1870	66%
Westborough	3009	43.6%	3831	55.5%	60	0.9%	6900	60%
West Boylston	1133	35.2%	2044	63.6%	38	1.2%	3215	66%
West Bridgewater	842	27.4%	2211	71.9%	21	0.7%	3074	61%
West Brookfield	523	36.1%	907	62.6%	18	1.2%	1448	55%
Westfield	4542	36.4%	7772	62.2%	172	1.4%	12486	53%
Westford	3887	39.4%	5930	60.1%	57	0.6%	9874	66%
Westhampton	414	48.5%	429	50.3%	10	1.2%	853	69%
Westminster	1021	31.4%	2202	67.8%	26	0.8%	3249	60%
West Newbury	906	41.2%	1281	58.3%	12	0.5%	2199	68%
Weston	2424	46.2%	2794	53.2%	30	0.6%	5248	67%
Westport	2898	46.9%	3203	51.8%	77	1.2%	6178	54%
West Springfield	3145	37.5%	5102	60.9%	131	1.6%	8378	50%
West Stockbridge	473	73.6%	165	25.7%	5	0.8%	643	62%
West Tisbury	1033	74.2%	347	24.9%	13	0.9%	1393	61%
Westwood	2953	39.6%	4465	59.8%	47	0.6%	7465	74%
Weymouth	8104	34.6%	15093	64.4%	235	1.0%	23432	69%
Whately	420	56.8%	305	41.3%	14	1.9%	739	65%
Whitman	1683	30.9%	3724	68.4%	37	0.7%	5444	58%
Wilbraham	2216	34.0%	4237	65.1%	58	0.9%	6511	63%
Williamsburg	895	70.5%	355	28.0%	19	1.5%	1269	64%
Williamstown	2100	77.1%	612	22.5%	10	0.4%	2722	60%
Wilmington	3057	32.6%	6225	66.5%	81	0.9%	9363	60%
Winchendon	986	33.5%	1908	64.8%	51	1.7%	2945	43%
Winchester	4876	47.8%	5248	51.5%	68	0.7%	10192	68%
Windsor	252	63.8%	141	35.7%	2	0.5%	395	59%
Winthrop	2902	44.2%	3596	54.7%	71	1.1%	6569	56%
Woburn	5635	39.9%	8363	59.1%	142	1.0%	14140	57%
Worcester	19861	51.9%	17889	46.7%	532	1.4%	38282	42%
Worthington	335	58.8%	229	40.2%	6	1.1%	570	63%
Wrentham	1414	26.5%	3880	72.7%	41	0.8%	5335	71%
Yarmouth	4390	40.0%	6496	59.1%	98	0.9%	10984	60%
