District	Seat	Candidate	Party	Vote	Percentage
19	House B	Nicole LeFavour	Democratic	14,217	100.00%
19	Senate	Mike Burkett	Democratic	12,657	75.26%
19	Senate	Charles E Seldon	Republican	4,160	24.74%
20	House A	Rex Kerr	Libertarian	2,501	18.78%
20	House A	Mark A. Snodgrass	Republican	10,813	81.22%
20	House B	Chuck Oxley	Democratic	4,181	30.56%
20	House B	Kevin Charles Jaeger	Libertarian	527	3.85%
20	House B	Shirley McKague	Republican	8,975	65.59%
20	Senate	Laurynda A. Williams	Democratic	5,001	36.09%
20	Senate	Gerry Sweet	Republican	8,855	63.91%
21	House A	John Vander Woude	Republican	13,635	100.00%
21	House B	Clifford R. Bayer	Republican	13,536	100.00%
21	Senate	Russell M. Fulcher	Republican	13,845	100.00%
22	House A	Karen M. Schindele	Democratic	3,163	38.53%
22	House A	Rich Wills	Republican	5,047	61.47%
22	House B	Dawn D. Best	Democratic	3,638	43.80%
22	House B	Pete Nielsen	Republican	4,667	56.20%
22	Senate	Henry Hibbert	Democratic	2,651	32.09%
22	Senate	Tim Corder	Republican	5,611	67.91%
23	House A	Peter Rickards	Democratic	3,499	31.84%
23	House A	Jim Patrick	Republican	7,492	68.16%
23	House B	Bert Brackett	Republican	9,357	100.00%
23	Senate	Bill Chisholm	Democratic	4,139	37.23%
23	Senate	Tom Gannon	Republican	6,977	62.77%
24	House A	Leon Smith	Republican	9,644	100.00%
24	House B	Sharon L. Block	Republican	9,449	100.00%
24	Senate	Charles Coiner	Republican	9,537	100.00%
25	House A	Wendy Jaquet	Democratic	10,702	100.00%
25	House B	Donna Pence	Democratic	10,380	100.00%
25	Senate	Clint Stennett	Democratic	10,760	100.00%
26	House A	Scott F. McClure	Democratic	3,258	32.95%
26	House A	John A. Stevenson	Republican	6,631	67.05%
26	House B	Maxine T. Bell	Republican	8,714	100.00%
26	Senate	Dean L. Cameron	Republican	8,678	100.00%
27	House A	Scott Bedke	Republican	8,801	100.00%
27	House B	Fred Wood	Republican	8,729	100.00%
27	Senate	Denton Darrington	Republican	8,786	100.00%
28	House A	Beverly Beach	Democratic	5,298	44.61%
28	House A	Dennis M. Lake	Republican	6,578	55.39%
28	House B	Jane Bingham Lamprecht	Democratic	4,351	36.84%
28	House B	Jim Marriott	Republican	7,459	63.16%
28	Senate	John Hulse	Democratic	4,512	38.16%
28	Senate	R. Steven Bair	Republican	7,312	61.84%
29	House A	Allen R. Andersen	Democratic	6,997	48.59%
29	House A	Ken Andrus	Republican	7,404	51.41%
29	House B	James D. Ruchti	Democratic	7,266	50.61%
29	House B	Richard D. Kirkham	Republican	7,092	49.39%
29	Senate	Diane Bilyeu	Democratic	7,444	51.27%
29	Senate	Jim Guthrie	Republican	7,074	48.73%
30	House A	Donna Boe	Democratic	9,056	100.00%
30	House B	Elaine Smith	Democratic	6,495	62.06%
30	House B	Joshua R. Thompson	Republican	3,644	34.82%
30	House B	Ann Hope Vegors	United	327	3.12%
30	Senate	Edgar J. Malepeai	Democratic	9,067	100.00%
31	House A	Larry C. Bradford	Republican	12,141	100.00%
31	House B	Tom Loertscher	Republican	12,170	100.00%
31	Senate	Robert L. Geddes	Republican	12,454	100.00%
32	House A	Scott L. Cannon	Democratic	4,390	28.81%
32	House A	Janice K. McGeachin	Republican	10,848	71.19%
32	House B	Dean M. Mortimer	Republican	13,279	100.00%
32	Senate	Tom Holm	Democratic	4,772	30.79%
32	Senate	Melvin Richardson	Republican	10,729	69.21%
33	House A	Jerry Shively	Democratic	6,036	51.25%
33	House A	Jack T. Barraclough	Republican	5,742	48.75%
33	House B	John McGimpsey	Democratic	5,420	46.63%
33	House B	Russ Mathews	Republican	6,203	53.37%
33	Senate	Neil M Williams	Democratic	4,655	39.99%
33	Senate	Bart M. Davis	Republican	6,985	60.01%
34	House A	Mack G. Shirley	Republican	10,815	100.00%
34	House B	Dell Raybould	Republican	10,492	100.00%
34	Senate	Brent Hill	Republican	10,076	93.33%
34	Senate	Dan Roberts	Write-In	720	6.67%
35	House A	Jo An E. Wood	Republican	12,041	100.00%
35	House B	Jon Winegarner	Democratic	3,888	27.91%
35	House B	Lenore Hardy Barrett	Republican	10,041	72.09%
35	Senate	Luke Prange	Democratic	4,327	30.59%
35	Senate	Jeff C. Siddoway	Republican	9,818	69.41%
