Year	Venue	Champion	Country	Score	Runner-up
1968	Royal Troon Golf Club	Michael Bonallack	England	7 & 6	Joe Carr
1967	Formby Golf Club	Bob Dickson	United States	2 & 1	Ron Cerrudo
1966	Carnoustie Golf Links	Bobby Cole	South Africa	3 & 2	Ronnie Shade
1965	Royal Porthcawl Golf Club	Michael Bonallack	England	2 & 1	Clive Clark
1964	Ganton Golf Club	Gordon Clark	England	39 holes	Michael Lunt
1963	St. Andrews Links	Michael Lunt	England	2 & 1	John Blackwell
1962	Royal Liverpool Golf Club	Richard Davies	United States	1 up	John Povall
1961	Turnberry	Michael Bonallack	England	6 & 4	James Walker
1960	Royal Portrush Golf Club	Joe Carr	Ireland	8 & 7	Robert Cochran
1959	Royal St. George's Golf Club	Deane Beman	United States	3 & 2	Bill Hyndman
1958	St. Andrews Links	Joe Carr	Ireland	3 & 2	Alan Thirlwell
1957	Formby Golf Club	Reid Jack	Scotland	2 & 1	Harold Ridgley
1956	Royal Troon Golf Club	John Beharrell	England	5 & 4	Leslie Taylor
1955	Royal Lytham & St. Annes Golf Club	Joe Conrad	United States	3 & 2	Alan Slater
1954	Muirfield	Douglas Bachli	Australia	2 & 1	William C. Campbell
1953	Royal Liverpool Golf Club	Joe Carr	Ireland	2 up	Harvie Ward
1952	Prestwick Golf Club	Harvie Ward	United States	6 & 5	Frank Stranahan
1951	Royal Porthcawl Golf Club	Dick Chapman	United States	5 & 4	Charles Coe
1950	St. Andrews Links	Frank Stranahan	United States	8 & 6	Dick Chapman
1949	Portmarnock Golf Club	Samuel McCready	Ireland	2 & 1	Willie Turnesa
1948	Royal St. George's Golf Club	Frank Stranahan	United States	5 & 4	Charles Stowe
1947	Carnoustie Golf Links	Willie Turnesa	United States	3 & 2	Dick Chapman
1946	Royal Birkdale Golf Club	James Bruen	Ireland	4 & 3	Robert Sweeny Jr.
1940–45: Not played due to World War II	1940–45: Not played due to World War II	1940–45: Not played due to World War II	1940–45: Not played due to World War II	1940–45: Not played due to World War II	1940–45: Not played due to World War II
1939	Royal Liverpool Golf Club	Alexander Kyle	Scotland	2 & 1	A.A. Duncan
1938	Royal Troon Golf Club	Charles Yates	United States	3 & 2	Cecil Ewing
1937	Royal St. George's Golf Club	Robert Sweeny Jr.	United States	3 & 2	Lionel Munn
1936	St. Andrews Links	Hector Thomson	Scotland	2 up	Jim Ferrier
1935	Royal Lytham & St. Annes Golf Club	Lawson Little	United States	1 up	William Tweddell
1934	Prestwick Golf Club	Lawson Little	United States	14 & 13	J. Wallace
1933	Royal Liverpool Golf Club	Hon. Michael Scott	England	4 & 3	T.A. Bourn
1932	Muirfield	John De Forest	England	3 & 1	Eric Fiddian
1931	Royal North Devon Golf Club	Eric Martin-Smith	England	1 up	John De Forest
1930	St. Andrews Links	Bobby Jones	United States	7 & 6	Roger Wethered
1929	Royal St. George's Golf Club	Cyril Tolley	England	4 & 3	J. Nelson Smith
1928	Prestwick Golf Club	Philip Perkins	England	6 & 4	Roger Wethered
1927	Royal Liverpool Golf Club	William Tweddell	England	7 & 6	D.E. Landale
1926	Muirfield	Jess Sweetser	United States	6 & 5	A.F. Simpson
1925	Royal North Devon Golf Club	Robert Harris	Scotland	13 & 12	Kenneth F. Fradgley
1924	St. Andrews Links	Ernest Holderness	England	3 & 2	E.F. Storey
1923	Royal Cinque Ports Golf Club	Roger Wethered	England	7 & 6	Robert Harris
1922	Prestwick Golf Club	Ernest Holderness	England	1 up	John Caven
1921	Royal Liverpool Golf Club	Willie Hunter	Scotland	12 & 11	Allan Graham
1920	Muirfield	Cyril Tolley	England	37 holes	Robert A. Gardner
1915–19: Not played due to World War I	1915–19: Not played due to World War I	1915–19: Not played due to World War I	1915–19: Not played due to World War I	1915–19: Not played due to World War I	1915–19: Not played due to World War I
1914	Royal St. George's Golf Club	J.L.C. Jenkins	Scotland	3 & 2	Charles O. Hezlet
1913	St. Andrews Links	Harold Hilton	England	6 & 5	Robert Harris
1912	Royal North Devon Golf Club	John Ball	England	38 holes	Abe Mitchell
1911	Prestwick Golf Club	Harold Hilton	England	4 & 3	E.A. Lassen
1910	Royal Liverpool Golf Club	John Ball	England	10 & 9	C.C. Aylmer
1909	Muirfield	Robert Maxwell	Scotland	1 up	C.K. Hutchison
1908	Royal St. George's Golf Club	E.A. Lassen	England	7 & 6	H.E. Taylor
1907	St. Andrews Links	John Ball	England	6 & 4	C.A. Palmer
1906	Royal Liverpool Golf Club	James Robb	Scotland	4 & 3	C.C. Lingen
1905	Prestwick Golf Club	Arthur Barry	England	3 & 2	Osmund Scott
1904	Royal St. George's Golf Club	Walter Travis	United States	4 & 3	Edward Blackwell
1903	Muirfield	Robert Maxwell	Scotland	7 & 5	Horace Hutchinson
1902	Royal Liverpool Golf Club	Charles Hutchings	England	1 up	Sidney Fry
1901	St. Andrews Links	Harold Hilton	England	1 up	John L. Low
1900	Royal St. George's Golf Club	Harold Hilton	England	8 & 7	James Robb
1899	Prestwick Golf Club	John Ball	England	37 holes	Freddie Tait
1898	Royal Liverpool Golf Club	Freddie Tait	Scotland	7 & 5	S. Mure Fergusson
1897	Muirfield	Jack Allan	Scotland	4 & 2	James Robb
1896	Royal St. George's Golf Club	Freddie Tait	Scotland	8 & 7	Harold Hilton
1895	St. Andrews Links	Leslie Balfour-Melville	Scotland	19 holes	John Ball
1894	Royal Liverpool Golf Club	John Ball	England	1 up	S. Mure Fergusson
1893	Prestwick Golf Club	P.C. Anderson	Scotland	1 up	Johnny Laidlay
1892	Royal St. George's Golf Club	John Ball	England	3 & 1	Harold Hilton
1891	St. Andrews Links	Johnny Laidlay	Scotland	20 holes	Harold Hilton
1890	Royal Liverpool Golf Club	John Ball	England	4 & 3	Johnny Laidlay
1889	St. Andrews Links	Johnny Laidlay	Scotland	2 & 1	Leslie Balfour-Melville
1888	Prestwick Golf Club	John Ball	England	5 & 4	Johnny Laidlay
1887	Royal Liverpool Golf Club	Horace Hutchinson	England	1 up	John Ball
1886	St. Andrews Links	Horace Hutchinson	England	7 & 6	Henry Lamb
1885	Royal Liverpool Golf Club	Allan MacFie	England	7 & 6	Horace Hutchinson
