Year	Song name	Film name	Co-singer	Music director	Lyricist	Language
1977	"Hansti Aankhon Ko Jisne Ansoo Diye"	Daku Aur Mahatma	Mahendra Kapoor & Jaspal Singh	Ravindra Jain	Ravindra Jain	Hindi
1977	"Suman Saman Tum Apna Khila Khila Man Rakhna"	Kotwal Saab	Solo	Ravindra Jain	Ravindra Jain	Hindi
1976	"Is Mulaqat Ka Bas Maza Lijiye"	Jaaneman	Mohammad Rafi & Mukesh	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1976	"Sun Ke Teri Pukar", "Akela Chal Chala Chal"	Fakira	Solo	Ravindra Jain	Ravindra Jain	Hindi
1976	"Jam Ke Naacho O Zara Jam Ke Naacho Pyar Karo"	Raeeszada	Jaspal Singh	Ravindra Jain	Ravindra Jain	Hindi
1976	"Jeet Gaye Hum Jeet Gaye Hain"	Raeeszada	Mahendra Kapoor	Ravindra Jain	Ravindra Jain	Hindi
1976	"Hum Unki Aarzoo Mein Kuch Aise Kho Gaye Hain"	Noor-E-Elahi	Anwar	Babloo Dheeraj	Qamar Shaad	Hindi
1976	"Koi Hamein Basale Apne Dilo Jigar Mein"	Noor-E-Elahi	Solo	Babloo Dheeraj	Qaisar- Ul- Jafri	Hindi
1975	"Mohe Chhota Mila Bhartaar"	Geet Gata Chal	Chetan & Jaspal Singh	Ravindra Jain	Ravindra Jain	Hindi
1975	"Chal Chal Kahin Akele Mein"	Salaakhen	Sulakshana Pandit	Ravindra Jain	Ravindra Jain	Hindi
1975	"Bhabhi Ki Unglee Mein"	Tapasya	Chandrani Mukherjee	Ravindra Jain	M G Hashmat	Hindi
1974	"Teri Meri Dosti Zindabad"	Raakh Aur Chingari	Usha Mangeshkar	Ravindra Jain	Ravindra Jain	Hindi
1973	"Ja Re Ja O Deewane Tu Kya Jaane Anjaane"	Kuchche Dhaage	Lata Mangeshkar	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1973	"Hazaar Dil Mein Ho To Aise Nikle Armaan"	Bhima Mera Haathi	Mukesh	Vedpal Verma	Vedpal Verma	Hindi
1973	"Dulhan Bhai Gori Aa Ha Aa Ha"	Bhima Mera Haathi	Usha Mangeshkar	Vedpal Verma	Vedpal Verma	Hindi
1973	"Raam Raam Raam Hare Seetaram Chal Dheere Dheere"	Bhima Mera Haathi	Manna Dey	Vedpal Verma	Vedpal Verma	Hindi
1973	"Rajkunwar Ne Raja Banke Haathi Pe Ki Sawari"	Bhima Mera Haathi	Sulakshana Pandit	Vedpal Verma	Vedpal Verma	Hindi
1973	"Meri Jawani Mujhko Sataye"	Kora Badan	Solo	Vedpal Verma	Babu Singh Maan	Hindi
1973	"Ganga Tere Pyar Mein Jage Re"	Ganga	Mohammad Rafi	N. Dutta	Aziz Kashmiri	Hindi
1973	"Panchhi Pinjare Mein Roye"	Hum Sab Chor Hain	Suman Kalyanpur	Usha Khanna	Asad Bhopali	Hindi
1973	"Pujan Karo Mata Laxmi Ka"	Seetaram Radheshyam	Nila Joshi	N. Dutta	Madan	Hindi
1972	"Koi Hansta Hai Yahan Aur Koi Rota"	Shri Krishna Bhakti	Solo	Kamal Kant	Pujari	Hindi
1972	"Idhar Bhi Ishwar Udhar Bhi Ishwar"	Hari Darshan	Kamal Barot & Sushma Shreshtha	Kalyanji-Anandji	Pradeep	Hindi
1972	"Tan Bhi Jale Man Bhi Jale"	Parivartan	Manna Dey	Chand Pardesi	Neeraj	Hindi
1972	"Yeh Bheegi Fizayen"	Kaanch Aur Heera	Mohammad Rafi	Ravindra Jain	Ravindra Jain	Hindi
1971	"Taare Kitne Neel Gagan Pe"	Aap Aye Bahaar Ayee	Mohammad Rafi	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1971	"Mehboob Ki Mehndi Hathon Mein"	Mehboob Ki Mehndi	Lata Mangeshkar	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1971	"Dekho Dil Ka Chor Aaya"	Gehra Raaz	Solo	Salil Chowdhury	Asad Bhopali	Hindi
1971	"Mil Ja Ab To Mil Ja"	Gehra Raaz	Solo	Salil Chowdhury	Akhtar Romani	Hindi
1971	"Are Ghar Ko Mat Godam Bana"	Chhoti Bahu	Solo	Kalyanji-Anandji	Indeevar	Hindi
1971	"Apna To Faisla Hai Ladki Pasand Hai"	Ladki Pasand Hai	Mohammad Rafi	Sonik Omi	G. L. Rawal	Hindi
1971	"Tu Karde Nazar Se Mastana"	Ladki Pasand Hai	Mukesh	Sonik Omi	G. L. Rawal	Hindi
1971	"Gham-E-Duniya Se Tum Daman Bacha Jaate"	Ladki Pasand Hai	Solo	Sonik Omi	G. L. Rawal	Hindi
1971	"Jai Lotaram"	Narad Leela	Solo	N. Dutta	Madan	Hindi
1971	"Do Dilon Mein Humesha Mohabbat"	Achha Bura	Sulakshana Pandit	Raj Kamal	Asad Bhopali	Hindi
1971	"Yeh Roza Yeh Roze Ki Shaan Allah Allah"	Shan-E-Khuda	Mohammad Rafi	Iqbal Qureshi	Kaifi Azmi	Hindi
1971	"Sanma O Mere Pyar Ka"	Dost Aur Dushman	Mohammad Rafi	Raj Kamal	Asad Bhopali	Hindi
