Rank	Capacity	City	State	Year opened
146	36,800	Whitney	Nevada	1971
147	36,000	Hattiesburg	Mississippi	1932
148	35,117	Pullman	Washington	1972
149	35,097	Cincinnati	Ohio	1924
150	34,400	Fort Collins	Colorado	1968
151	34,000	Annapolis	Maryland	1959
152	33,941	Durham	North Carolina	1929
153	32,580	Laramie	Wyoming	1950
154=	32,000	University Park	Texas	2000
154=	32,000	Houston	Texas	1942
156	31,500	Winston-Salem	North Carolina	1968
157=	31,000	Lafayette	Louisiana	1971
157=	31,000	Akron	Ohio	1940
157=	31,000	DeKalb	Illinois	1965
160	30,964	Jonesboro	Arkansas	1974
161	30,850	Denton	Texas	2011
162	30,600	Ruston	Louisiana	1960
163	30,456	San Jose	California	1933
164	30,427	Monroe	Louisiana	1978
165	30,343	Las Cruces	New Mexico	1978
166	30,323	Allston	Massachusetts	1903
167	30,295	Mount Pleasant	Michigan	1972
168=	30,200	Ypsilanti	Michigan	1969
168=	30,200	Kalamazoo	Michigan	1939
168=	30,000	Boca Raton	Florida	2011
168=	30,000	San Marcos	Texas	1981
168=	30,000	Tulsa	Oklahoma	1930
168=	30,000	Akron	Ohio	2009
168=	30,000	Troy	Alabama	1950
168=	30,000	Norfolk	Virginia	1997
176	29,993	Reno	Nevada	1966
177	29,013	Amherst	New York	1993
178	29,000	Baton Rouge	Louisiana	1928
179	28,646	Spokane	Washington	1950
180	27,800	Princeton	New Jersey	1998
181	27,000	Carson	California	2003
182	26,248	Toledo	Ohio	1937
183	25,600	Grambling	Louisiana	1983
184	25,597	Ithaca	New York	1915
185	25,500	Tallahassee	Florida	1957
186	25,400	Muncie	Indiana	1967
187	25,200	Missoula	Montana	1986
188	25,189	Harrison	New Jersey	2010
189	25,000	Kent	Ohio	1969
190	24,877	Harrisonburg	Virginia	1975
191	24,600	Montgomery	Alabama	1922
192	24,286	Oxford	Ohio	1983
193=	24,000	Omaha	Nebraska	2011
193=	24,000	Athens	Ohio	1929
194	23,724	Bowling Green	Ohio	1966
195	23,500	Worcester	Massachusetts	1924
196	22,500	Lorman	Mississippi	1992
197=	22,000	Houston	Texas	2012
197=	22,000	Newark	Delaware	1952
197=	22,000	Bowling Green	Kentucky	1968
197=	22,000	Orangeburg	South Carolina	1955
201	21,650	Boone	North Carolina	1962
202	21,500	Greensboro	North Carolina	1981
203	21,650	Sacramento	California	1969
204=	21,000	Charleston	South Carolina	1946
204=	21,000	Huntsville	Alabama	1996
204=	21,000	Chicago	Illinois	1994
207	20,668	Chattanooga	Tennessee	1997
208	20,630	Youngstown	Ohio	1982
209	20,500	Frisco	Texas	2005
210	20,455	Columbus	Ohio	1999
211	20,450	Fort Lauderdale	Florida	1959
212	20,438	Portland	Oregon	1926
213	20,311	Sacramento, California	California	1928
214	20,066	Detroit, Michigan	Michigan	1979
215	20,008	Sandy	Utah	2008
216=	20,000	Providence	Rhode Island	1925
216=	20,000	Miami	Florida	1995
216=	20,000	Richmond	Kentucky	1969
216=	20,000	Mesquite	Texas	1977
216=	20,000	Canyon	Texas	1959
216=	20,000	Bridgeview	Illinois	2006
