Country Name	1961-65	1966-70	1971-75	1976-80	1981-85	1986-90	1991-95	1996–2000	2001-05	2006-10
Denmark	4.51%	2.97%	1.24%	2.51%	2.77%	1.35%	2.01%	2.43%	0.96%	-0.32%
Djibouti	-100	-100	-100	-100	-100	-100	-5.14%	-3.48%	0.95%	-100
Dominica	-100	-100	-100	1.67%	5.59%	6.43%	1.42%	2.59%	1.03%	3.44%
Dominican Republic	-0.2%	6.06%	6.23%	2.81%	-0.32%	0.82%	3.3%	5.17%	2.04%	5.65%
Ecuador	1.16%	1.39%	5.66%	2.35%	-1.26%	0.33%	0.58%	-0.61%	3.68%	2.28%
Egypt	4.78%	0.86%	1.25%	7.4%	4.23%	1.86%	1.61%	3.4%	1.64%	4.8%
El Salvador	3.59%	1.55%	2.05%	-1.67%	-4.01%	0.75%	4.66%	2.33%	1.88%	1.26%
Equatorial Guinea	-100	-100	-100	-100	-100	-2.19%	3.5%	31.11%	24.68%	4.91%
Eritrea	-100	-100	-100	-100	-100	-100	-100	-1.43%	-1.4%	-3.74%
Estonia	-100	-100	-100	-100	2.12%	0.17%	-4.64%	7.14%	8.51%	0.16%
Ethiopia	-100	-100	-100	-100	-100	1.91%	-1.97%	1.79%	3.99%	7.99%
Fiji	-0.22%	4.87%	3.68%	2.23%	-2.21%	2.58%	1.34%	1.27%	2.17%	-1.23%
Finland	4.26%	4.17%	3.95%	2.9%	2.24%	3.04%	-1.02%	4.53%	2.35%	0.67%
France	4.43%	4.7%	3.24%	2.93%	1%	2.66%	0.8%	2.27%	0.87%	0.09%
French Polynesia	-100	0.13%	2.36%	1.78%	3.96%	2.22%	-0.56%	1.31%	-100	-100
Gabon	7.54%	4.45%	15.34%	-2.3%	-0.49%	-1.43%	-0.06%	-2.13%	-0.35%	0.75%
Gambia, The	-100	-100	2.22%	1.18%	-0.79%	-0.56%	-0.98%	1.59%	0.11%	1.78%
Georgia	-100	6.81%	3.89%	5.72%	3.5%	-5.25%	-20.19%	7.41%	7.63%	4.89%
Germany	-100	-100	2.19%	3.47%	1.53%	2.85%	1.66%	1.87%	0.53%	1.37%
Ghana	0.12%	0.82%	-2.64%	-0.88%	-3.48%	1.93%	1.43%	1.84%	2.52%	3.99%
Greece	7.52%	6.63%	4.6%	2.88%	-0.44%	0.81%	0.34%	2.91%	3.69%	0.4%
Greenland	-100	-100	5.05%	6.61%	-1.51%	1.72%	-0.21%	3.7%	0.65%	-100
Grenada	-100	-100	-100	-100	1.94%	7.61%	0.12%	7.29%	2.2%	-1.52%
Guatemala	2.46%	2.96%	2.81%	3.18%	-3.51%	0.59%	1.9%	1.59%	0.51%	1.09%
Guinea	-100	-100	-100	-100	-100	-100	-1.61%	2.23%	1.83%	0.17%
Guinea-Bissau	-100	-100	0.31%	-4.23%	4.34%	1.77%	1.11%	-0.89%	-2.29%	0.92%
Guyana	0.36%	1.93%	2.66%	-1.33%	-3.59%	-1.62%	7.02%	2.66%	0.37%	2%
Haiti	-100	-100	-100	-100	-100	-100	-100	0.63%	-2.07%	-0.48%
Honduras	1.8%	1.67%	0.78%	3.94%	-1.31%	0.19%	0.89%	0.84%	2.57%	1.46%
Hong Kong	10.36%	4.69%	5.16%	8.93%	4.19%	6.85%	3.64%	1.13%	3.72%	3.24%
Hungary	4.09%	5.9%	5.86%	3.36%	2.01%	0.95%	-2.13%	4.43%	4.53%	-0.48%
Iceland	5.09%	1.34%	5.08%	5.33%	1.21%	2.09%	-0.72%	3.9%	3.2%	-1.08%
India	6.02%	2.16%	0.63%	0.9%	2.93%	3.77%	3.17%	4.04%	5.41%	7.11%
Indonesia	-0.48%	3.64%	5.16%	5.42%	3.4%	5.19%	6.19%	-0.38%	3.42%	4.58%
Iran	-100	8.31%	7.07%	-5.39%	0.35%	-2.65%	1.75%	2.22%	4.24%	-100
Iraq	-100	-100	-100	-100	-100	-100	-100	-100	-4.43%	1.38%
Ireland	3.44%	4%	3.37%	3.18%	1.74%	4.95%	4.06%	8.57%	3.59%	-1.75%
Isle of Man	-100	-100	-100	-100	-100	8.47%	2.11%	8.41%	4.88%	-100
Israel	5.67%	4.87%	4.51%	1.48%	1.17%	2.35%	2.86%	2.44%	0.22%	2.17%
Italy	4.43%	5.54%	2.6%	4.09%	1.63%	3.09%	1.23%	1.87%	0.31%	-0.97%
Jamaica	-100	-100	0.59%	-4.34%	-1.17%	4.32%	3.22%	-1.19%	1.48%	0.18%
Japan	7.93%	9.1%	3.15%	3.51%	3.59%	4.53%	1.1%	0.75%	1.16%	0.46%
Jordan	-100	-100	-100	11.75%	1.26%	-4.42%	1.5%	0.48%	3.85%	3.57%
Kazakhstan	-100	-100	-100	-100	-100	-100	-8.66%	3.79%	10%	4.66%
Kenya	0.24%	2.36%	6.11%	2.43%	-1.28%	1.98%	-1.53%	-0.47%	0.98%	1.89%
Kiribati	-100	-100	14.37%	-18.74%	-0.96%	0.04%	-0.41%	4.46%	-0.06%	-1.1%
South Korea	3.24%	8.13%	5.44%	5.39%	6.38%	8.58%	6.74%	3.69%	4.01%	3.5%
Kosovo	-100	-100	-100	-100	-100	-100	-100	-100	6.7%	4.63%
Kuwait	-100	-2.99%	-8.45%	-3.39%	-8.39%	3.49%	-100	-1.58%	5.09%	-100
Kyrgyzstan	-100	-100	-100	-100	-100	-100	-13.21%	4.21%	2.89%	3.44%
Laos	-100	-100	-100	-100	-100	1.6%	3.38%	4%	4.6%	6.25%
Latvia	-100	6.23%	5.21%	3.27%	2.82%	1.57%	-8.58%	6.93%	8.86%	0.44%
Lebanon	-100	-100	-100	-100	-100	-100	9.31%	-0.1%	2.17%	5.68%
Lesotho	5.68%	0.71%	3.52%	7.43%	0.51%	1.12%	2.22%	2.07%	1.82%	3.01%
Liberia	0.7%	3.85%	-1.21%	-0.8%	-4.59%	-15.93%	-21.55%	30.9%	-5.55%	2.13%
Libya	-100	-100	-100	-100	-100	-100	-100	-100	2.31%	-100
Liechtenstein	-100	-100	-0.07%	3.11%	1.51%	3.75%	3.14%	5.83%	-0.25%	-100
Lithuania	-100	-100	-100	-100	-100	-100	-9.59%	5.27%	8.33%	2.01%
Luxembourg	2%	3.02%	1.83%	2.03%	2.38%	6.67%	2.58%	4.78%	2.28%	0.88%
Macao	-100	-100	-100	-100	-100	4.79%	3.91%	-1.97%	9.86%	-100
Macedonia	-100	-100	-100	-100	-100	-100	-5.15%	2.51%	1.18%	2.71%
Madagascar	-1.06%	2.05%	-2.04%	-1.3%	-4.04%	-0.13%	-3.26%	0.62%	-0.47%	0.09%
Malawi	2.16%	2.28%	4.28%	1.53%	-0.91%	-2.75%	2.42%	1.31%	-0.61%	4.18%
Malaysia	3.53%	3.36%	4.63%	6.06%	2.45%	3.87%	6.68%	2.46%	2.51%	2.74%
Maldives	-100	-100	-100	-100	-100	-100	-100	6.24%	3.07%	5.34%
Mali	-100	-100	1.56%	2.99%	-4.19%	2.22%	0.45%	2.3%	3.16%	1.54%
Malta	-100	-100	9.36%	9.28%	2.86%	5.22%	4.46%	4.13%	0.42%	-100
Marshall Islands	-100	-100	-100	-100	-100	6.01%	0.63%	-4.65%	2.98%	0.09%
Mauritania	8.51%	2.5%	-2.19%	-0.09%	-1.89%	-0.21%	0.44%	-0.27%	1.12%	1.58%
Mauritius	-100	-100	-100	-100	3.63%	6.57%	3.64%	4.62%	2.11%	3.86%
Mexico	3.96%	3.24%	3.15%	4.34%	-0.04%	-0.32%	-0.21%	3.79%	0.58%	0.59%
FSM	-100	-100	-100	-100	-100	-100	2.63%	-0.04%	0.4%	-1.03%
Moldova	-100	-100	-100	-100	1.67%	1.97%	-15.61%	-2.09%	7.35%	3.51%
Monaco	-100	-100	2.74%	2.68%	-0.26%	1.64%	-0.17%	1.55%	1.66%	-100
Mongolia	-100	-100	-100	-100	-100	1.12%	-3.49%	1.82%	5.35%	4.85%
Montenegro	-100	-100	-100	-100	-100	-100	-100	-100	3.01%	4.16%
Morocco	0.82%	3.36%	2.42%	2.88%	0.72%	2.31%	-0.56%	2.54%	3.79%	3.77%
Mozambique	-100	-100	-100	-100	-6.38%	5.31%	0.27%	4.7%	5.77%	4.77%
Myanmar	2.32%	-0.4%	0.55%	4.09%	2.86%	-3.6%	4.42%	7.14%	12.22%	-100
Namibia	-100	-100	-100	-100	-2.69%	-1.48%	1.76%	0.69%	3.08%	2.24%
Nepal	0.49%	0.46%	-0.47%	-0.01%	2.54%	2.12%	2.63%	2.27%	1.12%	2.43%
Netherlands	4.11%	4.08%	2.43%	2.15%	0.66%	2.71%	1.62%	3.43%	0.83%	1.05%
New Caledonia	-100	8.9%	-0.53%	-1.45%	-1.41%	8.71%	0.08%	-1.53%	-100	-100
New Zealand	2.82%	0.64%	2.33%	-0.73%	2.18%	-0.22%	1.85%	1.71%	2.39%	0.35%
Nicaragua	6.56%	0.75%	2.03%	-6.06%	-1.91%	-5.28%	-0.56%	3.16%	1.8%	1.39%
Niger	3.18%	-3.39%	-4.97%	2.32%	-4.99%	-0.31%	-2.45%	-0.6%	0.45%	1.44%
Nigeria	2.29%	3.21%	3.13%	1.02%	-5.2%	2.76%	0.06%	0.69%	3.62%	4.07%
Norway	3.82%	2.92%	4.15%	4.1%	3.05%	1.29%	3.16%	3.08%	1.63%	-0.15%
Oman	2.72%	34.53%	2.17%	0.02%	9.27%	-0.69%	2.17%	3.1%	2.11%	-100
Pakistan	4.79%	4.25%	0.32%	2.85%	3.2%	2.5%	1.96%	0.69%	3.08%	2.43%
Palau	-100	-100	-100	-100	-100	-100	-100	-0.22%	0.63%	-0.74%
Panama	5.13%	4.5%	1.96%	1.11%	1.29%	-2.42%	3.39%	2.59%	2.46%	6.51%
Papua New Guinea	5.09%	4.16%	1.1%	-1.59%	-1.3%	-1.26%	6.14%	-2.71%	-0.87%	3.53%
Paraguay	1.57%	1.65%	4.17%	8.22%	-1.17%	1.1%	1.29%	-2.31%	0.57%	3.78%
Peru	3.18%	1.55%	2.15%	-0.37%	-1.8%	-3.62%	3.62%	0.85%	2.9%	6.08%
Philippines	1.86%	1.59%	2.81%	3.13%	-3.84%	2.03%	-0.17%	1.33%	2.5%	3.16%
Poland	-100	-100	-100	-100	-100	-100	2.07%	5.49%	3.25%	4.71%
Portugal	5.92%	7.25%	4.55%	3.62%	0.4%	5.93%	1.46%	3.81%	0.19%	0.35%
Puerto Rico	6.68%	6.13%	1.46%	3.78%	0.52%	4.69%	3.21%	3.38%	4.94	-100
Qatar	-100	-100	-100	-100	-100	-100	-100	-100	1.56%	1.4%
Romania	-100	-100	-100	-100	2.85%	-2.15%	-1.39%	-0.99%	6.49%	3.34%
Russia	-100	-100	-100	-100	-100	-100	-8.97%	2.03%	6.6%	3.84%
Rwanda	-4.56%	4.37%	-2.29%	6.71%	-0.57%	-1.64%	0.5%	2.32%	4.96%	4.46%
Samoa	-100	-100	-100	-100	-100	0.21%	0.27%	2.96%	4.61%	0.66%
San Marino	-100	-100	2.58%	2.79%	0.43%	1.95%	4.17%	4.19%	0.96%	-100
Sao Tome and Principe	-100	-100	-100	-100	-100	-100	-100	-100	-100	3.71%
Saudi Arabia	-100	-100	14.7%	1.02%	-9.96%	-0.5%	0.15%	0.94%	0.12%	-0.02%
Senegal	-0.82%	-1.14%	-0.66%	-1.27%	0.07%	-0.64%	-0.82%	1.5%	1.91%	0.68%
Serbia	-100	-100	-100	-100	-100	-100	-12.09%	3.14%	5.37%	3.67%
Seychelles	1.04%	1.33%	4.88%	6.88%	0.01%	4.77%	1.41%	4.71%	-0.91%	3.85%
Sierra Leone	2.69%	2.35%	0.48%	0.14%	-1.39%	-1.25%	-4.65%	-4.56%	9.06%	2.77%
Singapore	4.52%	10.71%	7.58%	7.2%	4.26%	6.35%	5.46%	3.12%	3.67%	2.93%
Slovakia	-100	-100	-100	-100	-100	1.07%	-2.89%	3.81%	4.92%	3.74%
Slovenia	-100	-100	-100	-100	-100	-100	-0.43%	4.37%	3.57%	1.38%
Solomon Islands	-100	-100	-100	-100	-100	-100	5.01%	-5.19%	-1.57%	3.3%
Somalia	-3.38%	1.38%	1.63%	-5.1%	2.75%	0.52%	-100	-100	-100	-100
South Africa	4.09%	2.91%	1.35%	0.89%	-1.14%	-0.68%	-1.22%	0.41%	2.39%	2%
Spain	7.48%	5.16%	4.3%	0.93%	0.85%	4.27%	1.23%	3.65%	1.73%	-0.3%
Sri Lanka	1.1%	3.41%	1.63%	3.43%	3.45%	2.07%	4.35%	4.46%	2.83%	5.33%
St. Kitts and Nevis	-100	-100	-100	-100	3.91%	8.24%	4.34%	2.93%	1.21%	-1.54%
St. Lucia	-100	-100	-100	-100	1.35%	10.71%	1.74%	1.48%	0.88%	-0.68%
St. Vincent and the Grenadines	0.09%	1.08%	-0.84%	5.05%	4.66%	6.06%	1.14%	5.24%	3.4%	1.87%
Sudan	-0.45%	-1.1%	1.91%	-0.51%	-2.34%	2.11%	2.46%	3.81%	2.93%	4.68%
Suriname	-100	-100	-100	0.6%	-2.59%	-1.25%	-1.43%	0.14%	4.31%	-100
Swaziland	-100	-100	6.36%	0.02%	2.15%	6.83%	0.52%	2.69%	1.52%	0.62%
Sweden	4.48%	3.22%	2.22%	1.07%	1.76%	2.08%	0.09%	3.44%	2.34%	0.66%
Switzerland	3.19%	2.82%	0.44%	1.98%	1.05%	2.16%	-0.85%	1.64%	0.62%	0.93%
Syria	4.19%	0.41%	10.21%	3.32%	-0.46%	-1.28%	5.01%	-0.09%	1.64%	2.79%
Tajikistan	-100	-100	-100	-100	-100	-1.19%	-18.64%	-0.86%	9.14%	5.29%
Tanzania	-100	-100	-100	-100	-100	-100	-1.47%	1.63%	4.22%	3.85%
Thailand	3.98%	5.95%	2.88%	5.58%	3.42%	8.44%	7.67%	-0.5%	3.97%	2.88%
Timor-Leste	-100	-100	-100	-100	-100	-100	-100	-100	-3.79%	3.72%
Togo	8.49%	2.27%	1.16%	2.7%	-3.58%	-0.48%	-1.56%	1.24%	-0.27%	0.85%
Tonga	-100	-100	-100	-100	-100	0.06%	3.71%	1.49%	1.38%	0.02%
Trinidad and Tobago	4.85%	1.89%	1.91%	6.48%	-3.73%	-2.91%	0.67%	4.49%	7.66%	3%
Tunisia	4.01%	2.58%	6.64%	3.63%	1.57%	0.64%	1.95%	4.25%	3.44%	3.64%
Turkey	2.27%	3.74%	3.5%	0.27%	2.52%	3.76%	1.61%	2.53%	3.28%	1.93%
Turkmenistan	-100	-100	-100	-100	-100	-100	-11.29%	3.28%	15.47%	8.27%
Tuvalu	-100	-100	-100	-100	-100	-100	2.65%	2.98%	18.93%	3.11%
Uganda	-100	-100	-100	-100	-100	1.4%	3.62%	2.91%	3.33%	4.63%
Ukraine	-100	-100	-100	-100	-100	-100	-13.38%	-0.92%	8.65%	1.88%
United Arab Emirates	-100	-100	-100	2.37%	-7.93%	-2.65%	-1.81%	-0.06%	0.72%	-100
United Kingdom	2.38%	2.09%	1.93%	1.75%	2.05%	3.08%	1.39%	3.13%	2.04%	-0.29%
United States	-100	-100	1.77%	2.66%	2.33%	2.24%	1.22%	3.14%	1.46%	0.07%
United States Virgin Islands	-100	-100	-0.79%	3.11%	-0.87%	5.54%	-100	-100	-100	-100
Uruguay	-0.28%	1.05%	1.39%	3.94%	-4.25%	3.27%	3.24%	2.46%	0.31%	5.94%
Uzbekistan	-100	-100	-100	-100	-100	-100	-6.01%	2.24%	4.17%	6.9%
Vanuatu	-100	-100	-100	-100	5.36%	-0.72%	0.51%	30.61%	-1.5%	2.72%
Venezuela	2.4%	0.67%	-0.51%	-0.9%	-3.83%	0.26%	1.28%	-1.12%	1.26%	1.85%
Vietnam	-100	-100	-100	-100	-100	2.42%	6.35%	5.36%	6.24%	5.88%
West Bank and Gaza	-100	-100	-100	-100	-100	-100	-100	2.12%	-4.62%	-100
Yemen	-100	-100	-100	-100	-100	-100	0.74%	2.26%	1.1%	0.37%
Zambia	3.06%	-1.55%	-0.94%	-2.8%	-2.66%	-1.31%	-3.75%	0.11%	2.39%	3.9%
Zimbabwe	0.21%	5.86%	1.4%	-1.62%	0.38%	1.16%	-0.81%	0.53%	-7.55%	-1.19%
