Country	Seasons	Championship Titles	Race entries (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Netherlands	2004	0	10	0	1	4	1	44
Switzerland	1987	0	1 (0)	0	0	0	0	0
France	1999	0	1 (0)	0	0	0	0	0
United Kingdom	1985 , 1988	0	8	0	0	0	0	1
France	1996	0	2	0	0	0	0	0
Czech Republic	1998 – 2002 , 2004	0	58 (55)	8	6	16	10	149
Netherlands	1986 – 1989	0	22 (17)	0	0	0	0	2
United Kingdom	1986 – 1989	0	43 (30)	0	0	0	0	2.5
Belgium	1994 – 1995	0	10	0	0	0	0	1
Italy	1987	0	3 (1)	0	0	0	0	0
France	1985 – 1986	0	10	1	1	3	1	15.5
Italy	1988	0	1 (0)	0	0	0	0	0
Argentina	1985	0	7	0	0	0	0	1
Switzerland	1989 – 1990	0	12 (10)	1	0	1	1	6
Germany	1995	0	2 (1)	0	0	0	0	0
France	1985 – 1989	0	25	0	0	2	0	17
France	1985 – 1989	0	37 (35)	2	0	9	2	49
France	1995	0	3 (2)	0	0	0	0	0
Argentina	1999 , 2001	0	5 (4)	0	0	0	0	0
Brazil	1991	1 ( 1991 )	10	4	1	7	1	47
Switzerland	1986 – 1988	0	22 (18)	1	1	1	0	15
Argentina	1996 , 1999 , 2001	0	14	0	0	0	0	4
Switzerland	1986	0	6 (2)	0	0	0	0	1
South Africa	1995	0	8	0	0	0	0	0
Germany	1990 – 1991	0	21 (19)	0	0	0	0	8
France	1990	0	7 (3)	0	0	0	0	2
Switzerland	1986 – 1987	0	19 (0)	0	0	0	0	0
Austria	1997 , 1999	0	13 (3)	0	0	0	0	0
Austria	2001 – 2004	0	42 (41)	0	2	7	1	91
Argentina	1991	0	10 (9)	0	0	0	0	1
Italy	1986 – 1987	0	3 (2)	0	0	0	0	0
France	1989 – 1991	0	27 (24)	0	0	0	1	2
Belgium	1988	0	11	1	0	2	0	21
Ireland	1986	0	1 (0)	0	0	0	0	0
Spain	2001	0	7	0	0	0	0	0
United Kingdom	1994 , 1997 , 1999	0	18 (8)	0	0	0	0	3
Spain	1992 – 1994	0	19	1	1	3	0	24
Spain	1997	0	5 (4)	0	0	0	1	0
Italy	2003 – 2004	0	19	0	0	2	0	41
United States	2003	0	5 (4)	0	0	0	0	1
Italy	1993	0	4	0	0	0	0	2
United Kingdom	1986 , 1989 – 1991	0	25 (20)	0	0	1	0	4
Italy	1989 – 1991	0	31 (25)	0	1	2	0	25
France	1988	0	5	0	0	0	0	3
Italy	1988 – 1990 , 1993	0	8 (4)	0	0	0	0	0
Canada	1998	0	12 (11)	0	0	0	0	0
Italy	1996 – 2001	0	58 (48)	0	0	1	0	10
France	1994 – 1996	0	25 (23)	2	0	4	2	20
Belgium	1994 – 1996 , 1999 – 2001	0	43 (39)	2	3	7	1	63
France	1992	0	7	0	0	0	0	0
France	1995	0	6 (3)	0	0	0	0	0
France	1988 – 1989	0	10 (5)	0	0	0	0	0
France	2001	0	1	0	0	0	0	0
France	1990 – 1992	0	31 (29)	0	2	4	1	43
France	1985	0	2 (1)	0	0	0	0	0
Italy	2004	0	2	0	0	0	0	1
Brazil	1988 – 1990	0	18 (4)	0	0	0	0	0
United States	1988	0	1 (0)	0	0	0	0	0
France	1985 – 1988	0	34 (32)	3	2	5	2	49
Brazil	1995 – 1996	0	18	0	0	3	0	22
Argentina	2004	0	10	0	0	1	0	28
Brazil	1986 – 1987	0	22 (20)	2	1	5	0	34
Brazil	1999 – 2002	0	42 (36)	0	0	2	1	21
United Kingdom	2003	0	3 (2)	0	0	0	0	0
Japan	1995	0	2	0	0	0	0	0
West Germany	1986 – 1987	0	14 (7)	0	0	0	0	0
Germany	1998 – 1999	1 ( 1999 )	22	6	7	14	9	107
France	1991 – 1992	0	9	0	0	1	0	9
Germany	1999	0	7 (3)	0	0	0	0	0
United Kingdom	1988	0	6	2	1	2	1	13
Belgium	2004	0	4	0	0	0	0	1
United Kingdom	1988 – 1991	0	29 (27)	3	0	3	2	17
United States	2001 – 2003	0	25	0	0	0	0	4
United Kingdom	1989	0	3	0	0	0	0	0
United Kingdom	1997 – 1998	0	22 (14)	0	0	0	0	1
United Kingdom	1988	0	10 (6)	0	0	0	0	0
United Kingdom	2000 , 2003	0	4 (3)	0	0	0	0	0
Switzerland	1985 – 1988	0	27 (20)	0	0	1	0	8
Japan	1996	0	10	0	0	0	0	0
Japan	1994	0	8	0	0	0	0	0
United Kingdom	1989 – 1990	0	21 (19)	1	1	5	0	38
Czech Republic	2001 , 2003	0	11 (10)	0	0	0	0	20
United States	1986	0	5 (3)	0	0	0	0	0
Canada	1986 – 1987 , 1990	0	33 (28)	1	0	2	0	16
United States	1994 , 1996	0	13 (12)	0	0	0	0	2
Brazil	1998 – 2000	1 ( 2000 )	32 (31)	3	5	7	1	71
Sweden	1985 – 1987	0	30 (27)	0	0	0	0	7
United Kingdom	1998	0	4	0	0	0	0	0
Australia	1991	0	2 (0)	0	0	0	0	0
Japan	1989	0	4 (2)	0	0	0	0	0
United Kingdom	2001 – 2002	0	5	0	0	0	0	0
United Kingdom	1988	0	3 (1)	0	0	0	0	0
Ireland	2003	0	2	0	0	0	0	0
United Kingdom	2003	0	1 (0)	0	0	0	0	0
Denmark	2002 – 2003	0	19	0	1	2	0	23
Italy	1992 – 1993	0	12 (9)	0	0	0	0	0
Denmark	2000 , 2002	0	13 (9)	0	0	0	0	2
Netherlands	1988	0	1	0	0	0	0	0
Denmark	1996 – 1997	0	17 (16)	4	1	5	2	37
France	1993 – 1994	0	17 (16)	5	4	6	4	55
Netherlands	1986 , 1993 , 1995	0	10	0	0	0	0	3
Portugal	1993	0	9 (8)	2	1	4	2	31
Italy	2001	0	12	0	0	0	0	0
United States	1985	0	2	0	0	0	0	0
Italy	1985 – 1989	0	34 (33)	0	0	1	0	15
United States	2003	0	5	0	0	0	0	0
Italy	1986 – 1987	0	5	0	0	0	0	0
Austria	2004	0	10	0	0	0	0	5
Italy	1991	0	10 (2)	0	0	0	0	0
France	1993 – 1994	0	9	0	0	0	0	3
United Kingdom	1987	0	7 (0)	0	0	0	0	0
Finland	1989	0	9	0	0	0	0	6
Belgium	1999 – 2001	0	32 (28)	0	0	2	0	18
France	1996 – 1997	0	16 (15)	0	0	0	0	6
France	1987	0	2 (1)	0	0	0	0	0
Italy	1985 – 1987	0	29 (27)	0	0	2	1	20
Italy	2003 – 2004	1 ( 2004 )	20	10	7	11	3	125
Italy	1985	0	1	0	0	0	0	0
Germany	1990	0	1 (0)	0	0	0	0	0
Australia	1997	0	10	0	0	0	0	3
Argentina	2004	0	10	0	0	2	2	28
Italy	1986	0	1	0	0	0	0	0
South Africa	1997 – 1998	0	22 (20)	0	0	0	0	4
United Kingdom	2000 – 2001	0	22	1	0	3	1	19
Brazil	1994 – 1995	0	16 (15)	2	1	2	3	18
Italy	1989	0	4 (3)	0	0	0	0	0
Italy	1998 – 1999	0	21 (14)	0	0	0	0	3
Italy	1986 – 1988	0	32 (31)	2	3	9	2	58
Russia	1999 – 2001	0	32 (17)	0	0	0	0	0
Brazil	1999 – 2002	0	40 (37)	0	0	4	0	28
Argentina	1996 – 1999	0	33 (29)	0	0	0	0	2
United Kingdom	1988 – 1989	0	7 (5)	0	0	0	0	0
United Kingdom	1998 – 2000	0	28 (22)	0	0	1	0	12
United Kingdom	1989 – 1992 , 1994 – 1995	0	38 (36)	3	2	6	1	47
United States	1986	0	7 (4)	0	0	0	0	0
Germany	1999	0	7 (0)	0	0	0	0	0
Brazil	2000 – 2001	0	19 (17)	1	0	1	0	14
Italy	2004	0	1	0	0	0	0	0
Switzerland	1990 – 1991	0	7 (6)	0	0	0	0	2
Indonesia	2000 – 2001	0	13 (10)	0	0	0	0	0
France	1998 – 2000 , 2003	0	32	1	4	8	0	70
Japan	1998 , 2000	0	6 (3)	0	0	0	0	0
Italy	1987	1 ( 1987 )	11	0	3	4	1	40 (41)
Belgium	1997 – 1998	0	21 (18)	0	0	2	0	22
Italy	2003 – 2004	0	12	0	0	0	0	0
France	1999 – 2000	0	20	0	0	1	0	11
San Marino	2003	0	1	0	0	0	0	0
Italy	1998 – 1999	0	16 (12)	0	0	0	0	0
Portugal	2002	0	12	0	0	0	0	2
Italy	1990 – 1992	0	31	5	3	8	2	55
Italy	1988 – 1989 , 1991	0	15 (8)	0	0	0	0	0
Colombia	1997 – 1998	1 ( 1998 )	22	10	7	13	7	102.5
Switzerland	1986 – 1988	0	6 (0)	0	0	0	0	0
Italy	1990	0	11	1	1	3	0	20
United Kingdom	1995 , 1997 – 2001	0	19 (17)	0	0	1	0	6
Brazil	1985 – 1988	1 ( 1988 )	27	7	5	9	4	76
Germany	1998 – 1999 , 2002	0	25 (21)	0	0	0	0	2
France	1986 , 1988	0	9 (4)	0	0	0	0	0
Germany	1996	1 ( 1996 )	10	2	2	8	4	52
France	1993	0	9	0	0	0	0	2
United Kingdom	1985	0	1	0	0	0	0	0
Japan	1986	0	7	0	0	0	0	7
Italy	1993 – 1995	0	17 (14)	0	0	0	0	0
Italy	1989 – 1992	0	35 (31)	2	5	6	4	59
Australia	2002 – 2003	0	15	0	0	0	0	7
Denmark	1985 – 1986	0	22	2	1	8	3	52
Israel	2004	0	3	0	0	0	0	0
Denmark	1987	0	1 (0)	0	0	0	0	0
Japan	1992 – 1994	0	26 (24)	0	0	1	0	6
Finland	1986 – 1988	0	32 (13)	0	0	0	0	0
West Germany	1988	0	2 (0)	0	0	0	0	0
Belgium	2000	0	10 (6)	0	0	0	0	0
Sweden	1995 – 1996	0	7 (6)	0	0	0	0	0
Brazil	1996	0	2	0	0	0	0	0
United Kingdom	2003	0	1	0	0	0	0	0
Italy	1997	0	1	0	0	0	0	0
Germany	1993	0	2 (1)	0	0	0	0	0
France	1992 – 1993	1 ( 1993 )	19	2	3	6	2	42
Italy	2001 – 2003	0	34	3	6	12	7	107
Italy	1993 – 1994	0	17	1	1	1	0	19
Australia	1999	0	10 (4)	0	0	0	0	0
Italy	1986	0	1 (0)	0	0	0	0	0
Spain	1986 – 1987	0	22 (21)	2	4	6	2	57.5
Italy	1994 – 1996	0	26	0	0	1	1	13
Italy	1999 – 2001	0	32 (27)	0	0	0	0	6
Italy	2003	0	4 (3)	0	0	0	0	0
Italy	1985 – 1986	0	22	4	4	9	3	70
Brazil	2001 – 2002	0	24	1	1	3	1	40
Mexico	1991	0	5 (0)	0	0	0	0	0
France	1992 – 1995	0	34	0	0	1	0	11
Canada	1989 – 1990	0	21	0	0	0	1	2
Italy	1996	0	1	0	0	0	0	1
France	1986 – 1988	0	33 (32)	1	0	3	0	20
France	1996 – 1997	0	20	0	0	1	0	17
United Kingdom	1995 , 1997 – 1998	0	26 (25)	0	0	1	0	14
Brazil	2004	0	4	0	0	0	0	1
United Kingdom	1992	0	9 (7)	0	0	0	0	0
Uruguay	1997 – 1999	0	29 (27)	0	3	7	4	60.5
Switzerland	1986 – 1987	0	2 (0)	0	0	0	0	0
Sweden	1996	0	10 (9)	0	0	0	0	0
Brazil	1995	0	8	1	2	3	2	29
France	1994 – 1996	0	6	0	0	0	0	0
Italy	1998 – 1999	0	16 (14)	0	0	0	0	0
Sweden	1989	0	1	0	0	0	0	0
Belgium	1999 – 2002	0	35 (30)	2	0	4	0	33
Chile	1986 – 1987	0	20 (14)	0	0	0	1	1.5
Brazil	1988	0	1	0	0	0	0	0
Switzerland	1986	0	1	0	0	0	0	0
Italy	1985 – 1988	0	21 (20)	0	0	0	0	1.5
France	1998 – 2001	0	29	1	2	5	3	48
France	1996 – 1999	0	34 (32)	0	0	0	0	8
Italy	1986 , 1988 – 1989	0	19 (7)	0	0	0	0	0
Italy	2003	0	4	0	0	0	0	0
United Kingdom	1986	0	1 (0)	0	0	0	0	0
South Africa	2000 – 2001	0	5 (4)	0	0	1	0	6
Germany	2000	0	9 (5)	0	0	0	0	0
Norway	1997	0	10 (5)	0	0	0	0	0
Germany	2002 – 2004	0	31	0	0	0	0	25
France	2003 – 2004	0	16	0	0	1	0	26
Germany	1998	0	12 (11)	0	0	0	0	3
United Kingdom	1998	0	12 (10)	0	0	0	0	0
Germany	1999	0	9 (5)	0	0	0	0	0
Italy	1992 – 1993	0	14	0	0	0	0	2
Australia	1992	0	2	0	0	0	0	0
Argentina	1998 – 1999	0	10 (8)	0	0	0	0	0
Italy	1990 – 1991 , 1993 – 1995	1 ( 1995 )	37 (35)	0	3	10	1	91
Argentina	1997	0	9 (6)	0	0	0	0	0
United Kingdom	1986 – 1988	0	33 (26)	0	0	2	0	10.5
Brazil	2002	0	9	0	0	0	0	0
Brazil	2001 – 2003	0	34	4	3	12	2	89
Brazil	2001 – 2002	0	22	0	1	3	0	20
United Kingdom	1991 – 1993	0	29 (26)	0	0	1	0	13
Canada	1994	0	1	0	0	0	0	0
France	1985	0	11	0	0	1	0	12
Japan	1988	0	3 (2)	0	0	0	0	0
Italy	1986	0	7 (2)	0	0	0	0	0
Italy	1990 – 1991 , 1993	0	24 (23)	0	1	2	1	28
Italy	1985 – 1987	0	32 (31)	0	0	4	1	33
France	1986	0	1 (0)	0	0	0	0	0
Belgium	1985 – 1987	0	10	0	0	0	1	1
United Kingdom	1994 – 1998	0	23 (16)	0	0	0	0	0
South Africa	1986	0	1	0	0	0	0	0
Italy	1991	0	8 (5)	0	0	0	0	0
Italy	1986 – 1987	0	4 (0)	0	0	0	0	0
France	1998	0	10 (6)	0	0	0	0	0
New Zealand	1985 – 1986 , 1988	0	16	5	4	7	4	55.5
Austria	1996 – 1998	0	25 (24)	0	0	3	0	19
Netherlands	2004	0	5	0	0	0	0	0
France	1995 – 1996	0	18	0	1	2	0	19
Italy	2001 – 2004	0	36	1	3	10	1	100
France	1987 – 1988	0	18 (17)	0	1	3	2	25.5
Argentina	1996	0	6	0	0	0	0	0
Belgium	1989 – 1990	0	21	0	3	5	0	49
South Africa	2004	0	7	0	0	0	0	2
Belgium	1994 – 1995	0	16 (14)	0	0	0	0	0
Belgium	1999 – 2000 , 2003 – 2004	0	36 (33)	1	0	0	0	23
Italy	1991 – 1992	0	14 (6)	0	0	0	0	0
Italy	2001	0	5	0	0	0	0	0
France	1989 , 1991	0	2	0	0	0	0	0
Belgium	2004	0	10	0	0	0	0	1
Spain	1998 – 1999	0	12 (3)	0	0	0	0	0
Canada	1987	0	1 (0)	0	0	0	0	0
Italy	1998	0	11 (7)	0	0	0	0	0
Venezuela	2004	0	6	0	0	0	0	7
Spain	1988	0	8 (4)	0	0	0	0	0
France	1998 – 2000	0	29 (24)	1	0	1	0	4
United Kingdom	1987 – 1988	0	20 (18)	0	0	0	0	4.5
Austria	1997	0	2 (0)	0	0	0	0	0
United Kingdom	1990	0	4 (3)	0	0	0	0	0
South Africa	1995 – 1997	0	28 (27)	0	0	0	0	2
Denmark	1997 – 1999	0	32 (31)	2	4	11	0	85
United Kingdom	1985 – 1986 , 1988	0	6 (4)	0	0	0	0	0
Australia	2000 – 2001	0	22	2	4	7	5	60
West Germany	1986 , 1988	0	18 (14)	0	0	0	0	5
Austria	1990 – 1991	0	14 (11)	0	0	1	0	8
United Kingdom	1999 – 2001	1 ( 2001 )	32	2	3	12	1	89
Brazil	1997 – 1999	0	31 (30)	2	0	7	0	44
Sweden	2002 – 2003	1 ( 2003 )	22	6	4	12	7	107
Belgium	1991	0	1 (0)	0	0	0	0	0
Malaysia	1999	0	4 (2)	0	0	0	0	0
Germany	1991	0	3 (2)	0	0	0	0	0
Italy	1992 – 1993	0	19 (18)	0	0	1	0	8
Italy	1989 , 1991	0	11	3	2	6	3	42
Italy	1990 – 1993	0	22 (17)	0	0	0	0	3
Brazil	1996 – 1997	1 ( 1997 )	20	5	5	9	6	66
