Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
South Minnewaukan	Ramsey	225	29.093	12.431	48.061632	-98.747857	3807174280	1759594
South Olga	Cavalier	39	35.797	0.081	48.773697	-97.990120	3801974300	1759381
South Valley	Rolette	31	35.947	0.016	48.589896	-100.078572	3807974340	1759628
South Viking	Benson	61	35.604	0.225	47.896714	-99.463428	3800574380	1759259
Southwest	Sargent	18	36.011	0.093	45.963131	-97.967970	3808174460	1036789
Speedwell	Wells	57	35.735	0.324	47.456178	-99.585214	3810374540	1759711
Spencer	Ward	47	34.967	0.979	48.582608	-102.158045	3810174580	1759692
Spiritwood	Stutsman	73	35.759	0.335	46.938920	-98.486954	3809374700	1036467
Spring Coulee	Mountrail	39	35.148	0.109	48.072199	-101.999565	3806174860	1037020
Spring Creek	Barnes	74	35.489	0.029	46.683088	-98.114316	3800374900	1036403
Spring Grove	McHenry	39	32.138	1.836	47.892679	-100.390922	3804975020	1759515
Spring Lake	Ward	29	34.713	1.172	47.885298	-101.422432	3810175060	1036983
Spring Valley	Dickey	28	33.271	2.282	46.077524	-98.922221	3802175140	1037247
Springbrook	Williams	67	34.813	0.252	48.243527	-103.427631	3810574820	1036988
Springer	Ransom	59	35.918	0.050	46.498473	-97.847973	3807374940	1036874
Springfield	Towner	14	34.651	1.417	48.407026	-99.428460	3809574980	1759666
Springvale	Barnes	53	35.897	0.000	46.847493	-97.744735	3800375100	1036407
St. Andrews	Walsh	52	36.344	0.470	48.492269	-97.201899	3809969620	1036543
St. Anna	Wells	18	33.290	1.650	47.624269	-99.703726	3810369660	1759712
St. Croix	Hettinger	34	36.658	0.000	46.500535	-102.486896	3804169820	1759462
St. Joseph	Pembina	94	44.879	0.039	48.946973	-97.749046	3806770020	1036739
St. Mary	McLean	147	33.235	1.771	47.625291	-101.493840	3805570060	1759543
St. Marys	Ward	52	34.895	1.236	48.414360	-101.510871	3810170100	1759693
St. Paul	Stutsman	71	32.222	3.761	46.856115	-99.372706	3809370180	1036466
St. Thomas	Pembina	119	71.919	0.009	48.636672	-97.481240	3806770300	1036713
Stafford	Renville	38	43.360	0.105	48.943921	-101.947035	3807575180	1759620
Stanley	Cass	1218	25.265	0.000	46.753385	-96.842128	3801775340	1036358
Star	Bowman	50	30.501	0.110	46.241673	-103.426389	3801175460	1759314
Starbuck	Bottineau	32	39.253	1.239	48.770143	-100.785741	3800975500	1759298
Stavanger	Traill	110	36.201	0.000	47.628462	-97.026861	3809775700	1036701
Stave	Mountrail	33	33.312	2.744	48.415887	-102.038348	3806175740	1036985
Steiber	Burleigh	25	34.170	0.103	47.283629	-100.547906	3801575820	1037141
Steiner	Hettinger	25	35.031	0.040	46.496252	-102.229655	3804175860	1759463
Sterling	Burleigh	149	35.929	0.000	46.851260	-100.267087	3801575940	1759347
Stevens	Ramsey	67	33.729	1.300	48.064296	-98.614459	3807175980	1759595
Stewart	Barnes	89	36.145	0.000	47.023213	-98.149960	3800376020	1036429
Stewart	Kidder	28	33.269	1.374	47.283990	-99.909908	3804376060	1037161
Stillwater	Bowman	28	30.591	0.009	46.244238	-103.178716	3801176140	1759315
Stirton	Stutsman	70	32.891	2.979	46.844756	-99.110856	3809376180	1036462
Stone Creek	Bottineau	19	27.845	0.403	48.681264	-100.733729	3800976260	1759299
Stoneview	Divide	22	35.269	0.502	48.677217	-102.950521	3802376300	1759397
Stony Creek	Williams	558	50.382	12.910	48.081934	-103.526019	3810576340	1036987
Storlie	Cavalier	21	25.095	0.347	48.579867	-98.633664	3801976380	1759382
Strabane	Grand Forks	98	35.548	0.013	48.144065	-97.568357	3803576420	1036625
Strandahl	Williams	20	32.526	0.175	48.422811	-103.978227	3810576460	1759734
Strassburg	Sheridan	34	32.351	3.611	47.811440	-100.514116	3808376540	1759637
Streeter	Stutsman	55	34.798	0.956	46.675077	-99.396456	3809376660	1036450
Strege	McHenry	40	35.266	0.925	47.980053	-100.388593	3804976700	1759516
Strehlow	Hettinger	29	35.883	0.073	46.407370	-102.857648	3804176740	1037231
Strong	Stutsman	19	33.727	1.884	47.090186	-99.286234	3809376780	1036494
Sullivan	Ramsey	26	35.529	0.545	48.420702	-98.778641	3807176860	1759596
Summit	Richland	217	53.361	0.019	46.145643	-96.667743	3807776940	1036825
Sundre	Ward	970	35.716	0.244	48.148714	-101.207121	3810176980	1036990
Sunny Slope	Bowman	9	51.122	0.108	46.160592	-103.956408	3801177060	1037164
Superior	Eddy	55	34.728	0.269	47.629769	-99.068069	3802777140	1759414
Surrey	Ward	349	35.019	0.043	48.241646	-101.066882	3810177220	2397878
Svea	Barnes	41	35.875	0.000	46.761711	-98.248932	3800377300	1036414
Sverdrup	Griggs	92	36.010	0.036	47.377790	-98.065074	3803977340	1036630
Swede	LaMoure	36	35.717	0.063	46.420627	-98.964670	3804577380	1036908
Sydna	Ransom	194	36.327	0.005	46.329653	-97.458880	3807377540	1036859
Sydney	Stutsman	78	36.132	0.123	46.754405	-98.744074	3809377620	1036455
