Year	Round	Player	Nationality	Position	College/High School/Club
1973	2	Patrick McFarland #	United States	F/G	Saint Joseph's
1974	2	Jesse Dark	United States	G	Virginia Commonwealth
1975	1	Gene Short	United States	SF	Jackson State
1975	2	Luther Burden	United States	SG	Utah
1975	2	Larry Fogle	United States	G	Canisius
1976	2	Lonnie Shelton +	United States	PF/C	Oregon State
1977	1	Ray Williams	United States	PG	Minnesota
1977	2	Glen Gondrezick Category:Articles with hCards	United States	SF/SG	UNLV
1977	2	Toby Knight Category:Articles with hCards	United States	PF	Notre Dame
1978	1	Micheal Ray Richardson +	United States	PG / SG	Montana
1978	2	John Rudd	United States	F	McNeese State
1978	2	Greg Bunch	United States	SF	Cal State Fullerton
1979	1	Bill Cartwright +	United States	C	San Francisco
1979	1	Larry Demic	United States	F/C	Arizona
1979	1	Sly Williams	United States	SF/SG	Rhode Island
1979	2	Reggie Carter	United States	SG	St. John's
1979	2	Kim Goetz #	United States	F	San Diego State
1980	1	Mike Woodson	United States	SG/SF	Indiana
1980	2	DeWayne Scales	United States	PF	LSU
1981	2	Greg Cook #	United States	F	LSU
1982	1	Trent Tucker Category:Articles with hCards	United States	SG	Minnesota
1982	2	Scott Hastings	United States	PF/C	Arkansas
1982	2	Vince Taylor Category:Articles with hCards	United States	SF	Duke
1983	1	Darrell Walker	United States	G	Arkansas
1985	1	Patrick Ewing ^ (33)	United States	C	Georgetown
1985	2	Gerald Wilkins	United States	SG	UT–Chattanooga
1986	1	Kenny Walker	United States	SF	Kentucky
1986	2	Michael Jackson Category:Articles with hCards	United States	PG	Georgetown
1987	1	Mark Jackson +	United States	PG	St. John's
1987	2	Ron Moore	United States	C	West Virginia State
1988	1	Rod Strickland x	United States	PG	DePaul
1988	2	Greg Butler	United States	C	Stanford
1989	2	Brian Quinnett	United States	PF	Washington State
1990	1	Jerrod Mustaf	United States	PF/C	Maryland
1991	1	Greg Anthony	United States	PG	UNLV
1992	1	Hubert Davis	United States	SG	North Carolina
1994	1	Monty Williams	United States	SF	Notre Dame
1994	1	Charlie Ward Category:Articles with hCards	United States	PG	Florida State
1996	1	John Wallace Category:Articles with hCards	United States	SF	Syracuse
1996	1	Walter McCarty Category:Articles with hCards	United States	PF	Kentucky
1996	1	Dontae' Jones	United States	PF	Mississippi State
1997	1	John Thomas Category:Articles with hCards	United States	C	Minnesota
1998	2	DeMarco Johnson Category:Articles with hCards	United States	PF	UNC Charlotte
1998	2	Sean Marks Category:Articles with hCards	New Zealand	F/C	California
1999	1	Frédéric Weis #	France	C	CSP Limoges ( France )
1999	2	J. R. Koch Category:Articles with hCards	United States	F	Iowa
2000	1	Donnell Harvey Category:Articles with hCards	United States	SF	Florida
2000	2	Lavor Postell Category:Articles with hCards	United States	SG	St. John's
2001	2	Michael Wright Category:Articles with hCards	United States	PF	Arizona
2001	2	Eric Chenowith Category:Articles with hCards	United States	C	Kansas
2002	1	Nenê	Brazil	PF/C	Vasco da Gama ( Brazil )
2002	2	Miloš Vujanić	Serbia and Montenegro	PG	KK Partizan ( Serbia )
2003	1	Michael Sweetney	United States	PF	Georgetown
2003	2	Maciej Lampe Category:Articles with hCards	Poland	F/C	Real Madrid ( Spain )
2003	2	Slavko Vraneš	Serbia and Montenegro	C	Budućnost Podgorica ( Montenegro )
2004	2	Trevor Ariza Category:Articles with hCards	United States	SF	UCLA
2005	1	Channing Frye Category:Articles with hCards	United States	PF/C	Arizona
2005	1	David Lee +	United States	PF/C	Florida
2005	2	Dijon Thompson Category:Articles with hCards	United States	SG/SF	UCLA
2006	1	Renaldo Balkman Category:Articles with hCards	United States	SF/PF	South Carolina
2006	1	Mardy Collins Category:Articles with hCards	United States	PG/SG	Temple
2007	1	Wilson Chandler Category:Articles with hCards	United States	SF	DePaul
2008	1	Danilo Gallinari Category:Articles with hCards	Italy	SF	Olimpia Milano ( Italy )
2009	1	Jordan Hill Category:Articles with hCards	United States	PF	Arizona
2010	2	Andy Rautins Category:Articles with hCards	Canada	SG	Syracuse
2010	2	Landry Fields Category:Articles with hCards	United States	SG	Stanford
2011	1	Iman Shumpert Category:Articles with hCards	United States	SG/PG	Georgia Tech
2012	2	Kostas Papanikolaou Category:Articles with hCards	Greece	PF	Olympiacos ( Greece )
2013	1	Tim Hardaway, Jr. Category:Articles with hCards	United States	G	University of Michigan
