Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1983	Rodney Barton	Cheryl Carton	John Britton Gary Higgins	Pam Brady Judianne Kelly	Mike Walker Judianne Kelly
1984	Rodney Barton	Cheryl Carton	Matt Fogarty Bruce Pontow	Pam Brady Monica Ortez	John Britton Cheryl Carton
1985	Chris Jogis	Judianne Kelly	John Britton Gary Higgins	Pam Brady Judianne Kelly	Mike Walker Judianne Kelly
1986	Chris Jogis	Nina Lolk	Matt Fogarty Bruce Pontow	Linda French Nina Lolk	Mike Walker Judianne Kelly
1987	Tariq Wadood	Joy Kitzmiller	Chris Jogis Benny Lee	Linda French Nina Lolk	Chris Jogis Linda French
1988	Chris Jogis	Joy Kitzmiller	Chris Jogis Benny Lee	Linda French Linda Safarik-Tong	Chris Jogis Linda French
1989	Tariq Wadood	Linda Safarik-Tong	Chris Jogis Benny Lee	Linda French Linda Safarik-Tong	Tariq Wadood Linda French
1990	Chris Jogis	Linda Safarik-Tong	Chris Jogis Benny Lee	Ann French Joy Kitzmiller	Tom Reidy Traci Britton
1991	Chris Jogis	Liz Aronsohn	John Britton Tom Reidy	Ann French Joy Kitzmiller	Tariq Wadood Traci Britton
1992	Chris Jogis	Joy Kitzmiller	Benny Lee Tom Reidy	Ann French Joy Kitzmiller	Andy Chong Linda French
1993	Andy Chong	Andrea Andersson	Benny Lee Tom Reidy	Andrea Andersson Traci Britton	Andy Chong Linda French
1994	Kevin Han	Joy Kitzmiller	Benny Lee Tom Reidy	Andrea Andersson Liz Aronsohn	Andy Chong Linda French
1995	Kevin Han	Andrea Andersson	Benny Lee Tom Reidy	Andrea Andersson Liz Aronsohn	Andy Chong Linda French
1996	Steve Butler	Zhao Ye Ping	Kevin Han Tom Reidy	Ann French Kathy Zimmerman	Andy Chong Zhao Ye Ping
1997	Kevin Han	Cindy Shi	Kevin Han Tom Reidy	Cindy Shi Zhao Ye Ping	Trisna Gunadi Eileen Tang
1998	Kevin Han	Yeping Tang	Andy Chong Benny Lee	Cindy Shi Yeping Tang	Andy Chong Yeping Tang
1999	Kevin Han	Yeping Tang	Kevin Han Alex Liang	Cindy Shi Yeping Tang	Andy Chong Yeping Tang
2000	Alex Liang	Yeping Tang	Matt Fogarty Chibing Wu	Janis Tan Elie Wu	Chibing Wu Melinda Keszthelyi
2001	Kevin Han	Meiluawati	Howard Bach Kevin Han	Cindy Shi Meiluawati	Trisna Gunadi Janis Tan
2002	Kevin Han	Meiluawati	Howard Bach Kevin Han	Janis Tan Elie Wu	Andy Chong Szilvia Szombati
2003	Howard Bach	Meiluawati	Tony Gunawan Khan Malaythong	Meiluawati Etty Tantri	Raju Rai Etty Tantri
2004	Raju Rai	Lili Zhou	Howard Bach Kevin Han	Yun Peng Lili Zhou	Raju Rai Eva Lee
2005	Raju Rai	Eva Lee	Howard Bach Khan Malaythong	Eva Lee Mesinee Mangkalakiri	Khan Malaythong Mesinee Mangkalakiri
2006	Raju Rai	Eva Lee	Howard Bach Khan Malaythong	Johannah Lee Yun Peng	Howard Bach Eva Lee
2007	Howard Bach	Joo Hyun Lee	Howard Bach Khan Malaythong	Yun Peng Lee Joo Hyun	Howard Bach Eva Lee
2008	Raju Rai	Lee Joo Hyun	Howard Bach Khan Malaythong	Mona Santoso Lee Joo Hyun	Kowi Chandra Mona Santoso
2009	Howard Bach	Lee Joo Hyun	Howard Bach Khan Malaythong	Mona Santoso Lee Joo Hyun	Howard Bach Eva Lee
2010	Hock Lai Lee	Eva Lee	Howard Bach Raju Rai	Peng Yun Lee Joo Hyun	Howard Bach Eva Lee
2011	Ilian Perez	Cee Ketpura	Howard Bach Tony Gunawan	Peng Yun Lee Joo Hyun	Halim Haryanto Ho Eva Lee
2012	Sattawat Pongnairat	Bo Rong	Kowi Chandra Halim Haryanto Ho	Peng Yun Lee Joo Hyun	Peng Yun Holvy De Pauw
