Title and source	Developer	Publisher	First released	Japan	Europe	North America	Exclusive	Move-only
Counter Strike: Global Offensive	Valve Corporation	Valve Corporation	2012-08-21 August 21, 2012	N/A N/A	N/A N/A	2012-08-21 August 21, 2012	No	No
Create →	EA Bright Light Studios	Electronic Arts	2010-11-16 November 16, 2010	N/A N/A	2010-11-19 November 19, 2010	2010-11-16 November 16, 2010	No	No
Dance on Broadway →	Longtail Studios , AiLive	Ubisoft	2011-03-17 March 17, 2011	N/A N/A	2011-03-18 March 18, 2011	2011-03-17 March 17, 2011	No	Yes
DanceDanceRevolution →	Konami	Konami	2010-11-16 November 16, 2010	N/A N/A	2011-03-18 March 18, 2011	2010-11-16 November 16, 2010	No	No
Datura	Plastic	Sony Computer Entertainment	2012-07-13 May 8, 2012	N/A N/A	2012-07-13 May 8, 2012	2012-07-24 May 8, 2012	Yes	Yes
de Blob 2 →	Blue Tongue Entertainment	THQ	2011-02-22 February 22, 2011	N/A N/A	2011-02-25 February 25, 2011	2011-02-22 February 22, 2011	No	No
Dead Space Extraction HD →	Visceral Games Eurocom	Electronic Arts	2011-01-25 January 25, 2011	N/A N/A	2011-01-26 January 26, 2011	2011-01-25 January 25, 2011	No	No
Deadliest Catch: Sea of Chaos →	DoubleTap Games	Crave Entertainment	2010-11-29 November 29, 2010	N/A N/A	N/A N/A	2010-11-29 November 29, 2010	No	Yes
Diggs Nightcrawler	Moonbot Studios	Sony Computer Entertainment Europe	2012-07-13 May 31 May 2013	N/A N/A	2012-07-13 31 May 2013	2012-07-24 N/A	Yes	Yes
Dungeon Defenders →	Trendy Entertainment	Reverb Publishing	2011-10-18 October 18, 2011	N/A N/A	2011-12-21 December 21, 2011	2011-10-18 October 18, 2011	No	No
Dungeon Hunter: Alliance →	Gameloft	Gameloft	2011-04-06 April 6, 2011	2011-09-13 September 13, 2011	2011-04-06 April 6, 2011	2011-04-12 April 12, 2011	No	No
Dust 514 →	CCP Games	CCP Games	2013-05-14 May 14, 2013	2013-05-14 May 14, 2013	2013-05-14 May 14, 2013	2013-05-14 May 14, 2013	Yes	No
Echochrome II →	SCE Japan Studio	Sony Computer Entertainment	2010-12-21 December 21, 2010	2010-12-23 December 23, 2010	2010-12-22 December 22, 2010	2010-12-21 December 21, 2010	Yes	Yes
Epic Mickey 2: The Power of Two	Blitz Games	Disney Interactive Studios	2012-11-18 November 18, 2012	N/A N/A	2012-11-23 November 23, 2012	2012-11-18 November 18, 2012	No	No
Everybody Dance →	SCE London Studio	Sony Computer Entertainment	2011-10-18 October 18, 2011	N/A N/A	2011-10-21 October 21, 2011	2011-10-18 October 18, 2011	Yes	Yes
EyePet & Friends →	SCE London Studio	Sony Computer Entertainment	2011-11-15 November 15, 2011	N/A N/A	2011-11-16 November 16, 2011	2011-11-15 November 15, 2011	Yes	Yes
EyePet: Move Edition →	SCE London Studio	Sony Computer Entertainment	2010-09-05 September 5, 2010	2010-10-21 October 21, 2010	2010-09-17 September 17, 2010	2010-09-05 September 5, 2010	Yes	No
Fast Draw Showdown →	Digital Leisure	Digital Leisure	2011-04-11 July 11, 2011	2010-11-00 TBA	2010-11-00 TBA	2011-04-11 July 11, 2011	No	Yes
The Fight: Lights Out →	ColdWood Interactive	Sony Computer Entertainment	2010-11-05 November 5, 2010	2010-11-18 November 18, 2010	2010-11-05 November 5, 2010	2010-11-09 November 9, 2010	Yes	Yes
Flight Control HD →	Firemint	Firemint	2010-09-15 September 15, 2010	2010-10-21 October 21, 2010	2010-09-15 September 15, 2010	TBA TBA	No	No
Funky Lab Rat →	Hydravision Entertainment	Sony Computer Entertainment	2010-11-24 November 24, 2010	TBA TBA	2010-11-24 November 24, 2010	2010-11-30 November 30, 2010	Yes	No
Gal*Gun	Inti Creates	Alchemist	Unreleased	TBA TBA	TBA TBA	TBA TBA	No	No
Get Fit With Mel B →	Lightning Fish	Deep Silver	2010-10-05 October 5, 2010	TBA TBA	2010-10-07 October 7, 2010	2010-10-05 October 5, 2010	No	Yes
GoldenEye 007:Reloaded →	Eurocom	Activision	2011-11-01 Q3 2011	2010-10-21 TBA	2011-11-04 November 04, 2011	2011-11-01 November 01, 2011	No	No
Grand Slam Tennis 2	EA Canada	EA Sports	2012-02-10 February 10, 2012	TBA TBA	2012-02-14 February 14, 2012	2012-02-10 February 10, 2012	No	No
Harry Potter and the Deathly Hallows – Part 2	EA Bright Light Studio	Electronic Arts	2011-07-12 July 12, 2011	TBA TBA	2011-07-14 July 14, 2011	2011-07-12 July 12, 2011	No	No
Hasbro Family Game Night 4: The Game Show	EA Salt Lake	Electronic Arts	Unreleased	TBA TBA	TBA TBA	TBA TBA	No	No
Heavy Fire: Afghanistan	Teyon	Mastiff	Unreleased	TBA TBA	TBA TBA	TBA TBA	No	No
Heavy Rain 1 →	Quantic Dream	Sony Computer Entertainment	2010-02-18 February 18, 2010	2010-02-18 February 18, 2010	2010-02-24 February 24, 2010	2010-02-23 February 23, 2010	Yes	No
High Velocity Bowling 1 →	Team Ramrod	Sony Computer Entertainment	2007-12-06 December 6, 2007	TBA TBA	2007-12-07 December 7, 2007	2007-12-06 December 6, 2007	Yes	No
The House of the Dead III →	Sega Wow	Sega	2010-11-18 March, 2012	TBA TBA	2010-11-25 March, 2012	2010-11-18 March 2012	No	No
The House of the Dead 4 →	Sega Wow	Sega	2010-11-18 April, 2012	TBA TBA	2010-11-25 April, 2012	2010-11-18 April 2012	Yes	No
The House of the Dead: Overkill →	Headstrong Games	Sega	2011-10-25 October 25, 2011	2012-02-23 February 23, 2012	2011-10-28 October 28, 2011	2011-10-25 October 25, 2011	No	No
Hustle Kings 1 →	VooFoo Studios	Sony Computer Entertainment	2009-12-22 December 22, 2009	2010-02-04 February 4, 2010	2009-12-22 December 22, 2009	2010-01-28 January 28, 2010	Yes	No
Infamous 2 →	Sucker Punch Productions	Sony Computer Entertainment	2011-06-07 June 7, 2011	TBA TBA	2011-06-07 June 7, 2011	2011-06-07 June 7, 2011	Yes	No
Infamous: Festival of Blood →	Sucker Punch Productions	Sony Computer Entertainment	2011-10-25 October 25, 2011	TBA TBA	2011-10-26 October 26, 2011	2011-10-25 October 25, 2011	Yes	No
John Daly's ProStroke Golf →	Gusto Games	Oxygen Games	2010-10-08 October 8, 2010	TBA TBA	TBA TBA	2010-10-08 October 8, 2010	No	No
Just Dance 3	Ubisoft Paris	Ubisoft	2011-12-06 December 6, 2011	TBA TBA	2011-12-09 December 6, 2011	2011-12-06 December 6, 2011	No	Yes
Just Dance Kids	AiLive	Ubisoft	2011-12-06 TBA	TBA TBA	2011-12-09 TBA	2011-12-06 TBA	No	Yes
Killzone 3 →	Guerrilla Games	Sony Computer Entertainment	2011-02-22 February 22, 2011	2011-02-00 February 2011	2011-02-23 February 23, 2011	2011-02-22 February 22, 2011	Yes	No
Kung Fu Rider →	SCE Japan Studio	Sony Computer Entertainment	2010-09-15 September 15, 2010	2010-10-21 October 21, 2010	2010-09-15 September 15, 2010	2010-09-17 September 17, 2010	Yes	Yes
Lemmings 1 →	Team17	Sony Computer Entertainment	2011-11-23 November 23, 2011	TBA TBA	2007-03-23 March 23, 2007	2006-12-07 December 7, 2006	No	No
Little League World Series 2010 1 →	NOW Production	Activision	2010-07-20 July 20, 2010	TBA TBA	TBA TBA	2010-07-20 July 20, 2010	No	No
LittleBigPlanet 2 1 →	Media Molecule	Sony Computer Entertainment Europe	2011-01-18 January 18, 2011	TBA TBA	2011-01-19 January 19, 2011	2011-01-18 January 18, 2011	Yes	No
London 2012	Sega Studios Australia	Sega	Unreleased	TBA TBA	TBA TBA	TBA TBA	No	No
The Lord of the Rings: Aragorn's Quest →	TT Fusion	Warner Bros.	2010-09-28 September 28, 2010	TBA TBA	2010-10-29 October 29, 2010	2010-09-28 September 28, 2010	No	No
MAG 1 →	Zipper Interactive	Sony Computer Entertainment	2010-01-26 January 26, 2010	TBA TBA	2010-01-29 January 29, 2010	2010-01-26 January 26, 2010	Yes	No
Medieval Moves: Deadmund's Quest →	Zindagi Games , SCE San Diego Studio	Sony Computer Entertainment	2011-11-15 November 15, 2011	TBA TBA	2011-11-18 November 18, 2011	2011-11-15 November 15, 2011	Yes	Yes
Michael Jackson: The Experience →	Ubisoft Montreal	Ubisoft , Triumph International	2011-04-12 April 12, 2011	TBA TBA	TBA April 14, 2011	2011-04-12 April 12, 2011	No	Yes
MLB 11: The Show →	SCE San Diego Studio	Sony Computer Entertainment	2011-03-08 March 8, 2011	TBA TBA	TBA TBA	2011-03-08 March 8, 2011	Yes	No
MLB 12: The Show →	SCE San Diego Studio	Sony Computer Entertainment	2012-03-06 March 6, 2012	TBA TBA	TBA TBA	2012-03-06 March 6, 2012	Yes	No
Modern Combat: Domination →	Gameloft	Gameloft	2011-01-18 January 18, 2011	2011-02-15 February 15, 2011	2011-01-19 January 19, 2011	2011-01-18 January 18, 2011	Yes	No
Motionsports Adrenaline	Longtail Studios	Ubisoft	Unreleased	TBA TBA	TBA TBA	TBA TBA	No	No
call of move black move 2 →	Visual Concepts	2K Sports	2010-10-05 October 5, 2010	2010-10-14 October 14, 2010	2010-10-08 October 8, 2010	2010-10-05 October 5, 2010	No	No
NBA 2K12 →	Visual Concepts	2K Sports	2011-10-05 October 4, 2011	2011-10-14 October 14, 2011	2011-4-08 October 4, 2011	2011-10-05 October 5, 2011	No	No
NCIS →	Ubisoft	Ubisoft	2011-11-01 November 1, 2011	TBA TBA	TBA TBA	2011-11-01 November 1, 2011	No	Yes
Ninja Gaiden 3 →	Team Ninja	Tecmo Koei	2012-20-03 March 20, 2012	2012-22-03 March 22, 2012	2012-23-03 March 23, 2012	2012-20-03 March 20, 2012	No	No
No More Heroes: Heroes' Paradise 2	feelplus	Konami	2010-04-15 April 15, 2010	2010-04-15 April 15, 2010	2011-05-20 May 20, 2011	2011-18-16 August 16, 2011	No	No
Oddworld: Stranger's Wrath HD →	Just Add Water	Oddworld Inhabitants	2011-12-21 December 21, 2011	TBA TBA	2011-12-21 December 21, 2011	2011-12-27 December 27, 2011	No	No
Okami HD	Clover Studio	Capcom	2012-11-1 November 11, 2012	2012-11-1 November 11, 2012	2012-11-31 November 31, 2012	2012-11-30 November 30, 2012	Yes	No
Order Up!!	SuperVillain Studios	Zoo Games	Unreleased	TBA TBA	TBA TBA	TBA TBA	No	No
Pain 1 →	Idol Minds	Sony Computer Entertainment	2007-11-29 November 29, 2007	2009-02-26 February 26, 2009	2008-03-20 March 20, 2008	2007-11-29 November 29, 2007	Yes	No
Phineas and Ferb: Across the 2nd Dimension	High Impact Games	Disney Interactive Studios	2011-08-02 August 02, 2011	TBA TBA	2011-09-16 September 16, 2011	2011-08-02 August 02, 2011	No	No
PixelJunk 4am →	Q-Games	Sony Computer Entertainment	2012-05-15 May 15, 2012	2012-05-15 May 15, 2012	2012-05-15 May 15, 2012	2012-05-15 May 15, 2012	Yes	Yes
Planet Minigolf 1 →	Zen Studios	Sony Computer Entertainment	2010-06-01 June 1, 2010	TBA TBA	2010-06-02 June 2, 2010	2010-06-01 June 1, 2010	Yes	No
PlayStation Move Heroes →	Nihilistic Software	Sony Computer Entertainment	2011-03-22 March 22, 2011	2011-03-22 March 22, 2011	2011-03-22 March 22, 2011	2011-03-22 March 22, 2011	Yes	Yes
Portal 2 →	Valve Software	Electronic Arts	2011-04-19 April 19, 2011	2011-04-19 April 19, 2011	2011-04-21 April 21, 2011	2011-04-19 April 19, 2011	No	No
Racket Sports →	Asobo Studio	Ubisoft	2010-09-14 September 14, 2010	TBA TBA	2010-09-15 September 15, 2010	2010-09-14 September 14, 2010	Yes	Yes
Rapala Pro Bass Fishing 2010 →	FUN Labs	Activision	2010-09-28 September 28, 2010	TBA TBA	2010-10-29 October 29, 2010	2010-09-28 September 28, 2010	No	No
Resident Evil 5: Gold Edition 1 →	Capcom	Capcom	2010-02-18 February 18, 2010	2010-02-18 February 18, 2010	2010-02-12 February 12, 2010	2010-03-09 March 9, 2010	No	No
Resident Evil: The Darkside Chronicles →	Capcom	Capcom	2009-11-17 November 17, 2009	2012-06-28 June 28, 2012	2012-06-26 June 26, 2012	2012-06-26 June 26, 2012	No	No
Resident Evil: The Umbrella Chronicles →	Capcom	Capcom	2007-11-13 November 13, 2007	2012-06-28 June 28, 2012	2012-06-26 June 26, 2012	2012-06-26 June 26, 2012	No	No
Resistance 3 →	Insomniac Games	Sony Computer Entertainment	2011-09-06 September 6, 2011	TBA TBA	2011-09-09 September 9, 2011	2011-09-06 September 6, 2011	Yes	No
R.U.S.E. →	Eugen Systems	Ubisoft	2010-09-07 September 7, 2010	2010-10-21 October 21, 2010	2010-09-10 September 10, 2010	2010-09-07 September 7, 2010	No	No
Sackboy's Prehistoric Moves →	Media Molecule Supermassive Games	Sony Computer Entertainment	2010-12-07 December 7, 2010	TBA TBA	2010-12-08 December 8, 2010	2010-12-07 December 7, 2010	Yes	Yes
The Shoot →	Cohort Studios	Sony Computer Entertainment	2010-10-12 October 12, 2010	2011-00-00 2011	2010-10-22 October 22, 2010	2010-10-12 October 12, 2010	Yes	Yes
SingStar Dance →	SCE London Studio	Sony Computer Entertainment	2010-11-01 November 1, 2010	TBA TBA	2010-11-05 November 5, 2010	2010-11-01 November 1, 2010	Yes	No
The Sly Collection →	Sucker Punch Productions Sanzaru Games (Port)	Sony Computer Entertainment	2010-11-16 November 16, 2010	2011-01-27 January 27, 2011	2010-12-03 December 03, 2010	2010-11-16 November 16, 2010	Yes	No
SOCOM 4: U.S. Navy SEALs →	Zipper Interactive	Sony Computer Entertainment	2011-04-19 April 19, 2011	2011-04-21 April 21, 2011	2011-04-20 April 20, 2011	2011-04-19 April 19, 2011	Yes	No
Sorcery →	The Workshop Games , SCE Santa Monica Studio	Sony Computer Entertainment	2012-05-22 May 22, 2012	2012-06-14 June 14, 2012	2012-05-23 May 23, 2012	2012-05-22 May 22, 2012	Yes	Yes
Sports Champions →	Zindagi Games	Sony Computer Entertainment	2010-09-15 September 15, 2010	2010-10-21 October 21, 2010	2010-09-15 September 15, 2010	2010-09-21 September 21, 2010	Yes	Yes
Sports Champions 2 →	Zindagi Games San Diego Studio	Sony Computer Entertainment	2010-09-15 NA	2010-10-21 NA	2010-09-15 NA	2010-09-21 October 30, 2012	Yes	Yes
Start the Party! →	Supermassive Games	Sony Computer Entertainment	2010-09-15 September 15, 2010	TBA TBA	2010-09-15 September 15, 2010	2010-09-17 September 17, 2010	Yes	Yes
Start the Party! Save The World	Supermassive Games	Sony Computer Entertainment	2012-03-06 March 06, 2012	TBA TBA	TBA TBA	2012-03-06 March 06, 2012	Yes	Yes
Swords & Soldiers →	Ronimo Games	Ronimo Games	2010-11-23 September 28, 2010	TBA TBA	TBA October 20, 2010	2010-11-23 September 28, 2010	No	No
Tiger Woods PGA Tour 11 1 →	EA Tiburon	Electronic Arts	2010-06-08 June 8, 2010	TBA TBA	2010-07-02 July 2, 2010	2010-06-08 June 8, 2010	No	No
Tiger Woods PGA Tour 12	EA Tiburon	Electronic Arts	2011-03-29 March 29, 2011	TBA TBA	2011-04-01 April 1, 2011	2011-03-29 March 29, 2011	No	No
Tiger Woods PGA Tour 13	EA Tiburon	Electronic Arts	2012-03-27 March 27, 2012	TBA TBA	2012-03-29 March 29, 2012	2012-03-27 March 27, 2012	No	No
Time Crisis: Razing Storm →	Nex Entertainment	Namco Bandai Games	2010-10-19 October 19, 2010	2010-10-21 October 21, 2010	2010-11-05 November 05, 2010	2010-10-19 October 19, 2010	Yes	No
Top Spin 4	2K Czech	2K Sports	2011-03-18 March 15, 2011	TBA TBA	2011-03-18 March 18, 2011	2011-03-18 March 15, 2011	No	No
Toy Story 3: The Video Game 1 →	Avalanche Software	Disney Interactive Studios	2010-06-15 June 15, 2010	TBA TBA	2010-07-16 July 16, 2010	2010-06-15 June 15, 2010	No	No
Tron: Evolution →	Propaganda Games	Disney Interactive Studios	2010-11-26 November 26, 2010	TBA TBA	2010-11-26 November 26, 2010	2010-12-07 December 7, 2010	No	No
Tumble →	Supermassive Games	Sony Computer Entertainment	2010-09-14 September 14, 2010	TBA TBA	2010-09-15 September 15, 2010	2010-09-14 September 14, 2010	Yes	Yes
TV Superstars →	SCE Cambridge Studio	Sony Computer Entertainment	2010-10-26 October 26, 2010	2010-12-00 December 2010	2010-10-26 October 26, 2010	2010-10-29 October 29, 2010	Yes	Yes
UFC Personal Trainer	Heavy Iron Studios	THQ	2011-06-28 June 28, 2011	2010-00-00 TBA	2010-00-00 TBA	2011-06-28 June 28, 2011	No	No
Under Siege →	Seed Studios	Sony Computer Entertainment	2011-06-02 June 2, 2011	2011-08-23 August 23, 2011	2011-06-02 June 2, 2011	2011-06-02 June 2, 2011	Yes	No
The Unfinished Swan →	Giant Sparrow	Sony Computer Entertainment	2012-10-16 October 16, 2012	TBA TBA	2012-10-17 October 17, 2012	2011-10-16 October 16, 2012	Yes	No
Until Dawn	Supermassive Games	Sony Computer Entertainment	Unreleased	TBA TBA	TBA TBA	TBA TBA	Yes	No
Virtua Tennis 4 →	Sega-AM3	Sega	2011-04-29 April 29, 2011	2011-06-30 June 30, 2011	2011-04-29 April 29, 2011	2011-05-10 May 10, 2011	No	No
Wanted Corp →	Eko Systems	Zoo Games	2011-12-06 December 06, 2011	2011-12-31 Summer 2011	2011-12-31 Summer 2011	2011-12-06 December 06, 2011	No	No
We Dare	Ubisoft	Ubisoft	Unreleased	TBA TBA	TBA TBA	TBA TBA	No	Yes
Yoostar2 →	Blitz Games Studios	Yoostar Entertainment Group	2011-03-08 March 08, 2011	TBA TBA	2011-03-08 March 08, 2011	2011-03-08 March 08, 2011	No	No
