Song 1 title	Artist 1	Song 2 title	Artist 2	Mix artist	Guitar part?	Level
" Fix Up, Look Sharp "	Dizzee Rascal	"Organ Donor (Extended Overhaul)"	DJ Shadow	FreeStyleGames	No	Hip Hop Rules
"Good Thang"	Q-Tip	"The Big Beat"	Billy Squier	J.Period	No	J.Period Presents
"Groundhog (Beat Juggle)"	Noisia	n/a	n/a	The Scratch Perverts	No	Scratch Perverts Presents , The Vinyl Cut
"Here Comes My DJ"	Grandmaster Flash featuring DJ Kool & DJ Demo	" Cars "	Gary Numan	Grandmaster Flash	No	Grandmaster Flash Presents
"Here's a Little Somethin' for Ya"	Beastie Boys	"The Number Song (2009 Version)"	DJ Shadow	DJ Shadow	No	DJ Shadow Presents
" Hollaback Girl "	Gwen Stefani	" Feel Good Inc. "	Gorillaz	FreeStyleGames	No	In The Groove
" Hollaback Girl "	Gwen Stefani	" Give It to Me Baby "	Rick James	FreeStyleGames	No	On The Wheels Of Steel
" Hollaback Girl "	Gwen Stefani	" Last Night a DJ Saved My Life "	Indeep	DJ AM	No	DJ AM Presents
" How Ya Like Me Now "	Kool Moe Dee	" I Like to Move It "	Reel 2 Real featuring The Mad Stuntman	FreeStyleGames	No	In The Groove
" I Heard It Through the Grapevine "	Marvin Gaye	" Feel Good Inc. "	Gorillaz	FreeStyleGames	No	On The Wheels Of Steel
" I Heard It Through the Grapevine "	Marvin Gaye	" Let's Dance "	David Bowie	FreeStyleGames	No	Breaking Needles , The Vinyl Cut
" I Want You Back "	The Jackson 5	"Just to Get a Rep"	Gang Starr	DJ Yoda	No	DJ Yoda Presents
" I Want You Back "	The Jackson 5	" Semi-Charmed Life "	Third Eye Blind	FreeStyleGames	No	Digging Deeper
" I Want You Back "	The Jackson 5	" Semi-Charmed Life "	Third Eye Blind	FreeStyleGames	Yes	Thrashed And Mashed
" Ice Ice Baby "	Vanilla Ice	" Straight Up "	Paula Abdul	FreeStyleGames	No	Extended Play
" Ice Ice Baby "	Vanilla Ice	" U Can't Touch This "	MC Hammer	FreeStyleGames	No	Hip Hop Rules
" Insane in the Brain "	Cypress Hill	" Spooky "	Classics IV	FreeStyleGames	No	Party Rockin'
" Insane in the Brain "	Cypress Hill	"The Edge"	David Axelrod	FreeStyleGames	No	DJ Jazzy Jeff Presents
" Intergalactic "	Beastie Boys	" Rapture "	Blondie	FreeStyleGames	No	Cut And Paste
" Izzo (H.O.V.A.) "	Jay-Z	" I Want You Back "	The Jackson 5	FreeStyleGames	No	Jay-Z Mixtape
" Izzo (H.O.V.A.) "	Jay-Z	" My Name Is "	Eminem	FreeStyleGames	No	Jay-Z Mixtape
"Jack of Spades"	Boogie Down Productions	" Let's Dance "	David Bowie	DJ Shadow	No	DJ Shadow Presents
"Jayou"	Jurassic 5	" Rockit "	Herbie Hancock	FreeStyleGames	No	Tearing Up Wax
"Jayou"	Jurassic 5	"The Big Beat"	Billy Squier	FreeStyleGames	No	Hip Hop Rules
" Juke Box Hero "	Foreigner	"DJ Hero"	DJ Z-Trip featuring Murs	DJ Z-Trip	Yes	Born To Rock
" Juke Box Hero "	Foreigner	"DJ Hero"	DJ Z-Trip featuring Murs	DJ Z-Trip	No	DJ Z-Trip Presents
"Just to Get a Rep"	Gang Starr	" Shook Ones part II "	Mobb Deep	J.Period	No	J.Period Presents
" Last Night a DJ Saved My Life "	Indeep	" Word Up! "	Cameo	FreeStyleGames	No	Revenge Of The Boom Bap
" Lee Majors Come Again "	Beastie Boys	" Da Funk "	Daft Punk	Cut Chemist	No	DJ Shadow Presents
" Lookin' at Me "	Wale	" Hey Mama "	The Black Eyed Peas Tippa Irie	FreeStyleGames	No	Extended Play
" Monkey Wrench "	Foo Fighters	" Sabotage "	Beastie Boys	FreeStyleGames	Yes	Born To Rock
" Mr. Big Stuff "	Jean Knight	"Born to Roll"	Masta Ace	FreeStyleGames	No	Scratching The Surface
" My Name Is "	Eminem	" Loser "	Beck	FreeStyleGames	No	On The Wheels Of Steel
" Nothing But You "	Paul van Dyk	"I Can't Stop (David Penn Remix) "	Sandy Rivera featuring David Penn	FreeStyleGames	No	Tearing Up Wax
" Paper Planes "	M.I.A.	" Eric B. Is President "	Eric B. & Rakim	The Scratch Perverts	No	Scratch Perverts Present
" Paper Planes "	M.I.A.	" Lookin' at Me "	Wale	FreeStyleGames	No	Breaking Needles
" Play That Funky Music "	Wild Cherry	"Just to Get a Rep"	Gang Starr	FreeStyleGames	Yes	Thrashed And Mashed
" Poison "	Bell Biv DeVoe	" Intergalactic "	Beastie Boys	DJ AM	No	DJ AM Presents
" Poison "	Bell Biv DeVoe	" Word Up! "	Cameo	FreeStyleGames	No	Party Rockin'
" Poison (Beat Juggle) "	Bell Biv DeVoe	n/a	n/a	FreeStyleGames	No	DJ AM Presents
" Put Your Hands Up 4 Detroit "	Fedde Le Grand	"I Can't Stop (David Penn Remix) "	Sandy Rivera featuring David Penn	FreeStyleGames	No	On The Wheels Of Steel
" Robot Rock "	Daft Punk	"Al Naafyish (The Soul)"	Hashim	The Scratch Perverts	No	Scratch Perverts Presents
" Robot Rock "	Daft Punk	" We Will Rock You "	Queen	FreeStyleGames	No	Daft Punk Record Bag
" Rockit "	Herbie Hancock	" Lapdance "	N.E.R.D.	Grandmaster Flash	No	Grandmaster Flash Presents
" Rockit (Beat Juggle) "	Herbie Hancock	n/a	n/a	FreeStyleGames	No	The Vinyl Cut
" Satisfaction "	Benny Benassi	" Elements of Life "	Tiësto	FreeStyleGames	No	The Vinyl Cut
"Short Circuit"	Daft Punk	"Jack of Spades"	Boogie Down Productions	FreeStyleGames	No	Daft Punk Record Bag
" Shout "	Tears for Fears	" Eric B. Is President "	Eric B. & Rakim	DJ Jazzy Jeff	No	DJ Jazzy Jeff Presents
" Shout "	Tears for Fears	" Pjanoo "	Eric Prydz	FreeStyleGames	No	Party Rockin
" Shout "	Tears for Fears	" Six Days (Remix) "	DJ Shadow featuring Mos Def	FreeStyleGames	No	Revenge Of The Boom Bop
"Shut 'Em Down"	Public Enemy	" Where It's At "	Beck	FreeStyleGames	No	Revenge Of The Boom Bap
" Six Days (Remix) "	DJ Shadow	"Annie's Horn"	D-Code	FreeStyleGames	No	Tearing Up Wax , The Vinyl Cut
" Somebody Told Me "	The Killers	" Pjanoo "	Eric Prydz	FreeStyleGames	No	Cut And Paste
"Strange Enough"	N.A.S.A. featuring Karen O , ODB , & Fatlip	" Theme from Shaft "	Isaac Hayes	FreeStyleGames	No	Tearing Up Wax
" Technologic "	Daft Punk	" Cars "	Gary Numan	FreeStyleGames	No	Daft Punk Record Bag
"Television Rules the Nation"	Daft Punk	" Hella Good "	No Doubt	FreeStyleGames	No	Daft Punk Record Bag
" Tutti Frutti "	Little Richard	"Beats"	Shlomo	DJ Yoda	No	DJ Yoda Presents
" Where It's At "	Beck	" Six Days (Remix) "	DJ Shadow featuring Mos Def	FreeStyleGames	No	Cut And Paste
