Rank 	Largest U.S. City 	Total	Partners 	Other
202	Syracuse, New York	199	120	23
203	Nashville	197	95	13
204	Milwaukee	196	131	6
205	Detroit	196	102	12
206	Buffalo	195	107	26
207	Louisville, Kentucky	195	122	36
208	Birmingham, Alabama	192	120	13
209	Minneapolis	191	121	22
210	Riverside, California	191	92	29
211	Denver	190	116	31
212	Rochester, New York	189	113	15
213	New York	189	50	23
214	Charleston, West Virginia	186	91	28
215	Miami	185	56	2
216	Columbia, South Carolina	184	102	54
217	Boston	184	88	12
218	Oklahoma City	183	101	35
219	Phoenix	183	100	21
220	Buffalo	182	77	36
221	Minneapolis	181	88	25
222	Ridgeland, Mississippi	178	104	39
223	Nashville	178	88	25
224	Cleveland	178	98	17
225	Minneapolis	176	105	28
226	Minneapolis	176	129	18
227	Indianapolis	175	77	6
228	Miami	174	81	5
229	New York	173	57	4
230	Atlanta	173	93	24
231	Milwaukee	172	90	12
232	Seattle	172	111	14
233	St. Louis	171	94	17
234	Los Angeles	171	53	19
235	Los Angeles	170	88	6
236	Chattanooga	169	120	7
237	Atlanta	169	90	24
238	West Palm Beach	168	93	12
239	Boston	167	93	16
240	New York	167	55	8
241	Boston	166	91	1
242	Reading, Pennsylvania	166	109	26
243	Bloomfield Hills, Michigan	165	96	4
244	Syracuse, New York	165	95	14
245	Phoenix	164	102	13
246	Philadelphia	164	98	15
247	Dallas	163	78	21
248	Chicago	161	111	14
249	New Orleans	161	85	30
250	St. Louis	160	105	14
251	Philadelphia	160	93	0
252	New York	160	44	16
253	Greensboro	158	98	22
254	Los Angeles	158	82	16
255	Orlando	157	64	40
256	Cleveland	155	87	10
257	Baltimore	154	99	25
258	Morristown, New Jersey	153	56	28
259	San Francisco	152	86	38
260	Portland, Oregon	151	98	2
261	New York	151	65	26
262	Newark, New Jersey	150	63	0
263	Detroit	148	92	17
264	Chicago	147	109	10
265	Denver	146	67	30
266	Chicago	146	41	7
267	Hartford	145	82	11
268	Cleveland	145	76	36
269	Costa Mesa	144	90	2
270	Chicago	144	84	2
271	Boston	144	77	16
272	Charleston, West Virginia	144	66	9
273	Garden City, New York	144	52	10
274	Minneapolis	143	105	10
275	Fort Lauderdale	143	63	3
276	Los Angeles	142	97	0
277	Dallas	142	81	12
278	Boston	142	79	5
279	San Diego	142	73	19
280	Chicago	141	83	4
281	Boston	141	71	14
282	Miami	141	65	0
283	Los Angeles	141	64	24
284	Detroit	140	86	25
285	Columbus, Ohio	140	84	19
286	Grand Rapids, Michigan	139	90	18
287	Uniondale, New York	139	85	0
288	Bridgewater, New Jersey	138	96	4
289	Atlanta	136	64	9
290	Pittsburgh	136	79	12
291	Lexington, Kentucky	136	73	33
292	Rochester, New York	136	69	13
293	Pittsburgh	135	82	10
294	Chicago	135	73	9
295	Chicago	135	70	7
296	Charlotte, North Carolina	133	81	9
297	Woodbridge, New Jersey	133	73	18
298	Atlanta	132	76	0
299	Chicago	132	66	12
300	Wilmington, Delaware	131	63	6
301	New York	131	48	30
302	San Francisco	130	69	11
303	Atlanta	130	69	16
304	New Haven	130	67	11
305	West Orange, New Jersey	130	55	26
306	Harrisburg	129	76	17
307	Cleveland	128	76	12
308	Minneapolis	128	59	2
309	Los Angeles	128	33	0
310	Boston	127	89	4
311	Baton Rouge	127	75	6
312	Salt Lake City	126	86	9
313	Tampa	126	81	7
314	Fort Worth	126	67	13
315	Washington	126	24	60
316	Los Angeles	125	73	18
317	Buffalo, New York	125	61	24
318	Philadelphia	125	38	17
319	Indianapolis	124	85	13
320	San Diego	124	82	5
321	Billings, Montana	124	66	23
322	Phoenix	124	39	40
323	Royal Oak, Michigan	123	80	12
324	Portland, Maine	123	79	14
325	New York	123	71	12
326	Boston	122	75	16
327	Baltimore	122	71	19
328	Cleveland	122	69	6
329	Van Nuys, California	122	49	3
330	Hartford, Conn.	121	63	23
331	San Diego	121	62	26
332	Norfolk, Virginia	120	83	14
333	Hollywood, Florida	120	42	0
334	San Francisco	120	29	9
335	Cleveland	119	93	0
336	Philadelphia	119	75	0
337	Sacramento	118	56	9
338	Atlanta	118	45	1
339	Salt Lake City	116	80	7
340	Oklahoma City	116	74	16
341	Seattle	116	73	15
342	Greenville, South Carolina	115	84	7
343	Troy, Michigan	115	61	2
344	New York	114	53	10
345	Houston	114	19	19
346	Washington	113	68	16
347	Columbia, South Carolina	113	66	26
348	San Antonio	113	62	10
349	Los Angeles	113	45	8
350	Chicago	112	65	22
