Jason Zucker	2	#59	Minnesota Wild	Detroit Compuware
Stephen Johns	2	#60	Chicago Blackhawks	Pittsburgh Hornets
Bryan Rust	3	#80	Pittsburgh Penguins	Detroit Honeybaked
Justin Florek	5	#135	Boston Bruins	Marquette Electricians
Kevin Gravel	5	#148	Los Angeles Kings	Marquette Electricians
Kevin Lind	6	#177	Anaheim Ducks	Chicago Mission
Bryce Aneloski	7	#196	Ottawa Senators	Team Illinois
Luke Moffatt	7	#197	Colorado Avalanche	Detroit Compuware
Chris Crane	7	#200	San Jose Sharks	Detroit Honeybaked
Zach Trotman	7	#210	Boston Bruins	Detroit Victory Honda
2011	2011	2011	2011	2011
J.T. Miller	1	#15	New York Rangers	Pittsburgh Hornets
Rocco Grimaldi	2	#33	Florida Panthers	Detroit Little Caesars
John Gibson	2	#39	Anaheim Ducks	Pittsburgh Hornets
Brandon Saad	2	#43	Chicago Blackhawks	Pittsburgh Hornets
Vincent Trocheck	3	#64	Florida Panthers	Detroit Little Caesars
T.J. Tynan	3	#66	Columbus Blue Jackets	Chicago Mission
Robbie Russo	4	#95	New York Islanders	Chicago Mission
Josiah Didier	4	#97	Montreal Canadiens	Colorado Thunderbirds
Michael Mersch	4	#110	Los Angeles Kings	Team Illinois
Blake Pietila	5	#129	New Jersey Devils	Detroit Compuware
Sean Kuraly	5	#133	San Jose Sharks	Ohio Jr. Blue Jackets
Shane McColgan	5	#134	New York Rangers	LA Jr. Kings
Garret Sparks	7	#190	Toronto Maple Leafs	Chicago Mission
Zac Larraza	7	#196	Phoenix Coyotes	P.F. Chang's
Alex Broadhurst	7	#199	Chicago Blackhawks	Chicago Mission
Ryan Dzingel	7	#204	Ottawa Senators	Team Illinois
Garrett Haar	7	#207	Washington Capitals	Russell Stover Stars
2012	2012	2012	2012	2012
Alex Galchenyuk	1	#3	Montreal Canadiens	Chicago Young Americans
Jacob Trouba	1	#9	Winnipeg Jets	Detroit Compuware
Jordan Schmaltz	1	#25	St. Louis Blues	Chicago Mission
Henrik Samuelsson	1	#27	Phoenix Coyotes	P.F. Chang's
Nicolas Kerdiles	2	#36	Anaheim Ducks	LA Selects
Patrick Sieloff	2	#42	Calgary Flames	Detroit Compuware
Ben Johnson	3	#90	New Jersey Devils	Detroit Little Caesars
Brady Vail	4	#94	Montreal Canadiens	Detroit Compuware
Thomas Di Pauli	4	#100	Washington Capitals	Chicago Mission
Austin Wuthrich	4	#107	Washington Capitals	Team Illinois
Jaccob Slavin	4	#120	Carolina Hurricanes	Colorado Thunderbirds
Logan Nelson	5	#133	Buffalo Sabres	Russell Stover Stars
Connor Carrick	5	#137	Washington Capitals	Chicago Fury
Garret Ross	5	#139	Chicago Blackhawks	Detroit Victory Honda
John McCarron	6	#153	Edmonton Oilers	Detroit Honeybaked
Riley Barber	6	#167	Washington Capitals	Detroit Compuware
Vincent Hinostroza	6	#169	Chicago Blackhawks	Chicago Mission
Matthew Deblouw	7	#186	Calgary Flames	Detroit Little Caesars
Colton Hargrove	7	#205	Boston Bruins	St. Louis Amateur Blues
Jaycob Megna	7	#210	Anaheim Ducks	Team Illinois
