Season	Celebrity	Notability/Profession	Professional partner	Finish
8	Steve-O	Jackass star	Lacey Schwimmer Category:Articles with hCards	8th
8	Lawrence Taylor Category:Articles with hCards	Retired Hall of Fame NFL linebacker	Edyta Śliwińska Category:Articles with hCards	7th
8	Chuck Wicks Category:Articles with hCards	Country music singer	Julianne Hough Category:Articles with hCards	6th
8	Lil' Kim Category:Articles with hCards	Rapper	Derek Hough Category:Articles with hCards	5th
8	Ty Murray Category:Articles with hCards	Rodeo champion	Chelsie Hightower Category:Articles with hCards	4th
8	Melissa Rycroft Category:Articles with hCards	The Bachelor participant	Tony Dovolani Category:Articles with hCards	3rd
8	Gilles Marini Category:Articles with hCards	Actor	Cheryl Burke Category:Articles with hCards	2nd
8	Shawn Johnson Category:Articles with hCards	Olympic champion gymnast	Mark Ballas Category:Articles with hCards	1st
9	Ashley Hamilton Category:Articles with hCards	Actor, comedian	Edyta Śliwińska Category:Articles with hCards	16th
9	Macy Gray Category:Articles with hCards	Singer	Jonathan Roberts Category:Articles with hCards	15th
9	Kathy Ireland Category:Articles with hCards	Supermodel , entrepreneur	Tony Dovolani Category:Articles with hCards	14th
9	Tom DeLay Category:Articles with hCards	Former U.S. House Majority Leader	Cheryl Burke Category:Articles with hCards	13th
9	Debi Mazar Category:Articles with hCards	Actress	Maksim Chmerkovskiy Category:Articles with hCards	12th
9	Chuck Liddell Category:Articles with hCards	UFC champion	Anna Trebunskaya Category:Articles with hCards	11th
9	Natalie Coughlin Category:Articles with hCards	Olympic champion swimmer	Alec Mazo Category:Articles with hCards	10th
9	Melissa Joan Hart Category:Articles with hCards	Actress	Mark Ballas Category:Articles with hCards	9th
9	Louie Vito Category:Articles with hCards	Professional er snowboard	Chelsie Hightower Category:Articles with hCards	8th
9	Michael Irvin Category:Articles with hCards	Retired Hall of Fame NFL wide receiver	Anna Demidova Category:Articles with hCards	7th
9	Mark Dacascos Category:Articles with hCards	Iron Chef America host, martial artist	Lacey Schwimmer Category:Articles with hCards	6th
9	Aaron Carter Category:Articles with hCards	Singer	Karina Smirnoff Category:Articles with hCards	5th
9	Joanna Krupa Category:Articles with hCards	Supermodel	Derek Hough Category:Articles with hCards	4th
9	Kelly Osbourne Category:Articles with hCards	Singer, reality television star	Louis van Amstel Category:Articles with hCards	3rd
9	Mýa	Singer	Dmitry Chaplin Category:Articles with hCards	2nd
9	Donny Osmond Category:Articles with hCards	Singer, member of The Osmonds	Kym Johnson Category:Articles with hCards	1st
10	Shannen Doherty Category:Articles with hCards	Actress	Mark Ballas Category:Articles with hCards	11th
10	Aiden Turner Category:Articles with hCards	Actor, All My Children star	Edyta Śliwińska Category:Articles with hCards	9th
10	Kate Gosselin Category:Articles with hCards	Reality television star	Tony Dovolani Category:Articles with hCards	8th
10	Jake Pavelka Category:Articles with hCards	The Bachelor star	Chelsie Hightower Category:Articles with hCards	7th
10	Pamela Anderson Category:Articles with hCards	Actress, former Playboy Playmate	Damian Whitewood Category:Articles with hCards	6th
10	Niecy Nash Category:Articles with hCards	Actress, comedian	Louis van Amstel Category:Articles with hCards	5th
10	Chad Ochocinco Category:Articles with hCards	NFL wide receiver	Cheryl Burke Category:Articles with hCards	4th
10	Erin Andrews Category:Articles with hCards	ESPN sportscaster	Maksim Chmerkovskiy Category:Articles with hCards	3rd
10	Evan Lysacek Category:Articles with hCards	Olympic gold medal figure skater	Anna Trebunskaya Category:Articles with hCards	2nd
10	Nicole Scherzinger Category:Articles with hCards	Singer, member of the Pussycat Dolls	Derek Hough Category:Articles with hCards	1st
11	David Hasselhoff Category:Articles with hCards	Actor	Kym Johnson Category:Articles with hCards	12th
11	Michael Bolton Category:Articles with hCards	Grammy Award -winning singer	Chelsie Hightower Category:Articles with hCards	11th
11	Margaret Cho Category:Articles with hCards	Comedian , actress	Louis van Amstel Category:Articles with hCards	10th
11	Florence Henderson Category:Articles with hCards	Actress ( The Brady Bunch )	Corky Ballas Category:Articles with hCards	8th
11	Audrina Patridge Category:Articles with hCards	The Hills star, model	Tony Dovolani Category:Articles with hCards	7th
11	Rick Fox Category:Articles with hCards	Retired NBA champion	Cheryl Burke Category:Articles with hCards	6th
11	Kurt Warner Category:Articles with hCards	Retired NFL quarterback	Anna Trebunskaya Category:Articles with hCards	5th
11	Brandy Category:Articles with hCards	Grammy Award -winning singer, actress	Maksim Chmerkovskiy Category:Articles with hCards	4th
11	Bristol Palin Category:Articles with hCards	Teen activist, daughter of Sarah Palin	Mark Ballas Category:Articles with hCards	3rd
11	Kyle Massey Category:Articles with hCards	Disney Channel star	Lacey Schwimmer Category:Articles with hCards	2nd
11	Jennifer Grey Category:Articles with hCards	Actress	Derek Hough Category:Articles with hCards	1st
12	Mike Catherwood Category:Articles with hCards	Radio talk show host	Lacey Schwimmer Category:Articles with hCards	11th
12	Wendy Williams Category:Articles with hCards	Media personality , talk show host	Tony Dovolani Category:Articles with hCards	10th
12	Sugar Ray Leonard Category:Articles with hCards	Retired professional boxer	Anna Trebunskaya Category:Articles with hCards	9th
12	Petra Nemcova Category:Articles with hCards	Supermodel	Dmitry Chaplin Category:Articles with hCards	8th
12	Chris Jericho Category:Articles with hCards	WWE wrestler	Cheryl Burke Category:Articles with hCards	7th
12	Kendra Wilkinson Category:Articles with hCards	Playboy model , reality television star	Louis van Amstel Category:Articles with hCards	6th
12	Romeo Category:Articles with hCards	Rapper , actor	Chelsie Hightower Category:Articles with hCards	5th
12	Ralph Macchio Category:Articles with hCards	Actor	Karina Smirnoff Category:Articles with hCards	4th
12	Chelsea Kane Category:Articles with hCards	Disney Channel star	Mark Ballas Category:Articles with hCards	3rd
12	Kirstie Alley Category:Articles with hCards	Actress, comedian	Maksim Chmerkovskiy Category:Articles with hCards	2nd
12	Hines Ward Category:Articles with hCards	NFL wide receiver	Kym Johnson Category:Articles with hCards	1st
13	Metta World Peace Category:Articles with hCards	NBA small forward	Peta Murgatroyd Category:Articles with hCards	12th
13	Kristin Cavallari Category:Articles with hCards	The Hills star, actress	Mark Ballas Category:Articles with hCards	10th
13	Chynna Phillips Category:Articles with hCards	Singer, actress	Tony Dovolani Category:Articles with hCards	9th
13	Carson Kressley Category:Articles with hCards	Fashion entrepreneur, fashion designer	Anna Trebunskaya Category:Articles with hCards	8th
13	Chaz Bono Category:Articles with hCards	Transgender activist	Lacey Schwimmer Category:Articles with hCards	7th
13	David Arquette Category:Articles with hCards	Actor, movie producer	Kym Johnson Category:Articles with hCards	6th
13	Nancy Grace Category:Articles with hCards	HLN hostess	Tristan MacManus Category:Articles with hCards	5th
13	Hope Solo Category:Articles with hCards	American Soccer goalkeeper	Maksim Chmerkovskiy Category:Articles with hCards	4th
13	Ricki Lake Category:Articles with hCards	Actress, talk show host	Derek Hough Category:Articles with hCards	3rd
13	Rob Kardashian Category:Articles with hCards	Reality television star	Cheryl Burke Category:Articles with hCards	2nd
13	J.R. Martinez Category:Articles with hCards	Actor, retired US Soldier	Karina Smirnoff Category:Articles with hCards	1st
14	Martina Navratilova Category:Articles with hCards	Retired Czech American tennis player	Tony Dovolani Category:Articles with hCards	12th
14	Jack Wagner Category:Articles with hCards	Singer, soap star	Anna Trebunskaya Category:Articles with hCards	11th
14	Gavin DeGraw Category:Articles with hCards	Singer	Karina Smirnoff Category:Articles with hCards	9th
14	Gladys Knight Category:Articles with hCards	Grammy Award -winning singer	Tristan MacManus Category:Articles with hCards	8th
14	Jaleel White Category:Articles with hCards	Actor	Kym Johnson Category:Articles with hCards	7th
14	Roshon Fegan Category:Articles with hCards	Disney Channel star	Chelsie Hightower Category:Articles with hCards	6th
14	Melissa Gilbert Category:Articles with hCards	Actress	Maksim Chmerkovskiy Category:Articles with hCards	5th
14	Maria Menounos Category:Articles with hCards	Actress, model	Derek Hough Category:Articles with hCards	4th
14	William Levy Category:Articles with hCards	Actor	Cheryl Burke Category:Articles with hCards	3rd
14	Katherine Jenkins Category:Articles with hCards	Classical singer	Mark Ballas Category:Articles with hCards	2nd
14	Donald Driver Category:Articles with hCards	NFL wide receiver & author	Peta Murgatroyd Category:Articles with hCards	1st
15	Pamela Anderson Category:Articles with hCards	Actress, former Playboy Playmate	Tristan MacManus Category:Articles with hCards	13th
15	Joey Fatone Category:Articles with hCards	'N Sync member, actor	Kym Johnson Category:Articles with hCards	12th
15	Drew Lachey Category:Articles with hCards	98 Degrees member	Anna Trebunskaya Category:Articles with hCards	11th
15	Hélio Castroneves Category:Articles with hCards	Indy 500 champion racer	Chelsie Hightower Category:Articles with hCards	10th
15	Bristol Palin Category:Articles with hCards	Teen activist, daughter of Sarah Palin	Mark Ballas Category:Articles with hCards	9th
15	Sabrina Bryan Category:Articles with hCards	The Cheetah Girls member	Louis van Amstel Category:Articles with hCards	8th
15	Kirstie Alley Category:Articles with hCards	Actress, comedian	Maksim Chmerkovskiy Category:Articles with hCards	7th
15	Gilles Marini Category:Articles with hCards	Actor	Peta Murgatroyd Category:Articles with hCards	6th
15	Apolo Anton Ohno Category:Articles with hCards	Short track speed skating Olympian	Karina Smirnoff Category:Articles with hCards	5th
15	Emmitt Smith Category:Articles with hCards	Retired Hall of Fame NFL running back	Cheryl Burke Category:Articles with hCards	4th
15	Shawn Johnson Category:Articles with hCards	Olympic champion gymnast	Derek Hough Category:Articles with hCards	2nd
15	Melissa Rycroft Category:Articles with hCards	Television personality and host	Tony Dovolani Category:Articles with hCards	1st
16	Dorothy Hamill Category:Articles with hCards	Olympic champion figure skater	Tristan MacManus Category:Articles with hCards	12th
16	Wynonna Judd Category:Articles with hCards	Country music singer	Tony Dovolani Category:Articles with hCards	11th
16	Lisa Vanderpump Category:Articles with hCards	The Real Housewives of Beverly Hills star	Gleb Savchenko Category:Articles with hCards	10th
16	D.L. Hughley Category:Articles with hCards	Actor, comedian	Cheryl Burke Category:Articles with hCards	9th
16	Victor Ortiz Category:Articles with hCards	Professional boxer	Lindsay Arnold Category:Articles with hCards	8th
16	Andy Dick Category:Articles with hCards	Actor, comedian	Sharna Burgess Category:Articles with hCards	7th
16	Sean Lowe Category:Articles with hCards	The Bachelor star	Peta Murgatroyd Category:Articles with hCards	6th
16	Ingo Rademacher Category:Articles with hCards	Actor, General Hospital star	Kym Johnson Category:Articles with hCards	5th
16	Alexandra Raisman Category:Articles with hCards	Olympic champion gymnast	Mark Ballas Category:Articles with hCards	4th
16	Jacoby Jones Category:Articles with hCards	NFL wide receiver	Karina Smirnoff Category:Articles with hCards	3rd
16	Kellie Pickler Category:Articles with hCards	Country music singer, television personality	Derek Hough Category:Articles with hCards	1st
17	Keyshawn Johnson Category:Articles with hCards	Retired NFL wide receiver	Sharna Burgess Category:Articles with hCards	12th
17	Bill Nye Category:Articles with hCards	Science educator, television personality	Tyne Stecklein Category:Articles with hCards	11th
17	Valerie Harper Category:Articles with hCards	Actress	Tristan MacManus Category:Articles with hCards	10th
17	Christina Milian Category:Articles with hCards	Singer, The Voice hostess	Mark Ballas Category:Articles with hCards	9th
17	Corbin Bleu Category:Articles with hCards	Actor, Disney Channel star	Karina Smirnoff Category:Articles with hCards	TBA
17	Brant Daugherty Category:Articles with hCards	Actor	Peta Murgatroyd Category:Articles with hCards	TBA
17	Bill Engvall Category:Articles with hCards	Actor, comedian	Emma Slater Category:Articles with hCards	TBA
17	Jack Osbourne Category:Articles with hCards	Reality television star, media personality	Cheryl Burke Category:Articles with hCards	TBA
17	Leah Remini Category:Articles with hCards	Actress, former The Talk co-host	Tony Dovolani Category:Articles with hCards	TBA
