Unit	Commander	Complement	Killed	Wounded	Missing
Train (Trein)	Luitenant Frederik Van Gahlen	2 off 126 men	0 off 0 men	2 off 0 men	0 off 0 men
Train (Trein)	Luitenant Gert van der Hoeven	2 off 109 men	1 off 12 men	1 off 55 men	0 off 11 men
1st Battalion (1e Bataljon)	Kapitein Moritz Büsgen	27 off 835 men	1 off 26 men	5 off 92 men	0 off 59 men
2nd Battalion (2e Bataljon)	Majoor Philipp von Normann	25 off 819 men	1 off 20 men	9 off 86 men	0 off 38 men
3rd Battalion (3e Bataljon)	Majoor Gottfried Hechmann	27 off 819 men	0 off 18 men	8 off 105 men	0 off 3 men
1st Battalion (1e Bataljon)	Luitenant-Kolonel Wilhelm Ferdinand von Dressel	28 off 835 men	1 off 4 men	3 off 33 men	0 off 20 men
2nd Battalion (2e Bataljon)	Majoor Christian Philipp Schleyer	22 off 637 men	0 off 0 men	0 off 0 men	0 off 0 men
3rd Netherlands Division (3e Divisie)	Luitenant-Generaal Baron David Hendrik Chassé	341 off 6470 men	1 off 55 men	15 off 299 men	1 off 364 men
Artillery	Majoor J.L.D. van der Smissen	11 off 299 men	0 off 5 men	0 off 18 men	0 off 12 men
1st Brigade (1e Brigade)	Kolonel Hendrik Detmers	167 off 2923 men	1 off 26 men	13 off 175 men	0 off 208 men
35th Light Battalion (Bataljon jagers No. 35)	Luitenant-Kolonel Desire P. J. Arnould	38 off 567 men	0 off 8 men	3 off 60 men	0 off 14 men
Train (Trein)	1st Luitenant Zeist	5 off 106 men	0 off 3 men	0 off 2 men	0 off 12 men
2nd Brigade (2e Brigade)	Generaal-Majoor Alexander d'Aubremé	157 off 3248 men	0 off 24 men	2 off 106 men	1 off 144 men
36th Light Battalion (Bataljon jagers No. 36)	Luitenant-Kolonel Charles Auguste Ernest Goethals	29 off 602 men	0 off 3 men	0 off 10 men	0 off 41 men
12th Line Battalion (Bat. Inf. van linie No. 12)	Luitenant-Kolonel Daniel O. Bagelaar	18 off 413 men	0 off 2 men	0 off 13 men	1 off 8 men
13th Line Battalion (Bat. Inf. van linie No. 13)	Luitenant-Kolonel Frederik N. L. Aberson	27 off 637 men	0 off 6 men	0 off 20 men	0 off 34 men
