country	recorded	unrecorded	total	beer	wine	spirits	other
Zambia	2.35	1.50	3.85	0.42	0.01	0.27	1.62
Tonga	3.28	0.50	3.78	0.89	2.29	0.64	0.18
Vietnam	1.07	2.70	3.77	1.13	0.01	0.02	0.00
Mauritius	2.72	1.00	3.72	1.92	0.32	0.39	0.00
Kiribati	1.71	2.00	3.71	1.56	0.02	0.02	0.00
Cook Islands	3.20	0.50	3.70	0.54	1.39	3.45	0.00
Guinea-Bissau	2.58	1.10	3.68	0.24	0.66	0.53	1.75
Bahrain	3.56	0.10	3.66	1.91	0.52	1.24	0.00
El Salvador	2.61	1.00	3.61	0.88	0.04	1.57	0.00
Uzbekistan	1.64	1.90	3.54	0.28	0.19	1.30	0.00
Papua New Guinea	1.49	2.00	3.49	0.57	0.02	0.90	0.00
Gambia	2.40	0.99	3.39	0.19	0.06	0.04	2.07
Tajikistan	0.39	3.00	3.39	0.08	0.02	0.29	0.00
Central African Republic	1.65	1.70	3.35	0.21	0.02	0.03	1.37
Democratic Republic of the Congo	1.97	1.26	3.30	0.32	0.01	0.02	1.67
Mongolia	1.24	2.00	3.24	0.39	0.11	0.67	0.21
Ghana	1.47	1.50	2.97	0.40	0.07	0.03	0.97
Israel	2.39	0.50	2.89	0.97	0.18	1.30	0.04
Djibouti	1.37	1.50	2.87	0.78	0.07	0.46	0.00
Mozambique	1.56	1.00	2.56	0.00	0.00	0.27	1.08
Tuvalu	1.94	0.50	2.44	0.71	0.02	0.58	0.00
Fiji	1.43	1.00	2.43	1.46	0.02	0.58	0.00
Iraq	0.20	0.20	0.40	0.14	0.00	0.07	0.00
Sudan	1.56	0.82	2.38	0.52	0.09	0.79	0.05
Lebanon	1.73	0.50	2.23	0.36	0.56	0.78	0.01
Benin	1.15	1.00	2.15	0.49	0.14	0.15	0.30
Brunei	1.76	0.25	2.01	1.67	0.02	0.05	0.00
Togo	0.99	1.00	1.99	0.43	0.32	0.06	0.22
Turkey	1.37	1.50	2.87	0.78	0.07	0.46	0.00
Malawi	1.24	0.50	1.74	0.14	0.00	0.22	0.74
Solomon Islands	1.16	0.50	1.66	0.66	0.03	0.40	0.00
Singapore	0.55	1.00	1.55	1.45	0.25	0.40	0.00
Eritrea	0.94	0.60	1.54	0.56	0.00	0.25	0.00
Morocco	0.46	1.00	1.46	0.23	0.17	0.06	0.00
Syria	1.13	0.30	1.43	0.04	0.32	0.69	0.00
Madagascar	0.78	0.55	1.33	0.34	0.11	0.32	0.00
Tunisia	1.09	0.20	1.29	0.67	0.34	0.04	0.00
Qatar	0.85	0.40	1.25	0.04	0.11	0.73	0.01
Mali	0.54	0.50	1.04	0.07	0.00	0.01	0.46
Iran	0.02	1.00	1.02	0.02	0.00	0.00	0.00
Algeria	0.66	0.30	0.96	0.09	0.07	0.00	0.50
Oman	0.64	0.30	0.94	0.27	0.00	0.39	0.00
Vanuatu	0.43	0.50	0.93	0.46	0.19	0.19	0.00
Timor-Leste	0.36	0.50	0.86	0.30	0.01	0.00	0.00
Malaysia	0.50	0.32	0.82	0.38	0.02	0.08	0.00
Sri Lanka	0.35	0.44	0.79	0.02	0.00	0.33	0.00
Comoros	0.26	0.50	0.76	0.17	0.02	0.03	0.00
India	0.55	0.20	0.75	0.06	0.02	0.05	0.00
Jordan	0.41	0.30	0.71	0.04	0.01	0.34	0.01
Senegal	0.30	0.30	0.60	0.15	0.12	0.01	0.00
Indonesia	0.06	0.50	0.59	0.06	0.00	0.00	0.00
Burma	0.11	0.46	0.57	0.10	0.00	0.01	0.01
Bhutan	0.22	0.33	0.55	0.21	0.00	0.00	0.00
United Arab Emirates	0.34	0.20	0.54	0.30	0.01	0.00	0.02
Egypt	0.27	0.10	0.37	0.10	0.02	0.06	0.00
Guinea	0.26	0.10	0.36	0.14	0.02	0.06	0.00
Niger	0.09	0.25	0.34	0.05	0.01	0.03	0.00
Saudi Arabia	0.05	0.20	0.25	0.00	0.00	0.05	0.00
Bangladesh	0.00	0.20	0.20	0.00	0.00	0.00	0.00
Kuwait	0.00	0.17	0.17	0.00	0.00	0.00	0.00
Libya	0.01	0.10	0.11	0.00	0.00	0.00	0.00
Mauritania	0.01	0.10	0.11	0.00	0.00	0.01	0.00
Somalia	0.00	0.10	0.10	0.00	0.00	0.00	0.00
Pakistan	0.01	0.05	0.06	0.00	0.00	0.00	0.01
Afghanistan	0.00	0.02	0.02	0.00	0.00	0.01	0.00
Yemen	0.00	0.02	0.02	0.00	0.00	0.00	0.00
