County	Bush #	Bush %	Kerry #	Kerry %	Others #	Others %	Total
Graham County, Kansas	1,067	75.09%	330	23.22%	24	1.69%	1,421
Grant County, Kansas	2,082	78.39%	549	20.67%	25	0.94%	2,656
Gray County, Kansas	1,730	80.92%	387	18.10%	21	0.98%	2,138
Greeley County, Kansas	577	79.59%	137	18.90%	11	1.52%	725
Greenwood County, Kansas	2,247	70.28%	899	28.12%	51	1.60%	3,197
Hamilton County, Kansas	874	78.88%	222	20.04%	12	1.08%	1,108
Harper County, Kansas	2,123	73.54%	717	24.84%	47	1.63%	2,887
Harvey County, Kansas	9,364	63.08%	5,237	35.28%	244	1.64%	14,845
Haskell County, Kansas	1,309	84.67%	221	14.29%	16	1.03%	1,546
Hodgeman County, Kansas	949	80.63%	222	18.86%	6	0.51%	1,177
Jackson County, Kansas	3,682	63.47%	2,026	34.93%	93	1.60%	5,801
Jefferson County, Kansas	5,345	61.43%	3,226	37.08%	130	1.49%	8,701
Jewell County, Kansas	1,494	78.10%	384	20.07%	35	1.83%	1,913
Johnson County, Kansas	153,718	61.16%	95,002	37.80%	2,624	1.04%	251,344
Kearny County, Kansas	1,160	80.67%	272	18.92%	6	0.42%	1,438
Kingman County, Kansas	2,795	74.41%	902	24.01%	59	1.57%	3,756
Kiowa County, Kansas	1,248	81.36%	253	16.49%	33	2.15%	1,534
Labette County, Kansas	5,345	59.05%	3,582	39.58%	124	1.37%	9,051
Lane County, Kansas	815	81.18%	179	17.83%	10	1.00%	1,004
Leavenworth County, Kansas	15,609	58.37%	10,802	40.39%	332	1.24%	26,743
Lincoln County, Kansas	1,350	75.80%	390	21.90%	41	2.30%	1,781
Linn County, Kansas	2,954	64.12%	1,592	34.56%	61	1.32%	4,607
Logan County, Kansas	1,252	82.37%	248	16.32%	20	1.32%	1,520
Lyon County, Kansas	7,604	59.18%	5,003	38.93%	243	1.89%	12,850
Marion County, Kansas	4,393	73.30%	1,496	24.96%	104	1.74%	5,993
Marshall County, Kansas	3,217	63.98%	1,754	34.88%	57	1.13%	5,028
McPherson County, Kansas	9,353	71.68%	3,520	26.98%	176	1.35%	13,049
Meade County, Kansas	1,721	82.46%	349	16.72%	17	0.81%	2,087
Miami County, Kansas	8,645	64.14%	4,681	34.73%	153	1.14%	13,479
Mitchell County, Kansas	2,577	77.88%	687	20.76%	45	1.36%	3,309
Montgomery County, Kansas	9,435	68.06%	4,254	30.69%	174	1.26%	13,863
Morris County, Kansas	1,945	66.88%	921	31.67%	42	1.44%	2,908
Morton County, Kansas	1,258	81.37%	275	17.79%	13	0.84%	1,546
Nemaha County, Kansas	3,966	73.68%	1,336	24.82%	81	1.50%	5,383
Neosho County, Kansas	4,530	65.23%	2,318	33.38%	97	1.40%	6,945
Ness County, Kansas	1,387	77.36%	379	21.14%	27	1.51%	1,793
Norton County, Kansas	2,069	80.35%	472	18.33%	34	1.32%	2,575
Osage County, Kansas	4,698	64.36%	2,482	34.00%	119	1.63%	7,299
Osborne County, Kansas	1,552	76.45%	444	21.87%	34	1.67%	2,030
Ottawa County, Kansas	2,330	78.56%	595	20.06%	41	1.38%	2,966
Pawnee County, Kansas	2,144	72.78%	759	25.76%	43	1.46%	2,946
Phillips County, Kansas	2,206	79.07%	550	19.71%	34	1.22%	2,790
Pottawatomie County, Kansas	6,210	71.58%	2,147	24.75%	319	3.68%	8,676
Pratt County, Kansas	3,075	71.21%	1,181	27.35%	62	1.44%	4,318
Rawlins County, Kansas	1,408	82.29%	288	16.83%	15	0.88%	1,711
Reno County, Kansas	17,139	65.11%	8,739	33.20%	444	1.69%	26,322
Republic County, Kansas	2,205	77.42%	601	21.10%	42	1.47%	2,848
Rice County, Kansas	3,124	72.62%	1,116	25.94%	62	1.44%	4,302
Riley County, Kansas	12,415	60.53%	7,774	37.91%	320	1.56%	20,509
Rooks County, Kansas	2,116	78.40%	529	19.60%	54	2.00%	2,699
Rush County, Kansas	1,224	68.53%	516	28.89%	46	2.58%	1,786
Russell County, Kansas	2,628	75.82%	795	22.94%	43	1.24%	3,466
Saline County, Kansas	14,758	65.54%	7,365	32.71%	395	1.75%	22,518
Scott County, Kansas	1,897	83.79%	339	14.97%	28	1.24%	2,264
Sedgwick County, Kansas	101,111	62.46%	58,619	36.21%	2,161	1.33%	161,891
Seward County, Kansas	3,894	78.71%	1,012	20.46%	41	0.83%	4,947
Shawnee County, Kansas	43,467	54.34%	35,438	44.30%	1,090	1.36%	79,995
Sheridan County, Kansas	1,133	81.63%	232	16.71%	23	1.66%	1,388
Sherman County, Kansas	2,063	75.46%	630	23.04%	41	1.50%	2,734
Smith County, Kansas	1,780	75.58%	538	22.85%	37	1.57%	2,355
Stafford County, Kansas	1,636	75.29%	506	23.29%	31	1.43%	2,173
Stanton County, Kansas	780	82.54%	160	16.93%	5	0.53%	945
Stevens County, Kansas	1,912	85.40%	308	13.76%	19	0.85%	2,239
Sumner County, Kansas	6,997	67.69%	3,163	30.60%	177	1.71%	10,337
Thomas County, Kansas	2,925	77.92%	786	20.94%	43	1.15%	3,754
Trego County, Kansas	1,219	72.56%	434	25.83%	27	1.61%	1,680
Wabaunsee County, Kansas	2,464	70.10%	982	27.94%	69	1.96%	3,515
Wallace County, Kansas	741	84.78%	112	12.81%	21	2.40%	874
Washington County, Kansas	2,436	78.18%	632	20.28%	48	1.54%	3,116
Wichita County, Kansas	861	81.69%	183	17.36%	10	0.95%	1,054
Wilson County, Kansas	3,204	74.27%	1,037	24.04%	73	1.69%	4,314
Woodson County, Kansas	1,201	68.36%	527	29.99%	29	1.65%	1,757
Wyandotte County, Kansas	17,312	34.19%	32,781	64.75%	535	1.06%	50,628
