Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Mar 26, 1967	Venice Ladies Open	+4 (70-71-76=217)	1 stroke	Clifford Ann Creed , Gloria Ehret
Apr 23, 1967	Raleigh Ladies Invitational	–1 (72-72-71=215)	5 strokes	Susie Maxwell Berning
Jun 7, 1967	St. Louis Women's Invitational	+2 (68-70-71=209)	2 strokes	Carol Mann
Jul 16, 1967	LPGA Championship	–8 (69-74-72-69=284)	1 stroke	Shirley Englehorn
Aug 6, 1967	Lady Carling Open (Ohio)	–4 (71-70-71=212)	1 stroke	Susie Maxwell Berning
Aug 20, 1967	Women's Western Open	–11 (71-74-73-71=289)	3 strokes	Sandra Haynie
Oct 1, 1967	Ladies' Los Angeles Open	–4 (71-68-73=212)	4 strokes	Murle Breer
Oct 29, 1967	Alamo Ladies' Open	–3 (71-71-71=213)	3 strokes	Sandra Haynie
Mar 17, 1968	St. Petersburg Orange Blossom Open	Even (70-71-72=213)	1 stroke	Sandra Haynie , Judy Kimball-Simon
May 26, 1968	Dallas Civitan Open	–4 (70-70-69=209)	1 stroke	Carol Mann
Jun 30, 1968	Lady Carling Open (Maryland)	–2 (71-70-73=214)	1 stroke	Carol Mann
Aug 4, 1968	Gino Paoli Open	–1 (69-72-74=215)	Playoff	Marlene Hagge
Aug 18, 1968	Holiday Inn Classic	–1 (74-70-62=206)	3 strokes	Judy Kimball-Simon , Carol Mann
Sep 22, 1968	Kings River Open	–8 (68-71-69=208)	10 strokes	Sandra Haynie
Oct 22, 1968	River Plantation Invitational	–8 (67-70-68=205)	8 strokes	Kathy Cornelius
Nov 3, 1968	Canyon Ladies Classic	+2 (78-69-71=218)	2 strokes	Donna Caponi , Shirley Englehorn , Mary Mills
Nov 17, 1968	Pensacola Ladies Invitational	–3 (71-71-74=216)	3 strokes	Jo Ann Prentice ,
Nov 24, 1968	Louise Suggs Invitational	–8 (69-69-72=210)	7 strokes	Carol Mann
Mar 17, 1969	Orange Blossom Classic	+3 (74-70-72=216)	Playoff	Shirley Englehorn , Marlene Hagge
Mar 23, 1969	Port Charlotte Invitational	–1 (72-72-74=218)	1 stroke	Sandra Haynie , Sandra Post
Mar 30, 1969	Port Malabar Invitational	–3 (68-72-70=210)	4 strokes	Mickey Wright
Apr 20, 1969	Lady Carling Open (Georgia)	–4 (70-72-70=212)	Playoff	Mickey Wright
Jun 15, 1969	Patty Berg Classic	–5 (69-73-72=214)	1 stroke	Sandra Haynie
Sep 14, 1969	Wendell-West Open	–3 (69-72-72=213)	1 stroke	Judy Rankin
Nov 2, 1969	River Plantation Women's Open	Even (70-71-72=213)	1 stroke	Betsy Rawls
Mar 22, 1970	Orange Blossom Classic	+3 (73-72-71=216)	1 stroke	Carol Mann
Oct 18, 1970	Quality Chek'd Classic	–11 (71-67-67=205)	3 strokes	JoAnne Carner
Apr 18, 1971	Raleigh Golf Classic	–4 (71-72-69=212)	5 strokes	Pam Barnett
May 23, 1971	Suzuki Golf Internationale	+1 (72-72-73=217)	2 strokes	Sandra Haynie , Sandra Palmer
Jun 6, 1971	Lady Carling Open	–9 (71-68-71=210)	6 strokes	Jane Blalock
Jun 13, 1971	Eve-LPGA Championship	–4 (71-73-70-74=288)	4 strokes	Kathy Ahern
Apr 30, 1972	Alamo Ladies Open	–10 (66-71-72=209)	3 strokes	Mickey Wright
Jul 23, 1972	Raleigh Golf Classic	–4 (72-69-71=212)	2 strokes	Marilynn Smith
Aug 6, 1972	Knoxville Ladies Classic	–4 (71-68-71=210)	4 strokes	Sandra Haynie
Aug 20, 1972	Southgate Ladies Open	Even (69-71-76=216)	Playoff	Jocelyne Bourassa
Oct 1, 1972	Portland Ladies Open	–7 (75-69-68=212)	4 strokes	Sandra Haynie
Feb 11, 1973	Naples Lely Classic	+3 (68-76-75=219)	2 strokes	JoAnne Carner
Mar 11, 1973	S&H Green Stamp Classic	–2 (73-71-70=214)	2 strokes	Mary Mills
Sep 9, 1973	Dallas Civitan Open	–3 (75-72-66=213)	Playoff	Mary Mills
Sep 16, 1973	Southgate Ladies Open	–2 (72-70=142)	1 stroke	Gerda Boykin
Sep 23, 1973	Portland Ladies Open	–2 (71-73=144)	2 strokes	Sandra Palmer
Oct 21, 1973	Waco Tribune Herald Ladies Classic	–7 (68-72-69=209)	4 strokes	Kathy Cornelius , Pam Higgins , Marilynn Smith
Nov 4, 1973	Lady Errol Classic	–3 (68-75-70=213)	2 strokes	Gloria Ehret , Shelley Hamlin
Mar 3, 1974	Orange Blossom Classic	–7 (70-68-71=209)	1 stroke	Sandra Haynie
Jun 1, 1975	LPGA Championship	–4 (70-70-75-73=288)	1 stroke	Sandra Haynie
Sep 14, 1975	Southgate Open	Even (72-72-69=213)	4 strokes	Gerda Boykin
Feb 7, 1976	Bent Tree Classic	–7 (69-69-71=209)	1 stroke	Hollis Stacy
Aug 22, 1976	Patty Berg Classic	–7 (66-73-73=212)	2 strokes	Sandra Post
Apr 3, 1977	Colgate-Dinah Shore Winner's Circle	+1 (76-70-72-71=289)	1 stroke	Joanne Carner , Sally Little
Apr 24, 1977	American Defender Classic	–10 (69-68-69=206)	1 stroke	Pat Bradley
May 22, 1977	LPGA Coca-Cola Classic	–11 (67-68-67=202)	3 strokes	Donna Caponi
Sep 10, 1978	National Jewish Hospital Open	–5 (70-75-66-65=276)	3 strokes	Pat Bradley , Gloria Ehret , JoAnn Washam
May 17, 1981	Coca-Cola Classic	–8 (69-72-70=211)	Playoff	Alice Ritzman
Apr 18, 1982	CPC Women's International	–7 (73-68-73-67=281)	9 strokes	Patty Sheehan
May 16, 1982	Lady Michelob	–9 (69-68-70=207)	4 strokes	Sharon Barrett Barbara Moxness
Mar 20, 1983	Women's Kemper Open	–4 (72-77-70-69=288)	1 stroke	Dale Eggeling
Jul 22, 1984	Rochester International	–7 (73-68-71-69=281)	Playoff	Rosie Jones
Sep 16, 1984	Safeco Classic	–9 (69-75-65-70=279)	2 strokes	Laura Baugh , Marta Figueras-Dotti
Oct 14, 1984	Smirnoff Ladies Irish Open	–3 (70-74-69-72=285)	2 strokes	Pat Bradley , Becky Pearson
May 12, 1985	United Virginia Bank Classic	–9 (69-66-72=207)	1 stroke	Amy Alcott
