Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
North Carolina (2012)	Emma	Sophia	Ava	Olivia	Isabella	Madison	Abigail	Elizabeth	Emily	Chloe, Ella
North Dakota (2012)	Emma	Olivia	Sophia	Harper	Ava	Ella	Avery, Zoey	Grace	Aubrey, Brooklyn	Isabella, Nora
Ohio (2012)	Sophia	Emma	Ava	Olivia	Isabella	Lillian	Addison	Madison	Ella	Abigail
Oklahoma (2012)	Emma	Sophia	Isabella	Olivia	Abigail	Emily	Elizabeth	Addison	Ava	Harper
Oregon (2012)	Sophia	Emma	Olivia	Isabella	Abigail	Emily	Amelia	Ava	Addison	Elizabeth
Pennsylvania (2012)	Emma	Sophia	Ava	Olivia	Isabella	Madison	Abigail	Emily	Mia	Aubrey
Rhode Island (2012)	Sophia	Ava	Emma	Isabella	Olivia	Mia	Emily	Lily	Elizabeth	Abigail, Charlotte
South Carolina (2012)	Emma	Madison	Olivia	Isabella	Ava	Sophia	Elizabeth	Abigail	Emily	Addison
South Dakota (2012)	Emma	Harper	Sophia	Olivia	Ava	Ella	Isabella	Zoey	Addison, Avery, Brooklyn	Amelia, Grace
Tennessee (2012)	Emma	Olivia	Ava	Isabella	Sophia	Abigail	Madison	Chloe	Addison	Emily
Texas (2012)	Sophia	Isabella	Emma	Mia	Emily	Olivia	Ava	Abigail	Sofia	Camila
Utah (2012)	Emma	Olivia	Sophia	Ava, Lily	Elizabeth	Abigail	Brooklyn	Lucy	Claire	Harper
Vermont (2012)	Ava	Olivia	Emma	Sophia	Ella	Isabella	Lillian	Madison	Addison	Emily
Virginia (2012)	Sophia	Emma	Olivia	Abigail	Isabella	Ava	Madison	Emily	Charlotte	Chloe
Washington (2012)	Sophia	Emma	Olivia	Isabella	Ava, Emily	Abigail	Elizabeth	Mia	Ella	Evelyn
West Virginia (2012)	Emma	Sophia	Isabella	Ava	Olivia	Aubrey	Madison	Brooklyn	Addison	Abigail
Wisconsin (2012)	Emma	Sophia	Olivia	Ava	Isabella	Emily	Ella	Evelyn	Grace	Amelia
Wyoming (2012)	Emma	Sophia	Madison	Elizabeth	Olivia	Ava, Chloe	Addison, Ella	Grace, Hannah, Lillian	Abigail, Avery, Paisley	Harper, Isabella, Mia
