Date	Three	Four	Five	Seven
19 September 1683	Charles Richards	Jeremiah Bubb	John Packer	Ralph Whistler
14 December 1683	Charles Richards	Jeremiah Bubb	John Packer	Ralph Whistler
25 January 1684	Charles Richards	Jeremiah Bubb	John Packer	Ralph Whistler
6 January 1685	Charles Richards	Jeremiah Bubb	Robert Abbott	Ralph Whistler
6 February 1685	vacant	Jeremiah Bubb	Robert Abbott	vacant
18 May 1685	vacant	Jeremiah Bubb	Robert Abbott	vacant
12 May 1686	James Austin	Jeremiah Bubb	Robert Abbott	vacant
24 May 1686	James Austin	Jeremiah Bubb	Robert Abbott	vacant
30 May 1686	James Austin	Jeremiah Bubb	Robert Abbott	Joseph Ronkhe
31 May 1686	James Austin	Jeremiah Bubb	Robert Abbott	Joseph Ronkhe
27 December 1686	James Austin	Jeremiah Bubb	Hoyle Walsh	Joseph Ronkhe
20 March 1687	James Austin	Jeremiah Bubb	John Marshall	Joseph Ronkhe
3 December 1687	James Meyrick	Jeremiah Bubb	Thomas Wyvill	Joseph Ronkhe
7 July 1688	James Meyrick	Jeremiah Bubb	Thomas Wyvill	Joseph Ronkhe
11 December 1688	James Meyrick	Jeremiah Bubb	vacant	vacant
20 February 1689	James Meyrick	Jeremiah Bubb	Henry Coling	vacant
7 March 1689	James Meyrick	Jeremiah Bubb	Henry Coling	vacant
13 March 1689	James Meyrick	Alexander Griffith	Henry Coling	vacant
2 April 1689	James Meyrick	Alexander Griffith	Henry Coling	William Smith
18 June 1689	James Meyrick	Alexander Griffith	Henry Coling	William Smith
29 November 1690	John Ward	Alexander Griffith	Henry Coling	William Smith
20 March 1691	John Ward	Alexander Griffith	Henry Coling	William Smith
6 April 1691	John Ward	William Prewett	Henry Coling	William Smith
27 February 1692	John Ward	William Prewett	Henry Coling	William Smith
2 March 1692	John Ward	William Prewett	Henry Coling	William Smith
3 March 1692	John Ward	William Prewett	Henry Coling	William Smith
20 August 1692	John Ward	William Prewett	Richard Ellis	William Smith
13 July 1693	John Ward	William Prewett	Richard Ellis	Nicholas King
5 November 1693	Thomas Earle	William Prewett	Richard Ellis	Nicholas King
10 December 1694	Thomas Earle	William Prewett	Alexander Pyle	Nicholas King
18 March 1695	Thomas Earle	William Prewett	Alexander Pyle	Nicholas King
25 November 1695	Thomas Earle	William Prewett	Alexander Pyle	Nicholas King
6 November 1696	Thomas Earle	William Prewett	Alexander Pyle	Jeremy Bird
3 November 1697	Thomas Earle	William Prewett	Alexander Pyle	Jeremy Bird
14 July 1698	Tobiah Humphreys	William Prewett	Alexander Pyle	Jeremy Bird
12 February 1699	Tobiah Humphreys	Robert Barry	Alexander Pyle	Jeremy Bird
29 November 1699	Tobiah Humphreys	Robert Barry	Alexander Pyle	Jeremy Bird
3 May 1700	Tobiah Humphreys	Robert Barry	Marmaduke Beling	Jeremy Bird
16 June 1700	Tobiah Humphreys	John Farey	Marmaduke Beling	Jeremy Bird
9 July 1702	Tobiah Humphreys	Charles Bressey	Henry Gardie	Jeremy Bird
20 December 1706	Tobiah Humphreys	Charles Bressey	Henry Gardie	Jeremy Bird
13 June 1707	Tobiah Humphreys	Charles Bressey	Henry Gardie	Thomas Hutton
7 June 1710	Tobiah Humphreys	Charles Bressey	Henry Gardie	Thomas Hutton
26 February 1711	Tobiah Humphreys	Charles Bressey	Henry Gardie	Thomas Hutton
23 June 1714	James Ede	Charles Bressey	Henry Gardie	Thomas Hutton
20 June 1715	James Ede	Charles Bressey	Henry Gardie	Thomas Hutton
9 November 1719	James Ede	Charles Bodens	Henry Gardie	Thomas Hutton
21 March 1720	James Ede	Charles Bodens	Henry Gardie	Thomas Hutton
18 April 1721	James Ede	Charles Bodens	Henry Gardie	Thomas Hutton
31 July 1722	James Ede	Charles Bodens	Henry Gardie	Thomas Hutton
7 August 1722	Robert Tripp	Charles Bodens	Henry Gardie	Thomas Hutton
17 May 1727	Robert Tripp	Charles Bodens	James Eckersall	vacant 21 September 1725
9 October 1727	Robert Tripp	Charles Bodens	James Eckersall	Sir Everard Buckworth, 3rd Baronet
4 March 1731	Robert Tripp	Charles Bodens	James Eckersall	Sir Everard Buckworth, 3rd Baronet
1 October 1731	Robert Tripp	Charles Bodens	James Eckersall	Sir Everard Buckworth, 3rd Baronet
24 January 1736	Robert Tripp	Charles Bodens	James Eckersall	Sir Everard Buckworth, 3rd Baronet
4 December 1736	Robert Tripp	Charles Bodens	James Eckersall	Sir Everard Buckworth, 3rd Baronet
31 October 1738	Robert Tripp	George Bodens	James Eckersall	Sir Everard Buckworth, 3rd Baronet
23 January 1741	Robert Tripp	George Bodens	James Eckersall	Sir Everard Buckworth, 3rd Baronet
14 January 1742	Robert Tripp	George Bodens	James Eckersall	Joseph Hudson
6 February 1746	Robert Tripp	George Bodens	James Eckersall	Joseph Hudson
22 July 1747	Robert Tripp	George Bodens	James Eckersall	Joseph Hudson
4 February 1754	Robert Tripp	George Bodens	Matthias Cocksedge	Joseph Hudson
21 February 1754	Robert Tripp	George Bodens	Leathes Johnston	Joseph Hudson
7 February 1757	Robert Tripp	George Bodens	Leathes Johnston	Joseph Hudson
7 May 1757	Robert Tripp	George Bodens	Leathes Johnston	Robert Jackson
13 May 1758	William Wilkinson	George Bodens	Leathes Johnston	Robert Jackson
9 July 1759	William Wilkinson	George Bodens	Leathes Johnston	Robert Griffin
9 May 1760	William Wilkinson	George Bodens	Leathes Johnston	Robert Griffin
7 November 1761	Thomas Cox	George Bodens	Leathes Johnston	Robert Griffin
24 November 1764	Frederick Chapman	George Bodens	Leathes Johnston	Robert Griffin
5 February 1765	Frederick Chapman	George Bodens	Leathes Johnston	Edward Mainwaring
15 June 1765	Frederick Chapman	George Bodens	William Plaxon	Edward Mainwaring
21 May 1767	Frederick Chapman	George Bodens	William Plaxon	Edward Mainwaring
8 February 1770	Frederick Chapman	George Bodens	William Plaxon	Edward Mainwaring
22 January 1771	Frederick Chapman	George Bodens	William Plaxon	Edward Mainwaring
23 July 1774	Frederick Chapman	George Bodens	William Plaxon	Edward Mainwaring
5 September 1776	Frederick Chapman	George Bodens	William Plaxon	Edward Mainwaring
8 February 1779	Frederick Chapman	George Bodens	William Plaxon	Edward Mainwaring
7 June 1779	Frederick Chapman	Edmund Armstrong	William Plaxon	Edward Mainwaring
20 April 1782	Frederick Chapman	Edmund Armstrong	William Plaxon	Edward Mainwaring
17 October 1782	Frederick Chapman	Edmund Armstrong	Charles Moore	Edward Mainwaring
5 December 1782	Frederick Chapman	Edmund Armstrong	Charles Moore	Edward Mainwaring
4 April 1783	Frederick Chapman	Edmund Armstrong	Charles Moore	James Meller
1788	Frederick Chapman	Edmund Armstrong	Robert Browne	James Meller
5 February 1794	Frederick Chapman	Robert Chester	Robert Browne	James Meller
6 February 1797	Frederick Chapman	Thomas Osmer	Robert Browne	James Meller
29 July 1798	Frederick Chapman	Thomas Osmer	Robert Browne	William Lewis
6 March 1801	Frederick Chapman	Thomas Osmer	Robert Browne	William Lewis
27 July 1802	Frederick Chapman	James Singer Burton	Robert Browne	William Lewis
22 March 1805	Frederick Chapman	James Singer Burton	Robert Browne	William Lewis
20 March 1806	Frederick Chapman	James Singer Burton	Robert Browne	William Lewis
20 August 1808	Edward Ash	James Singer Burton	Robert Browne	William Lewis
2 February 1815	Edward Ash	James Singer Burton	Robert Browne	William Lewis
6 January 1819	Edward Ash	Samuel Randall	Robert Browne	William Lewis
4 March 1820	Edward Ash	Samuel Randall	Robert Browne	William Lewis
11 March 1829	Edward Ash	Samuel Randall	Robert Browne	William Lewis
30 March 1829	Sir John Strachan, 10th Baronet	Samuel Randall	Robert Browne	William Lewis
23 March 1831	Sir John Strachan, 10th Baronet	Samuel Randall	Robert Browne	William Lewis
23 April 1833	Sir John Strachan, 10th Baronet	Samuel Randall	Robert Browne	William Lewis
20 May 1833	Sir John Strachan, 10th Baronet	Samuel Randall	Robert Browne	William Lewis
4 April 1836	Sir John Strachan, 10th Baronet	Samuel Randall	John Lyster	William Lewis
21 October 1836	Sir John Strachan, 10th Baronet	Samuel Randall	Hon. William FitzGerald-de Ros	William Lewis
10 January 1837	Sir John Strachan, 10th Baronet	Samuel Randall	Hon. William FitzGerald-de Ros	William Lewis
11 June 1838	Sir John Strachan, 10th Baronet	Samuel Randall	Hon. William FitzGerald-de Ros	Alfred Montgomery
7 June 1839	Sir John Strachan, 10th Baronet	Samuel Randall	Edward Hobhouse	Alfred Montgomery
27 December 1844	Sir John Strachan, 10th Baronet	Samuel Randall	Edward Hobhouse	Alfred Montgomery
1 March 1852	Sir John Strachan, 10th Baronet	Samuel Randall	Edward Hobhouse	Alfred Montgomery
13 July 1852	Sir John Strachan, 10th Baronet	Henry Sykes Stephens	Edward Hobhouse	Alfred Montgomery
24 February 1854	Robert Tench Bedford	Henry Sykes Stephens	Edward Hobhouse	Alfred Montgomery
22 May 1854	Robert Tench Bedford	Henry Sykes Stephens	George Howard Vyse	Alfred Montgomery
26 June 1862	Robert Tench Bedford	Henry Sykes Stephens	George Howard Vyse	Alfred Montgomery
27 October 1862	Robert Tench Bedford	Henry Sykes Stephens	George Howard Vyse	Alfred Montgomery
9 March 1868	Francis Knollys	Henry Sykes Stephens	George Howard Vyse	Alfred Montgomery
1 March 1873	Francis Knollys	Henry Sykes Stephens	George Howard Vyse	Alfred Montgomery
2 February 1874	Francis Knollys	Henry Sykes Stephens	George Howard Vyse	Alfred Montgomery
29 August 1878	Francis Knollys	Arthur John Loftus	George Howard Vyse	Alfred Montgomery
28 April 1883	Francis Knollys	Hon. Henry Julian Stonor	George Howard Vyse	Alfred Montgomery
21 January 1884	Francis Knollys	Hon. Henry Julian Stonor	George Howard Vyse	Alfred Montgomery
4 June 1890	Francis Knollys	Hon. Henry Julian Stonor	Charles James Innes Ker	Alfred Montgomery
1 May 1892	Francis Knollys	Hon. Henry Julian Stonor	Charles James Innes Ker	Alfred Montgomery
18 May 1895	Francis Knollys	Hon. Henry Julian Stonor	Charles James Innes Ker	Alfred Montgomery
15 April 1896	Francis Knollys	Hon. Henry Julian Stonor	Charles James Innes Ker	Hon. Arthur Hay
27 November 1899	Wyndham Frederick Tufnell	Hon. Henry Julian Stonor	Charles James Innes Ker	Hon. Arthur Hay
