District	Incumbent	Cook	Rothenberg	CQ Politics	Crystal Ball
NY-24	Arcuri (D)	Likely D	Limited Risk	D Favored	Democratic Hold
NY-25	(Walsh) (R)	Likely D	D Favored	D Favored	Democratic Pick-up
NY-26	(Reynolds) (R)	Tossup	Tossup/Tilts R	Leans R	Republican Hold
NY-29	Kuhl (R)	Tossup	Tossup/Tilts D	Leans D	Democratic Pick-up
NC-5	Foxx (R)	Likely R	Limited Risk	Safe R	Safe R
NC-8	Hayes (R)	Tossup	Leans D	No Clear Favorite	Democratic Pick-up
NC-10	McHenry (R)	Solid R	Limited Risk	R Favored	Safe R
OH-1	Chabot (R)	Tossup	Pure Tossup	No Clear Favorite	Democratic Pick-up
OH-2	Schmidt (R)	Leans R	Leans R	Leans R	Republican Hold
OH-7	(Hobson) (R)	Likely R	Limited Risk	R Favored	Safe R
OH-12	Tiberi (R)	Likely R	Limited Risk	R Favored	Safe R
OH-14	LaTourette (R)	Likely R	Limited Risk	R Favored	Safe R
OH-15	(Pryce) (R)	Leans D	Tossup/Tilts D	Leans D	Democratic Pick-up
OH-16	(Regula) (R)	Leans D	D Favored	Leans D	Democratic Pick-up
OH-18	Space (D)	Likely D	Limited Risk	D Favored	Democratic Hold
OK-1	Sullivan (R)	Likely R	Limited Risk	Safe R	Safe R
OK-4	Cole (R)	Likely R	Limited Risk	Safe R	Safe R
OR-5	(Hooley) (D)	Likely D	Limited Risk	D Favored	Democratic Hold
PA-3	English (R)	Tossup	Tossup/Tilts D	No Clear Favorite	Democratic Pick-up
PA-4	Altmire (D)	Likely D	Limited Risk	D Favored	Democratic Hold
PA-5	(Peterson) (R)	Likely R	Limited Risk	Safe R	Safe R
PA-6	Gerlach (R)	Likely R	Limited Risk	R Favored	Republican Hold
PA-8	Murphy (D)	Solid D	Limited Risk	D Favored	Democratic Hold
PA-10	Carney (D)	Leans D	D Favored	Leans D	Democratic Hold
PA-11	Kanjorski (D)	Tossup	Pure Tossup	No Clear Favorite	Republican Pick-up
PA-12	Murtha (D)	Leans D	D Favored	Leans D	Democratic Hold
PA-15	Dent (R)	Likely R	Limited Risk	R Favored	Republican Hold
PA-18	Murphy (R)	Likely R	Limited Risk	R Favored	Republican Hold
SC-1	Brown (R)	Leans R	Leans R	Leans R	Republican Hold
SC-2	Wilson (R)	Likely R	Limited Risk	R Favored	Safe R
TX-7	Culberson (R)	Leans R	R Favored	Leans R	Republican Hold
TX-10	McCaul (R)	Leans R	R Favored	Leans R	Republican Hold
TX-22	Lampson (D)	Tossup	Leans R	No Clear Favorite	Republican Pick-up
TX-23	Rodriguez (D)	Likely D	Limited Risk	Leans D	Democratic Hold
VA-2	Drake (R)	Tossup	Pure Tossup	Leans R	Republican Hold
VA-5	Goode (R)	Leans R	Leans R	Leans R	Republican Hold
VA-10	Wolf (R)	Likely R	Limited Risk	R Favored	Safe R
VA-11	(Davis) (R)	Likely D	D Favored	D Favored	Democratic Pick-up
WA-8	Reichert (R)	Tossup	Pure Tossup	No Clear Favorite	Democratic Pick-up
WV-2	Capito (R)	Leans R	R Favored	Leans R	Republican Hold
WI-8	Kagen (D)	Leans D	D Favored	Leans D	Democratic Hold
