Song 1 title	Artist 1	Song 2 title	Artist 2	Mix artist	Venue	Battle Mix?	Setlist
" I Can't Live Without My Radio "	LL Cool J	" Good Times "	Chic	FreeStyle Games	N/A	Yes	N/A
" Get Ur Freak On "	Missy Elliott	"Infiltrate"	Sean Paul	FreeStyle Games	Las Vegas	No	Bonus Setlist
" I'm Not Alone "	Calvin Harris	" Blue Monday "	New Order	FreeStyle Games	Berlin	No	House
" Love Lockdown "	Kanye West	" The Day That Never Comes "	Metallica	DJ Shadow	Ibiza: Encore	No	DJ Shadow
" Pump Up The Volume "	M|A|R|R|S	" Put Your Hands Where My Eyes Could See "	Busta Rhymes	DJ Jazzy Jeff	London	No	Old Skool
" War "	Edwin Starr	" Superstition "	Stevie Wonder	FreeStyle Games	Ibiza	No	Bonus Setlist
" Pon De Replay "	Rihanna	" Get Busy "	Sean Paul	FreeStyle Games	Shanghai	No	Pop Mixes
" Bad Girls "	Donna Summer	"Jam On It"	Newcleus	FreeStyle Games	London	No	Old Skool
" Heartless "	Kanye West	" Midnight in a Perfect World "	DJ Shadow	Diplo	Berlin	No	Diplo
" Blue Monday "	New Order	" Pon De Floor "	Major Lazer feat. Vybz Kartel	FreeStyle Games	N/A	Yes	N/A
"Twist 'Em Out"	Dillinja and Skibadee	" Get Ur Freak On "	Missy Elliott	DJ Z-Trip	Las Vegas	No	Z-Trip, Checkpoint Battle (vs. Cleetus Cuts)
" D.A.N.C.E. (Remix)"	Justice	N/A	N/A	A-Trak	Las Vegas	No	A-Trak
" Put On "	Young Jeezy featuring Kanye West	" Enuff " ( DJ Fresh remix)	DJ Shadow featuring Q-Tip and Lateef	DJ Shadow	Ibiza: Encore	No	DJ Shadow
" Omen "	Prodigy The Prodigy	" The Box "	Orbital	Scratch Perverts	Las Vegas	Yes	DJ Battle (vs. Tiësto)
"Super Battle Breaks"	DJ Qbert	N/A	N/A	DJ Qbert	Ibiza: Encore	Yes	DJ Battle (vs. DJ Qbert)
"Jam On It (Remix)"	Newcleus	N/A	N/A	DJ Qbert	Ibiza	Yes	DJ Battle (vs. DJ Qbert)
" Killer ( Tiësto Remix)"	Adamski	N/A	N/A	DJ Tiësto	Las Vegas	No	Tiësto Megamix
" Bad Romance ( Tiësto Remix)"	Lady Gaga	N/A	N/A	DJ Tiësto	Las Vegas	No	Tiësto Megamix
"Say Whoa (Remix)"	A-Trak	N/A	N/A	FreeStyle Games	N/A	Yes	N/A
"Dollaz & Sense (Remix)"	Blakroc featuring Pharoahe Monch & RZA	N/A	N/A	FreeStyle Games	Berlin	No	RZA Megamix
" I Remember (Remix)"	Deadmau5 & Kaskade	N/A	N/A	FreeStyle Games	Shanghai	No	Deadmau5 Megamix
" American Boy (Remix)"	Estelle featuring Kanye West	N/A	N/A	FreeStyle Games	London	No	Hot 100
" Stylo (Remix)"	Gorillaz featuring Mos Def & Bobby Womack	N/A	N/A	FreeStyle Games	Shanghai	No	Pop Mixes
" Jump Around (Remix)"	House of Pain	N/A	N/A	FreeStyle Games	N/A	Yes	N/A
" Move for Me (Remix)"	Kaskade & Deadmau5	N/A	N/A	FreeStyle Games	Shanghai	No	Deadmau5 Megamix
" You're a Jerk (Remix)"	New Boyz	N/A	N/A	FreeStyle Games	N/A	Yes	N/A
" Chain Gang (Remix)"	Sam Cooke	N/A	N/A	FreeStyle Games	N/A	Yes	N/A
" Firestarter (Remix)"	Prodigy The Prodigy	N/A	N/A	FreeStyle Games	Ibiza: Encore	No	Closing Party
