Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1981	Rob Ridder	Marjan Ridder	Herman Leidelmeijer Rob Ridder	Joke van Beusekom Marjan Ridder	Rob Ridder Marjan Ridder
1982	Guus van der Vlugt	Joke van Beusekom	Herman Leidelmeijer Rob Ridder	Joke van Beusekom Marjan Ridder	Rob Ridder Marjan Ridder
1983	Uun Santosa	Eline Coene	Uun Santosa Rob Ridder	Joke van Beusekom Karin van der Valk	Rob Ridder Marjan Ridder
1984	Lex Coene	Eline Coene	Bas von Barnau Sijthoff Pierre Pelupessy	Paula Kloet Karin van der Valk	Bas von Barnau Sijthof Jeanette van Driel
1985	Lex Coene	Eline Coene	Bas von Barnau Sijthoff Pierre Pelupessy	Eline Coene Erica van Dijck	Rob Ridder Erica van Dijck
1986	Lex Coene	Eline Coene	Uun Santosa Rob Ridder	Eline Coene Erica van Dijck	Rob Ridder Erica van Dijck
1987	Pierre Pelupessy	Monique Hoogland	Bas von Barnau Sijthoff Uun Santosa	Monique Hoogland Paula Rip-Kloet	Rob Ridder Erica van Dijck
1988	Uun Santosa	Astrid van der Knaap	Alex Meijer Pierre Pelupessy	Eline Coene Erica van Dijck	Alex Meijer Erica van Dijck
1989	Pierre Pelupessy	Eline Coene	Bas von Barnau Sijthoff Michel Redeker	Eline Coene Erica van Dijck	Bas von Barnau Sijthof Jeanette Coemat
1990	Pierre Pelupessy	Monique Hoogland	Seno The Uun Santosa	Eline Coene Erica van Dijck	Alex Meijer Erica van Dijck
1991	Chris Bruil	Astrid van der Knaap	Alex Meijer Chris Bruil	Eline Coene Erica van den Heuvel	Randy Trieling Erica van den Heuvel
1992	Jeroen van Dijk	Eline Coene	Pierre Pelupessy Alex Meijer	Eline Coene Erica van den Heuvel	Randy Trieling Erica van den Heuvel
1993	Jeroen van Dijk	Astrid van der Knaap	Chris Bruil Ron Michels	Eline Coene Erica van den Heuvel	Quinten van Dalm Nicole van Hooren
1994	Pierre Pelupessy	Astrid van der Knaap	Ruud Kuijten Joris van Soerland	Eline Coene Erica van den Heuvel	Ron Michels Erica van den Heuvel
1995	Jeroen van Dijk	Brenda Beenhakker	Ron Michels Quinten van Dalm	Georgy Trouerbach Nicole van Hooren	Ron Michels Sonja Mellink
1996	Jeroen van Dijk	Judith Meulendijks	Ron Michels Quinten van Dalm	Nicole van Hooren Brenda Conijn	Ron Michels Erica van den Heuvel
1997	Jeroen van Dijk	Brenda Beenhakker	Quinten van Dalm Dennis Lens	Erica van den Heuvel Monique Hoogland	Quinten van Dalm Nicole van Hooren
1998	Jeroen van Dijk	Brenda Beenhakker	Quinten van Dalm Dennis Lens	Erica van den Heuvel Monique Hoogland	Quinten van Dalm Nicole van Hooren
1999	Joris van Soerland	Brenda Beenhakker	Quinten van Dalm Dennis Lens	Erica van den Heuvel Lonneke Janssen	Norbert van Barneveld Erica van den Heuvel
2000	Dicky Palyama	Brenda Beenhakker	Quinten van Dalm Dennis Lens	Erica van den Heuvel Lonneke Janssen	Chris Bruil Erica van den Heuvel
2001	Dicky Palyama	Mia Audina	Quinten van Dalm Dennis Lens	Nicole van Hooren Lotte Jonathans	Dennis Lens Nicole van Hooren
2002	Dicky Palyama	Yao Jie	Tijs Creemers Quinten van Dalm	Carolien Glebbeek Martine Glebbeek	Chris Bruil Lotte Jonathans
2003	Dicky Palyama	Yao Jie	Dennis Lens Joéli Residay	Mia Audina Tjiptawan Lotte Jonathans	Chris Bruil Lotte Jonathans
2004	Dicky Palyama	Yao Jie	Dicky Palyama Chris Bruil	Yao Jie Lotte Bruil-Jonathans	Chris Bruil Lotte Bruil-Jonathans
2005	Dicky Palyama	Yao Jie	Dennis Lens Joéli Residay	Brenda Beenhakker Karina de Wit	Chris Bruil Lotte Bruil-Jonathans
2006	Dicky Palyama	Mia Audina Tjiptawan	Jürgen Wouters Ruud Bosch	Brenda Beenhakker Judith Meulendijks	Chris Bruil Lotte Bruil-Jonathans
2007	Dicky Palyama	Yao Jie	Rikkert Suijkerland Dennis van Daalen De Jel	Brenda Beenhakker Judith Meulendijks	Chris Bruil Lotte Bruil-Jonathans
2008	Dicky Palyama	Judith Meulendijks	Dennis Lens Joeli Residay	Karina de Wit Ginny Severien	Ruud Bosch Paulien van Dooremalen
2009	Eric Pang	Yao Jie	Ruud Bosch Koen Ridder	Lotte Jonathans Yao Jie	Jacco Arends Jelle Maas
2010	Eric Pang	Yao Jie	Dennis Lens Joeli Residay	Paulien van Dooremalen Lotte Jonathans	Dave Khodabux Samantha Barning
2011	Eric Pang	Yao Jie	Ruud Bosch Koen Ridder	Paulien van Dooremalen Lotte Jonathans	Ruud Bosch Lotte Jonathans
