Washington State	Washington (0-0)	Washington State (1-0)	Virginia Tech (2-0)	USC (2-0)	Tennessee (2-1)	Florida State (4-1)	Iowa State (5-1)	Michigan (5-1)	Florida State (5-2)	USC (6-2)	Alabama (7-2)	Kansas State (8-2)	Texas (9-2)	Penn State (9-3)	Notre Dame (10-2)	Notre Dame (10-2)	Alabama (10-3)
Michigan	Washington State (0-0)	Virginia Tech (2-0)	Florida (1-1)	Notre Dame (3-0)	Penn State (3-0)	Washington (3-1)	Washington State (5-1)	Florida State (5-2)	NC State (8-0)	Alabama (6-2)	Kansas State (7-2)	Michigan (8-2)	Michigan (9-2)	Michigan (9-3)	Colorado (9-3)	Michigan (9-3)	NC State (11-3)
Ohio State	Michigan (0-0)	Oregon (1-0)	Oregon (2-0)	Washington (1-1)	Washington (2-1)	Kansas State (4-0)	Michigan (4-1)	NC State (7-0)	Iowa (7-1)	Colorado (6-2)	Michigan (7-2)	Virginia Tech (8-2)	Virginia Tech (8-2)	Colorado (8-3)	Michigan (9-3)	Alabama (10-3)	Maryland (11-3)
LSU	LSU (0-0)	Washington (0-1)	Washington (1-1)	Michigan (2-1)	Michigan (3-1)	Michigan (4-1)	NC State (6-0)	LSU (5-1)	Oregon (6-1)	Kansas State (6-2)	NC State (9-1)	LSU (7-2)	Florida State (8-3)	Alabama (9-3)	Alabama (10-3)	Colorado (9-4)	Auburn (9-4)
Oregon	Oregon (0-0)	Michigan State (1-0)	Michigan State (2-0)	Penn State (2-0)	Kansas State (4-0)	Iowa State (5-1)	Penn State (4-1)	Iowa (6-1)	USC (5-2)	Michigan (6-2)	Oregon (7-2)	Florida State (7-3)	Penn State (8-3)	Florida (8-3)	West Virginia (9-3)	West Virginia (9-3)	Boise State (12-1)
Virginia Tech	Virginia Tech (1-0)	Marshall (1-0)	Marshall (1-0)	Washington State (2-1)	Washington State (3-1)	NC State (6-0)	Florida (4-2)	Tennessee (4-2)	Tennessee (4-2)	Arizona State (7-2)	LSU (6-2)	Penn State (7-3)	Colorado (8-3)	Colorado State (10-2)	Florida State (9-4)	Florida State (9-4)	Penn State (9-4)
Louisville	Louisville (0-0)	Colorado (0-1)	USC (1-0)	NC State (4-0)	NC State (5-0)	Washington State (4-1)	Iowa (5-1)	Kansas State (5-1)	Iowa State (6-2)	LSU (6-2)	Florida State (6-3)	Colorado (7-3)	Pittsburgh (8-2)	Pittsburgh (8-3)	NC State (10-3)	NC State (10-3)	Notre Dame (10-3)
Michigan State	Michigan State (0-0)	USC (0-0)	Colorado (1-1)	Nebraska (3-1)	USC (2-1)	USC (3-1)	LSU (4-1)	Air Force (6-0)	Penn State (5-2)	Florida State (5-3)	Colorado (6-3)	Pittsburgh (8-2)	Maryland (9-2)	LSU (8-3)	Virginia Tech (9-3)	Boise State (11-1)	Virginia Tech (9-4)
Marshall	Marshall (0-0)	Colorado State (2-0)	NC State (3-0)	Texas A&M (2-0)	Iowa State (4-1)	Wisconsin (5-0)	Kansas State (4-1)	USC (4-2)	Alabama (5-2)	Oregon (6-2)	Penn State (6-3)	Maryland (8-2)	Florida (8-3)	Boise State (11-1)	Boise State (11-1)	Auburn (8-4)	Pittsburgh (9-4)
USC	USC (0-0)	Texas A&M (1-0)	Notre Dame (2-0)	UCLA (2-0)	Nebraska (3-1)	Penn State (3-1)	USC (3-2)	Penn State (4-2)	Kansas State (5-2)	Penn State (5-3)	Bowling Green (8-0)	Florida (7-3)	Colorado State (9-2)	Auburn (8-4)	Auburn (8-4)	Maryland (10-3)	Colorado (9-5)
Maryland	Maryland (0-0)	NC State (2-0)	Texas A&M (2-0)	Iowa State (3-1)	Wisconsin (5-0)	LSU (3-1)	Air Force (5-0)	Mississippi (5-1)	Colorado (5-2)	Bowling Green (7-0)	Iowa State (7-3)	Colorado State (8-2)	LSU (7-3)	NC State (10-3)	Maryland (10-3)	Virginia Tech (9-4)	Florida State (9-5)
South Carolina	South Carolina (0-0)	South Carolina (1-0)	Wisconsin (3-0)	Wisconsin (4-0)	LSU (2-1)	Alabama (4-1)	Washington (3-2)	Washington (4-2)	Air Force (6-1)	Iowa State (6-3)	Pittsburgh (7-2)	NC State (9-2)	TCU (8-1)	Virginia Tech (8-3)	Arkansas (9-3)	Florida (8-4)	Virginia (9-5)
Texas A&M	Texas A&M (0-0)	Notre Dame (1-0)	UCLA (1-0)	California (3-0)	Oregon State (4-0)	Texas A&M (3-1)	Wisconsin (5-1)	Colorado (4-2)	Arizona State (6-2)	Minnesota (7-1)	Florida (6-3)	Oregon (7-3)	Boise State (10-1)	Florida State (8-4)	Florida (8-4)	Colorado State (10-3)	TCU (10-2)
Penn State	Penn State (0-0)	LSU (0-1)	Colorado State (2-1)	LSU (2-1)	Texas A&M (2-1)	Iowa (4-1)	Auburn (4-1)	Alabama (4-2)	Bowling Green (6-0)	Colorado State (7-2)	Colorado State (8-2)	Auburn (7-3)	Texas Tech (8-4)	West Virginia (8-4)	Colorado State (10-3)	Pittsburgh (8-4)	Marshall (11-2)
Wisconsin	NC State (1-0)	Wisconsin (2-0)	LSU (1-1)	Kansas State (3-0)	Colorado State (3-1)	Colorado State (4-1)	Ole Miss (4-1)	Bowling Green (5-0)	Minnesota (7-1)	Tennessee (4-3)	Arizona State (7-3)	TCU (8-1)	UCLA (7-3)	Maryland (9-3)	Pittsburgh (8-4)	Arkansas (9-4)	West Virginia (9-4)
