Date	Visitor	Score	Home	Record
March 23	Washington Capitals	5–2	Columbus Blue Jackets	20–39–8–4
March 25	Columbus Blue Jackets	1–6	Calgary Flames	20–40–8–4
March 26	Columbus Blue Jackets	1–3	Edmonton Oilers	20–41–8–4
March 28	Columbus Blue Jackets	3–4	Vancouver Canucks	20–41–8–5
March 30	Columbus Blue Jackets	2–10	San Jose Sharks	20–42–8–5
April 1	Columbus Blue Jackets	1–3	Dallas Stars	20–43–8–5
April 4	Nashville Predators	1–2	Columbus Blue Jackets	21–43–8–5
April 6	Columbus Blue Jackets	1–4	Montreal Canadiens	21–44–8–5
April 8	Columbus Blue Jackets	1–4	Toronto Maple Leafs	21–45–8–5
April 10	San Jose Sharks	5–3	Columbus Blue Jackets	21–46–8–5
April 12	Atlanta Thrashers	4–5	Columbus Blue Jackets	22–46–8–5
April 14	Columbus Blue Jackets	0–2	Chicago Blackhawks	22–47–8–5
