Townland	Area( acres )	Barony	Civil parish	Poor law union
Inchigeelagh	105	Muskerry West	Inchigeelagh	Macroom
Inchigrady	158	Muskerry West	Inchigeelagh	Dunmanway
Inchileigh	262	Muskerry West	Drishane	Millstreet
Inchinahoury	158	Muskerry West	Clondrohid	Macroom
Inchinaneave	353	Muskerry West	Inchigeelagh	Macroom
Inchinashingane	505	Muskerry West	Macloneigh	Macroom
Inchineill	311	Muskerry West	Inchigeelagh	Macroom
Inchinlinane	226	Muskerry West	Clondrohid	Macroom
Inchinossig	331	Muskerry West	Inchigeelagh	Dunmanway
Inchisine	380	Muskerry West	Macloneigh	Macroom
Johnstown	613	Muskerry West	Kilmichael	Dunmanway
Kealvaugh Beg	229	Muskerry West	Inchigeelagh	Dunmanway
Kealvaugh More	390	Muskerry West	Inchigeelagh	Dunmanway
Keamcorravooly	415	Muskerry West	Inchigeelagh	Macroom
Kilbarry	166	Muskerry West	Inchigeelagh	Macroom
Kilbarry	697	Muskerry West	Ballinadee	Macroom
Kilboultragh	583	Muskerry West	Clondrohid	Macroom
Kilcorney	101	Muskerry West	Kilcorney	Millstreet
Kilgobnet	318	Muskerry West	Clondrohid	Macroom
Kill	224	Muskerry West	Macroom	Macroom
Killaclug	215	Muskerry West	Clondrohid	Macroom
Killeen	148	Muskerry West	Kilcorney	Millstreet
Killeen	156	Muskerry West	Ballyvourney	Macroom
Killmountain	189	Muskerry West	Clondrohid	Macroom
Killowen	221	Muskerry West	Drishane	Millstreet
Kilmakaroge	228	Muskerry West	Kilnamartery	Macroom
Kilmeedy East	316	Muskerry West	Drishane	Millstreet
Kilmeedy West	461	Muskerry West	Drishane	Millstreet
Kilmore	417	Muskerry West	Inchigeelagh	Macroom
Kilnagurteen	447	Muskerry West	Macroom	Macroom
Kilnarovanagh	396	Muskerry West	Macloneigh	Macroom
Kilpatrick	206	Muskerry West	Clondrohid	Macroom
Kippagh	689	Muskerry West	Drishane	Millstreet
Knockacareigh	186	Muskerry West	Kilmurry	Macroom
Knockagallane	616	Muskerry West	Drishane	Millstreet
Knockane	573	Muskerry West	Kilmichael	Dunmanway
Knockanereagh	149	Muskerry West	Kilmichael	Dunmanway
Knockanroe	191	Muskerry West	Kilcorney	Millstreet
Knockanure	616	Muskerry West	Ballyvourney	Macroom
Knockboy	200	Muskerry West	Kilmurry	Macroom
Knockgorm	94	Muskerry West	Kilcorney	Millstreet
Knocknagappul	1807	Muskerry West	Clondrohid	Macroom
Knocknakilla	1140	Muskerry West	Drishane	Millstreet
Knocknaloman	651	Muskerry West	Drishane	Millstreet
Knocknaneirk	556	Muskerry West	Kilmurry	Macroom
Knockraheen	999	Muskerry West	Clondrohid	Macroom
Knockroe	441	Muskerry West	Kilnamartery	Macroom
Knocksaharn	448	Muskerry West	Kilnamartery	Macroom
Kylefinchin	203	Muskerry West	Kilnamartery	Macroom
Labbadermody	541	Muskerry West	Clondrohid	Macroom
Lacka Beg	307	Muskerry West	Kilnamartery	Macroom
Lackabane	284	Muskerry West	Drishane	Millstreet
Lackabaun	396	Muskerry West	Inchigeelagh	Macroom
Lackaduff	200	Muskerry West	Macroom	Macroom
Lackaduv	328	Muskerry West	Clondrohid	Macroom
Lackaneen	308	Muskerry West	Clondrohid	Macroom
Lackareagh	547	Muskerry West	Kilmichael	Macroom
Lackdotia	411	Muskerry West	Drishane	Millstreet
Lackmore	224	Muskerry West	Kilnamartery	Macroom
Lacktify	167	Muskerry West	Clondrohid	Macroom
Laghtneill	167	Muskerry West	Kilmurry	Macroom
Lagneeve	102	Muskerry West	Inchigeelagh	Dunmanway
Laharan	187	Muskerry West	Kilcorney	Millstreet
Lisboy Beg	434	Muskerry West	Kilnamartery	Macroom
Lisboy More	533	Muskerry West	Kilnamartery	Macroom
Liscahane	767	Muskerry West	Drishane	Millstreet
Liscarrigane	553	Muskerry West	Clondrohid	Macroom
Liscreagh	405	Muskerry West	Drishane	Millstreet
Lisnacuddy	227	Muskerry West	Kilmichael	Dunmanway
Lissacapia	55	Muskerry West	Kilcorney	Millstreet
Lissacresig	251	Muskerry West	Clondrohid	Macroom
Lissardagh	456	Muskerry West	Kilmurry	Macroom
Lumnagh Beg	76	Muskerry West	Ballyvourney	Macroom
Lumnagh More	183	Muskerry West	Ballyvourney	Macroom
Lyrenageeha	484	Muskerry West	Inchigeelagh	Macroom
Maghereen	32	Muskerry West	Macroom	Macroom
Mamucky	221	Muskerry West	Kilmichael	Dunmanway
Maulmore	207	Muskerry West	Inchigeelagh	Macroom
Maulnagrough	381	Muskerry West	Clondrohid	Macroom
Maulnahorna	1633	Muskerry West	Clondrohid	Macroom
Milleen	342	Muskerry West	Inchigeelagh	Macroom
Milleeny	1504	Muskerry West	Ballyvourney	Macroom
Milmorane	431	Muskerry West	Inchigeelagh	Macroom
Moanflugh	415	Muskerry West	Clondrohid	Macroom
Monavaddra	476	Muskerry West	Inchigeelagh	Dunmanway
Moneycusker	417	Muskerry West	Kilmichael	Dunmanway
Mountleader	254	Muskerry West	Drishane	Millstreet
Mountmusic	502	Muskerry West	Kilmichael	Dunmanway
Mullenroe	689	Muskerry West	Clondrohid	Macroom
Murnaghbeg	281	Muskerry West	Ballyvourney	Macroom
Mushera	452	Muskerry West	Kilcorney	Millstreet
Mushera	649	Muskerry West	Drishane	Millstreet
Parkanillane	154	Muskerry West	Kilnamartery	Macroom
Poularick	726	Muskerry West	Kilmurry	Macroom
Prohus	278	Muskerry West	Clondrohid	Macroom
Rahalisk	1075	Muskerry West	Macroom	Macroom
Rahoonagh East	331	Muskerry West	Ballyvourney	Macroom
Rahoonagh West	367	Muskerry West	Ballyvourney	Macroom
Raleigh North	267	Muskerry West	Kilnamartery	Macroom
Raleigh South	340	Muskerry West	Kilnamartery	Macroom
Rath East	344	Muskerry West	Ballyvourney	Macroom
Rath West	259	Muskerry West	Ballyvourney	Macroom
Rathduane	788	Muskerry West	Drishane	Millstreet
Rathgaskig	607	Muskerry West	Inchigeelagh	Macroom
Reanabobul	662	Muskerry West	Ballyvourney	Macroom
Reanacaheragh	438	Muskerry West	Kilmichael	Dunmanway
Reananerree	469	Muskerry West	Kilnamartery	Macroom
Rockborough	115	Muskerry West	Macroom	Macroom
Rossalougha	923	Muskerry West	Inchigeelagh	Macroom
Rossmore	492	Muskerry West	Inchigeelagh	Macroom
Rossnakilla	246	Muskerry West	Kilmichael	Dunmanway
Scrahan	130	Muskerry West	Inchigeelagh	Dunmanway
Scrahanagown	416	Muskerry West	Ballyvourney	Macroom
Scrahanard	350	Muskerry West	Clondrohid	Macroom
Scrahanmore	187	Muskerry West	Inchigeelagh	Macroom
Scronagare	212	Muskerry West	Clondrohid	Macroom
Shanacashel	751	Muskerry West	Kilmichael	Dunmanway
Shanacashelkneeves	336	Muskerry West	Kilmichael	Dunmanway
Shanacloon	342	Muskerry West	Ballyvourney	Macroom
Shanakill	255	Muskerry West	Kilcorney	Millstreet
Shanvallyshane	234	Muskerry West	Kilnamartery	Macroom
Silvergrove	395	Muskerry West	Inchigeelagh	Macroom
Sleveen East	528	Muskerry West	Macroom	Macroom
Sleveen West	226	Muskerry West	Macroom	Macroom
Slieveowen	335	Muskerry West	Kilmichael	Dunmanway
Slievereagh	1646	Muskerry West	Ballyvourney	Macroom
Teeranassig	294	Muskerry West	Inchigeelagh	Dunmanway
Teerbeg	176	Muskerry West	Clondrohid	Macroom
Teereeven	394	Muskerry West	Kilmurry	Macroom
Teergay	235	Muskerry West	Inchigeelagh	Macroom
Terrelton	452	Muskerry West	Kilmichael	Dunmanway
Tober	109	Muskerry West	Drishane	Millstreet
Togher	171	Muskerry West	Ballyvourney	Macroom
Tooms East	609	Muskerry West	Macloneigh	Macroom
Tooms West	592	Muskerry West	Macloneigh	Macroom
Toomsbeg	128	Muskerry West	Macloneigh	Macroom
Toonlane	254	Muskerry West	Ballyvourney	Macroom
Toorboney	367	Muskerry West	Drishane	Millstreet
Tooreenalour	532	Muskerry West	Inchigeelagh	Dunmanway
Tooreenbane	594	Muskerry West	Drishane	Millstreet
Tooreenduff	437	Muskerry West	Inchigeelagh	Dunmanway
Tooreenlahard	139	Muskerry West	Inchigeelagh	Macroom
Tooreennanean	201	Muskerry West	Inchigeelagh	Dunmanway
Tullatreada	349	Muskerry West	Macroom	Macroom
Tullig	1730	Muskerry West	Drishane	Millstreet
Turnaspidogy	827	Muskerry West	Inchigeelagh	Macroom
Ullanes East	356	Muskerry West	Ballyvourney	Macroom
