Rank by average	Place	Couple	Perfect 40s	Total	Number of dances	Season	Average
50	2nd	Ivan Komarenko & Blanka Winiarska	1	467	14	5	33.36
51	5th	Elisabeth Duda & Mario Di Somma	0	332	10	7	33.2
52	7th	Wojciech Medyński & Izabela Janachowska	0	199	6	9	33.17
53	3rd	Andrzej Nejman & Magdalena Soszyńska-Michno	0	298	9	1	33.11
54	2nd	Mariusz Pudzianowski & Magdalena Soszyńska-Michno	2	562	17	7	33.06
55	3rd	Weronika Marczuk & Ján Kliment	1	462	14	13	33.0
56	3rd	Marcin Mroczek & Edyta Herbuś	0	362	11	4	32.91
57	5th	Oleg Savkin & Katarzyna Krupa	1	329	10	8	32.9
58	7th	Artur Barciś & Paulina Biernat	0	230	7	11	32.86
59	3rd	Joanna Koroniewska & Robert Kochanek	0	361	11	3	32.82
60	5th	Piotr Gąsowski & Anna Głogowska	0	229	7	2	32.71
61	5th	Piotr Szwedes & Anna Głogowska	0	325	10	11	32.5
62	4th	Kasia Cerekwicka & Georgiy Korolyov	0	291	9	5	32.33
63	4th	Joanna Jabłczyńska & Piotr Kiszka	1	289	9	3	32.11
64	6th	Katarzyna Pakosińska & Stefano Terrazzino	1	256	8	13	32.0
64	14th	Maciej Jachowski & Janja Lesar	0	32	1	12	32.0
66	7th	Marek Kaliszuk & Nina Tyrka	0	223	7	7	31.86
67	6th	Przemysław Cypryański & Aneta Piotrowska	0	191	6	4	31.83
68	5th	Robert Rozmus & Anna Głogowska	0	222	7	3	31.71
69	7th	Paweł Deląg & Dominika Kublik-Marzec	0	158	5	2	31.6
70	12th	Sylwia Gruchała & Rafał Maserak	0	63	2	8	31.5
71	7th	Daria Widawska & Robert Kochanek	0	188	6	6	31.33
72	9th	Helena Vondráčková & Milan Plačko	0	125	4	6	31.25
73	9th	Andrzej Deskur & Katarzyna Krupa	0	156	5	12	31.2
74	4th	Robert Janowski & Anna Bosak	0	372	12	7	31.0
74	8th	Andrzej Młynarczyk & Blanka Winiarska	0	186	6	12	31.0
74	13th	Marta Krupa & Przemysław Juszkiewicz	0	31	1	13	31.0
77	7th	Marek Włodarczyk & Kamila Kajak	1	216	7	8	30.86
78	7th	Ewa Wachowicz & Marek Fiksa	0	154	5	5	30.8
79	11th	Tomasz Schimscheiner & Kamila Kajak	0	92	3	7	30.67
80	9th	Małgorzata Socha & Robert Kochanek	0	153	5	7	30.6
81	4th	Radosław Majdan & Izabela Janachowska	0	366	12	10	30.5
81	8th	Grażyna Wolszczak & Ceazry Olszewski	0	183	6	10	30.5
81	8th	Magdalena Wójcik & Robert Rowiński	0	122	4	4	30.5
81	12th	Katarzyna Figura & Rafał Maserak	0	61	2	7	30.5
85	4th	Agnieszka Rylik & Marcin Olszewski	0	273	9	2	30.33
86	5th	Anna Nowak & Cezary Olszewski	0	242	8	9	30.25
87	7th	Maria Wiktoria Wałęsa & Paweł Godek	0	151	5	4	30.2
88	9th	Hanna Śleszyńska & Michał Szuba	0	90	3	2	30.0
88	13th	Agnieszka Cegielska & Georgiy Korolyov	0	30	1	7	30.0
90	10th	Marina Łuczenko & Michał Uryniuk	0	119	4	7	29.75
92	5th	Otylia Jędrzejczak & Sławomir Turski	0	296	10	10	29.6
92	8th	Krzysztof Bosak & Kamila Kajak	0	148	5	6	29.6
94	6th	Jacek Kawalec & Blanka Winiarska	0	206	7	6	29.43
95	9th	Sambor Czarnota & Magdalena Soszyńska-Michno	0	147	5	8	29.4
96	5th	Isis Gee & Georgiy Korolyov	0	235	8	6	29.38
97	6th	Conrado Moreno & Magdalena Soszyńska-Michno	0	176	6	2	29.33
97	7th	Agnieszka Włodarczyk & Michał Skawiński	0	88	3	1	29.33
99	7th	Aneta Kręglicka & Robert Rowiński	0	145	5	3	29.0
99	14th	Jacek Stachursky & Dominika Kublik-Marzec	0	29	1	6	29.0
101	8th	Łukasz Zagrobelny & Anna Głogowska	0	172	6	7	28.67
102	3rd	Katarzyna Grochola & Ján Kliment	1	399	14	11	28.5
104	4th	Rafał Bryndal & Magdalena Soszyńska-Michno	1	282	10	6	28.2
105	8th	Maciej Friedek & Blanka Winiarska	0	169	6	11	28.17
106	11th	Łukasz Mróz & Aneta Piotrowska	0	84	3	11	28.0
106	10th	Piotr Adamski & Blanka Winiarska	0	56	2	2	28.0
106	12th	Robert Korzeniowski & Anna Głogowska	0	56	2	12	28.0
106	13th	Sandra Lewandowska & Michał Skawiński	0	28	1	6	28.0
110	5th	Andrzej Gołota & Magdalena Soszyńska-Michno	0	279	10	12	27.9
111	5th	Anna Korcz & Robert Kochanek	0	139	5	1	27.8
112	9th	Kaja Paschalska & Piotr Kiszka	0	83	3	4	27.67
113	3rd	Katarzyna Tusk & Stefano Terrazzino	0	304	11	5	27.64
114	7th	Marcin Urbaś & Katarzyna Krupa	0	193	7	10	27.57
115	8th	Rafał Cieszyński & Magdalena Soszyńska-Michno	0	110	4	3	27.5
116	6th	Omenaa Mensah & Rafał Maserak	0	164	6	5	27.33
116	9th	Anna Samusionek & Łukasz Czarnecki	0	82	3	5	27.33
118	10th	Weronika Rosati & Krzysztof Hulboj	0	109	4	10	27.25
119	4th	Steve Allen & Anna Głogowska	0	325	12	8	27.08
120	3rd	Jakub Wesołowski & Edyta Herbuś	0	297	11	2	27.0
120	9th	Piotr Zelt & Anna Głogowska	0	135	5	10	27.0
120	11th	Tomasz Sobczak & Katarzyna Krupa	0	54	2	9	27.0
120	12th	Marek Kościkiewicz & Agnieszka Pomorska	0	54	2	10	27.0
120	12th	Tomasz Kammel & Amy Bennett	0	54	2	6	27.0
120	14th	Paweł Stasiak & Janja Lesar	0	27	1	8	27.0
126	7th	Dorota Zawadzka & Cezary Olszewski	0	185	7	12	26.43
127	11th	Katarzyna Walter & Krzysztof Hulboj	0	79	3	8	26.33
128	8th	Krzysztof Włodarczyk & Agnieszka Pomorska	0	156	6	8	26.0
129	7th	Jagna Marczułajtis & Krzysztof Hulboj	0	181	7	13	25.86
130	10th	Marcin Kwaśny & Nina Tyrka	0	103	4	12	25.75
131	9th	Tomasz Stockinger & Blanka Winiarska	0	77	3	3	25.67
132	10th	Wojciech Majchrzak & Magdalena Soszyńska-Michno	0	51	2	5	25.5
133	10th	Adam Fidusiewicz & Alesya Surova	0	76	3	6	25.33
134	6th	Renata Dancewicz & Marcin Olszewski	0	151	6	3	25.17
135	10th	Michał Milowicz & Izabela Mika	0	50	2	4	25.0
135	14th	Michał Lesień & Katarzyna Krupa	0	25	1	7	25.0
137	10th	Dorota Deląg & Marcin Hakiel	0	74	3	9	24.67
138	9th	Marcin Chochlew & Janja Lesar	0	97	4	9	24.25
139	8th	Aleksandra Kisio & Łukasz Czarnecki	0	144	6	13	24.0
139	8th	Rafał Olbrychski & Ewa Szabatin	0	96	4	5	24.0
139	8th	Robert Kudelski & Agnieszka Pomorska	0	48	2	1	24.0
139	13th	Anna Popek & Ceazry Olszewski	0	24	1	8	24.0
143	5th	Michał Szpak & Paulina Biernat	0	236	10	13	23.6
144	6th	Paweł Nastula & Magdalena Soszyńska-Michno	0	165	7	9	23.57
145	10th	Ilona Felicjańska & Robert Kochanek	0	93	4	8	23.25
146	13th	Agnieszka Jaskółka & Rafał Maserak	0	23	1	12	23.0
147	8th	Francys Sudnicka & Łukasz Czarnecki	0	111	5	9	22.2
148	11th	Anna Kalata & Krzysztof Hulboj	0	63	3	12	21.0
149	10th	Przemysław Saleta & Izabela Janachowska	0	82	4	11	20.5
149	12th	Kazimierz Mazur & Bianka Żubrowska	0	41	2	13	20.5
151	10th	Paolo Cozza & Kamila Drezno	0	37	2	3	18.5
152	11th	Iga Wyrwał & Łukasz Czarnecki	0	51	3	10	17.0
153	14th	Zbigniew Urbański & Izabela Janachowska	0	13	1	13	13.0
154	12th	Weronika Książkiewicz & Rafał Maserak	0	0	1	9	0
