Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1983	Mike Butler , NB	Denyse Julien , QC	Mike deBelle Mike Bitten , ON	Johanne Falardeau Claire Backhouse , QC, BC	Mark Freitag Linda Cloutier , B QC
1984	Mike Butler , NB	Linda Cloutier , QC	Bob MacDougall Ken Poole , AB	Johanne Falardeau Claire Backhouse , QC, BC	Mike Butler Claire Backhouse , NB, BC
1985	Mike Butler , NB	Claire Backhouse-Sharpe , BC	Mike deBelle Mike Bitten , ON	Johanne Falardeau Denyse Julien , QC	Ken Poole Chantal Jobin , AB, QC
1986	Mike Butler , NB	Denyse Julien , QC	Mike deBelle Mike Bitten , ON	Johanne Falardeau Denyse Julien , QC	Mike Butler Johanne Falardeau , NB, QC
1987	Mike Butler , NB	Denyse Julien , QC	Mike Butler David Humble , NB, AB	Linda Cloutier Claire Sharpe , QC, BC	Mike Butler Claire Sharpe NB, BC
1988/89	John Goss , AB	Denyse Julien , QC	Bryan Blanshard Ian Johnston , ON, AB	Johanne Falardeau Denyse Julien , QC	Anil Kaul Denyse Julien , BC, QC
1990	Wen Wang , AB	Si-an Deng , BC	Mike Bitten Bryan Blanshard , ON	Si-an Deng Doris Piché , BC, QC	Andrew Muir Johanne Falardeau , AB, QC
1991	Bryan Blanshard , ON	Denyse Julien , QC	Mike Bitten Bryan Blanshard , ON	Claire Sharpe Si-an Deng , BC	Anil Kaul Si-an Deng , AB BC
1992	Jaimie Dawson , MB	Doris Piché , QC	Mike Bitten Bryan Blanshard , ON	Doris Piché Denyse Julien , QC	Anil Kaul Si-an Deng , AB, BC
1993	David Humble , AB	Si-an Deng , BC	Mike Bitten Bryan Blanshard , ON	Denyse Julien Si-an Deng , QC, BC	Bryan Blanshard Denyse Julien , ON, QC
1994	Wen Wang , AB	Denyse Julien , QC	Mike Bitten Bryan Blanshard , ON	Milaine Cloutier Robbyn Hermitage , QC	Bryan Blanshard Denyse Julien , ON, QC
1995	Jaimie Dawson , MB	Denyse Julien , QC	Anil Kaul Iain Sydie , BC AB	Si-an Deng Denyse Julien , BC, QC	Darryl Yung Denyse Julien , BC, QC
1996	Iain Sydie , AB	Denyse Julien , QC	Anil Kaul Iain Sydie , BC, AB	Milaine Cloutier Robbyn Hermitage , AB, QC	Darryl Yung Denyse Julien , BC, QC
1997	Wen Wang , AB	Denyse Julien , QC	Iain Sydie Brent Olynyk , AB, BC	Denyse Julien Robbyn Hermitage , QC	Iain Sydie Denyse Julien , AB, QC
1998	Mike Beres , ON	Denyse Julien , QC	Iain Sydie Darryl Yung , AB, BC	Milaine Cloutier Robbyn Hermitage , AB, QC	Iain Sydie Denyse Julien , AB QC
1999	Andrew Dabeka , ON	Milaine Cloutier , AB	Iain Sydie Brent Olynyk , AB BC	Milaine Cloutier Robbyn Hermitage , AB, QC	Iain Sydie Denyse Julien , AB, QC
2000	Brian Abra , AB	Denyse Julien , QC	Bryan Moody Brent Olynyk , QU, BC	Milaine Cloutier Robbyn Hermitage , AB, QC	Iain Sydie Denyse Julien , AB, QC
2001	Andrew Dabeka , ON	Denyse Julien , QC	Bryan Moody Brent Olynyk , QU, BC	Amelie Felx Robbyn Hermitage , QC	Bryan Moody Milaine Cloutier , QC, AB
2002	Bob Milroy , ON	Kara Solmundson , MB	Keith Chan William Milroy , AB	Milaine Cloutier Robbyn Hermitage , AB, QC	Phil Bourret Robbyn Hermitage , QU
2003	Andrew Dabeka , ON	Denyse Julien , QC	Mike Beres Kyle Hunter , ON	Milaine Cloutier Robbyn Hermitage , AB, QC	William Milroy Tammy Sun , AB
2004	Stephan Wojcikiewicz , ON	Anna Rice , AB	Keith Chan William Milroy , AB	Milaine Cloutier Denyse Julien , AB, QC	William Milroy Tammy Sun , AB
2005	Andrew Dabeka , ON	Anna Rice , BC	Mike Beres William Milroy , ON, AB	Charmaine Reid Helen Nichol , ON, AB	William Milroy Tammy Sun , AB
2006	Andrew Dabeka , ON	Charmaine Reid , ON	Mike Beres William Milroy , ON, AB	Charmaine Reid Helen Nichol , ON, AB	Mike Beres Val Loker , ON, QU
2007	Mike Beres , ON	Charmaine Reid , ON	Mike Beres William Milroy , ON, AB	Charmaine Reid Fiona McKee , ON	Mike Beres Val Loker , ON, QU
2008	David Snider , MN	Anna Rice , BC	Mike Beres William Milroy , ON, AB	Milaine Cloutier Valérie Loker , AB, QU	Mathieu Laforest Amélie Felx QC
2009	Andrew Dabeka , ON	Anna Rice , BC	Toby Ng William Milroy , AB	Milaine Cloutier Grace Gao , AB	William Milroy Fiona Mckee AB, ON
2010	Alex Pang , AB	Anna Rice , BC	Alvin Lau Jonathan Vandervet , BC, AB	Lydia Jiang Melody Liang , BC	Jonathan Vandervet Milaine Cloutier , AB
