Country or region	Highest point	Maximum elevation	Lowest point	Minimum elevation	Elevation span
Cyprus	Mount Olympus on Cyprus	m ft	Mediterranean Sea	sea level	m ft
Czech Republic	Sněžka	m ft	Elbe	m ft	m ft
Denmark	Møllehøj	m ft	Lammefjord	m ft	m ft
Djibouti	Mousa Ali	m ft	Lake Asal	m ft	m ft
Dominica	Morne Diablotins on Dominica	m ft	Caribbean Sea	sea level	m ft
Dominican Republic	Pico Duarte on Hispaniola	m ft	Lago Enriquillo on Hispaniola	m ft	m ft
Ecuador	Chimborazo	m ft	Pacific Ocean	sea level	m ft
Egypt	Mount Catherine	m ft	Qattara Depression	m ft	m ft
El Salvador	Cerro El Pital	m ft	North Pacific Ocean	sea level	m ft
Equatorial Guinea	Pico Basile on Bioko	m ft	North Atlantic Ocean	sea level	m ft
Eritrea	Emba Soira	m ft	Lake Kulul	m ft	m ft
Estonia	Suur Munamägi	m ft	Baltic Sea	sea level	m ft
Ethiopia	Ras Dejen	m ft	Danakil Depression	m ft	m ft
Falkland Islands	Mount Usborne on East Falkland	m ft	South Atlantic Ocean	sea level	m ft
Faroe Islands	Slættaratindur on Eysturoy	m ft	North Atlantic Ocean	sea level	m ft
Fiji	Tomanivi on Viti Levu	m ft	South Pacific Ocean	sea level	m ft
Finland	Halti	m ft	Baltic Sea	sea level	m ft
France	Mont Blanc	m ft	Les Moëres, Nord	m ft	m ft
French Guiana	Bellevue de l'Inini	m ft	North Atlantic Ocean	sea level	m ft
French Polynesia	Mont Orohena on Tahiti	m ft	South Pacific Ocean	sea level	m ft
French Southern and Antarctic Lands	Mont Ross on Iles Kerguelen	m ft	Indian Ocean	sea level	m ft
Gabon	Mont Bengoué	m ft	Atlantic Ocean	sea level	m ft
Gambia	unnamed location	m ft	North Atlantic Ocean	sea level	m ft
Georgia	Shkhara	m ft	Black Sea	sea level	m ft
Germany	Zugspitze	m ft	Neuendorf-Sachsenbande	m ft	m ft
Ghana	Mount Afadjato	m ft	Gulf of Guinea	sea level	m ft
Gibraltar	Rock of Gibraltar	m ft	Strait of Gibraltar	sea level	m ft
Greece	Mount Olympus	m ft	Mediterranean Sea	sea level	m ft
Greenland	Gunnbjørn Fjeld on Greenland	m ft	Arctic Ocean North Atlantic Ocean	sea level	m ft
Grenada	Mount Saint Catherine on Grenada	m ft	Caribbean Sea	sea level	m ft
Guadeloupe	La Grande Soufrière on Île de Basse-Terre	m ft	Caribbean Sea	sea level	m ft
Guam	Mount Lamlam on Guam	m ft	North Pacific Ocean	sea level	m ft
Guatemala	Volcán Tajumulco	m ft	North Pacific Ocean Caribbean Sea	sea level	m ft
Guernsey	Le Moulin on Sark	m ft	English Channel	sea level	m ft
Guinea	Mont Nimba	m ft	North Atlantic Ocean	sea level	m ft
Guyana	Mount Roraima	m ft	North Atlantic Ocean	sea level	m ft
Haiti	Pic la Selle on Hispaniola	m ft	Caribbean Sea	sea level	m ft
Heard Island and McDonald Islands	Mawson Peak on Heard Island	m ft	Indian Ocean	sea level	m ft
Honduras	Cerro Las Minas	m ft	Caribbean Sea North Pacific Ocean	sea level	m ft
Hong Kong	Tai Mo Shan	m ft	South China Sea	sea level	m ft
Hungary	Kékes	m ft	Tisza	m ft	m ft
Iceland	Hvannadalshnúkur on Iceland	m ft	North Atlantic Ocean	sea level	m ft
India	Kangchenjunga	m ft	Kuttanad	m ft	m ft
Indonesia	Puncak Jaya on New Guinea	m ft	Indian Ocean South Pacific Ocean	sea level	m ft
Iran	Damavand	m ft	Caspian Sea	m ft	m ft
Iraq	Cheekha Dar	m ft	Persian Gulf	sea level	m ft
Ireland	Carrauntoohil on Ireland	m ft	North Slob on Ireland	m ft	m ft
Isle of Man	Snaefell on the Isle of Man	m ft	Irish Sea	sea level	m ft
Israel	Mount Meron	m ft	Dead Sea	m ft	m ft
Italy	Monte Bianco	m ft	Delta del Po	m ft	m ft
Jamaica	Blue Mountain Peak on Jamaica	m ft	Caribbean Sea	sea level	m ft
Japan	Mount Fuji on Honshū	m ft	Hachiro-gata on Honshū	m ft	m ft
Jersey	Les Platons on Jersey	m ft	English Channel	sea level	m ft
Jordan	Jabal Umm ad Dami	m ft	Dead Sea	m ft	m ft
Kazakhstan	Khan Tengri	m ft	Karagiye Depression	m ft	m ft
Kenya	Mount Kenya	m ft	Indian Ocean	sea level	m ft
Kiribati	unnamed location on Banaba	m ft	Pacific Ocean	sea level	m ft
North Korea	Paektu-san	m ft	Sea of Japan Yellow Sea	sea level	m ft
South Korea	Halla-san on Jejudo	m ft	Sea of Japan Yellow Sea	sea level	m ft
Kosovo	Gjeravica	m ft	White Drin	m ft	m ft
Kuwait	unnamed location	m ft	Persian Gulf	sea level	m ft
Kyrgyzstan	Jengish Chokusu	m ft	Kara Darya	m ft	m ft
Laos	Phou Bia	m ft	Mekong	m ft	m ft
Latvia	Gaizinkalns	m ft	Baltic Sea	sea level	m ft
Lebanon	Qurnat as Sawda'	m ft	Mediterranean Sea	sea level	m ft
Lesotho	Thabana Ntlenyana	m ft	confluence of Orange River and Makhaleng River	m ft	m ft
Liberia	Mount Wuteve	m ft	North Atlantic Ocean	sea level	m ft
Libya	Bikku Bitti	m ft	Sabkhat Ghuzayyil	m ft	m ft
Liechtenstein	Grauspitz	m ft	Rhine	m ft	m ft
Lithuania	Aukštojas Hill	m ft	Nemunas Delta	m ft	m ft
Luxembourg	Kneiff	m ft	Moselle River	m ft	m ft
Macau	Coloane Alto on Gau Ou Saan	m ft	South China Sea	sea level	m ft
Macedonia	Golem Korab	m ft	Vardar	m ft	m ft
Madagascar	Maromokotro on Madagascar	m ft	Indian Ocean	sea level	m ft
Malawi	Mount Mulanje	m ft	Shire River	m ft	m ft
Malaysia	Gunung Kinabalu on Borneo	m ft	South China Sea Indian Ocean	sea level	m ft
Maldives	unnamed location on Villingili	m ft	Indian Ocean	sea level	m ft
Mali	Hombori Tondo	m ft	Senegal River	m ft	m ft
Malta	Ta'Dmejrek on Malta Island	m ft	Mediterranean Sea	sea level	m ft
Marshall Islands	unnamed location on Likiep	m ft	North Pacific Ocean	sea level	m ft
Martinique	Montagne Pelee on Martinique	m ft	Caribbean Sea	sea level	m ft
Mauritania	Kediet ej Jill	m ft	Sebkha de Ndrhamcha	m ft	m ft
Mauritius	Piton de la Petite Rivière Noire on Mauritius	m ft	Indian Ocean	sea level	m ft
Mayotte	Benara on Mahoré	m ft	Mozambique Channel	sea level	m ft
Mexico	Volcán Citlaltépetl ( Pico de Orizaba )	m ft	Laguna Salada	m ft	m ft
Federated States of Micronesia	Dolohmwar on Pohnpei	m ft	North Pacific Ocean	sea level	m ft
Moldova	Dealul Bălăneşti	m ft	Dniester	m ft	m ft
Monaco	along Chemin des Révoires on Mont Agel	m ft	Mediterranean Sea	sea level	m ft
Mongolia	Khüiten Peak	m ft	Hoh Nuur Depression	m ft	m ft
Montenegro	Zla Kolata	m ft	Adriatic Sea	sea level	m ft
Montserrat	Chances Peak on Montserrat	m ft	Caribbean Sea	sea level	m ft
Morocco	Jbel Toubkal	m ft	Sebjet Tah	m ft	m ft
Mozambique	Monte Binga	m ft	Mozambique Channel	sea level	m ft
Namibia	Konigstein	m ft	South Atlantic Ocean	sea level	m ft
Nauru	Command Ridge on Nauru	m ft	South Pacific Ocean	sea level	m ft
Navassa Island	unnamed location on Navassa Island	m ft	Caribbean Sea	sea level	m ft
Nepal	Mount Everest	m ft	Kanchan Kalan	m ft	m ft
Netherlands	Mount Scenery on Saba	m ft	Zuidplaspolder	m ft	m ft
New Caledonia	Mont Panié on New Caledonia	m ft	Coral Sea	sea level	m ft
New Zealand	Aoraki/Mount Cook on South Island	m ft	South Pacific Ocean	sea level	m ft
Nicaragua	Mogoton	m ft	North Pacific Ocean Caribbean Sea	sea level	m ft
Niger	Mont Idoukal-n-Taghès	m ft	Niger River	m ft	m ft
Nigeria	Chappal Waddi	m ft	unnamed location on Lagos Island	m ft	m ft
Niue	unnamed location near Mutalau on Niue	m ft	South Pacific Ocean	sea level	m ft
Norfolk Island	Mount Bates on Norfolk Island	m ft	South Pacific Ocean	sea level	m ft
Northern Mariana Islands	unnamed location on Agrihan	m ft	North Pacific Ocean	sea level	m ft
Norway	Galdhøpiggen	m ft	Norwegian Sea	sea level	m ft
Oman	Jabal Shams	m ft	Arabian Sea	sea level	m ft
Pakistan	K2	m ft	Arabian Sea	sea level	m ft
Palau	Mount Ngerchelchuus on Babeldaob	m ft	North Pacific Ocean	sea level	m ft
Palestine	Mount Nabi Yunis	m ft	Dead Sea	m ft	m ft
Panama	Volcán Barú	m ft	North Pacific Ocean Caribbean Sea	sea level	m ft
Papua New Guinea	Mount Wilhelm on New Guinea	m ft	South Pacific Ocean	sea level	m ft
Paraguay	Cerro Peró	m ft	Rio Paraguay	m ft	m ft
Peru	Huascarán	m ft	Sechura Depression	m ft	m ft
Philippines	Mount Apo on Mindanao	m ft	Philippine Sea South China Sea	sea level	m ft
Pitcairn Islands	Pawala Valley Ridge on Pitcairn Island	m ft	South Pacific Ocean	sea level	m ft
Poland	Northwestern peak of Rysy	m ft	Żuławy Wiślane , also	m ft	m ft
Portugal	Ponta do Pico on Pico Island	m ft	North Atlantic Ocean	sea level	m ft
Puerto Rico	Cerro de Punta on Puerto Rico	m ft	Caribbean Sea	sea level	m ft
Qatar	Qurayn Abu al Bawl	m ft	Persian Gulf	sea level	m ft
Réunion	Piton des Neiges on Réunion	m ft	Indian Ocean	sea level	m ft
Romania	Moldoveanu	m ft	Black Sea	sea level	m ft
Russia	Mount Elbrus	m ft	Caspian Sea	m ft	m ft
Rwanda	Mount Karisimbi	m ft	Ruzizi River	m ft	m ft
Sahrawi Arab Democratic Republic	unnamed location	m ft	Sebjet Tah	m ft	m ft
Saint Barthélemy	Morne du Vitet on Saint Barthélemy	m ft	Caribbean Sea	sea level	m ft
Saint Helena, Ascension and Tristan da Cunha	Queen Mary's Peak on Tristan da Cunha	m ft	South Atlantic Ocean	sea level	m ft
Saint Kitts and Nevis	Mount Liamuiga on Saint Kitts	m ft	Caribbean Sea	sea level	m ft
Saint Lucia	Mount Gimie on Saint Lucia	m ft	Caribbean Sea	sea level	m ft
Saint Martin	Pic Paradis on Saint Martin	m ft	Caribbean Sea	sea level	m ft
Saint Pierre and Miquelon	Morne de la Grande Montagne on Miquelon	m ft	North Atlantic Ocean	sea level	m ft
Saint Vincent and the Grenadines	La Soufrière on Saint Vincent	m ft	Caribbean Sea	sea level	m ft
Samoa	Mauga Silisili on Savai'i	m ft	South Pacific Ocean	sea level	m ft
San Marino	Monte Titano	m ft	Ausa River	m ft	m ft
São Tomé and Príncipe	Pico de São Tomé on São Tomé Island	m ft	Gulf of Guinea	sea level	m ft
Saudi Arabia	Jabal Sawda	m ft	Persian Gulf Red Sea	sea level	m ft
Senegal	unnamed feature near Nepen Diakha	m ft	North Atlantic Ocean	sea level	m ft
Serbia	Đeravica	m ft	Iron Gate	m ft	m ft
Seychelles	Morne Seychellois on Mahé	m ft	Indian Ocean	sea level	m ft
Sierra Leone	Mount Bintumani	m ft	North Atlantic Ocean	sea level	m ft
Singapore	Bukit Timah on Singapore	m ft	Singapore Strait	sea level	m ft
Sint Maarten	Sentry Hill on Sint Maarten	m ft	Caribbean Sea	sea level	m ft
Slovakia	Gerlachovský štít	m ft	Bodrog	m ft	m ft
Slovenia	Triglav	m ft	Adriatic Sea	sea level	m ft
Solomon Islands	Mount Popomanaseu on Guadalcanal	m ft	South Pacific Ocean	sea level	m ft
Somalia	Shimbiris	m ft	Indian Ocean	sea level	m ft
South Africa	Mafadi	m ft	South Atlantic Ocean Indian Ocean	sea level	m ft
South Georgia and the South Sandwich Islands	Mount Paget on South Georgia	m ft	South Atlantic Ocean	sea level	m ft
South Sudan	Kinyeti	m ft	White Nile	m ft	m ft
Spain	Teide on Tenerife	m ft	North Atlantic Ocean Mediterranean Sea	sea level	m ft
Spratly Islands	unnamed location on Southwest Cay	m ft	South China Sea	sea level	m ft
Sri Lanka	Pidurutalagala on Sri Lanka	m ft	Indian Ocean	sea level	m ft
Sudan	Deriba Caldera	m ft	Red Sea	sea level	m ft
Suriname	Juliana Top	m ft	North Atlantic Ocean	sea level	m ft
Svalbard and Jan Mayen	Haakon VII Toppen	m ft on Jan Mayen	Norwegian Sea	sea level	m ft
Swaziland	Emlembe	m ft	Maputo River	m ft	m ft
Sweden	Kebnekaise	m ft	Kristianstad	m ft	m ft
Switzerland	Monte Rosa	m ft	Lake Maggiore	m ft	m ft
Taiwan	Yu Shan on Taiwan	m ft	South China Sea	sea level	m ft
Tajikistan	Ismoil Somoni Peak	m ft	Syr Darya	m ft	m ft
Tanzania	Kilimanjaro	m ft	Indian Ocean	sea level	m ft
Thailand	Doi Inthanon	m ft	Gulf of Thailand Andaman Sea	sea level	m ft
Timor-Leste	Mount Ramelau on Timor	m ft	Timor Sea	sea level	m ft
Togo	Mont Agou	m ft	Bight of Benin	sea level	m ft
Tokelau	unnamed location	m ft	South Pacific Ocean	sea level	m ft
Tonga	unnamed location on Kao	m ft	South Pacific Ocean	sea level	m ft
Trinidad and Tobago	El Cerro del Aripo on Trinidad	m ft	Caribbean Sea	sea level	m ft
Tunisia	Jebel ech Chambi	m ft	Shatt al Gharsah	m ft	m ft
Turkey	Mount Ararat	m ft	Mediterranean Sea Black Sea	sea level	m ft
Turkmenistan	Gora Ayrybaba	m ft	Vpadina Akchanaya	m ft	m ft
Turks and Caicos Islands	Blue Hills on Providenciales	m ft	North Atlantic Ocean	sea level	m ft
Tuvalu	unnamed location	m ft	South Pacific Ocean	sea level	m ft
Uganda	Margherita Peak	m ft	Albert Nile	m ft	m ft
Ukraine	Hora Hoverla	m ft	Kuyalnik Estuary	m ft	m ft
United Arab Emirates	unnamed knoll west of Jabal Bil Ays	m ft	Persian Gulf Gulf of Oman	sea level	m ft
United Kingdom	Ben Nevis on Great Britain	m ft	The Fens on Great Britain	m ft	m ft
United States	Mount McKinley ( Denali )	m ft	Badwater Basin	m ft	m ft
United States Minor Outlying Islands	unnamed hill on Sand Island	m ft	Pacific Ocean	sea level	m ft
Uruguay	Cerro Catedral	m ft	South Atlantic Ocean	sea level	m ft
Uzbekistan	Khazret Sultan	m ft	Sariqarnish Kuli	m ft	m ft
Vanuatu	Mount Tabwemasana on Espiritu Santo	m ft	South Pacific Ocean	sea level	m ft
Vatican City	unnamed location	m ft	Saint Peter's Square	m ft	m ft
Venezuela	Pico Bolívar	m ft	Caribbean Sea	sea level	m ft
Vietnam	Fan Si Pan	m ft	South China Sea	sea level	m ft
British Virgin Islands	Mount Sage on Tortola	m ft	Caribbean Sea	sea level	m ft
United States Virgin Islands	Crown Mountain on Saint Thomas	m ft	Caribbean Sea	sea level	m ft
Wallis and Futuna	Mont Puke on Futuna	m ft	South Pacific Ocean	sea level	m ft
Yemen	Jabal an Nabi Shu'ayb	m ft	Arabian Sea	sea level	m ft
Zambia	unnamed location in Mafinga Hills	m ft	Zambezi	m ft	m ft
Zimbabwe	Mount Nyangani	m ft	confluence of Runde River and Save River	m ft	m ft
