Member	Party	Electorate	State	Term in office
Elizabeth Grace	Liberal	Lilley	Qld	1996–1998
Alan Griffin	Labor	Bruce	Vic	1993–present
Bob Halverson	Liberal	Casey	Vic	1984–1998
Pauline Hanson [4 ]	Independent/ ONP	Oxley	Qld	1996–1998
Gary Hardgrave	Liberal	Moreton	Qld	1996–2007
Michael Hatton [1 ]	Labor	Blaxland	NSW	1996–2007
David Hawker	Liberal	Wannon	Vic	1983–2010
Noel Hicks	National	Riverina	NSW	1980–1998
Joe Hockey	Liberal	North Sydney	NSW	1996–present
Hon Clyde Holding	Labor	Melbourne Ports	Vic	1977–1998
Colin Hollis	Labor	Throsby	NSW	1984–2001
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Susan Jeanes	Liberal	Kingston	SA	1996–1998
Harry Jenkins	Labor	Scullin	Vic	1986–2013
Ricky Johnston	Liberal	Canning	WA	1996–1998
Hon Barry Jones	Labor	Lalor	Vic	1977–1998
Hon David Jull	Liberal	Fadden	Qld	1975–1983, 1984–2007
Hon Bob Katter	National	Kennedy	Qld	1993–present
Paul Keating [1 ]	Labor	Blaxland	NSW	1969–1996
De-Anne Kelly	National	Dawson	Qld	1996–2007
Jackie Kelly [2 ]	Liberal	Lindsay	NSW	1996–2007
Hon Dr David Kemp	Liberal	Goldstein	Vic	1990–2004
Hon Duncan Kerr	Labor	Denison	Tas	1987–2010
John Langmore [3 ]	Labor	Fraser	ACT	1984–1997
Mark Latham	Labor	Werriwa	NSW	1994–2005
Hon Dr Carmen Lawrence	Labor	Fremantle	WA	1994–2007
Hon Michael Lee	Labor	Dobell	NSW	1984–2001
Hon Lou Lieberman	Liberal	Indi	Vic	1993–2001
Peter Lindsay	Liberal	Herbert	Qld	1996–2010
Jim Lloyd	Liberal	Robertson	NSW	1996–2007
Stewart McArthur	Liberal	Corangamite	Vic	1984–2007
Robert McClelland	Labor	Barton	NSW	1996–2013
Graeme McDougall	Liberal	Griffith	Qld	1996–1998
Hon Peter McGauran	National	Gippsland	Vic	1983–2008
Hon Ian McLachlan	Liberal	Barker	SA	1990–1998
Hon Leo McLeay	Labor	Watson	NSW	1979–2004
Hon Bob McMullan	Labor	Canberra	ACT	1996–2010
Jenny Macklin	Labor	Jagajaga	Vic	1996–present
Paul Marek	National	Capricornia	Qld	1996–1998
Hon Stephen Martin	Labor	Cunningham	NSW	1984–2002
Daryl Melham	Labor	Banks	NSW	1990–2013
Hon Chris Miles	Liberal	Braddon	Tas	1984–1998
Hon John Moore	Liberal	Ryan	Qld	1975–2001
Allan Morris	Labor	Newcastle	NSW	1983–2001
Hon Peter Morris	Labor	Shortland	NSW	1972–1998
Frank Mossfield	Labor	Greenway	NSW	1996–2004
Hon Judi Moylan	Liberal	Pearce	WA	1993–2013
Stephen Mutch	Liberal	Cook	NSW	1996–1998
Gary Nairn	Liberal	Eden-Monaro	NSW	1996–2007
Garry Nehl	National	Cowper	NSW	1984–2001
Dr Brendan Nelson	Liberal	Bradfield	NSW	1996–2009
Paul Neville	National	Hinkler	Qld	1993–2013
Peter Nugent	Liberal	Aston	Vic	1990–2001
Gavan O'Connor	Labor	Corio	Vic	1993–2007
Hon Neil O'Keefe	Labor	Burke	Vic	1984–2001
Hon Roger Price	Labor	Chifley	NSW	1984–2010
Hon Geoff Prosser	Liberal	Forrest	WA	1987–2007
Christopher Pyne	Liberal	Sturt	SA	1993–present
Harry Quick	Labor	Franklin	Tas	1993–2007
Don Randall	Liberal	Swan	WA	1996–1998, 2001–present
Hon Bruce Reid	Liberal	Bendigo	Vic	1990–1998
Hon Peter Reith	Liberal	Flinders	Vic	1982–1983, 1984–2001
Allan Rocher	Independent	Curtin	WA	1981–1998
Michael Ronaldson	Liberal	Ballarat	Vic	1990–2001
Hon Philip Ruddock	Liberal	Berowra	NSW	1973–present
Rod Sawford	Labor	Adelaide	SA	1988–2007
Hon Bruce Scott	National	Maranoa	Qld	1990–present
Bob Sercombe	Labor	Maribyrnong	Vic	1996–2007
Hon John Sharp	National	Hume	NSW	1984–1998
Hon Ian Sinclair	National	New England	NSW	1963–1998
Peter Slipper	Liberal	Fisher	Qld	1984–1987, 1993–2013
Tony Smith	Liberal/Independent [7 ]	Dickson	Qld	1996–1998
Stephen Smith	Labor	Perth	WA	1993–2013
Hon Warwick Smith	Liberal	Bass	Tas	1984–1993, 1996–1998
Alex Somlyay	Liberal	Fairfax	Qld	1990–2013
Dr Andrew Southcott	Liberal	Boothby	SA	1996–present
Dr Sharman Stone	Liberal	Murray	Vic	1996–present
Kathy Sullivan	Liberal	Moncrieff	Qld	1984–2001
Lindsay Tanner	Labor	Melbourne	Vic	1993–2010
Bill Taylor	Liberal	Groom	Qld	1988–1998
Hon Andrew Theophanous	Labor	Calwell	Vic	1980–2001
Hon Andrew Thomson	Liberal	Wentworth	NSW	1995–2001
Kelvin Thomson	Labor	Wills	Vic	1996–present
Warren Truss	National	Wide Bay	Qld	1990–present
Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Mark Vaile	National	Lyne	NSW	1993–2008
Danna Vale	Liberal	Hughes	NSW	1996–2010
Barry Wakelin	Liberal	Grey	SA	1993–2007
Andrea West	Liberal	Bowman	Qld	1996–1998
Hon Daryl Williams	Liberal	Tangney	WA	1993–2004
Hon Ralph Willis	Labor	Gellibrand	Vic	1972–1998
Greg Wilton	Labor	Isaacs	Vic	1996–2000
Hon Michael Wooldridge	Liberal	Casey	Vic	1987–2001
Trish Worth	Liberal	Adelaide	SA	1996–2004
Paul Zammit	Liberal/Independent [6 ]	Lowe	NSW	1996–1998
