Location (State, City)	USN 2013	BW 2013	Forbes 2011	Ec 2013	FT 2011	AE 2011	CNN 2011	BI 2013	ARWU 2012
Texas, Houston	30	36	45	53	44	1000	25	1000	51
Missouri, St. Louis	84	1000	1000	1000	1000	1000	1000	1000	1000
Pennsylvania, Pittsburgh	61	1000	51	98	1000	1000	1000	1000	51
Indiana, Bloomington	22	15	27	39	73	54	1000	37	24
Illinois, Evanston	4	5	5	18	21	11	14	11	11
North Carolina, Chapel Hill	20	17	11	47	62	40	30	26	29
Washington, D.C.	1000	1000	68	1000	1000	1000	1000	1000	1000
Indiana, West Lafayette	44	41	40	85	74	1000	1000	18	51
California, Santa Clara	75	1000	1000	1000	1000	1000	1000	1000	1000
Colorado, Boulder	79	1000	1000	1000	1000	1000	1000	1000	51
New York, New York City	97	1000	1000	1000	1000	1000	1000	1000	1000
Utah, Provo	30	32	15	1000	91	1000	1000	23	51
California, Los Angeles	26	28	39	22	64	57	1000	33	34
New York, Syracuse	79	1000	1000	1000	1000	1000	1000	1000	101
Virginia, Williamsburg	70	1000	41	1000	86	1000	1000	1000	151
Texas, College Station	35	26	24	1000	44	1000	45	1000	45
Massachusetts, Waltham	84	1000	1000	1000	1000	1000	1000	1000	1000
Texas, Austin	17	19	17	31	49	28	29	24	20
Washington, D.C.	25	30	35	44	38	25	32	14	51
Indiana, South Bend	27	20	31	40	80	52	31	17	101
California, Irvine	49	43	69	1000	53	50	47	1000	76
Massachusetts, Cambridge	4	9	12	11	9	6	5	7	3
South Carolina, Columbia	73	62	70	99	80	1000	48	1000	42
Texas, Richardson	37	1000	1000	1000	1000	1000	1000	1000	43
Texas, Fort Worth	79	46	1000	1000	1000	1000	1000	1000	76
Massachusetts, Boston	61	51	65	1000	1000	1000	1000	1000	151
Missouri, St. Louis	21	31	47	48	54	1000	1000	38	32
Tennessee, Nashville	30	25	33	34	51	41	39	21	41
Virginia, Blacksburg	75	1000	1000	1000	1000	1000	1000	1000	151
California, Claremont	101	1000	1000	1000	1000	1000	1000	1000	1000
Maryland, College Park	37	24	38	52	40	42	1000	1000	23
Michigan, Ann Arbor	14	8	10	30	24	30	28	27	14
New Jersey, New Brunswick and Newark	61	61	1000	1000	1000	1000	1000	1000	51
New York, Ithaca	16	7	9	25	30	39	1000	6	25
Arkansas, Fayetteville	66	1000	1000	1000	1000	1000	1000	1000	76
New York, Rochester	37	50	32	1000	52	37	1000	1000	39
Pennsylvania, University Park	49	38	26	50	59	1000	1000	1000	33
California, Stanford	1	4	1	8	4	8	2	3	6
New York, New York City	10	16	18	12	15	12	13	20	9
Pennsylvania, Pittsburgh	19	11	23	16	41	29	24	15	12
Georgia, Athens	52	52	42	90	93	1000	1000	1000	76
Washington, D.C.	56	54	1000	68	1000	1000	1000	22	101
Pennsylvania, Philadelphia	3	3	4	15	1	3	4	12	8
Arizona, Glendale	88	45	54	87	68	56	1000	41	1000
Iowa, Iowa City	44	53	21	59	64	1000	1000	1000	101
Missouri, Columbia	52	1000	63	1000	1000	1000	1000	1000	101
New Hampshire, Hanover	9	12	6	2	18	17	11	13	38
California, Davis	40	1000	72	61	83	1000	1000	1000	101
California, Los Angeles	14	18	13	27	31	22	23	28	16
Illinois, Champaign	47	40	56	1000	46	1000	1000	32	44
New York, Buffalo	75	57	48	1000	1000	1000	1000	1000	151
Connecticut, Hartford	58	1000	37	1000	1000	1000	1000	1000	101
Florida, Coral Gables	88	1000	59	1000	1000	1000	1000	1000	51
Tennessee, Knoxville	67	60	1000	1000	1000	1000	1000	1000	151
Arizona, Tempe	30	1000	66	1000	64	1000	1000	1000	18
Florida, Gainesville	36	48	67	97	94	1000	1000	1000	51
Ohio, Cleveland	52	1000	49	1000	1000	1000	1000	1000	101
Wisconsin, Madison	34	34	29	45	63	1000	1000	1000	31
Connecticut, New Haven	13	21	11	26	15	14	16	2	10
New York, New York City	75	1000	50	1000	1000	1000	1000	1000	76
