City	Country	IATA	ICAO	Airport
Dhaka	Bangladesh	DAC	VCBI	Shahjalal International Airport
Fukuoka	Japan	FUK	RJFF	Fukuoka Airport
Gold Coast	Australia	OOL	YBCG	Gold Coast Airport
Guangzhou	China	CAN	ZGGG	Guangzhou Baiyun International Airport
Guilin	China	KWL	ZGKL	Guilin Liangjiang International Airport
Haikou	China	HAK	ZJHK	Haikou Meilan International Airport
Hangzhou	China	HGH	ZSHC	Hangzhou Xiaoshan International Airport
Hanoi	Vietnam	HAN	VVNB	Noi Bai International Airport
Hat Yai	Thailand	HDY	VTSS	Hat Yai International Airport
Ho Chi Minh City	Vietnam	SGN	VVTS	Tan Son Nhat International Airport
Hong Kong	Hong Kong	HKG	VHHH	Hong Kong International Airport
Hyderabad	India	HYD	VOHS	Rajiv Gandhi International Airport
Iloilo	Philippines	ILO	RPVI	Iloilo International Airport
Ipoh	Malaysia	IPH	WMKI	Sultan Azlan Shah Airport
Jakarta	Indonesia	CGK	WIII	Soekarno–Hatta International Airport
Jeddah	Saudi Arabia	JED	OEJN	King Abdulaziz International Airport
Johor Bahru	Malaysia	JHB	WMKJ	Senai International Airport
Kalibo	Philippines	KLO	RPVK	Kalibo International Airport
Kathmandu	Nepal	KTM	VNKT	Tribhuvan International Airport
Khon Kaen	Thailand	KKC	VTUK	Khon Kaen Airport
Kochi	India	COK	VOCI	Cochin International Airport
Kolkata	India	CCU	VECC	Netaji Subhash Chandra Bose International Airport
Kota Bahru	Malaysia	KBR	WMKC	Sultan Ismail Petra Airport
Kota Kinabalu	Malaysia	BKI	WBKK	Kota Kinabalu International Airport
Krabi	Thailand	KBV	VTSG	Krabi Airport
Kuala Lumpur	Malaysia	KUL	WMKK	Kuala Lumpur International Airport
Kuala Terengganu	Malaysia	TGG	WMKN	Sultan Mahmud Airport
Kuantan	Malaysia	KUA	WMKD	Sultan Haji Ahmad Shah Airport
Kuching	Malaysia	KCH	WBGG	Kuching International Airport
Kunming	China	KMG	ZPPP	Kunming Changshui International Airport
Labuan	Malaysia	LBU	WBKL	Labuan Airport
Langkawi	Malaysia	LGK	WMKL	Langkawi International Airport
Lombok	Indonesia	LOP	WADL	Lombok International Airport
London	United Kingdom	STN	EGSS	London Stansted Airport
London	United Kingdom	LGW	EGKK	London Gatwick Airport
Macau	Macau	MFM	VMMC	Macau International Airport
Makassar	Indonesia	UPG	WAAA	Sultan Hasanuddin International Airport
Malé	Maldives	MLE	VRMM	Ibrahim Nasir International Airport
Manado	Indonesia	MDC	WAMM	Sam Ratulangi International Airport
Mandalay	Burma	MDY	VYMD	Mandalay International Airport
Manila	Philippines	MNL	RPLL	Ninoy Aquino International Airport
Medan	Indonesia	MES	WIMM	Polonia International Airport
Medan	Indonesia	KNO	WIMM	Kuala Namu International Airport
Melbourne	Australia	MEL	YMML	Melbourne Airport
Miri	Malaysia	MYY	WBGR	Miri International Airport
Mumbai	India	BOM	VABB	Chhatrapati Shivaji International Airport
Mukah	Malaysia	MKM	WBGK	Mukah Airport
Nagoya	Japan	NGO	RJFF	Chubu Centrair International Airport
Nakhon Phanom	Thailand	KOP	VTUW	Nakhon Phanom Airport
Nakhon Si Thammarat	Thailand	NST	VTSF	Nakhon Si Thammarat Airport
Nanning	China	NNG	ZGNN	Nanning Wuxu International Airport
Narathiwat	Thailand	NAW	VTSC	Narathiwat Airport
Naypyidaw	Burma	NYT	VYNT	Naypyidaw Airport
Okinawa	Japan	OKA	ROAH	Naha Airport
Osaka	Japan	KIX	RJBB	Kansai International Airport
Padang	Indonesia	PDG	WIPT	Minangkabau International Airport
Palembang	Indonesia	PLM	WIPP	Sultan Mahmud Badaruddin II Airport
Paris	France	OLY	LFPO	Paris-Orly Airport
Pekanbaru	Indonesia	PKU	WIBB	Sultan Syarif Qasim II International Airport
Penang	Malaysia	PEN	WMKP	Penang International Airport
Perth	Australia	PER	YPPH	Perth Airport
Phnom Penh	Cambodia	PNH	VDPP	Phnom Penh International Airport
Phuket	Thailand	HKT	VTSP	Phuket International Airport
Puerto Princesa	Philippines	PPS	RPVP	Puerto Princesa International Airport
Ranong	Thailand	UNN	VTSR	Ranong Airport
Sandakan	Malaysia	SDK	WBKS	Sandakan Airport
Sapporo	Japan	CTS	RJCC	New Chitose Airport
Semarang	Indonesia	SRG	WARS	Achmad Yani International Airport
Seoul	South Korea	ICN	RKSI	Incheon International Airport
Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport
Shenzhen	China	SZX	ZGSZ	Shenzhen Bao'an International Airport
Sibu	Malaysia	SBW	WBGS	Sibu Airport
Siem Reap	Cambodia	REP	VDSR	Siem Reap International Airport
Singapore	Singapore	SIN	WSSS	Singapore Changi Airport
Solo	Indonesia	SOC	WARQ	Adisumarmo International Airport
Subang	Malaysia	SZB	WMSA	Sultan Abdul Aziz Shah Airport
Surabaya	Indonesia	SUB	WARR	Juanda International Airport
Surat Thani	Thailand	URT	VTSB	Surat Thani Airport
Sydney	Australia	SYD	YSSY	Sydney Airport
Tacloban	Philippines	TAC	RPVA	Daniel Z. Romualdez Airport
Tagbilaran	Philippines	TAG	RPVT	Tagbilaran Airport
Taipei	Taiwan	TPE	RCTP	Taipei Taoyuan International Airport
Tawau	Malaysia	TWU	WBKW	Tawau Airport
Tehran	Iran	IKA	OIIE	Tehran Imam Khomeini International Airport
Thiruvananthapuram	India	TRV	VOTV	Trivandrum International Airport
Tianjin	China	TSN	ZBTJ	Tianjin Binhai International Airport
Tiruchirapalli	India	TRZ	VOTR	Tiruchirapalli Airport
Tokyo	Japan	HND	RJTT	Haneda Airport
Tokyo	Japan	NRT	RJAA	Narita International Airport
Trang	Thailand	TST	VTST	Trang Airport
Ubon Ratchathani	Thailand	UBP	VTUU	Ubon Ratchathani Airport
Udon Thani	Thailand	UTH	VTUD	Udon Thani Airport
Vientiene	Laos	VTE	VLVT	Wattay International Airport
Xiamen	China	XMN	ZSAM	Xiamen Gaoqi International Airport
Wuhan	China	WUH	ZHHH	Wuhan Tianhe International Airport
Xi'an	China	XIY	ZLXY	Xi'an Xianyang International Airport
Yangon	Burma	RGN	VYYY	Yangon International Airport
Yogyakarta	Indonesia	JOG	WARJ	Adisucipto International Airport
