County	Kerry%	Kerry#	Bush%	Bush#	Others%	Others#
Putnam	50.8%	1704	48.4%	1623	0.7%	25
Randolph	45.3%	6771	54.0%	8076	0.7%	109
Richland	32.6%	2529	66.5%	5153	0.9%	67
Rock Island	57.0%	39880	42.4%	29663	0.6%	429
St. Clair	55.1%	62410	44.4%	50203	0.5%	576
Saline	39.8%	4697	59.7%	7057	0.5%	60
Sangamon	40.5%	38630	58.6%	55904	0.9%	841
Schuyler	39.5%	1594	59.6%	2403	0.8%	34
Scott	35.2%	927	64.3%	1696	0.5%	13
Shelby	35.4%	3744	63.8%	6753	0.8%	80
Stark	38.8%	1189	60.1%	1841	1.0%	31
Stephenson	41.8%	8913	57.3%	12212	0.9%	195
Tazewell	41.4%	25814	57.8%	36058	0.7%	466
Union	41.0%	3735	58.5%	5333	0.6%	51
Vermilion	43.7%	14726	55.6%	18731	0.8%	257
Wabash	29.2%	1752	70.1%	4212	0.7%	42
Warren	46.6%	3938	52.9%	4474	0.5%	45
Washington	36.8%	2986	62.6%	5072	0.6%	46
Wayne	25.8%	2139	73.6%	6102	0.6%	46
White	37.0%	3071	62.4%	5180	0.6%	50
Whiteside	51.1%	13723	48.2%	12959	0.7%	191
Will	46.9%	115625	52.4%	129098	0.7%	1686
Williamson	39.0%	11685	60.4%	18086	0.6%	189
Winnebago	49.2%	59740	50.1%	60782	0.7%	903
