Rank	Name	Altitude (meters)	Range	Parent Range
33	Bjørnnutane	2555	XU-fjella	East Antarctica Ranges
34	Mount Boë	2534	Belgica Mountains	East Antarctica Ranges
35	Mount van der Essen	2531	Belgica Mountains	East Antarctica Ranges
36	Deromfjellet	2525	Sør Rondane Mountains	East Antarctica Ranges
37	Mount Rossel	2512	Belgica Mountains	East Antarctica Ranges
38	Mount Fukushima	2494	Queen Fabiola Mountains	East Antarctica Ranges
39	Mount Collard	2492	Belgica Mountains	East Antarctica Ranges
40	Mount Hoge	2491	Belgica Mountains	East Antarctica Ranges
41	Mount Dallmann	2485	Orvin Mountains	East Antarctica Ranges
42	Mount Lahaye	2484	Belgica Mountains	East Antarctica Ranges
43	Mount Launoit	2478	Belgica Mountains	East Antarctica Ranges
44	Mount Gillet	2475	Belgica Mountains	East Antarctica Ranges
45	Mount Fukushima	2470	Queen Fabiola Mountains	East Antarctica Ranges
46	Mount Brouwer	2466	Belgica Mountains	East Antarctica Ranges
47	Mount Gaston de Gerlache	2450	Queen Fabiola Mountains	East Antarctica Ranges
48	Mount Imbert	2449	Belgica Mountains	East Antarctica Ranges
49	Mount Kirkby	2438	Prince Charles Mountains	East Antarctica Ranges
50	Mount Bastin	2429	Belgica Mountains	East Antarctica Ranges
51	Mount Loodts	2429	Belgica Mountains	East Antarctica Ranges
52	Mount Paulus	2428	Belgica Mountains	East Antarctica Ranges
53	Mount Kerckhove de Denterghem	2427	Belgica Mountains	East Antarctica Ranges
54	Mount Perov	2402	Belgica Mountains	East Antarctica Ranges
55	Caussinknappen	2401	Sør Rondane Mountains	East Antarctica Ranges
56	Goolsnuten	2401	Sør Rondane Mountains	East Antarctica Ranges
57	Mount Derom	2390	Queen Fabiola Mountains	East Antarctica Ranges
58	Mount Verhaegen	2383	Belgica Mountains	East Antarctica Ranges
59	Mount Lorette	2355	Belgica Mountains	East Antarctica Ranges
60	Mount Limburg Stirum	2351	Belgica Mountains	East Antarctica Ranges
61	Mount Maere	2325	Belgica Mountains	East Antarctica Ranges
62	Mount Elkins	2300	Enderby Land	East Antarctica Ranges
63	Mount Sfinx	2294	Belgica Mountains	East Antarctica Ranges
64	Tonynuten	2287	Sør Rondane Mountains	East Antarctica Ranges
65	Mount Eyskens	2273	Queen Fabiola Mountains	East Antarctica Ranges
66	Mount Goossens	2263	Queen Fabiola Mountains	East Antarctica Ranges
67	Sumnerkammen	2255	Tottanfjella	East Antarctica Ranges
68	Mathisenskaget	2226	Sivorgfjella	East Antarctica Ranges
69	Norumnuten	2224	Sivorgfjella	East Antarctica Ranges
70	Mount Van Pelt	2213	Queen Fabiola Mountains	East Antarctica Ranges
71	Mount Pierre	2213	Queen Fabiola Mountains	East Antarctica Ranges
72	Schivestolen	2159	Milorgfjella	East Antarctica Ranges
73	Wrighthamaren	2154	Sivorgfjella	East Antarctica Ranges
74	Maquetknausane	2144	Sør Rondane Mountains	East Antarctica Ranges
75	Van Autenboerfjellet	2142	Sør Rondane Mountains	East Antarctica Ranges
76	Mount Vanderheyden	2129	Belgica Mountains	East Antarctica Ranges
77	Nevlingen Peak	2100	Dome F	East Antarctica Ranges
78	Mount Hulshagen	2094	Belgica Mountains	East Antarctica Ranges
79	Gramkroken	2092	Sivorgfjella	East Antarctica Ranges
80	Mount De Breuck	2089	Queen Fabiola Mountains	East Antarctica Ranges
81	Cumpston Massif	2070	Christensen Coast	East Antarctica Ranges
82	Berckmanskampen	2063	Sør Rondane Mountains	East Antarctica Ranges
83	Blaiklockfjellet	2061	Sør Rondane Mountains	East Antarctica Ranges
84	Strømnæsberget	2034	XU-fjella	East Antarctica Ranges
85	Lauringrabben	2033	Milorgfjella	East Antarctica Ranges
86	Verheyefjellet	2000	Sør Rondane Mountains	East Antarctica Ranges
