Year	Title	US 100	US AC	Lead singer	Album	Label and cat#
March 1979	"Gone Long Gone"	73	—	Cetera	Hot Streets	Columbia 10935
Aug. 1979	"Must Have Been Crazy"	83	—	Dacus	Chicago 13	Columbia 11061
Oct. 1979	"Street Player"*	—	—	Cetera	Chicago 13	Columbia 11138
July 1980	"Thunder and Lightning"	56	—	Cetera/Lamm	Chicago XIV	Columbia 11345
Oct. 1980	"Song for You"	—	—	Cetera	Chicago XIV	Columbia 11376
May 1982	" Hard to Say I'm Sorry "	1	1	Cetera	Chicago 16	Full Moon/Warner 29979
Sept. 1982	" Love Me Tomorrow "	22	8	Cetera	Chicago 16	Full Moon/Warner 29911
Jan. 1983	"What You're Missing"	81	—	Cetera	Chicago 16	Full Moon/Warner 29798
April 1984	" Stay the Night "	16	—	Cetera	Chicago 17	Full Moon/Warner 29306
July 1984	" Hard Habit to Break "	3	3	Cetera/ Champlin	Chicago 17	Full Moon/Warner 29214
Nov. 1984	" You're the Inspiration "	3	1	Cetera	Chicago 17	Full Moon/Warner 29126
Feb. 1985	" Along Comes a Woman "**	14	25	Cetera	Chicago 17	Full Moon/Warner 29082
Aug. 1986	"25 or 6 to 4" (Newly re-recorded version)	48	—	Scheff	Chicago 18	Full Moon/Warner 28628
Oct. 1986	" Will You Still Love Me? "	3	2	Scheff/Champlin	Chicago 18	Full Moon/Warner 28512
March 1987	" If She Would Have Been Faithful... "	17	9	Scheff/Champlin	Chicago 18	Full Moon/Warner 28424
June 1987	" Niagara Falls "	91	—	Scheff	Chicago 18	Full Moon/Warner 28283
May 1988	" I Don't Wanna Live Without Your Love "	3	5	Champlin	Chicago 19	Full Moon/ Reprise 27855
Sept. 1988	" Look Away "	1	1	Champlin	Chicago 19	Full Moon/ Reprise 27766
Jan. 1989	" You're Not Alone "	10	9	Champlin	Chicago 19	Full Moon/ Reprise 27757
April 1989	" We Can Last Forever "	55	12	Scheff	Chicago 19	Full Moon/ Reprise 22985
Nov. 1989	" What Kind of Man Would I Be? "	5	2	Scheff	Chicago 19 / Greatest Hits 1982-1989	Full Moon/ Reprise 22741
July 1990	"Hearts in Trouble"	75	—	Champlin	Days Of Thunder Soundtrack	DGC 19679
Jan. 1991	" Chasin' the Wind "	39	13	Champlin	Twenty 1	Reprise 19466
Apr. 1991	"Explain It to My Heart"	—	—	Scheff/Champlin	Twenty 1	Reprise 19449
Aug. 1991	"You Come to My Senses"	—	11	Scheff	Twenty 1	Reprise 19205
June 1995	"Dream a Little Dream of Me"	—	—	Scheff/Jade	Night & Day Big Band	Giant
April 1997	"Here in My Heart"	—	1	Champlin/Scheff	The Heart of Chicago 1967–1997	Reprise
Oct. 1997	"The Only One"	—	17	Lamm/Champlin/Scheff	The Heart of Chicago 1967–1997	Reprise
June 1998	"All Roads Lead to You"	—	14	Champlin/Lamm/Scheff	The Heart of Chicago 1967–1998 Volume II	Reprise
Oct. 1998	"Show Me a Sign"	—	28	Scheff/Champlin	The Heart of Chicago 1967–1998 Volume II	Reprise
Sept. 1999	"Back to You"	—	—	Scheff	Chicago XXVI: Live in Concert	Chicago Records
Feb. 2006	"Feel"	—	19	Lamm	Chicago XXX	Rhino
May 2006	"Love Will Come Back"	—	21	Scheff/Champlin	Chicago XXX	Rhino
June 2008	"Let's Take a Lifetime"	—	—	Scheff	Chicago XXXII Stone of Sisyphus	Rhino
