City	Province	Country	IATA	Airport
Nantong	Jiangsu	China	NTG	Nantong Airport
Nanyang	Henan	China	NNY	Nanyang Airport
Niigata	—	Japan	KIJ	Niigata Airport
Ningbo	Zhejiang	China	NGB	Ningbo Lishe International Airport
Novosibirsk	—	Russia	OVB	Tolmachevo Airport
Osaka	—	Japan	KIX	Kansai International Airport
Osh	—	Kyrgyzstan	OSS	Osh Airport
Paris	—	France	CDG	Paris-Charles de Gaulle Airport
Penang	—	Malaysia	PEN	Penang International Airport
Perth	—	Australia	PER	Perth Airport
Phnom Penh	—	Cambodia	PNH	Phnom Penh International Airport
Phuket	—	Thailand	HKT	Phuket International Airport
Pyongyang	—	North Korea	FNJ	Pyongyang Sunan International Airport [F]
Qingdao	Shandong	China	TAO	Liuting International Airport
Qiqihar	Heilongjiang	China	NDG	Qiqihar Airport
Quanzhou	Fujian	China	JJN	Quanzhou Jinjiang Airport
Saipan	—	Northern Mariana Islands	SPN	Saipan International Airport
Sanya	Hainan	China	SYX	Sanya Phoenix International Airport
Sapporo	—	Japan	CTS	New Chitose Airport
Sendai	—	Japan	SDJ	Sendai Airport
Seoul	—	South Korea	GMP	Gimpo International Airport
Seoul	—	South Korea	ICN	Incheon International Airport
Shanghai	Shanghai	China	SHA	Hongqiao International Airport
Shanghai	Shanghai	China	PVG	Pudong International Airport
Sharjah	—	United Arab Emirates	SHJ	Sharjah International Airport [F]
Shantou	Guangdong	China	SWA	Jieyang Chaoshan International Airport
Shenyang	Liaoning	China	SHE	Taoxian International Airport
Shenzhen	Guangdong	China	SZX	Shenzhen Bao'an International Airport
Shijiazhuang	Hebei	China	SJW	Daguocun International Airport
Siem Reap	—	Cambodia	REP	Siem Reap International Airport
Singapore	—	Singapore	SIN	Changi Airport
Surabaya	—	Indonesia	SUB	Juanda International Airport [F]
Surat Thani	—	Thailand	URT	Surat Thani Airport [#]
Sydney	—	Australia	SYD	Sydney Airport
Tacheng	Xinjiang	China	TCG	Tacheng Airport
Taipei	—	Taiwan	TPE	Taiwan Taoyuan International Airport
Taiyuan	Shanxi	China	TYN	Taiyuan Wusu Airport
Tashkent	—	Uzbekistan	TAS	Tashkent International Airport
Tbilisi	—	Georgia	TBS	Tbilisi International Airport
Tehran	—	Iran	IKA	Imam Khomeini International Airport
Tianjin	Tianjin	China	TSN	Binhai International Airport ^
Tokyo	—	Japan	NRT	Narita International Airport
Toyama	—	Japan	TOY	Toyama Airport
Urumqi	Xinjiang	China	URC	Diwopu International Airport Hub
Vancouver	—	Canada	YVR	Vancouver International Airport
Vienna	—	Austria	VIE	Vienna International Airport [Cargo]
Vientiane	—	Laos	VTE	Wattay International Airport [F]
Weihai	Shandong	China	WEH	Weihai Airport
Wenzhou	Zhejiang	China	WNZ	Wenzhou Yongqiang Airport
Wuhan	Hubei	China	WUH	Tianhe International Airport
Wuxi	Jiangsu	China	WUX	Wuxi Shuofang Airport
Wuyishan	Fujian	China	WUS	Nanping Wuyishan Airport
Xiamen	Fujian	China	XMN	Gaoqi International Airport
Xi'an	Shaanxi	China	XIY	Xianyang International Airport
Xiangfan	Hubei	China	XFN	Xiangfan Airport
Xining	Qinghai	China	XNN	Xining Caojiabu Airport
Xinyuan	Xinjiang	China	NLT	Nalati Airport
Xishuangbanna	Yunnan	China	JHG	Xishuangbanna Gasa Airport
Xuzhou	Jiangsu	China	XUZ	Xuzhou Airport
Yancheng	Jiangsu	China	YNZ	Yancheng Airport
Yangon	—	Burma	RGN	Yangon International Airport
Yanji	Jilin	China	YNJ	Yanji Chaoyangchuan Airport
Yantai	Shandong	China	YNT	Yantai Laishan International Airport
Yichang	Hubei	China	YIH	Yichang Airport
Yichun	Heilongjiang	China	LDS	Yichun Lindu Airport
Yinchuan	Ningxia	China	INC	Yinchuan Hedong Airport
Yining	Xinjiang	China	YIN	Yining Airport
Yiwu	Zhejiang	China	YIW	Yiwu Airport
Zhangjiajie	Hunan	China	DYG	Zhangjiajie Airport
Zhanjiang	Guangdong	China	ZHA	Zhanjiang Airport
Zhengzhou	Henan	China	CGO	Zhengzhou Xinzheng International Airport
Zhijiang	Hunan	China	HJJ	Zhijiang Airport
Zhongdian	Yunnan	China	DIG	Diqing Xianggelila Airport
Zhuhai	Guangdong	China	ZUH	Zhuhai Jinwan Airport
Zunyi	Guizhou	China	ZYI	Zunyi Xinzhou Airport
